query_index,macro,country,object_term,query,status,added,rows_after,rejects_delta,failures_delta,elapsed_seconds
1,_infer,_infer,advertising poster,Category:Art Nouveau posters,completed,20,20,7,0,2.2
2,_infer,_infer,poster,Category:1970s posters,completed,0,20,4,0,3.2
3,_infer,_infer,poster,Category:1980s posters,completed,0,20,5,0,4.6
4,_infer,_infer,poster,Category:1990s posters,completed,0,20,6,0,6.0
5,_infer,_infer,poster,Category:2000s posters,completed,12,32,11,0,8.4
6,_infer,_infer,poster,Category:1930s posters,completed,0,32,14,0,9.8
7,_infer,_infer,poster,Category:1940s posters,completed,0,32,15,0,13.5
8,_infer,_infer,poster,Category:1950s posters,completed,0,32,9,0,14.8
9,_infer,_infer,poster,Category:1960s posters,completed,0,32,2,0,15.7
10,_infer,_infer,poster,Category:1920s posters,completed,5,37,11,0,17.0
11,_infer,_infer,poster,Category:1910s posters,completed,12,49,3,0,34.8
12,_infer,_infer,film poster,Category:Film posters,completed,9,58,20,0,36.8
13,_infer,_infer,book cover,Category:Book covers,empty,0,58,0,0,37.6
14,_infer,_infer,magazine cover,Category:Magazine covers,completed,26,84,14,0,40.4
15,_infer,_infer,advertising,Category:1970s advertisements,completed,0,84,7,0,42.2
16,_infer,_infer,advertising,Category:1980s advertisements,completed,0,84,3,0,43.0
17,_infer,_infer,advertising,Category:1990s advertisements,completed,0,84,1,0,43.8
18,_infer,_infer,advertisement,Category:19th-century advertisements,completed,14,98,11,0,45.4
19,_infer,_infer,trade card,Category:Trade cards,completed,15,113,29,0,47.5
20,_infer,_infer,label,Category:Labels,empty,0,113,0,0,48.3
21,_infer,_infer,matchbox label,Category:Matchbox labels,failed,0,113,0,1,65.1
22,_infer,_infer,type specimen,Category:Type specimens,failed,0,113,0,1,81.8
23,_infer,_infer,stamp,Category:1970s postage stamps,empty,0,113,0,0,88.1
24,_infer,_infer,stamp,Category:1980s postage stamps,empty,0,113,0,0,88.8
25,_infer,_infer,stamp,Category:1990s postage stamps,empty,0,113,0,0,89.6
26,_infer,_infer,poster,"""1970"" ""poster""",completed,16,129,84,0,102.5
27,_infer,_infer,advertising poster,"""1970"" ""advertising poster""",completed,0,129,14,0,106.1
28,_infer,_infer,film poster,"""1970"" ""film poster""",failed,0,129,100,1,128.9
29,_infer,_infer,book cover,"""1970"" ""book cover""",failed,0,129,0,1,145.7
30,_infer,_infer,magazine cover,"""1970"" ""magazine cover""",completed,0,129,189,0,179.4
