source_name,captured_records,image_states,notes
"Wikimedia Commons file source / ""Female Muslims- The tsar, beys and khans took your rights away"" – Azeri, Baku, 1921 (Mardjani).jpg / page 31547123",1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
"Wikimedia Commons file source / ""HELP"" World War I poster of Australian Red Cross Nurse (cropped).jpg / page 80561166",1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
"Wikimedia Commons file source / ""Swimming Gala - Miss Beatrice Kerr"".png / page 22265849",1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / $100 Zimbabwe revenue stamps in block of four.jpg / page 22447823,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / $200 Zimbabwe revenue stamps in block of four.jpg / page 21458958,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 'Shunters! Beware of the Steam' (25885190824).jpg / page 51248438,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / (1)Hornsby Odeon Cinema-1.jpg / page 37574273,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / (1)Odeon Cinema 019.jpg / page 74358258,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / -no title- - poster - propaganda cinese (54241381027).jpg / page 164284322,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / -no title- - poster - propaganda cinese (54242285741).jpg / page 164284334,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 1 May Parade - poster - propaganda cinese (54242521439).jpg / page 164284309,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
"Wikimedia Commons file source / 1 銭 (chon), stamps 1900.jpg / page 107252572",1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 100 years of the Communist Party of China (2021 stamp series of Serbia) 1.jpg / page 115515024,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 100 years of the Communist Party of China (2021 stamp series of Serbia) 2.jpg / page 115515022,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 100+ Menu Populer Ala Resto by Devina Hermawan (Front Cover).jpg / page 191045421,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 105969 wall posters in the ein shemer museum PikiWiki Israel.jpg / page 145830017,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 10c on 1b postal overprint on telegraph stamp of Venezuela.jpg / page 28854637,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
"Wikimedia Commons file source / 10m Egypt commemorative postal stamp, 1931.jpg / page 158535084",1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
"Wikimedia Commons file source / 10s Judicial revenue stamp of Kenya, Uganda & Tanganyika.jpg / page 29399158",1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
"Wikimedia Commons file source / 12 stamps from Zanzibar, 1892 - 1894.jpg / page 62890973",1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 120 - Danseuse egyptienne.jpg / page 20380329,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 1472-Dr.-Yellapragada-Subbarow-India-Stamp-1995.jpg / page 113774638,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 14th Feb Short Film Banner.png / page 33813242,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
"Wikimedia Commons file source / 16 Queen Victoria stamps used at Zanzibar with Zanzibar datestamps, 1865-1890.jpg / page 62826498",1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 1860-1861 revenue stamp of Colombia.jpg / page 26506678,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 1869 2a India telegraph stamps.JPG / page 29367083,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 1881 Nepal stamps.jpg / page 9937307,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 1882 1p telegraph stamp Colombia Samuel Morse.jpg / page 19681115,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 1882 Colombia telegraph stamp.jpg / page 19681171,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 1887 Bolivia 10c 11 stars Cochabamba Mi25.jpg / page 32787892,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 1887 Travancore revenue stamps.jpg / page 13261818,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 1889-1890 revenue stamps of Colombia.jpg / page 26506611,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 1891-92 revenue stamps of Colombia.jpg / page 26506474,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 1896 25c telegraph stamp of Venezuela.jpg / page 28851443,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 1896 telegraph stamps of Venezuela.jpg / page 28851527,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 1899 one anna Kashmir telegraph stamp watermarked rosettes. Front and back.jpg / page 28362436,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 1899-Cuba-1-Centavo-Stamp.jpg / page 15913397,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 1899-Cuba-10-Centavos-Stamp.jpg / page 15913401,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 1899-Cuba-1c-OverprintedStampedEnvelope-UsedOmaha.jpg / page 13910935,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 1899-Cuba-1c-StampedEnvelope-UsedHavana.jpg / page 13910498,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
