capture_id,direction_id,direction_name,source_id,source_name,source_api_url,capture_status,source_identifier,source_record_url,source_title,source_creator,source_date_text,date_start,date_end,source_place_text,source_object_type,source_medium,source_collection,source_description,source_notes,source_subjects,source_rights_text,rights_uri,rights_basis,image_presence_code,image_presence_basis,image_state_evaluation,image_state_confidence,rights_review_required,image_state_review_note,image_frame_behavior,image_url_detected,local_copy_permitted,iiif_or_viewer_available,fallback_required,fallback_reason,raw_json_path,access_date
ER1830R001,ER02,early_region_design_museum_print_records,SRC005,V&A Collections API,https://api.vam.ac.uk/v2/objects/search?q=trade+card&page_size=50&page=1,captured,O693551,https://collections.vam.ac.uk/item/O693551/,,Unknown,ca.1830,1830,,London,Trade card,,V&A Collections,Trade card of Joseph Proctor.,Engraving,Trade cards; Advertising; Black History; Ephemera,V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,,V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,IMG02,V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,IMG02: V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,medium,true,Source-hosted viewer candidate; keep source return visible.,source_viewer_frame,"https://framemark.vam.ac.uk/collections/2012FV6222/full/!100,100/0/default.jpg",false,https://framemark.vam.ac.uk/collections/2012FV6222/,false,,data/capture_batch_early_region_1830_1930_raw/vam_search_trade-card.json,2026-05-30
ER1830R002,ER02,early_region_design_museum_print_records,SRC005,V&A Collections API,https://api.vam.ac.uk/v2/objects/search?q=trade+card&page_size=50&page=1,captured,O89238,https://collections.vam.ac.uk/item/O89238/,"Trade card for C. & J. Lintelo Brothers, Gold and Silversmiths","Jacqmain, G.",1840-1849,1840,,Ghent,Trade card,,V&A Collections,"Trade card for C. & J. Lintelo, Goldsmith, with a lithograph of a shopfront. Of a type known as porcelain card because of its glossy white surface.",Lithograph in blue and brown on white card,Trade cards; Advertising; Prints; Shopping; Black History; Ephemera,V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,,V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,IMG02,V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,IMG02: V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,medium,true,Source-hosted viewer candidate; keep source return visible.,source_viewer_frame,"https://framemark.vam.ac.uk/collections/2012FV6323/full/!100,100/0/default.jpg",false,https://framemark.vam.ac.uk/collections/2012FV6323/,false,,data/capture_batch_early_region_1830_1930_raw/vam_search_trade-card.json,2026-05-30
ER1830R003,ER02,early_region_design_museum_print_records,SRC005,V&A Collections API,https://api.vam.ac.uk/v2/objects/search?q=trade+card&page_size=50&page=1,captured,O693592,https://collections.vam.ac.uk/item/O693592/,,Unknown,ca.1845,1845,,London,Trade card,,V&A Collections,Trade card.,Engraving,Prints; Trade cards; Advertising; Black History; Ephemera,V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,,V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,IMG02,V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,IMG02: V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,medium,true,Source-hosted viewer candidate; keep source return visible.,source_viewer_frame,"https://framemark.vam.ac.uk/collections/2012FV5966/full/!100,100/0/default.jpg",false,https://framemark.vam.ac.uk/collections/2012FV5966/,false,,data/capture_batch_early_region_1830_1930_raw/vam_search_trade-card.json,2026-05-30
ER1830R004,ER03,early_region_public_print_search_records,SRC006,Library of Congress loc.gov API,https://www.loc.gov/pictures/search/?q=trade+card&fo=json&c=50,captured,2010646699,https://www.loc.gov/pictures/item/2010646699/,[Trade card for McKay Iron and Locomotive Works and an Arkansas railroad],"Thomas, Henry Atwell, 1834-1904",[between 1863 and 1868],1863,,,1 print :,1 print : chromolithograph.,iuc; pp,,This catalog record contains preliminary data.; Title devised by Library staff.; Purchase; William Reese Company; 2001; (DLC/PP-2001:110).,,LOC search row does not expose a usable image in this capture.,,LOC search row does not expose a usable image in this capture.,IMG04,LOC search row does not expose a usable image in this capture.,IMG04: LOC search row does not expose a usable image in this capture.,high,false,Render as text/source page without image frame.,no_image_frame,,false,https://www.loc.gov/pictures/item/2010646699/,false,,data/capture_batch_early_region_1830_1930_raw/loc_search_trade-card.json,2026-05-30
ER1830R005,ER02,early_region_design_museum_print_records,SRC005,V&A Collections API,https://api.vam.ac.uk/v2/objects/search?q=chromolithograph&page_size=50&page=1,captured,O1026162,https://collections.vam.ac.uk/item/O1026162/,"Chromolithograph, copy after the Annunciation, Fra Angelico in the Museo di San Marco (Florence)","Angelico, Fra",1864,1864,,great britain,Chromolithograph,,V&A Collections,"Chromolithograph, copy after the Annunciation , Fra Angelico in the Museo di San Marco (Florence), from a watercolour by Cesare Mariannecci, published by Storch and Kramer under the direction of L. Gruner, Arundel Society chromolithograph, 1864","Chromolithograph after the watercolour (Museum No. 4592), copy made for the Arundel Society in 1864, published by Storch and Kramer under the direction of L. Gruner.",Biblical Imagery; Christianity; Copies and Facsimilies,V&A row does not expose image metadata in this capture.,,V&A row does not expose image metadata in this capture.,IMG04,V&A row does not expose image metadata in this capture.,IMG04: V&A row does not expose image metadata in this capture.,high,false,Render as text/source page without image frame.,no_image_frame,,false,,false,,data/capture_batch_early_region_1830_1930_raw/vam_search_trade-card.json,2026-05-30
ER1830R006,ER02,early_region_design_museum_print_records,SRC005,V&A Collections API,https://api.vam.ac.uk/v2/objects/search?q=chromolithograph&page_size=50&page=1,captured,O1025940,https://collections.vam.ac.uk/item/O1025940/,"Chromolithograph, copy after the Coronation of  the Virgin, Fra Angelico in the Museo di San  Marco (Florence)","Angelico, Fra",1864,1864,,berlin,Chromolithograph,,V&A Collections,"Chromolithograph, copy after the Coronation of the Virgin , Fra Angelico in the Museo di San Marco (Florence), from a watercolour by Cesare Mariannecci, published by Storch and Kramer, Arundel Society chromolithograph, 1864","Chromolithograph after the watercolour (Museum No. 4593), copy made for the Arundel Society in 1864, published by Storch and Kramer.",Biblical Imagery; Christianity; Copies and Facsimilies,V&A row does not expose image metadata in this capture.,,V&A row does not expose image metadata in this capture.,IMG04,V&A row does not expose image metadata in this capture.,IMG04: V&A row does not expose image metadata in this capture.,high,false,Render as text/source page without image frame.,no_image_frame,,false,,false,,data/capture_batch_early_region_1830_1930_raw/vam_search_trade-card.json,2026-05-30
ER1830R007,ER02,early_region_design_museum_print_records,SRC005,V&A Collections API,https://api.vam.ac.uk/v2/objects/search?q=chromolithograph&page_size=50&page=1,captured,O1026171,https://collections.vam.ac.uk/item/O1026171/,"Copy after <i>St Filippo Benizzi healing Children</i>, Andrea del Sarto in the Chiostro dei Voti (Santissima Annunziata, Florence)","Mariannecci, Cesare",1869,1869,,Berlin,Chromolithograph,,V&A Collections,"Chromolithograph, copy after St Filippo Benizzi healing Children , Andrea del Sarto in the Chiostro dei Voti (Santissima Annunziata, Florence), printed by Storch and Kramer from a watercolour by Cesare Mariannecci, Arundel Society chromolitograph, 1869.",chromolithograph,,V&A row does not expose image metadata in this capture.,,V&A row does not expose image metadata in this capture.,IMG04,V&A row does not expose image metadata in this capture.,IMG04: V&A row does not expose image metadata in this capture.,high,false,Render as text/source page without image frame.,no_image_frame,,false,,false,,data/capture_batch_early_region_1830_1930_raw/vam_search_trade-card.json,2026-05-30
ER1830R008,ER03,early_region_public_print_search_records,SRC006,Library of Congress loc.gov API,https://www.loc.gov/pictures/search/?q=advertising+card&fo=json&c=50,captured,2007675841,https://www.loc.gov/pictures/item/2007675841/,Gardner's photographic advertising card,,c1869,1869,,,1 photographic print :,1 photographic print : albumen silver.,diof; ph; pp,,,"Booth, Edwin,--1833-1893.; Albumen prints--1860-1870.; Portrait photographs--1860-1870.",LOC search row does not expose a usable image in this capture.,,LOC search row does not expose a usable image in this capture.,IMG04,LOC search row does not expose a usable image in this capture.,IMG04: LOC search row does not expose a usable image in this capture.,high,false,Render as text/source page without image frame.,no_image_frame,,false,https://www.loc.gov/pictures/item/2007675841/,false,,data/capture_batch_early_region_1830_1930_raw/loc_search_trade-card.json,2026-05-30
ER1830R009,ER02,early_region_design_museum_print_records,SRC005,V&A Collections API,https://api.vam.ac.uk/v2/objects/search?q=chromolithograph&page_size=50&page=1,captured,O1026163,https://collections.vam.ac.uk/item/O1026163/,"Chromolithograph, copy after Christ and Mary Magdalene in the Garden (Noli me tangere), Fra Angelico in the Museo di San Marco (Florence)","Angelico, Fra",1870,1870,,great britain,Chromolithograph,,V&A Collections,"Chromolithograph, copy after Christ and Mary Magdalene in the Garden (Noli me tangere) , Fra Angelico in the Museo di San Marco (Florence), from a watercolour by Edward Kaiser, published by Storch and Kramer under the direction of L. Gruner, Arundel Society chromolithograph, 1870",chromolithography,Biblical Imagery; Christianity; Copies and Facsimilies,V&A row does not expose image metadata in this capture.,,V&A row does not expose image metadata in this capture.,IMG04,V&A row does not expose image metadata in this capture.,IMG04: V&A row does not expose image metadata in this capture.,high,false,Render as text/source page without image frame.,no_image_frame,,false,,false,,data/capture_batch_early_region_1830_1930_raw/vam_search_trade-card.json,2026-05-30
ER1830R010,ER02,early_region_design_museum_print_records,SRC005,V&A Collections API,https://api.vam.ac.uk/v2/objects/search?q=chromolithograph&page_size=50&page=1,captured,O1025941,https://collections.vam.ac.uk/item/O1025941/,"Chromolithograph, copy after The Transfiguration, Fra Angelico in the Museo di San Marco (Florence)","Angelico, Fra",1870,1870,,great britain,Chromolithograph,,V&A Collections,"Chromolithograph, copy after The Transfiguration , Fra Angelico in the Museo di San Marco (Florence), published by Storch and Krumer under the direction of L. Gruner, from a watercolour of Edward Kaiser, Arundel Society chromolithograph, 1870.",Chromolithography,,V&A row does not expose image metadata in this capture.,,V&A row does not expose image metadata in this capture.,IMG04,V&A row does not expose image metadata in this capture.,IMG04: V&A row does not expose image metadata in this capture.,high,false,Render as text/source page without image frame.,no_image_frame,,false,,false,,data/capture_batch_early_region_1830_1930_raw/vam_search_trade-card.json,2026-05-30
