capture_id,direction_id,direction_name,source_id,source_name,source_api_url,capture_status,source_identifier,source_record_url,source_title,source_creator,source_date_text,date_start,date_end,source_place_text,source_object_type,source_medium,source_collection,source_description,source_notes,source_subjects,source_rights_text,rights_uri,rights_basis,image_presence_code,image_presence_basis,image_state_evaluation,image_state_confidence,rights_review_required,image_state_review_note,image_frame_behavior,image_url_detected,local_copy_permitted,iiif_or_viewer_available,fallback_required,fallback_reason,raw_json_path,access_date,image_expectation,parser_status,display_mode,ocr_or_excerpt,source_description_raw,editorial_summary,historical_context_note,classification_rationale,uncertainty_note,citation_basis
ESR1931R001,ESR01,edge_source_registry_context_1931_2026,ESV257,African Activist Archive,https://africanactivist.msu.edu/,captured,ESV257,https://africanactivist.msu.edu/,African Activist Archive - Home,,source scope: modern-present,,,Pan-African / United States,source registry/context record; community archive,source registry context; archive/source family evidence,African Activist Archive,anti-apartheid and liberation movement graphics,Probe status: ok; protocols: ; intent: anti-apartheid and liberation movement graphics; limitations: Community source; rights review.,anti-apartheid and liberation movement graphics; community archive; Africa; Pan-African / United States,African Activist Archive source-registry context record. Recommended image policy: IMG02_source_hosted_or_IMG00_until_item_rights.,,African Activist Archive source-registry context record. Recommended image policy: IMG02_source_hosted_or_IMG00_until_item_rights.,IMG04,African Activist Archive source-registry context record. Recommended image policy: IMG02_source_hosted_or_IMG00_until_item_rights.,IMG04: African Activist Archive source-registry context record. Recommended image policy: IMG02_source_hosted_or_IMG00_until_item_rights.,medium,true,Source-registry context capture keeps source images source-hosted and does not claim item-level image reuse.,no_image_frame,,false,https://africanactivist.msu.edu/,false,,data/source_probe_edge_v2_raw/ESV257.html.txt,2026-06-01,not_expected,ok,no_image_frame,anti-apartheid and liberation movement graphics,anti-apartheid and liberation movement graphics,African Activist Archive is registered as an edge source for modern graphic design history. anti-apartheid and liberation movement graphics,This source expands the archive toward Pan-African / United States / Africa and should guide later item-level capture without replacing the original archive.,Promoted from a successful source probe as source-registry evidence only; not an object-level sheet.,"Dates describe source scope or institutional period intent, not a single work date. Use as source dossier, reading note, or support material until item records are captured.",African Activist Archive. https://africanactivist.msu.edu/. Accessed 2026-06-01.
ESR1931R002,ESR01,edge_source_registry_context_1931_2026,ESV259,UWC Robben Island Mayibuye Archives,https://mayibuyearchives.org/,captured,ESV259,https://mayibuyearchives.org/,mayibuyearchives.org,,source scope: modern-present,,,South Africa,source registry/context record; university archive,source registry context; archive/source family evidence,UWC Robben Island Mayibuye Archives,South African resistance graphic/context records,Probe status: ok; protocols: ; intent: South African resistance graphic/context records; limitations: Alternate endpoint for Mayibuye.,South African resistance graphic/context records; university archive; Africa; South Africa,UWC Robben Island Mayibuye Archives source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,,UWC Robben Island Mayibuye Archives source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,IMG04,UWC Robben Island Mayibuye Archives source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,IMG04: UWC Robben Island Mayibuye Archives source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,medium,true,Source-registry context capture keeps source images source-hosted and does not claim item-level image reuse.,no_image_frame,,false,https://mayibuyearchives.org/,false,,data/source_probe_edge_v2_raw/ESV259.html.txt,2026-06-01,not_expected,ok,no_image_frame,South African resistance graphic/context records,South African resistance graphic/context records,UWC Robben Island Mayibuye Archives is registered as an edge source for modern graphic design history. South African resistance graphic/context records,This source expands the archive toward South Africa / Africa and should guide later item-level capture without replacing the original archive.,Promoted from a successful source probe as source-registry evidence only; not an object-level sheet.,"Dates describe source scope or institutional period intent, not a single work date. Use as source dossier, reading note, or support material until item records are captured.",UWC Robben Island Mayibuye Archives. https://mayibuyearchives.org/. Accessed 2026-06-01.
ESR1931R003,ESR01,edge_source_registry_context_1931_2026,ESV210,Center for Contemporary Graphic Art,https://www.dnpfcp.jp/gallery/ccga/,captured,ESV210,https://www.dnpfcp.jp/gallery/ccga/,CCGA現代グラフィックアートセンター,,source scope: modern-present,,,Japan,source registry/context record; design gallery/archive,source registry context; archive/source family evidence,Center for Contemporary Graphic Art,CCGA現代グラフィックアートセンターは、グラフィックアートへの貢献を長年つづけてきた大日本印刷が、福島県須賀川市の緑豊かな宇津峰山麓に開設した小さな美術館です。,Probe status: ok; protocols: ; intent: Japanese graphic art/poster exhibition context; limitations: DNP family; image rights restricted.,Japanese graphic art/poster exhibition context; design gallery/archive; East Asia; Japan,Center for Contemporary Graphic Art source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,,Center for Contemporary Graphic Art source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,IMG04,Center for Contemporary Graphic Art source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,IMG04: Center for Contemporary Graphic Art source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,medium,true,Source-registry context capture keeps source images source-hosted and does not claim item-level image reuse.,no_image_frame,,false,https://www.dnpfcp.jp/gallery/ccga/,false,,data/source_probe_edge_v2_raw/ESV210.html.txt,2026-06-01,not_expected,ok,no_image_frame,CCGA現代グラフィックアートセンターは、グラフィックアートへの貢献を長年つづけてきた大日本印刷が、福島県須賀川市の緑豊かな宇津峰山麓に開設した小さな美術館です。,CCGA現代グラフィックアートセンターは、グラフィックアートへの貢献を長年つづけてきた大日本印刷が、福島県須賀川市の緑豊かな宇津峰山麓に開設した小さな美術館です。,Center for Contemporary Graphic Art is registered as an edge source for modern graphic design history. CCGA現代グラフィックアートセンターは、グラフィックアートへの貢献を長年つづけてきた大日本印刷が、福島県須賀川市の緑豊かな宇津峰山麓に開設した小さな美術館です。,This source expands the archive toward Japan / East Asia and should guide later item-level capture without replacing the original archive.,Promoted from a successful source probe as source-registry evidence only; not an object-level sheet.,"Dates describe source scope or institutional period intent, not a single work date. Use as source dossier, reading note, or support material until item records are captured.",Center for Contemporary Graphic Art. https://www.dnpfcp.jp/gallery/ccga/. Accessed 2026-06-01.
ESR1931R004,ESR01,edge_source_registry_context_1931_2026,ESV216,DDP Seoul,https://www.ddp.or.kr/,captured,ESV216,https://ddp.or.kr/?menuno=228,DDP - 메인페이지 > DDP(KOR),,source scope: post-2000-present,2000,2000,Korea,source registry/context record; design museum/institution,source registry context; archive/source family evidence,DDP Seoul,Korean contemporary design exhibition context,Probe status: ok; protocols: ; intent: Korean contemporary design exhibition context; limitations: Institutional source; image review required.,Korean contemporary design exhibition context; design museum/institution; East Asia; Korea,DDP Seoul source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,,DDP Seoul source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,IMG04,DDP Seoul source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,IMG04: DDP Seoul source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,medium,true,Source-registry context capture keeps source images source-hosted and does not claim item-level image reuse.,no_image_frame,,false,https://ddp.or.kr/?menuno=228,false,,data/source_probe_edge_v2_raw/ESV216.html.txt,2026-06-01,not_expected,ok,no_image_frame,Korean contemporary design exhibition context,Korean contemporary design exhibition context,DDP Seoul is registered as an edge source for modern graphic design history. Korean contemporary design exhibition context,This source expands the archive toward Korea / East Asia and should guide later item-level capture without replacing the original archive.,Promoted from a successful source probe as source-registry evidence only; not an object-level sheet.,"Dates describe source scope or institutional period intent, not a single work date. Use as source dossier, reading note, or support material until item records are captured.",DDP Seoul. https://ddp.or.kr/?menuno=228. Accessed 2026-06-01.
ESR1931R005,ESR01,edge_source_registry_context_1931_2026,IAS014,DesignDB / KIDP,https://www.designdb.com/,captured,IAS014,https://www.designdb.com/?menuno=668,"세상의 디자인을 만나다, 디자인DB",,source scope: postwar-present,,,Korea,source registry/context record; government/professional design portal,source registry context; archive/source family evidence,DesignDB / KIDP,"연간 100만 명 이상 방문, 총 콘텐츠 수 36만 건의 국내 최대 디자인정보 포털사이트. 실시간 업데이트 되는 디자인 및 산업 전반 트렌드와 이슈, 글로벌 시장변화, 소비자동향 등 디자이너를 위한 모든 정보를 제공합니다.",Probe status: ok; protocols: ; intent: Korean design context/source registry; limitations: Likely HTML; use as citation layer first.,Korean design context/source registry; government/professional design portal; East Asia; Korea,DesignDB / KIDP source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,,DesignDB / KIDP source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,IMG02,DesignDB / KIDP source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,IMG02: DesignDB / KIDP source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,medium,true,Source-registry context capture keeps source images source-hosted and does not claim item-level image reuse.,source_viewer_frame,http://www.designdb.com/images/new_db/contents/designdb_new_logo.jpg,false,https://www.designdb.com/?menuno=668,false,,data/source_probe_independent_asia_v1_raw/IAS014.html.txt,2026-06-01,expected,ok,source_viewer_frame,"연간 100만 명 이상 방문, 총 콘텐츠 수 36만 건의 국내 최대 디자인정보 포털사이트. 실시간 업데이트 되는 디자인 및 산업 전반 트렌드와 이슈, 글로벌 시장변화, 소비자동향 등 디자이너를 위한 모든 정보를 제공합니다.","연간 100만 명 이상 방문, 총 콘텐츠 수 36만 건의 국내 최대 디자인정보 포털사이트. 실시간 업데이트 되는 디자인 및 산업 전반 트렌드와 이슈, 글로벌 시장변화, 소비자동향 등 디자이너를 위한 모든 정보를 제공합니다.","DesignDB / KIDP is registered as an edge source for modern graphic design history. 연간 100만 명 이상 방문, 총 콘텐츠 수 36만 건의 국내 최대 디자인정보 포털사이트. 실시간 업데이트 되는 디자인 및 산업 전반 트렌드와 이슈, 글로벌 시장변화, 소비자동향 등 디자이너를 위한 모든 정보를 제공합니다.",This source expands the archive toward Korea / East Asia and should guide later item-level capture without replacing the original archive.,Promoted from a successful source probe as source-registry evidence only; not an object-level sheet.,"Dates describe source scope or institutional period intent, not a single work date. Use as source dossier, reading note, or support material until item records are captured.",DesignDB / KIDP. https://www.designdb.com/?menuno=668. Accessed 2026-06-01.
ESR1931R006,ESR01,edge_source_registry_context_1931_2026,IAS002,East Asian Graphics Archive,https://eastasiangraphicsarchive.com/,captured,IAS002,https://eastasiangraphicsarchive.com/,EAGA,,source scope: postwar-present,,,East Asia,source registry/context record; independent curated design archive,source registry context; archive/source family evidence,East Asian Graphics Archive,The East Asian Graphics Archive,Probe status: ok; protocols: Framer/static JS; intent: source registry and selected context records; limitations: Framer site; likely JS/static scrape rather than clean API.,source registry and selected context records; independent curated design archive; East Asia; East Asia,East Asian Graphics Archive source-registry context record. Recommended image policy: IMG02_source_hosted_or_IMG00_until_item_rights.,,East Asian Graphics Archive source-registry context record. Recommended image policy: IMG02_source_hosted_or_IMG00_until_item_rights.,IMG02,East Asian Graphics Archive source-registry context record. Recommended image policy: IMG02_source_hosted_or_IMG00_until_item_rights.,IMG02: East Asian Graphics Archive source-registry context record. Recommended image policy: IMG02_source_hosted_or_IMG00_until_item_rights.,medium,true,Source-registry context capture keeps source images source-hosted and does not claim item-level image reuse.,source_viewer_frame,https://framerusercontent.com/images/9fTUp3YVftXfT3KA7znqHBtRerI.png,false,https://eastasiangraphicsarchive.com/,false,,data/source_probe_independent_asia_v1_raw/IAS002.html.txt,2026-06-01,expected,ok,source_viewer_frame,The East Asian Graphics Archive,The East Asian Graphics Archive,East Asian Graphics Archive is registered as an edge source for modern graphic design history. The East Asian Graphics Archive,This source expands the archive toward East Asia / East Asia and should guide later item-level capture without replacing the original archive.,Promoted from a successful source probe as source-registry evidence only; not an object-level sheet.,"Dates describe source scope or institutional period intent, not a single work date. Use as source dossier, reading note, or support material until item records are captured.",East Asian Graphics Archive. https://eastasiangraphicsarchive.com/. Accessed 2026-06-01.
ESR1931R007,ESR01,edge_source_registry_context_1931_2026,ESV208,Ginza Graphic Gallery,https://www.dnpfcp.jp/gallery/ggg/,captured,ESV208,https://www.dnpfcp.jp/gallery/ggg/,ギンザ・グラフィック・ギャラリー,,source scope: 1986-present,1986,1986,Japan,source registry/context record; design gallery/institution,source registry context; archive/source family evidence,Ginza Graphic Gallery,ギンザ・グラフィック・ギャラリー（ginza graphic gallery）は、展覧会やレクチャーの開催、gggBooks等の出版活動を継続し、多くの方々にグラフィックデザインの素晴らしさと出会う機会をご提供しています。,Probe status: ok; protocols: ; intent: Japanese graphic design exhibitions and designer context; limitations: Corrected URL; link-first.,Japanese graphic design exhibitions and designer context; design gallery/institution; East Asia; Japan,Ginza Graphic Gallery source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,,Ginza Graphic Gallery source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,IMG04,Ginza Graphic Gallery source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,IMG04: Ginza Graphic Gallery source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,medium,true,Source-registry context capture keeps source images source-hosted and does not claim item-level image reuse.,no_image_frame,,false,https://www.dnpfcp.jp/gallery/ggg/,false,,data/source_probe_edge_v2_raw/ESV208.html.txt,2026-06-01,not_expected,ok,no_image_frame,ギンザ・グラフィック・ギャラリー（ginza graphic gallery）は、展覧会やレクチャーの開催、gggBooks等の出版活動を継続し、多くの方々にグラフィックデザインの素晴らしさと出会う機会をご提供しています。,ギンザ・グラフィック・ギャラリー（ginza graphic gallery）は、展覧会やレクチャーの開催、gggBooks等の出版活動を継続し、多くの方々にグラフィックデザインの素晴らしさと出会う機会をご提供しています。,Ginza Graphic Gallery is registered as an edge source for modern graphic design history. ギンザ・グラフィック・ギャラリー（ginza graphic gallery）は、展覧会やレクチャーの開催、gggBooks等の出版活動を継続し、多くの方々にグラフィックデザインの素晴らしさと出会う機会をご提供しています。,This source expands the archive toward Japan / East Asia and should guide later item-level capture without replacing the original archive.,Promoted from a successful source probe as source-registry evidence only; not an object-level sheet.,"Dates describe source scope or institutional period intent, not a single work date. Use as source dossier, reading note, or support material until item records are captured.",Ginza Graphic Gallery. https://www.dnpfcp.jp/gallery/ggg/. Accessed 2026-06-01.
ESR1931R008,ESR01,edge_source_registry_context_1931_2026,ESV203,Hong Kong Heritage Project,https://www.hongkongheritage.org/,captured,ESV203,https://www.hongkongheritage.org/,Hong Kong Heritage Project,,source scope: modern-present,,,Hong Kong,source registry/context record; community/history archive,source registry context; archive/source family evidence,Hong Kong Heritage Project,Hong Kong social and corporate visual culture context,Probe status: ok; protocols: ; intent: Hong Kong social and corporate visual culture context; limitations: Context source; image use requires review.,Hong Kong social and corporate visual culture context; community/history archive; East Asia; Hong Kong,Hong Kong Heritage Project source-registry context record. Recommended image policy: IMG02_source_hosted_or_IMG00_until_item_rights.,,Hong Kong Heritage Project source-registry context record. Recommended image policy: IMG02_source_hosted_or_IMG00_until_item_rights.,IMG04,Hong Kong Heritage Project source-registry context record. Recommended image policy: IMG02_source_hosted_or_IMG00_until_item_rights.,IMG04: Hong Kong Heritage Project source-registry context record. Recommended image policy: IMG02_source_hosted_or_IMG00_until_item_rights.,medium,true,Source-registry context capture keeps source images source-hosted and does not claim item-level image reuse.,no_image_frame,,false,https://www.hongkongheritage.org/,false,,data/source_probe_edge_v2_raw/ESV203.html.txt,2026-06-01,not_expected,ok,no_image_frame,Hong Kong social and corporate visual culture context,Hong Kong social and corporate visual culture context,Hong Kong Heritage Project is registered as an edge source for modern graphic design history. Hong Kong social and corporate visual culture context,This source expands the archive toward Hong Kong / East Asia and should guide later item-level capture without replacing the original archive.,Promoted from a successful source probe as source-registry evidence only; not an object-level sheet.,"Dates describe source scope or institutional period intent, not a single work date. Use as source dossier, reading note, or support material until item records are captured.",Hong Kong Heritage Project. https://www.hongkongheritage.org/. Accessed 2026-06-01.
ESR1931R009,ESR01,edge_source_registry_context_1931_2026,IAS017,Hong Kong Memory,https://www.hkmemory.hk/,captured,IAS017,https://www.hkmemory.hk/tc/index.html,香港記憶 | Hong Kong Memory,,source scope: pre-WWII-present,,,Hong Kong,source registry/context record; government/community memory archive,source registry context; archive/source family evidence,Hong Kong Memory,「香港記憶」是多媒體數碼平台，讓互聯網用家免費瀏覽香港的歷史和文化資料，包括文獻、圖片、海報、錄音、電影及錄像。「香港記憶」分三個主要部分：專題特藏 －「香港記憶」是原始資料儲藏庫。儲藏庫內有多個特藏，按內容和資料的性質分為不同專題。展覽－香港記憶內不同的專題特藏有很多有趣的主題和故事，這些主題和故事經過挑選、整理而成為展覽。口述歷史－「香港記憶」特設「香港留聲」口述歷史檔案庫，收集、保存香港人的經歷和記憶，透過互動平台，讓不同世代的人從聲音記錄認識香港過去的生活面貌。,"Probe status: ok; protocols: ; intent: Hong Kong print, advertising, public culture; limitations: Metadata and images require item review.","Hong Kong print, advertising, public culture; government/community memory archive; East Asia; Hong Kong",Hong Kong Memory source-registry context record. Recommended image policy: IMG02_source_hosted_or_IMG00_until_item_rights.,,Hong Kong Memory source-registry context record. Recommended image policy: IMG02_source_hosted_or_IMG00_until_item_rights.,IMG02,Hong Kong Memory source-registry context record. Recommended image policy: IMG02_source_hosted_or_IMG00_until_item_rights.,IMG02: Hong Kong Memory source-registry context record. Recommended image policy: IMG02_source_hosted_or_IMG00_until_item_rights.,medium,true,Source-registry context capture keeps source images source-hosted and does not claim item-level image reuse.,source_viewer_frame,https://www.hkmemory.hk/common/images/cover_share.jpg,false,https://www.hkmemory.hk/tc/index.html,false,,data/source_probe_independent_asia_v1_raw/IAS017.html.txt,2026-06-01,expected,ok,source_viewer_frame,「香港記憶」是多媒體數碼平台，讓互聯網用家免費瀏覽香港的歷史和文化資料，包括文獻、圖片、海報、錄音、電影及錄像。「香港記憶」分三個主要部分：專題特藏 －「香港記憶」是原始資料儲藏庫。儲藏庫內有多個特藏，按內容和資料的性質分為不同專題。展覽－香港記憶內不同的專題特藏有很多有趣的主題和故事，這些主題和故事經過挑選、整理而成為展覽。口述歷史－「香港記憶」特設「香港留聲」口述歷史檔案庫，收集、保存香港人的經歷和記憶，透過互動平台，讓不同世代的人從聲音記錄認識香港過去的生活面貌。,「香港記憶」是多媒體數碼平台，讓互聯網用家免費瀏覽香港的歷史和文化資料，包括文獻、圖片、海報、錄音、電影及錄像。「香港記憶」分三個主要部分：專題特藏 －「香港記憶」是原始資料儲藏庫。儲藏庫內有多個特藏，按內容和資料的性質分為不同專題。展覽－香港記憶內不同的專題特藏有很多有趣的主題和故事，這些主題和故事經過挑選、整理而成為展覽。口述歷史－「香港記憶」特設「香港留聲」口述歷史檔案庫，收集、保存香港人的經歷和記憶，透過互動平台，讓不同世代的人從聲音記錄認識香港過去的生活面貌。,Hong Kong Memory is registered as an edge source for modern graphic design history. 「香港記憶」是多媒體數碼平台，讓互聯網用家免費瀏覽香港的歷史和文化資料，包括文獻、圖片、海報、錄音、電影及錄像。「香港記憶」分三個主要部分：專題特藏 －「香港記憶」是原始資料儲藏庫。儲藏庫內有多個特藏，按內容和資料的性質分為不同專題。展覽－香港記憶內不同的專題特藏有很多有趣的主題和故事，這些主題和故事經過挑選、整理而成為展覽。口述歷史－「香港記憶」特設「香港留聲」口述歷史檔案庫，收集、保存香港人的經歷和記憶，透過互動平台，讓不同世代的人從聲音記錄認識香港過去的生活面貌。,This source expands the archive toward Hong Kong / East Asia and should guide later item-level capture without replacing the original archive.,Promoted from a successful source probe as source-registry evidence only; not an object-level sheet.,"Dates describe source scope or institutional period intent, not a single work date. Use as source dossier, reading note, or support material until item records are captured.",Hong Kong Memory. https://www.hkmemory.hk/tc/index.html. Accessed 2026-06-01.
ESR1931R010,ESR01,edge_source_registry_context_1931_2026,IAS012,JAGDA,https://www.jagda.or.jp/,captured,IAS012,https://www.jagda.or.jp/,公益社団法人日本グラフィックデザイン協会（JAGDA）,,source scope: 1978-present,1978,1978,Japan,source registry/context record; professional association,source registry context; archive/source family evidence,JAGDA,グラフィックデザイナーによる団体。設立趣旨・概要、イベント案内とニュース。,Probe status: ok; protocols: WordPress REST/RSS; intent: movement/institution source context; limitations: Useful for authority/event context rather than object images.,movement/institution source context; professional association; East Asia; Japan,JAGDA source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,,JAGDA source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,IMG02,JAGDA source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,IMG02: JAGDA source-registry context record. Recommended image policy: IMG00_or_IMG02_after_source_terms.,medium,true,Source-registry context capture keeps source images source-hosted and does not claim item-level image reuse.,source_viewer_frame,https://www.jagda.or.jp/wp/wp-content/themes/jagda/assets/images/ogimage.jpg,false,https://www.jagda.or.jp/,false,,data/source_probe_independent_asia_v1_raw/IAS012.html.txt,2026-06-01,expected,ok,source_viewer_frame,グラフィックデザイナーによる団体。設立趣旨・概要、イベント案内とニュース。,グラフィックデザイナーによる団体。設立趣旨・概要、イベント案内とニュース。,JAGDA is registered as an edge source for modern graphic design history. グラフィックデザイナーによる団体。設立趣旨・概要、イベント案内とニュース。,This source expands the archive toward Japan / East Asia and should guide later item-level capture without replacing the original archive.,Promoted from a successful source probe as source-registry evidence only; not an object-level sheet.,"Dates describe source scope or institutional period intent, not a single work date. Use as source dossier, reading note, or support material until item records are captured.",JAGDA. https://www.jagda.or.jp/. Accessed 2026-06-01.
