source_id,source_name,macro_region,country_or_region,status,captured_records,failure_count,duplicate_count,rest_bases
ESV212,Tokyo TDC,East Asia,Japan,no_records_promoted,0,0,0,posts
ESV221,DesignSingapore Council,Southeast Asia,Singapore,no_records_promoted,0,0,0,posts
ESV225,Asian Film Archive,Southeast Asia,Singapore / regional,captured,8,0,0,posts;product
ESV229,Bophana Audiovisual Resource Center,Southeast Asia,Cambodia,captured,8,0,0,posts
ESV236,Cultural Center of the Philippines,Southeast Asia,Philippines,no_records_promoted,0,5,0,posts
ESV238,Grafis Nusantara,Southeast Asia,Indonesia,no_records_promoted,0,0,0,posts
ESV239,Desain Grafis Indonesia,Southeast Asia,Indonesia,captured,10,0,0,posts
ESV240,Indonesian Visual Art Archive,Southeast Asia,Indonesia,no_records_promoted,0,5,0,posts
ESV244,Another Graphic,Global,post-1990 international,captured,6,0,2,posts;product
ESV246,People's Graphic Design Archive,Global,global/community,no_records_promoted,0,5,0,posts
ESV248,Design Reviewed,Europe,United Kingdom / global,captured,8,0,0,posts
ESV255,Arquivo Nacional Brasil,Latin America,Brazil,no_records_promoted,0,5,0,posts
ESV260,JAGDA,East Asia,Japan,no_records_promoted,0,0,0,posts
ESV261,Fonts In Use,Global,global,no_records_promoted,0,5,0,posts
ESV262,Letterform Archive,North America,United States / global,captured,8,0,0,posts
ESV263,Thaipography Archive,Southeast Asia,Thailand,no_records_promoted,0,5,0,posts
ESV264,M+ Magazine,East Asia,Hong Kong,no_records_promoted,0,5,0,posts
