capture_id,direction_id,direction_name,source_id,source_name,source_api_url,capture_status,source_identifier,source_record_url,source_title,source_creator,source_date_text,date_start,date_end,source_place_text,source_object_type,source_medium,source_collection,source_description,source_notes,source_subjects,source_rights_text,rights_uri,rights_basis,image_presence_code,image_presence_basis,image_state_evaluation,image_state_confidence,rights_review_required,image_state_review_note,image_frame_behavior,image_url_detected,local_copy_permitted,iiif_or_viewer_available,fallback_required,fallback_reason,raw_json_path,access_date,image_expectation,parser_status,display_mode,ocr_or_excerpt,source_description_raw,editorial_summary,historical_context_note,classification_rationale,uncertainty_note,citation_basis
NMIIC2026R0001,NMIIC01,nonmainstream_item_image_capture_2026,NMSS2026R0105,Botswana Craft,https://botswanacraft.com/,captured,Q111916004,https://botswanacraft.com/,Botswanacraft Marketing,Botswana Craft,"official source page, accessed 2026",1900,2026,Africa / Botswana,official source image-bearing record,source-hosted web image route; official source metadata,Botswana Craft,"Botswanacraft is the largest handcraft center in Gaborone. We also have a courtyard restaurant, conference room and host corporate events and music shows.",registry=v1; image_basis=og:image; priority=P0 item/image adapter,Africa; Botswana; museum; IIIF,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,IMG02,Source-hosted image URL discovered via og:image.,IMG02: source-hosted image route only; not open rights.,medium,true,No IMG01/IMG03 upgrade. Source-hosted route is retained for rights-aware display review.,source_hosted_image_frame,https://img1.wsimg.com/isteam/ip/ed2191e3-85ed-4eaa-b8ad-c97407a3001c/Botswanacraft-Baskets-Website-Smaller.jpg,false,true,false,,,2026-06-05,expected,ok,source_hosted_image_frame,"Botswanacraft is the largest handcraft center in Gaborone. We also have a courtyard restaurant, conference room and host corporate events and music shows.","Botswanacraft is the largest handcraft center in Gaborone. We also have a courtyard restaurant, conference room and host corporate events and music shows.",Botswanacraft Marketing is captured from Botswana Craft as an image-bearing official source record.,This record expands Africa / Botswana source coverage with a source-hosted visual route for later item-level review.,Selected from the combined 1000 pre-surface source leads because official page metadata exposed a source-hosted image route.,"The detected image may be a source page, logo, hero, or collection image; it is not treated as open or item-final until reviewed.",Botswana Craft. Botswanacraft Marketing. https://botswanacraft.com/. Accessed 2026-06-05.
NMIIC2026R0002,NMIIC01,nonmainstream_item_image_capture_2026,NMSS2026R0572,Gallery MOMO,http://www.gallerymomo.com,captured,Q20981565,https://www.gallerymomo.com/,Gallery MOMO,Gallery MOMO,"official source page, accessed 2026",1900,2026,Africa / South Africa,official source image-bearing record,source-hosted web image route; official source metadata,Gallery MOMO,Gallery MOMO,registry=v4; image_basis=og:image; priority=P0 item/image adapter,Africa; South Africa; museum; IIIF;RSS/Atom,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,IMG02,Source-hosted image URL discovered via og:image.,IMG02: source-hosted image route only; not open rights.,medium,true,No IMG01/IMG03 upgrade. Source-hosted route is retained for rights-aware display review.,source_hosted_image_frame,https://www.gallerymomo.com/images/gm_web.svg?_wwcv=178,false,true,false,,,2026-06-05,expected,ok,source_hosted_image_frame,Gallery MOMO,Gallery MOMO,Gallery MOMO is captured from Gallery MOMO as an image-bearing official source record.,This record expands Africa / South Africa source coverage with a source-hosted visual route for later item-level review.,Selected from the combined 1000 pre-surface source leads because official page metadata exposed a source-hosted image route.,"The detected image may be a source page, logo, hero, or collection image; it is not treated as open or item-final until reviewed.",Gallery MOMO. Gallery MOMO. https://www.gallerymomo.com/. Accessed 2026-06-05.
NMIIC2026R0003,NMIIC01,nonmainstream_item_image_capture_2026,NMSS2026R0573,Goodman Gallery,http://goodman-gallery.com/,captured,Q113331557,https://goodman-gallery.com/,Goodman Gallery,Goodman Gallery,"official source page, accessed 2026",1900,2026,Africa / South Africa,official source image-bearing record,source-hosted web image route; official source metadata,Goodman Gallery,"The Goodman Gallery specializes in representing and exhibiting contemporary art with a strong focus on African, as well as international artists who engage with African and post-colonial contexts.",registry=v4; image_basis=twitter:image; priority=P0 item/image adapter,Africa; South Africa; art gallery; IIIF;JSON-LD;Static JS App,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,IMG02,Source-hosted image URL discovered via twitter:image.,IMG02: source-hosted image route only; not open rights.,medium,true,No IMG01/IMG03 upgrade. Source-hosted route is retained for rights-aware display review.,source_hosted_image_frame,https://cdn.sanity.io/images/y2e3mw7a/production/15b26b7b65baa4d8968d71442aeb4b87e73acdba-1200x630.jpg?w=1200&h=630&fm=jpg&fit=crop,false,true,false,,,2026-06-05,expected,ok,source_hosted_image_frame,"The Goodman Gallery specializes in representing and exhibiting contemporary art with a strong focus on African, as well as international artists who engage with African and post-colonial contexts.","The Goodman Gallery specializes in representing and exhibiting contemporary art with a strong focus on African, as well as international artists who engage with African and post-colonial contexts.",Goodman Gallery is captured from Goodman Gallery as an image-bearing official source record.,This record expands Africa / South Africa source coverage with a source-hosted visual route for later item-level review.,Selected from the combined 1000 pre-surface source leads because official page metadata exposed a source-hosted image route.,"The detected image may be a source page, logo, hero, or collection image; it is not treated as open or item-final until reviewed.",Goodman Gallery. Goodman Gallery. https://goodman-gallery.com/. Accessed 2026-06-05.
NMIIC2026R0004,NMIIC01,nonmainstream_item_image_capture_2026,NMSS2026R0510,Centre For Black And African Arts And Civilization,https://cbaac.org,captured,Q111851020,https://pakisultra.org/,Agen Judi Bola Sbobet Resmi : Link SBOBET Mobile - Taruhan Judi Bola Online Resmi - Sbobet88,Centre For Black And African Arts And Civilization,"official source page, accessed 2026",1900,2026,Africa / Nigeria,official source image-bearing record,source-hosted web image route; official source metadata,Centre For Black And African Arts And Civilization,Mainkan judi bola sbobet online resmi bersama dengan agen bola sbobet88 resmi terpercaya dan nikmati juga layanan login daftar sbobet yang bisa kamu akses dengan aplikasi link sbobet mobile.,registry=v4; image_basis=og:image; priority=P0 item/image adapter,Africa; Nigeria; museum; IIIF;JSON-LD,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,IMG02,Source-hosted image URL discovered via og:image.,IMG02: source-hosted image route only; not open rights.,medium,true,No IMG01/IMG03 upgrade. Source-hosted route is retained for rights-aware display review.,source_hosted_image_frame,https://pakisultra.org/img/agen-sbobet.webp,false,true,false,,,2026-06-05,expected,ok,source_hosted_image_frame,Mainkan judi bola sbobet online resmi bersama dengan agen bola sbobet88 resmi terpercaya dan nikmati juga layanan login daftar sbobet yang bisa kamu akses dengan aplikasi link sbobet mobile.,Mainkan judi bola sbobet online resmi bersama dengan agen bola sbobet88 resmi terpercaya dan nikmati juga layanan login daftar sbobet yang bisa kamu akses dengan aplikasi link sbobet mobile.,Agen Judi Bola Sbobet Resmi : Link SBOBET Mobile - Taruhan Judi Bola Online Resmi - Sbobet88 is captured from Centre For Black And African Arts And Civilization as an image-bearing official source record.,This record expands Africa / Nigeria source coverage with a source-hosted visual route for later item-level review.,Selected from the combined 1000 pre-surface source leads because official page metadata exposed a source-hosted image route.,"The detected image may be a source page, logo, hero, or collection image; it is not treated as open or item-final until reviewed.",Centre For Black And African Arts And Civilization. Agen Judi Bola Sbobet Resmi : Link SBOBET Mobile - Taruhan Judi Bola Online Resmi - Sbobet88. https://pakisultra.org/. Accessed 2026-06-05.
NMIIC2026R0005,NMIIC01,nonmainstream_item_image_capture_2026,NMSS2026R0474,فضاء الذاكرة التاريخية للمقاومة والتحرير أمير الأطلس,https://web.facebook.com/fadae.azrou/?_rdc=1&_rdr,captured,Q121540294,https://www.facebook.com/fadae.azrou/?_rdc=2&_rdr,فضاء الذاكرة التاريخية بأزرو | Azrou,فضاء الذاكرة التاريخية للمقاومة والتحرير أمير الأطلس,"official source page, accessed 2026",1900,2026,Africa / Morocco,official source image-bearing record,source-hosted web image route; official source metadata,فضاء الذاكرة التاريخية للمقاومة والتحرير أمير الأطلس,"‎فضاء الذاكرة التاريخية بأزرو‎, Azrou. 1,944 likes · 25 were here. ‎التعريف بتاريخ الكفاح الوطني من أجل الحرية والإستقلال‎",registry=v3; image_basis=og:image; priority=P0 item/image adapter,Africa; Morocco; museum; IIIF;RSS/Atom;Static JS App,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,IMG02,Source-hosted image URL discovered via og:image.,IMG02: source-hosted image route only; not open rights.,medium,true,No IMG01/IMG03 upgrade. Source-hosted route is retained for rights-aware display review.,source_hosted_image_frame,https://scontent-syd2-1.xx.fbcdn.net/v/t39.30808-1/307994909_465594355598743_1112926923102044400_n.jpg?stp=dst-jpg_tt6&cstp=mx1500x1000&ctp=s960x960&_nc_cat=107&ccb=1-7&_nc_sid=3ab345&_nc_ohc=hunvuyZY0NgQ7kNvwEc_s0y&_nc_oc=AdoP3ZR5WsSjniKsFadZBExxgYf2aF7eEHwHEphaSnocYG2dgstY3QchUk1gFRBwbSY&_nc_zt=24&_nc_ht=scontent-syd2-1.xx&_nc_gid=0zuztHAPMQuZVZlNE32I0w&_nc_ss=7b20f&oh=00_Af_Zio8QTVIW9tUfiZ0uql3xdc-NUO7AbS0dH5quZiZkCg&oe=6A28B1B0,false,true,false,,,2026-06-05,expected,ok,source_hosted_image_frame,"‎فضاء الذاكرة التاريخية بأزرو‎, Azrou. 1,944 likes · 25 were here. ‎التعريف بتاريخ الكفاح الوطني من أجل الحرية والإستقلال‎","‎فضاء الذاكرة التاريخية بأزرو‎, Azrou. 1,944 likes · 25 were here. ‎التعريف بتاريخ الكفاح الوطني من أجل الحرية والإستقلال‎",فضاء الذاكرة التاريخية بأزرو | Azrou is captured from فضاء الذاكرة التاريخية للمقاومة والتحرير أمير الأطلس as an image-bearing official source record.,This record expands Africa / Morocco source coverage with a source-hosted visual route for later item-level review.,Selected from the combined 1000 pre-surface source leads because official page metadata exposed a source-hosted image route.,"The detected image may be a source page, logo, hero, or collection image; it is not treated as open or item-final until reviewed.",فضاء الذاكرة التاريخية للمقاومة والتحرير أمير الأطلس. فضاء الذاكرة التاريخية بأزرو | Azrou. https://www.facebook.com/fadae.azrou/?_rdc=2&_rdr. Accessed 2026-06-05.
NMIIC2026R0006,NMIIC01,nonmainstream_item_image_capture_2026,NMSS2026R0472,المركز الثقافي أزرو,https://web.facebook.com/centreculturelazrou01/?locale=ar_AR&_rdc=1&_rdr,captured,Q121541457,https://www.facebook.com/centreculturelazrou01/?locale=ar_AR&_rdc=2&_rdr,المركز الثقافي لآزرو -Centre Culturel d'Azrou- | Azrou,المركز الثقافي أزرو,"official source page, accessed 2026",1900,2026,Africa / Morocco,official source image-bearing record,source-hosted web image route; official source metadata,المركز الثقافي أزرو,"‏المركز الثقافي لآزرو -Centre Culturel d'Azrou-‏, ‏أزرو‏. ‏‏١٩٬٦١٤‏ تسجيل إعجاب · يتحدث ‏١٤‏ عن هذا · كان ‏١٬١٣٠‏ هنا‏. ‏‎Centre ã but culturel par...",registry=v3; image_basis=og:image; priority=P0 item/image adapter,Africa; Morocco; museum; IIIF;RSS/Atom;Static JS App,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,IMG02,Source-hosted image URL discovered via og:image.,IMG02: source-hosted image route only; not open rights.,medium,true,No IMG01/IMG03 upgrade. Source-hosted route is retained for rights-aware display review.,source_hosted_image_frame,https://scontent-syd2-1.xx.fbcdn.net/v/t39.30808-1/308933152_456800586484050_982976552022179712_n.jpg?stp=dst-jpg_tt6&cstp=mx462x581&ctp=s462x581&_nc_cat=100&ccb=1-7&_nc_sid=3ab345&_nc_ohc=cSEg9u_3TEUQ7kNvwEk9bUA&_nc_oc=AdrDaSoGO-biDElalMlEFeAVmj8DHVp61wR-pbCVuNc56P0moGyVDi8a365JCf-5FBI&_nc_zt=24&_nc_ht=scontent-syd2-1.xx&_nc_gid=iFvnf3qBYtkAClp4hyXa2A&_nc_ss=7b20f&oh=00_Af9_hubPxis2M_-G0T7EiK3o3sH6hDhD1bgXpVNJqa-dLg&oe=6A28A922,false,true,false,,,2026-06-05,expected,ok,source_hosted_image_frame,"‏المركز الثقافي لآزرو -Centre Culturel d'Azrou-‏, ‏أزرو‏. ‏‏١٩٬٦١٤‏ تسجيل إعجاب · يتحدث ‏١٤‏ عن هذا · كان ‏١٬١٣٠‏ هنا‏. ‏‎Centre ã but culturel par...","‏المركز الثقافي لآزرو -Centre Culturel d'Azrou-‏, ‏أزرو‏. ‏‏١٩٬٦١٤‏ تسجيل إعجاب · يتحدث ‏١٤‏ عن هذا · كان ‏١٬١٣٠‏ هنا‏. ‏‎Centre ã but culturel par...",المركز الثقافي لآزرو -Centre Culturel d'Azrou- | Azrou is captured from المركز الثقافي أزرو as an image-bearing official source record.,This record expands Africa / Morocco source coverage with a source-hosted visual route for later item-level review.,Selected from the combined 1000 pre-surface source leads because official page metadata exposed a source-hosted image route.,"The detected image may be a source page, logo, hero, or collection image; it is not treated as open or item-final until reviewed.",المركز الثقافي أزرو. المركز الثقافي لآزرو -Centre Culturel d'Azrou- | Azrou. https://www.facebook.com/centreculturelazrou01/?locale=ar_AR&_rdc=2&_rdr. Accessed 2026-06-05.
NMIIC2026R0007,NMIIC01,nonmainstream_item_image_capture_2026,NMSS2026R0195,Q122764551,http://parajanovmuseum.am/hy/,captured,Q122764551,https://parajanovmuseum.am/hy/,Սերգեյ Փարաջանովի կյանքն ու ստեղծագործությունները,Q122764551,"official source page, accessed 2026",1900,2026,Eastern Europe / Caucasus / Armenia,official source image-bearing record,source-hosted web image route; official source metadata,Q122764551,"Ձեր աջակցությունն օգնում է պահպանել Թանգարանի ծրագրավորման, պահպանման և հետազոտության արտակարգ մակարդակը ՝ այցելուների հազարավոր մարդկանց հնարավորություն տալով զգալ արվեստի ուժը:",registry=v3; image_basis=og:image; priority=P0 item/image adapter,Eastern Europe / Caucasus; Armenia; museum; IIIF;Static JS App,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,IMG02,Source-hosted image URL discovered via og:image.,IMG02: source-hosted image route only; not open rights.,medium,true,No IMG01/IMG03 upgrade. Source-hosted route is retained for rights-aware display review.,source_hosted_image_frame,https://api.parajanovmuseum.am/storage/media/d8aa70a1e8917b88e121777f48a5c03e-1.jpg,false,true,false,,,2026-06-05,expected,ok,source_hosted_image_frame,"Ձեր աջակցությունն օգնում է պահպանել Թանգարանի ծրագրավորման, պահպանման և հետազոտության արտակարգ մակարդակը ՝ այցելուների հազարավոր մարդկանց հնարավորություն տալով զգալ արվեստի ուժը:","Ձեր աջակցությունն օգնում է պահպանել Թանգարանի ծրագրավորման, պահպանման և հետազոտության արտակարգ մակարդակը ՝ այցելուների հազարավոր մարդկանց հնարավորություն տալով զգալ արվեստի ուժը:",Սերգեյ Փարաջանովի կյանքն ու ստեղծագործությունները is captured from Q122764551 as an image-bearing official source record.,This record expands Eastern Europe / Caucasus / Armenia source coverage with a source-hosted visual route for later item-level review.,Selected from the combined 1000 pre-surface source leads because official page metadata exposed a source-hosted image route.,"The detected image may be a source page, logo, hero, or collection image; it is not treated as open or item-final until reviewed.",Q122764551. Սերգեյ Փարաջանովի կյանքն ու ստեղծագործությունները. https://parajanovmuseum.am/hy/. Accessed 2026-06-05.
NMIIC2026R0008,NMIIC01,nonmainstream_item_image_capture_2026,NMSS2026R0181,National Library of the Kyrgyz Republic,http://nlkr.gov.kg,captured,Q6974182,http://nlkr.gov.kg,Национальная Библиотека Кыргызской Республики имени Алыкула Осмонова,National Library of the Kyrgyz Republic,"official source page, accessed 2026",1900,2026,Central Asia / Kyrgyzstan,official source image-bearing record,source-hosted web image route; official source metadata,National Library of the Kyrgyz Republic,"Урматтуу окурмандар! Алыкул Осмонов атындагы Кыргыз Республикасынын Улуттук китепканасынын сайтына кош келиңиздер. Бул жерден сиздер биздин китепкана, анын фондулары жана каталогдору, жаңы китептер жөнүндө кызыктырган маалыматтарды таба аласыздар. Ошондой эле…",registry=v1; image_basis=og:image; priority=P0 item/image adapter,Central Asia; Kyrgyzstan; library; IIIF;RSS/Atom;JSON-LD;WordPress REST,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,IMG02,Source-hosted image URL discovered via og:image.,IMG02: source-hosted image route only; not open rights.,medium,true,No IMG01/IMG03 upgrade. Source-hosted route is retained for rights-aware display review.,source_hosted_image_frame,http://nlkr.gov.kg/wp-content/uploads/2018/09/main_about.jpg,false,true,false,,,2026-06-05,expected,ok,source_hosted_image_frame,"Урматтуу окурмандар! Алыкул Осмонов атындагы Кыргыз Республикасынын Улуттук китепканасынын сайтына кош келиңиздер. Бул жерден сиздер биздин китепкана, анын фондулары жана каталогдору, жаңы китептер жөнүндө кызыктырган маалыматтарды таба аласыздар. Ошондой эле…","Урматтуу окурмандар! Алыкул Осмонов атындагы Кыргыз Республикасынын Улуттук китепканасынын сайтына кош келиңиздер. Бул жерден сиздер биздин китепкана, анын фондулары жана каталогдору, жаңы китептер жөнүндө кызыктырган маалыматтарды таба аласыздар. Ошондой эле…",Национальная Библиотека Кыргызской Республики имени Алыкула Осмонова is captured from National Library of the Kyrgyz Republic as an image-bearing official source record.,This record expands Central Asia / Kyrgyzstan source coverage with a source-hosted visual route for later item-level review.,Selected from the combined 1000 pre-surface source leads because official page metadata exposed a source-hosted image route.,"The detected image may be a source page, logo, hero, or collection image; it is not treated as open or item-final until reviewed.",National Library of the Kyrgyz Republic. Национальная Библиотека Кыргызской Республики имени Алыкула Осмонова. http://nlkr.gov.kg. Accessed 2026-06-05.
NMIIC2026R0009,NMIIC01,nonmainstream_item_image_capture_2026,NMSS2026R0394,"""Branko Ćopić"" National Library in Brod",https://www.facebook.com/people/JU-Narodna-biblioteka-Branko-Copic-Brod/100064855540722/?sk=about,captured,Q31184358,https://www.facebook.com/people/JU-Narodna-biblioteka-Branko-Copic-Brod/100064855540722/?sk=about,JU Narodna biblioteka Branko Copic Brod,"""Branko Ćopić"" National Library in Brod","official source page, accessed 2026",1900,2026,Eastern Europe / Caucasus / Bosnia and Herzegovina,official source image-bearing record,source-hosted web image route; official source metadata,"""Branko Ćopić"" National Library in Brod",JU Narodna biblioteka Branko Copic Brod. 427 likes · 9 talking about this. Biblioteka u Brodu osnovana je 24.11.1954.godine.,registry=v4; image_basis=og:image; priority=P0 item/image adapter,Eastern Europe / Caucasus; Bosnia and Herzegovina; library; IIIF;RSS/Atom;Static JS App,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,IMG02,Source-hosted image URL discovered via og:image.,IMG02: source-hosted image route only; not open rights.,medium,true,No IMG01/IMG03 upgrade. Source-hosted route is retained for rights-aware display review.,source_hosted_image_frame,https://scontent-syd2-1.xx.fbcdn.net/v/t39.30808-1/301506453_452238770281304_2508677622665147487_n.jpg?stp=dst-jpg_tt6&cstp=mx1537x2048&ctp=s960x960&_nc_cat=103&ccb=1-7&_nc_sid=3ab345&_nc_ohc=nuAbxskgpWkQ7kNvwFRU4Ue&_nc_oc=Adp1rvOsd0EvgdHCNJgnafrJXImA9t-sJvj-uu0pXox9vh3caekfWrMG9LDB28KW_oY&_nc_zt=24&_nc_ht=scontent-syd2-1.xx&_nc_gid=GSgEamn1agLX9LKxbCIX4g&_nc_ss=7b20f&oh=00_Af-lxTbCFI70zs4zeLp91-_D-8ak1prYJrx31O8EPRrCjw&oe=6A28A857,false,true,false,,,2026-06-05,expected,ok,source_hosted_image_frame,JU Narodna biblioteka Branko Copic Brod. 427 likes · 9 talking about this. Biblioteka u Brodu osnovana je 24.11.1954.godine.,JU Narodna biblioteka Branko Copic Brod. 427 likes · 9 talking about this. Biblioteka u Brodu osnovana je 24.11.1954.godine.,"JU Narodna biblioteka Branko Copic Brod is captured from ""Branko Ćopić"" National Library in Brod as an image-bearing official source record.",This record expands Eastern Europe / Caucasus / Bosnia and Herzegovina source coverage with a source-hosted visual route for later item-level review.,Selected from the combined 1000 pre-surface source leads because official page metadata exposed a source-hosted image route.,"The detected image may be a source page, logo, hero, or collection image; it is not treated as open or item-final until reviewed.","""Branko Ćopić"" National Library in Brod. JU Narodna biblioteka Branko Copic Brod. https://www.facebook.com/people/JU-Narodna-biblioteka-Branko-Copic-Brod/100064855540722/?sk=about. Accessed 2026-06-05."
NMIIC2026R0010,NMIIC01,nonmainstream_item_image_capture_2026,NMSS2026R0399,"""Dr. Ljubo Mihić"" National Library in Ljubinje",https://sr-rs.facebook.com/pages/category/Library/%D0%88%D0%A3-%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0-%D0%B1%D0%B8%D0%B1%D0%BB%D0%B8%D0%BE%D1%82%D0%B5%D0%BA%D0%B0-%D0%94%D1%80-%D0%89%D1%83%D0%B1%D0%BE-%D0%9C%D0%B8%D1%85%D0%B8%D1%9B-%D0%89%D1%83%D0%B1%D0%B8%D1%9A%D0%B5-440249942788862/,captured,Q61123460,https://sr-rs.facebook.com/people/%D0%88%D0%A3-%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0-%D0%B1%D0%B8%D0%B1%D0%BB%D0%B8%D0%BE%D1%82%D0%B5%D0%BA%D0%B0-%D0%94%D1%80-%D0%89%D1%83%D0%B1%D0%BE-%D0%9C%D0%B8%D1%85%D0%B8%D1%9B-%D0%89%D1%83%D0%B1%D0%B8%D1%9A%D0%B5/100069820601928/,"ЈУ Народна библиотека ,, Др Љубо Михић'' Љубиње | Ljubinje","""Dr. Ljubo Mihić"" National Library in Ljubinje","official source page, accessed 2026",1900,2026,Eastern Europe / Caucasus / Bosnia and Herzegovina,official source image-bearing record,source-hosted web image route; official source metadata,"""Dr. Ljubo Mihić"" National Library in Ljubinje","ЈУ Народна библиотека ,, Др Љубо Михић'' Љубиње, Ljubinje. 602 свиђања · 15 особа прича о овоме · 14 особа је било овде. Библиотека",registry=v4; image_basis=og:image; priority=P0 item/image adapter,Eastern Europe / Caucasus; Bosnia and Herzegovina; library; IIIF;RSS/Atom;Static JS App,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,,Source-hosted image route discovered in official page metadata. No image binary was downloaded; item-level rights review is still required.,IMG02,Source-hosted image URL discovered via og:image.,IMG02: source-hosted image route only; not open rights.,medium,true,No IMG01/IMG03 upgrade. Source-hosted route is retained for rights-aware display review.,source_hosted_image_frame,https://scontent-syd2-1.xx.fbcdn.net/v/t39.30808-1/324898085_3494248967528391_5626634399049785389_n.jpg?stp=dst-jpg_tt6&cstp=mx1440x1439&ctp=s720x720&_nc_cat=100&ccb=1-7&_nc_sid=3ab345&_nc_ohc=jZiqRV3CavAQ7kNvwEgN7AG&_nc_oc=AdrKDunnZ-2F-O2eROJyjytZjKdFe5bj6vkYBuvsWyoMQYSrJO6hOw6mwcsTSzGmCNc&_nc_zt=24&_nc_ht=scontent-syd2-1.xx&_nc_gid=HXbNCFxR3C7Sh1gL76G8Jg&_nc_ss=7b20f&oh=00_Af9u9lJZfMGHWM3wAPOq0qkHQcSse96cXfJA5GNugutgRQ&oe=6A28A7EA,false,true,false,,,2026-06-05,expected,ok,source_hosted_image_frame,"ЈУ Народна библиотека ,, Др Љубо Михић'' Љубиње, Ljubinje. 602 свиђања · 15 особа прича о овоме · 14 особа је било овде. Библиотека","ЈУ Народна библиотека ,, Др Љубо Михић'' Љубиње, Ljubinje. 602 свиђања · 15 особа прича о овоме · 14 особа је било овде. Библиотека","ЈУ Народна библиотека ,, Др Љубо Михић'' Љубиње | Ljubinje is captured from ""Dr. Ljubo Mihić"" National Library in Ljubinje as an image-bearing official source record.",This record expands Eastern Europe / Caucasus / Bosnia and Herzegovina source coverage with a source-hosted visual route for later item-level review.,Selected from the combined 1000 pre-surface source leads because official page metadata exposed a source-hosted image route.,"The detected image may be a source page, logo, hero, or collection image; it is not treated as open or item-final until reviewed.","""Dr. Ljubo Mihić"" National Library in Ljubinje. ЈУ Народна библиотека ,, Др Љубо Михић'' Љубиње | Ljubinje. https://sr-rs.facebook.com/people/%D0%88%D0%A3-%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0-%D0%B1%D0%B8%D0%B1%D0%BB%D0%B8%D0%BE%D1%82%D0%B5%D0%BA%D0%B0-%D0%94%D1%80-%D0%89%D1%83%D0%B1%D0%BE-%D0%9C%D0%B8%D1%85%D0%B8%D1%9B-%D0%89%D1%83%D0%B1%D0%B8%D1%9A%D0%B5/100069820601928/. Accessed 2026-06-05."
