capture_id,direction_id,direction_name,source_id,source_name,source_api_url,capture_status,source_identifier,source_record_url,source_title,source_creator,source_date_text,date_start,date_end,source_place_text,source_object_type,source_medium,source_collection,source_description,source_notes,source_subjects,source_rights_text,rights_uri,rights_basis,image_presence_code,image_presence_basis,image_state_evaluation,image_state_confidence,rights_review_required,image_state_review_note,image_frame_behavior,image_url_detected,local_copy_permitted,iiif_or_viewer_available,fallback_required,fallback_reason,raw_json_path,access_date,image_expectation,parser_status,display_mode,ocr_or_excerpt,source_description_raw,editorial_summary,historical_context_note,classification_rationale,uncertainty_note,citation_basis
NMSP2026R0001,NMSP01,nonmainstream_source_profile_capture_1990_2026,NLCV30002,National Library of Nigeria,https://nln.gov.ng/,captured,NLCV30002,https://nln.gov.ng/,National Library of Nigeria (NLN) - Index,National Library of Nigeria,1900-2026 coverage target,1900,2026,Africa / Nigeria,source profile / archive-source record,source metadata; catalogue landing page; public source profile,National Library of Nigeria,"books; newspapers; periodicals; print culture source title, description, collection scope, catalog terms, and stable links",protocols=HTML/catalog; evidence=; adapter_hint=bibliographic_adapter,Africa; Nigeria; national library; books; newspapers; periodicals; print culture; HTML/catalog,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",IMG04,A source-profile text page was captured; no image display is expected for this record.,"IMG04: true source-profile text page, not a parser failure.",high,true,No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.,no_image_frame,,false,false,false,,,2026-06-05,not_expected,ok,no_image_frame,"books; newspapers; periodicals; print culture source title, description, collection scope, catalog terms, and stable links","books; newspapers; periodicals; print culture source title, description, collection scope, catalog terms, and stable links",National Library of Nigeria is indexed as a source-profile page for Africa / Nigeria. Probe status was ok; detected protocols: HTML/catalog.,National Library of Nigeria is indexed as a source-profile page for Africa / Nigeria. Probe status was ok; detected protocols: HTML/catalog.,Selected from the non-mainstream low-coverage v3 probe because the source responded successfully and can support source-level coverage expansion.,"This is source-level discovery/profile coverage, not item-level rights clearance or publication-grade image evidence.",National Library of Nigeria. National Library of Nigeria (NLN) - Index. https://nln.gov.ng/. Accessed 2026-06-05.
NMSP2026R0002,NMSP01,nonmainstream_source_profile_capture_1990_2026,NLCV30003,Ghana Library Authority,https://www.ghanalibrary.org/,captured,NLCV30003,https://www.ghanalibrary.org/,Ghana Library Authority,Ghana Library Authority,1900-2026 coverage target,1900,2026,Africa / Ghana,source profile / archive-source record,source metadata; catalogue landing page; public source profile,Ghana Library Authority,"books; reading campaigns; public communication source title, description, collection scope, catalog terms, and stable links",protocols=HTML/catalog; evidence=; adapter_hint=html_metadata_adapter,Africa; Ghana; national library; books; reading campaigns; public communication; HTML/catalog,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",IMG04,A source-profile text page was captured; no image display is expected for this record.,"IMG04: true source-profile text page, not a parser failure.",high,true,No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.,no_image_frame,,false,false,false,,,2026-06-05,not_expected,ok,no_image_frame,"books; reading campaigns; public communication source title, description, collection scope, catalog terms, and stable links","books; reading campaigns; public communication source title, description, collection scope, catalog terms, and stable links",Ghana Library Authority is indexed as a source-profile page for Africa / Ghana. Probe status was ok; detected protocols: HTML/catalog.,Ghana Library Authority is indexed as a source-profile page for Africa / Ghana. Probe status was ok; detected protocols: HTML/catalog.,Selected from the non-mainstream low-coverage v3 probe because the source responded successfully and can support source-level coverage expansion.,"This is source-level discovery/profile coverage, not item-level rights clearance or publication-grade image evidence.",Ghana Library Authority. Ghana Library Authority. https://www.ghanalibrary.org/. Accessed 2026-06-05.
NMSP2026R0003,NMSP01,nonmainstream_source_profile_capture_1990_2026,NLCV30007,National Archives of Zimbabwe,https://www.archives.gov.zw/,captured,NLCV30007,https://www.archives.gov.zw/,National Archives of Zimbabwe,National Archives of Zimbabwe,1900-2026 coverage target,1900,2026,Africa / Zimbabwe,source profile / archive-source record,source metadata; catalogue landing page; public source profile,National Archives of Zimbabwe,"archives; newspapers; government print source title, description, collection scope, catalog terms, and stable links",protocols=RSS/Atom;JSON-LD;WordPress REST; evidence=RSS/Atom:application/rss+xml;JSON-LD:schema.org;WordPress REST:wp-json; adapter_hint=wordpress_rest_or_html_adapter,Africa; Zimbabwe; national archive; archives; newspapers; government print; RSS/Atom;JSON-LD;WordPress REST,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",IMG04,A source-profile text page was captured; no image display is expected for this record.,"IMG04: true source-profile text page, not a parser failure.",high,true,No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.,no_image_frame,,false,false,false,,,2026-06-05,not_expected,ok,no_image_frame,"archives; newspapers; government print source title, description, collection scope, catalog terms, and stable links","archives; newspapers; government print source title, description, collection scope, catalog terms, and stable links",National Archives of Zimbabwe is indexed as a source-profile page for Africa / Zimbabwe. Probe status was ok; detected protocols: RSS/Atom;JSON-LD;WordPress REST.,National Archives of Zimbabwe is indexed as a source-profile page for Africa / Zimbabwe. Probe status was ok; detected protocols: RSS/Atom;JSON-LD;WordPress REST.,Selected from the non-mainstream low-coverage v3 probe because the source responded successfully and can support source-level coverage expansion.,"This is source-level discovery/profile coverage, not item-level rights clearance or publication-grade image evidence.",National Archives of Zimbabwe. National Archives of Zimbabwe. https://www.archives.gov.zw/. Accessed 2026-06-05.
NMSP2026R0004,NMSP01,nonmainstream_source_profile_capture_1990_2026,NLCV30009,Kenya National Library Service,https://knls.ac.ke/,captured,NLCV30009,https://www.knls.ac.ke/,kenya national library service | Read. Know. Empower,Kenya National Library Service,1900-2026 coverage target,1900,2026,Africa / Kenya,source profile / archive-source record,source metadata; catalogue landing page; public source profile,Kenya National Library Service,"books; newspapers; periodicals source title, description, collection scope, catalog terms, and stable links",protocols=RSS/Atom;JSON-LD;WordPress REST; evidence=RSS/Atom:application/rss+xml;JSON-LD:schema.org;WordPress REST:wp-json; adapter_hint=wordpress_rest_or_html_adapter,Africa; Kenya; national library; books; newspapers; periodicals; RSS/Atom;JSON-LD;WordPress REST,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",IMG04,A source-profile text page was captured; no image display is expected for this record.,"IMG04: true source-profile text page, not a parser failure.",high,true,No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.,no_image_frame,,false,false,false,,,2026-06-05,not_expected,ok,no_image_frame,"books; newspapers; periodicals source title, description, collection scope, catalog terms, and stable links","books; newspapers; periodicals source title, description, collection scope, catalog terms, and stable links",Kenya National Library Service is indexed as a source-profile page for Africa / Kenya. Probe status was ok; detected protocols: RSS/Atom;JSON-LD;WordPress REST.,Kenya National Library Service is indexed as a source-profile page for Africa / Kenya. Probe status was ok; detected protocols: RSS/Atom;JSON-LD;WordPress REST.,Selected from the non-mainstream low-coverage v3 probe because the source responded successfully and can support source-level coverage expansion.,"This is source-level discovery/profile coverage, not item-level rights clearance or publication-grade image evidence.",Kenya National Library Service. kenya national library service | Read. Know. Empower. https://www.knls.ac.ke/. Accessed 2026-06-05.
NMSP2026R0005,NMSP01,nonmainstream_source_profile_capture_1990_2026,NLCV30011,National Archives of Tanzania,https://www.nyaraka.go.tz/,captured,NLCV30011,https://www.nyaraka.go.tz/,Nyaraka | Mwanzo,National Archives of Tanzania,1900-2026 coverage target,1900,2026,Africa / Tanzania,source profile / archive-source record,source metadata; catalogue landing page; public source profile,National Archives of Tanzania,"DRAM | DRAM archives; newspapers; government print source title, description, collection scope, catalog terms, and stable links",protocols=Static JS App; evidence=Static JS App:vite; adapter_hint=headless_metadata_probe_only,Africa; Tanzania; national archive; archives; newspapers; government print; Static JS App,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",IMG04,A source-profile text page was captured; no image display is expected for this record.,"IMG04: true source-profile text page, not a parser failure.",high,true,No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.,no_image_frame,,false,false,false,,,2026-06-05,not_expected,ok,no_image_frame,"DRAM | DRAM archives; newspapers; government print source title, description, collection scope, catalog terms, and stable links","DRAM | DRAM archives; newspapers; government print source title, description, collection scope, catalog terms, and stable links",National Archives of Tanzania is indexed as a source-profile page for Africa / Tanzania. Probe status was ok; detected protocols: Static JS App.,National Archives of Tanzania is indexed as a source-profile page for Africa / Tanzania. Probe status was ok; detected protocols: Static JS App.,Selected from the non-mainstream low-coverage v3 probe because the source responded successfully and can support source-level coverage expansion.,"This is source-level discovery/profile coverage, not item-level rights clearance or publication-grade image evidence.",National Archives of Tanzania. Nyaraka | Mwanzo. https://www.nyaraka.go.tz/. Accessed 2026-06-05.
NMSP2026R0006,NMSP01,nonmainstream_source_profile_capture_1990_2026,NLCV30012,National Library and Archives of Ethiopia,https://www.nala.gov.et/,captured,NLCV30012,https://www.nala.gov.et/,Welcome to National Archive and Library Agency | National Archive and Library Agency,National Library and Archives of Ethiopia,1900-2026 coverage target,1900,2026,Africa / Ethiopia,source profile / archive-source record,source metadata; catalogue landing page; public source profile,National Library and Archives of Ethiopia,"books; manuscripts; periodicals; posters source title, description, collection scope, catalog terms, and stable links",protocols=JSON-LD;PDF; evidence=JSON-LD:schema.org;PDF:.pdf; adapter_hint=html_jsonld_adapter,Africa; Ethiopia; national library/archive; books; manuscripts; periodicals; posters; JSON-LD;PDF,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",IMG04,A source-profile text page was captured; no image display is expected for this record.,"IMG04: true source-profile text page, not a parser failure.",high,true,No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.,no_image_frame,,false,false,false,,,2026-06-05,not_expected,ok,no_image_frame,"books; manuscripts; periodicals; posters source title, description, collection scope, catalog terms, and stable links","books; manuscripts; periodicals; posters source title, description, collection scope, catalog terms, and stable links",National Library and Archives of Ethiopia is indexed as a source-profile page for Africa / Ethiopia. Probe status was ok; detected protocols: JSON-LD;PDF.,National Library and Archives of Ethiopia is indexed as a source-profile page for Africa / Ethiopia. Probe status was ok; detected protocols: JSON-LD;PDF.,Selected from the non-mainstream low-coverage v3 probe because the source responded successfully and can support source-level coverage expansion.,"This is source-level discovery/profile coverage, not item-level rights clearance or publication-grade image evidence.",National Library and Archives of Ethiopia. Welcome to National Archive and Library Agency | National Archive and Library Agency. https://www.nala.gov.et/. Accessed 2026-06-05.
NMSP2026R0007,NMSP01,nonmainstream_source_profile_capture_1990_2026,NLCV30014,Archives Nationales de Tunisie,http://www.archives.nat.tn/,captured,NLCV30014,https://www.archives.nat.tn/ar/,الأرشيف الوطني التونسي - Archives Nationales de Tunisie,Archives Nationales de Tunisie,1900-2026 coverage target,1900,2026,Africa / Tunisia,source profile / archive-source record,source metadata; catalogue landing page; public source profile,Archives Nationales de Tunisie,"بوابة الواب للأرشيف الوطني التونسي - قاعدة بيانات الأرشيف الوطني وقاعدة الأرشيفات الرقمية. archives; newspapers; government print source title, description, collection scope, catalog terms, and stable links",protocols=RSS/Atom;JSON-LD;WordPress REST; evidence=RSS/Atom:application/rss+xml;JSON-LD:application/ld+json;WordPress REST:wp-json; adapter_hint=wordpress_rest_or_html_adapter,Africa; Tunisia; national archive; archives; newspapers; government print; RSS/Atom;JSON-LD;WordPress REST,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",IMG04,A source-profile text page was captured; no image display is expected for this record.,"IMG04: true source-profile text page, not a parser failure.",high,true,No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.,no_image_frame,,false,false,false,,,2026-06-05,not_expected,ok,no_image_frame,"بوابة الواب للأرشيف الوطني التونسي - قاعدة بيانات الأرشيف الوطني وقاعدة الأرشيفات الرقمية. archives; newspapers; government print source title, description, collection scope, catalog terms, and stable links","بوابة الواب للأرشيف الوطني التونسي - قاعدة بيانات الأرشيف الوطني وقاعدة الأرشيفات الرقمية. archives; newspapers; government print source title, description, collection scope, catalog terms, and stable links",Archives Nationales de Tunisie is indexed as a source-profile page for Africa / Tunisia. Probe status was ok; detected protocols: RSS/Atom;JSON-LD;WordPress REST.,Archives Nationales de Tunisie is indexed as a source-profile page for Africa / Tunisia. Probe status was ok; detected protocols: RSS/Atom;JSON-LD;WordPress REST.,Selected from the non-mainstream low-coverage v3 probe because the source responded successfully and can support source-level coverage expansion.,"This is source-level discovery/profile coverage, not item-level rights clearance or publication-grade image evidence.",Archives Nationales de Tunisie. الأرشيف الوطني التونسي - Archives Nationales de Tunisie. https://www.archives.nat.tn/ar/. Accessed 2026-06-05.
NMSP2026R0008,NMSP01,nonmainstream_source_profile_capture_1990_2026,NLCV30015,Bibliotheque Nationale d'Algerie,https://www.biblionat.dz/,captured,NLCV30015,https://biblionat.dz/,الرئيسية - المكتبة الوطنية الجزائرية,Bibliotheque Nationale d'Algerie,1830-2026 coverage target,1830,2026,Africa / Algeria,source profile / archive-source record,source metadata; catalogue landing page; public source profile,Bibliotheque Nationale d'Algerie,"آخر الأخبار books; periodicals; newspapers; print culture source title, description, collection scope, catalog terms, and stable links",protocols=RSS/Atom;JSON-LD;WordPress REST; evidence=RSS/Atom:application/rss+xml;JSON-LD:application/ld+json;WordPress REST:wp-content; adapter_hint=wordpress_rest_or_html_adapter,Africa; Algeria; national library; books; periodicals; newspapers; print culture; RSS/Atom;JSON-LD;WordPress REST,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",IMG04,A source-profile text page was captured; no image display is expected for this record.,"IMG04: true source-profile text page, not a parser failure.",high,true,No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.,no_image_frame,,false,false,false,,,2026-06-05,not_expected,ok,no_image_frame,"آخر الأخبار books; periodicals; newspapers; print culture source title, description, collection scope, catalog terms, and stable links","آخر الأخبار books; periodicals; newspapers; print culture source title, description, collection scope, catalog terms, and stable links",Bibliotheque Nationale d'Algerie is indexed as a source-profile page for Africa / Algeria. Probe status was ok; detected protocols: RSS/Atom;JSON-LD;WordPress REST.,Bibliotheque Nationale d'Algerie is indexed as a source-profile page for Africa / Algeria. Probe status was ok; detected protocols: RSS/Atom;JSON-LD;WordPress REST.,Selected from the non-mainstream low-coverage v3 probe because the source responded successfully and can support source-level coverage expansion.,"This is source-level discovery/profile coverage, not item-level rights clearance or publication-grade image evidence.",Bibliotheque Nationale d'Algerie. الرئيسية - المكتبة الوطنية الجزائرية. https://biblionat.dz/. Accessed 2026-06-05.
NMSP2026R0009,NMSP01,nonmainstream_source_profile_capture_1990_2026,NLCV30016,Centre de Documentation Saharienne,https://www.crasc.dz/,captured,NLCV30016,https://www.crasc.dz/fr/home,Accueil,Centre de Documentation Saharienne,1900-2026 coverage target,1900,2026,Africa / Algeria,source profile / archive-source record,source metadata; catalogue landing page; public source profile,Centre de Documentation Saharienne,"research publications; visual culture context source title, description, collection scope, catalog terms, and stable links","protocols=IIIF; evidence=IIIF:rel=""manifest""; adapter_hint=iiif_manifest_adapter",Africa; Algeria; research archive; research publications; visual culture context; IIIF,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",IMG04,A source-profile text page was captured; no image display is expected for this record.,"IMG04: true source-profile text page, not a parser failure.",high,true,No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.,no_image_frame,,false,false,false,,,2026-06-05,not_expected,ok,no_image_frame,"research publications; visual culture context source title, description, collection scope, catalog terms, and stable links","research publications; visual culture context source title, description, collection scope, catalog terms, and stable links",Centre de Documentation Saharienne is indexed as a source-profile page for Africa / Algeria. Probe status was ok; detected protocols: IIIF.,Centre de Documentation Saharienne is indexed as a source-profile page for Africa / Algeria. Probe status was ok; detected protocols: IIIF.,Selected from the non-mainstream low-coverage v3 probe because the source responded successfully and can support source-level coverage expansion.,"This is source-level discovery/profile coverage, not item-level rights clearance or publication-grade image evidence.",Centre de Documentation Saharienne. Accueil. https://www.crasc.dz/fr/home. Accessed 2026-06-05.
NMSP2026R0010,NMSP01,nonmainstream_source_profile_capture_1990_2026,NLCV30018,Archives Nationales du Senegal,https://archivesdusenegal.gouv.sn/,captured,NLCV30018,https://archivesdusenegal.gouv.sn/,Archives du Sénégal |,Archives Nationales du Senegal,1900-2026 coverage target,1900,2026,Africa / Senegal,source profile / archive-source record,source metadata; catalogue landing page; public source profile,Archives Nationales du Senegal,"archives; newspapers; government print source title, description, collection scope, catalog terms, and stable links",protocols=RSS/Atom;WordPress REST;PDF; evidence=RSS/Atom:application/rss+xml;WordPress REST:wp-content;PDF:.pdf; adapter_hint=wordpress_rest_or_html_adapter,Africa; Senegal; national archive; archives; newspapers; government print; RSS/Atom;WordPress REST;PDF,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",,"Source-profile metadata only. No image binary, screenshot, thumbnail, or item-level rights upgrade was captured in this pass.",IMG04,A source-profile text page was captured; no image display is expected for this record.,"IMG04: true source-profile text page, not a parser failure.",high,true,No IMG01 or IMG03 promotion; impact/source priority remains internal triage only.,no_image_frame,,false,false,false,,,2026-06-05,not_expected,ok,no_image_frame,"archives; newspapers; government print source title, description, collection scope, catalog terms, and stable links","archives; newspapers; government print source title, description, collection scope, catalog terms, and stable links",Archives Nationales du Senegal is indexed as a source-profile page for Africa / Senegal. Probe status was ok; detected protocols: RSS/Atom;WordPress REST;PDF.,Archives Nationales du Senegal is indexed as a source-profile page for Africa / Senegal. Probe status was ok; detected protocols: RSS/Atom;WordPress REST;PDF.,Selected from the non-mainstream low-coverage v3 probe because the source responded successfully and can support source-level coverage expansion.,"This is source-level discovery/profile coverage, not item-level rights clearance or publication-grade image evidence.",Archives Nationales du Senegal. Archives du Sénégal |. https://archivesdusenegal.gouv.sn/. Accessed 2026-06-05.
