source_name,status,captured_records,failure_count,image_states,notes
Auckland Libraries Heritage Collections / CONTENTdm,captured,10,1,IMG02:2; IMG03:5; IMG04:3,source-breadth capture
AHIRA Archivo Historico de Revistas Argentinas,captured,1,0,IMG04:1,source-breadth capture
CeDInCI Archivo,captured,2,1,IMG02:2,source-breadth capture
NDL Search / National Diet Library,captured,6,0,IMG04:6,source-breadth capture
Los Angeles Public Library Tessa / CONTENTdm,captured,5,0,IMG02:5,source-breadth capture
University of Washington Digital Collections / CONTENTdm,captured,6,0,IMG02:5; IMG03:1,source-breadth capture
University of Houston Digital Library / CONTENTdm,no_records_promoted,0,3,,source-breadth capture
SMU Libraries Digital Collections / CONTENTdm,captured,3,0,IMG02:3,source-breadth capture
Iowa Digital Library / CONTENTdm,no_records_promoted,0,3,,source-breadth capture
UCSB Library Digital Collections / CONTENTdm,no_records_promoted,0,3,,source-breadth capture
University of Miami Libraries Digital Collections / CONTENTdm,captured,5,0,IMG02:5,source-breadth capture
VCU Libraries Digital Collections / CONTENTdm,no_records_promoted,0,3,,source-breadth capture
Denver Public Library Digital Collections / CONTENTdm,no_records_promoted,0,3,,source-breadth capture
Temple University Libraries Digital Collections / CONTENTdm,captured,1,0,IMG02:1,source-breadth capture
Marquette University Digital Collections / CONTENTdm,no_records_promoted,0,0,,source-breadth capture
University of Kentucky ExploreUK / CONTENTdm,no_records_promoted,0,3,,source-breadth capture
