node_id,tree_id,node_type,label,canonical_key,region,source_url,evidence,evidence_status
TRN-OBJ-D519432F7CF00A20,TRTREE048,object,Head of a Mexican Woman,3029,Mexico,https://www.artic.edu/artworks/3029,AIC object API record,source_verified
TRN-SRC-D519432F7CF00A20,TRTREE048,source_record,AIC 3029,https://www.artic.edu/artworks/3029,,https://www.artic.edu/artworks/3029,Official public-domain AIC object record,source_verified
TRN-PLACE-41937B20FBE8C71D,TRTREE048,place,Mexico,place:mexico,Mexico,https://www.artic.edu/artworks/130942,AIC place_of_origin,source_verified
TRN-YEAR-0ADF295D5CC6266A,TRTREE048,year,1939,year:1939,,https://www.artic.edu/artworks/130942,AIC exact date,source_verified
TRN-OBJ-E896BDFD57BE225F,TRTREE048,object,Mexican Peasants Working,97430,Mexico,https://www.artic.edu/artworks/97430,AIC object API record,source_verified
TRN-SRC-E896BDFD57BE225F,TRTREE048,source_record,AIC 97430,https://www.artic.edu/artworks/97430,,https://www.artic.edu/artworks/97430,Official public-domain AIC object record,source_verified
TRN-YEAR-FFB07FB122F579B3,TRTREE048,year,1928,year:1928,,https://www.artic.edu/artworks/49617,AIC exact date,source_verified
TRN-OBJ-179438ADB2D0149B,TRTREE048,object,The Man from Papantla (Señor de Papantla),63465,Mexico,https://www.artic.edu/artworks/63465,AIC object API record,source_verified
TRN-SRC-179438ADB2D0149B,TRTREE048,source_record,AIC 63465,https://www.artic.edu/artworks/63465,,https://www.artic.edu/artworks/63465,Official public-domain AIC object record,source_verified
TRN-YEAR-BA801E780B399D63,TRTREE048,year,1934,year:1934,,https://www.artic.edu/artworks/63465,AIC exact date,source_verified
TRN-OBJ-87196707B8A620EF,TRTREE048,object,Mexican Soldiers,49617,Mexico,https://www.artic.edu/artworks/49617,AIC object API record,source_verified
TRN-SRC-87196707B8A620EF,TRTREE048,source_record,AIC 49617,https://www.artic.edu/artworks/49617,,https://www.artic.edu/artworks/49617,Official public-domain AIC object record,source_verified
TRN-OBJ-62AB17051171198D,TRTREE048,object,Adam and Eve,39297,Poland,https://www.artic.edu/artworks/39297,AIC object API record,source_verified
TRN-SRC-62AB17051171198D,TRTREE048,source_record,AIC 39297,https://www.artic.edu/artworks/39297,,https://www.artic.edu/artworks/39297,Official public-domain AIC object record,source_verified
TRN-PLACE-5FF03B7273B1808E,TRTREE048,place,Poland,place:poland,Poland,https://www.artic.edu/artworks/38749,AIC place_of_origin,source_verified
