metric,value
records_captured,935
distinct_active_source_names,932
target_rows,1325
target_met,false
query_failures,3
minimum_source_derived_text_length,139
median_source_derived_text_length,631
year_2026_count,0
year_2026_rate,0.00
period:1930_1970,454
period:pre_1930,330
period:1970_2000,82
period:2000_2026,69
macro_region:Global,357
macro_region:Latin America,309
macro_region:Oceania,69
macro_region:Eastern Europe,53
macro_region:Middle East and North Africa,44
macro_region:Southeast Asia,42
macro_region:East Asia,33
macro_region:South Asia,15
macro_region:Africa,12
macro_region:Central Asia,1
object_family:advertisement,433
object_family:stamp,321
object_family:poster,53
object_family:label,41
object_family:magazine cover,27
object_family:advertising poster,20
object_family:trade card,16
object_family:film poster,10
object_family:type specimen,8
object_family:book cover,6
country:Global / controlled expansion,357
country:Latin America / Caribbean / Peru,214
country:Oceania / Pacific / Australia / Indigenous,43
country:Latin America / Caribbean / Argentina,26
country:Oceania / Pacific / Aotearoa New Zealand,25
country:Eastern Europe / Caucasus / Poland,24
country:Latin America / Caribbean / Mexico,19
country:Middle East and North Africa / Iran,19
country:Latin America / Caribbean / Dominican Republic,17
country:Middle East and North Africa / Syria,17
country:Southeast Asia / Vietnam,16
country:Southeast Asia / Indonesia,13
country:East Asia / China,12
country:East Asia / Korea,12
country:South Asia / India,11
country:Eastern Europe / Caucasus / Croatia,9
country:Eastern Europe / Caucasus / Romania,8
country:Latin America / Caribbean / Chile,6
country:Latin America / Caribbean / Puerto Rico,6
country:Latin America / Caribbean / Cuba,5
country:Latin America / Caribbean / Brazil,5
country:Southeast Asia / Philippines,5
country:Latin America / Caribbean / Colombia,5
country:East Asia / Hong Kong,5
country:Africa / South Africa,4
country:East Asia / Taiwan,4
country:Eastern Europe / Caucasus / Serbia,4
country:Eastern Europe / Caucasus / Georgia,3
country:Middle East and North Africa / Jordan,3
country:Middle East and North Africa / Palestine,3
country:Southeast Asia / Singapore,3
country:Africa / Egypt,3
country:South Asia / Bangladesh,3
country:Southeast Asia / Thailand,3
country:Africa / Morocco,2
country:Eastern Europe / Caucasus / Bulgaria,2
country:Africa / Ghana,2
country:Latin America / Caribbean / Venezuela,2
country:Latin America / Caribbean / Bolivia,2
country:Eastern Europe / Caucasus / Armenia,1
country:Latin America / Caribbean / Uruguay,1
country:Southeast Asia / Laos,1
country:South Asia / Nepal,1
country:Latin America / Caribbean / Paraguay,1
country:Africa / Ethiopia,1
country:Oceania / Pacific / Papua New Guinea,1
country:Eastern Europe / Caucasus / Azerbaijan,1
country:Eastern Europe / Caucasus / Ukraine,1
country:Middle East and North Africa / Lebanon,1
country:Middle East and North Africa / Turkey,1
reject:base_filter,847
reject:country_cap,556
reject:duplicate,87
