metric,value
records_captured,800
distinct_active_source_names,799
query_failures,76
preflight_rows_at_query_limit,61
minimum_source_derived_text_length,113
median_source_derived_text_length,308
image_state:IMG03,800
period:2000_2026,451
period:1930_1970,134
period:1970_2000,125
period:pre_1930,90
macro_region:Eastern Europe,168
macro_region:Middle East and North Africa,150
macro_region:Southeast Asia,144
macro_region:Africa,94
macro_region:Central Asia,80
macro_region:East Asia,80
macro_region:South Asia,71
macro_region:Latin America,12
macro_region:Oceania,1
reject:base_filter,8686
reject:weak_graphic_evidence,1339
reject:duplicate,908
reject:distribution_cap,218
reject:reject_non_graphic_object,83
