metric,value,count
total,rows,65
probe_status,ok,50
probe_status,failed,11
probe_status,http_error,4
macro_region,Global,13
macro_region,East Asia,12
macro_region,Southeast Asia,10
macro_region,Latin America,8
macro_region,South Asia,5
macro_region,MENA,5
macro_region,Africa,5
macro_region,Oceania,3
macro_region,Eastern Europe,2
macro_region,Europe,1
macro_region,North America,1
subregion,Independent web,7
subregion,Japan,6
subregion,Southern Cone,5
subregion,Platform discovery,4
subregion,Korea,3
subregion,Singapore,3
subregion,Levant,3
subregion,Pan-African,3
subregion,Independent archive,2
subregion,Taiwan,2
subregion,Indonesia,2
subregion,India,2
subregion,Typography,1
subregion,Community archive,1
subregion,Hong Kong,1
subregion,Malaysia,1
subregion,ASEAN,1
subregion,Vietnam,1
subregion,Thailand,1
subregion,Philippines,1
subregion,India / South Asia,1
subregion,Pakistan,1
subregion,Diaspora,1
subregion,Arab world,1
subregion,Turkey,1
subregion,Pan-African / diaspora,1
subregion,Southern Africa,1
subregion,Latin America,1
subregion,Brazil,1
subregion,Mexico,1
subregion,Romania,1
subregion,Bulgaria,1
subregion,Australia,1
subregion,Australia / Indigenous,1
subregion,New Zealand,1
adapter_hint,manual_review_or_alternate_endpoint,15
adapter_hint,wordpress_rest_or_html_adapter,11
adapter_hint,iiif_manifest_adapter,9
adapter_hint,discovery_signal_only_no_item_image_ingest,8
adapter_hint,html_source_probe_then_manual_rules,7
adapter_hint,headless_metadata_probe_only,3
adapter_hint,rss_atom_source_adapter,2
adapter_hint,static_js_or_html_probe,2
adapter_hint,html_jsonld_adapter,2
adapter_hint,pdf_text_or_link_adapter,2
adapter_hint,oai_pmh_adapter,1
adapter_hint,graphql_schema_probe_then_adapter,1
adapter_hint,archive_search_probe,1
adapter_hint,digitalnz_api_or_html_probe,1
capture_priority_next,P1 adapter build,22
capture_priority_next,P1 text/source enrichment,18
capture_priority_next,P2 retry/manual verification,15
capture_priority_next,P2 discovery lead queue,8
capture_priority_next,P2 manual source review,2
recommended_image_policy_next,IMG00 until source endpoint and item rights are verified,15
recommended_image_policy_next,IMG04 text/source registry; no image frame unless item-level visual record is found,12
recommended_image_policy_next,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,9
recommended_image_policy_next,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,9
recommended_image_policy_next,IMG00 discovery-only; resolve original source before public image display,8
recommended_image_policy_next,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,7
recommended_image_policy_next,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,5
detected_protocol,Static JS App,17
detected_protocol,JSON-LD,15
detected_protocol,RSS/Atom,14
detected_protocol,WordPress REST,14
detected_protocol,IIIF,13
detected_protocol,PDF,5
detected_protocol,GraphQL,3
detected_protocol,ArchiveSpace/EAD,2
detected_protocol,OAI-PMH,1
