projection_id,fallback_stub_id,first_target_id,scope_cell_id,target_label,current_fallback_status,current_user_action_url,remediation_recommended_status,projected_status,projected_url,projected_image_zone,source_title,rights_note,rationale
FRP001,FSS002,FIT002,C01,Preliminary design for the Program of the State Bauhaus in Weimar,browser_recheck_required,https://harvardartmuseums.org/art/219959,,remain_fallback_stub,https://harvardartmuseums.org/art/219959,IMG00,,,No remediation recommendation was supplied for this scope cell in the current report.
FRP002,FSS004,FIT004,C01,Bauhaus founding chronology entry,browser_recheck_required,https://harvardartmuseums.org/tour/325/slide/6338,,remain_fallback_stub,https://harvardartmuseums.org/tour/325/slide/6338,IMG04,,,No remediation recommendation was supplied for this scope cell in the current report.
FRP003,FSS015,FIT015,C05,Contra la dictadura pintaremos hasta el cielo,search_path_only,https://www.bibliotecanacionaldigital.gob.cl/,replace_target,projected_replacement_after_verification,https://www.bibliotecanacionaldigital.gob.cl/visor/BND%3A163996,IMG00,Contra la dictadura ... pintaremos hasta el cielo!!,"BND marks the poster for online access but states “Uso exclusivo para investigadores acreditados”; related BRP records in BND include protected book-derived plates and photographs, so metadata-plus-link treatment is safest.","The original BND family is accessible, but the useful exact remediation is a concrete item record: BND 605531 is a BRP poster record with creator, subject, and collection metadata, and BND 163996 is an exact historical BRP photograph record. Public UI should show a source viewer link and also keep a search-at-source link because BRP evidence is split across multiple BND collections. [1]"
FRP004,FSS016,FIT016,C05,Contra el fraude 7 de abril,search_path_only,https://www.bibliotecanacionaldigital.gob.cl/,replace_target,projected_replacement_after_verification,https://www.bibliotecanacionaldigital.gob.cl/visor/BND%3A163996,IMG00,Contra la dictadura ... pintaremos hasta el cielo!!,"BND marks the poster for online access but states “Uso exclusivo para investigadores acreditados”; related BRP records in BND include protected book-derived plates and photographs, so metadata-plus-link treatment is safest.","The original BND family is accessible, but the useful exact remediation is a concrete item record: BND 605531 is a BRP poster record with creator, subject, and collection metadata, and BND 163996 is an exact historical BRP photograph record. Public UI should show a source viewer link and also keep a search-at-source link because BRP evidence is split across multiple BND collections. [1]"
FRP005,FSS017,FIT017,C05,1971 BRP/MAC exhibition poster referenced by MMDH,search_path_only,site:mmdh.cl Mono Gonzalez Brigada Ramona Parra 1971 Museo de Arte Contemporaneo,replace_target,projected_replacement_after_verification,https://www.bibliotecanacionaldigital.gob.cl/visor/BND%3A163996,IMG00,Contra la dictadura ... pintaremos hasta el cielo!!,"BND marks the poster for online access but states “Uso exclusivo para investigadores acreditados”; related BRP records in BND include protected book-derived plates and photographs, so metadata-plus-link treatment is safest.","The original BND family is accessible, but the useful exact remediation is a concrete item record: BND 605531 is a BRP poster record with creator, subject, and collection metadata, and BND 163996 is an exact historical BRP photograph record. Public UI should show a source viewer link and also keep a search-at-source link because BRP evidence is split across multiple BND collections. [1]"
FRP006,FSS018,FIT018,C06,世界デザイン会議議事録,browser_recheck_required,https://ndlsearch.ndl.go.jp/en/books/R100000002-I000001036466,promote_to_candidate,projected_candidate_after_verification,https://ndlsearch.ndl.go.jp/en/books/R100000002-I000001036466,IMG04,世界デザイン会議議事録,"Public bibliographic metadata is stable; reuse rights for any digital page images were not verified in this pass, so index metadata and outbound links only.","The NDL record is now exact and stable: it exposes an NDL bibliographic ID, a persistent PID, publication data, and a controlled subject heading that links to a dedicated authority record for the World Design Conference. A related 1959 article record also survives with stable NDL and PID links, but the proceedings plus authority pair is strong enough to promote. Source viewer link is enough; search-at-source is optional. [2]"
FRP007,FSS019,FIT019,C06,世界デザイン会議報告,search_path_only,https://ndlsearch.ndl.go.jp/,promote_to_candidate,projected_candidate_after_verification,https://ndlsearch.ndl.go.jp/en/books/R100000002-I000001036466,IMG04,世界デザイン会議議事録,"Public bibliographic metadata is stable; reuse rights for any digital page images were not verified in this pass, so index metadata and outbound links only.","The NDL record is now exact and stable: it exposes an NDL bibliographic ID, a persistent PID, publication data, and a controlled subject heading that links to a dedicated authority record for the World Design Conference. A related 1959 article record also survives with stable NDL and PID links, but the proceedings plus authority pair is strong enough to promote. Source viewer link is enough; search-at-source is optional. [2]"
FRP008,FSS023,FIT023,C07,上海漫畫 issue 5 interior text page,page_level_recheck_required,https://archive.org/details/shmh-1928.05.19,browser_recheck_only,projected_browser_recheck,https://archive.org/details/shmh-1928.11.17,IMG00,上海漫畫 1928.11.17 第三十一期,"The IA issue is publicly viewable, but explicit rights clearance for reuse was not established on the cited item page; the British Museum object gives firm object metadata for a yuefenpai example, but image-use rights still need separate handling.","An exact Shanghai Manhua issue record exists at Internet Archive, and the yuefenpai side can be grounded with an exact British Museum object record for a 1930 calendar poster by Hu Boxiang. What is still missing is confirmation of the intended page-level locator inside the exact IA issue. Use a source viewer link plus a search-at-source link, and recheck the target in a browser before promotion. [3]"
FRP009,FSS024,FIT024,C07,上海漫畫 issue 5 display-ad page,page_level_recheck_required,https://archive.org/details/shmh-1928.05.19,browser_recheck_only,projected_browser_recheck,https://archive.org/details/shmh-1928.11.17,IMG00,上海漫畫 1928.11.17 第三十一期,"The IA issue is publicly viewable, but explicit rights clearance for reuse was not established on the cited item page; the British Museum object gives firm object metadata for a yuefenpai example, but image-use rights still need separate handling.","An exact Shanghai Manhua issue record exists at Internet Archive, and the yuefenpai side can be grounded with an exact British Museum object record for a 1930 calendar poster by Hu Boxiang. What is still missing is confirmation of the intended page-level locator inside the exact IA issue. Use a source viewer link plus a search-at-source link, and recheck the target in a browser before promotion. [3]"
FRP010,FSS026,FIT026,C08,한국민중판화모음전 포스터,replacement_recommended,https://sema.seoul.go.kr/semaaa/front/archive/view.do?iId=21227,replace_target,projected_replacement_after_verification,https://sema.seoul.go.kr/en/knowledge_research/collection/collection_detail?artSeq=WORK_0000000568,IMG00,홍성담 5월 판화전 '사람이 사람을 부른다' 포스터,OpenArchive explicitly warns that use/reproduction outside the service requires permission and may trigger legal liability; SeMA collection pages are stable but no permissive reuse statement was verified in this pass.,"The unstable Kdemo path can be normalized to stable session-free URLs. Exact OpenArchive records now exist for a Hong Sung-dam poster and for a woodcut collection record, while SeMA provides exact collection pages for Hong Sung-dam’s May-1 and other works. OpenArchive’s oral-history record also directly anchors Hong Sung-dam’s Minjung-art biography, the Gwangju propaganda role, and the 새벽 print series. Use source viewer links; keep a search-at-source link because the theme spans archive, oral history, and museum collections. [4]"
