metric,value,notes
gsu_candidate_rows,85,GSU rows from image_rights_repair_candidates_v1.
local_records_found,85,Rows matched to existing local capture records.
raw_records_found,85,Rows with local raw CONTENTdm JSON available.
automatic_upgrade_allowed_rows,0,No automatic IMG03 upgrades are permitted by this preflight.
candidate_weighted_gap_points,38.25,Weighted-publication gap points represented by these candidates.
local_image_state_IMG02,85,Best matching local capture state.
raw_rights_signal_raw_blocking_or_permission_rights_signal,76,Signal recovered from local raw CONTENTdm JSON.
raw_rights_signal_raw_rights_present_unclassified,8,Signal recovered from local raw CONTENTdm JSON.
raw_rights_signal_raw_open_rights_signal,1,Signal recovered from local raw CONTENTdm JSON.
rights_signal_blocked_by_raw_copyright_or_permission_signal,76,Conservative rights-repair signal.
rights_signal_raw_rights_present_but_unclassified,8,Conservative rights-repair signal.
rights_signal_raw_open_rights_signal_needs_record_rebuild_review,1,Conservative rights-repair signal.
upgrade_recommendation_no_upgrade,84,37.80 weighted points.
upgrade_recommendation_review_rebuild_alignment_no_automatic_upgrade,1,0.45 weighted points.
