batch_id,priority,source_name,dominant_repair_family,candidate_objects,batch_candidate_limit,estimated_weighted_gap_points,source_visible_gap_objects,verified_open_gap_objects,image_state_mix,source_family_route,item_level_evidence_contract,raw_payload_policy,automatic_upgrade_allowed,network_required_for_execution,sample_surface_ids
IMG-RIGHTS-BATCH-0001,P0,Cooper Hewitt Collection GraphQL API,img02_open_rights_review,137,137,61.65,0,137,IMG02:137,cooper_hewitt_graphql_object_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-CHW2026R001;SURF-CHW2026R002;SURF-CHW2026R003;SURF-CHW2026R004;SURF-CHW2026R005;SURF-CHW2026R006
IMG-RIGHTS-BATCH-0002,P0,Wellcome Collection Catalogue API,img02_open_rights_review,84,84,39.45,3,84,IMG02:81; IMG00:3,wellcome_catalogue_license_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-IR1970R044;SURF-IR1970R047;SURF-IR1970R060;SURF-IR1970R001;SURF-IR1970R002;SURF-IR1970R004
IMG-RIGHTS-BATCH-0003,P0,Library of Congress loc.gov API,img01_item_image_and_rights_review,50,50,38.90,13,50,IMG01:37; IMG04:13,loc_item_json_rights_advisory_review,Capture item-level image and rights evidence; thumbnail/search-result evidence is insufficient.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-ER1830R004;SURF-ER1830R008;SURF-ER1830R018;SURF-ER1830R024;SURF-ER1830R029;SURF-ER1830R062
IMG-RIGHTS-BATCH-0004,P0,Georgia State University Library Digital Collections / CONTENTdm,img02_open_rights_review,85,85,38.25,0,85,IMG02:85,contentdm_item_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-GSU1970R001;SURF-GSU1970R002;SURF-GSU1970R003;SURF-GSU1970R004;SURF-GSU1970R005;SURF-GSU1970R006
IMG-RIGHTS-BATCH-0005,P0,Art Institute of Chicago API,img00_source_visible_repair,36,36,36.00,36,36,IMG00:35; IMG04:1,aic_public_domain_image_id_review,"Find a source-visible item image plus rights basis, or keep the object as a source-visible blocker.",metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-ER1830R052;SURF-ER1830R064;SURF-ER1830R065;SURF-ER1830R066;SURF-ER1830R068;SURF-ER1830R069
IMG-RIGHTS-BATCH-0006,P0,Internet Archive / text and periodical collections,img02_open_rights_review,75,75,33.75,0,75,IMG02:75,internet_archive_metadata_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-LPC2026R030;SURF-LPC2026R031;SURF-LPC2026R033;SURF-LPC2026R034;SURF-LPC2026R035;SURF-LPC2026R041
IMG-RIGHTS-BATCH-0007,P0,V&A Collections API,img02_open_rights_review,44,44,30.25,19,44,IMG02:25; IMG04:19,vam_collections_image_permission_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-COMPOUND-ARUNDEL-SOCIETY-CHROMOLITHOGRAPH-COPIES;SURF-COMPOUND-HUNTLEY-PALMERS-TRADE-CARDS;SURF-MC1930R002;SURF-MC1930R005;SURF-MC1930R027;SURF-MC1930R028
IMG-RIGHTS-BATCH-0008,P1,Te Papa Collections Online,img02_open_rights_review,56,56,25.75,1,56,IMG02:55; IMG00:1,te_papa_collections_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-LPC2026R008;SURF-GAPIT2026R001;SURF-GAPIT2026R002;SURF-GAPIT2026R003;SURF-GAPIT2026R004;SURF-GAPIT2026R005
IMG-RIGHTS-BATCH-0009,P1,DigitalNZ,img02_open_rights_review,51,51,22.95,0,51,IMG02:51,digitalnz_aggregated_source_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-DNZPOSTR002;SURF-DNZPOSTR009;SURF-DNZPOSTR010;SURF-DNZPOSTR012;SURF-DNZPOSTR020;SURF-DNZPOSTR024
IMG-RIGHTS-BATCH-0010,P1,NAIDOC Poster Gallery,img02_open_rights_review,49,49,22.05,0,49,IMG02:49,naidoc_source_page_rights_review,Confirm item-level open-license/public-domain evidence on the source record before any IMG03 promotion.,metadata/source text/rights evidence only; no image binary download; redact token-like URL params before commit,false,true,SURF-GAPIT2026R017;SURF-GAPIT2026R018;SURF-GAPIT2026R019;SURF-GAPIT2026R020;SURF-GAPIT2026R021;SURF-GAPIT2026R022
