group_type,group_value,records_total,source_visible_count,source_visible_rate,publication_grade_count,publication_grade_rate,weighted_publication_score,weighted_publication_rate,open_image_count,open_image_rate,rights_labeled_count,rights_labeled_rate,unclear_image_state_count,unclear_image_state_rate,anchor_image_available_count,anchor_image_available_rate,duplicate_image_url_records,duplicate_image_url_rate,img00_count,img01_count,img02_count,img03_count,img04_count
all_capture_records,all,1631,1462,89.64,1357,83.20,958.55,58.77,163,9.99,1631,100.00,4,0.25,1356,83.14,71,4.35,59,47,791,566,168
period_band,1930_1970,528,486,92.05,420,79.55,291.75,55.26,72,13.64,528,100.00,1,0.19,420,79.55,17,3.22,42,24,267,153,42
period_band,pre_1930,467,433,92.72,399,85.44,341.70,73.17,58,12.42,467,100.00,0,0.00,398,85.22,39,8.35,15,19,66,333,34
period_band,1970_2000,291,281,96.56,281,96.56,174.15,59.85,18,6.19,291,100.00,3,1.03,281,96.56,0,0.00,1,0,225,56,9
period_band,2000_2026,271,232,85.61,231,85.24,135.10,49.85,15,5.54,271,100.00,0,0.00,231,85.24,12,4.43,1,0,208,23,39
period_band,undated_or_unparsed,74,30,40.54,26,35.14,15.85,21.42,0,0.00,74,100.00,0,0.00,26,35.14,3,4.05,0,4,25,1,44
source_family,unmapped_source_family,636,586,92.14,539,84.75,390.00,61.32,0,0.00,636,100.00,0,0.00,539,84.75,14,2.20,0,47,312,227,50
source_family,independent_design_archive_or_publication,304,233,76.64,233,76.64,182.75,60.12,156,51.32,304,100.00,0,0.00,233,76.64,22,7.24,0,0,77,156,71
source_family,government_or_public_cultural_database,206,201,97.57,201,97.57,157.10,76.26,0,0.00,206,100.00,0,0.00,201,97.57,0,0.00,0,0,68,133,5
source_family,general_archive_or_collection,172,164,95.35,117,68.02,79.05,45.96,0,0.00,172,100.00,0,0.00,116,67.44,32,18.60,48,0,75,42,7
source_family,university_repository_or_special_collection,158,146,92.41,146,92.41,80.65,51.04,0,0.00,158,100.00,4,2.53,146,92.41,0,0.00,0,0,145,1,12
source_family,library_or_national_library,109,97,88.99,97,88.99,55.80,51.19,7,6.42,109,100.00,0,0.00,97,88.99,3,2.75,0,0,90,7,12
source_family,community_activist_diaspora_archive,30,23,76.67,23,76.67,12.65,42.17,0,0.00,30,100.00,0,0.00,23,76.67,0,0.00,0,0,23,0,7
source_family,poster_film_festival_design_archive,13,12,92.31,1,7.69,0.55,4.23,0,0.00,13,100.00,0,0.00,1,7.69,0,0.00,11,0,1,0,1
source_family,aggregator_or_discovery_router,1,0,0.00,0,0.00,0.00,0.00,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,1
source_family,municipal_or_state_archive,1,0,0.00,0,0.00,0.00,0.00,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,1
source_family,newspaper_magazine_ocr_portal,1,0,0.00,0,0.00,0.00,0.00,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,1
region_group,unmapped_region,636,586,92.14,539,84.75,390.00,61.32,0,0.00,636,100.00,0,0.00,539,84.75,14,2.20,0,47,312,227,50
region_group,active payload / needs registry mapping,402,337,83.83,337,83.83,244.50,60.82,144,35.82,402,100.00,0,0.00,337,83.83,18,4.48,0,0,168,169,65
region_group,Oceania and Pacific,253,252,99.60,252,99.60,185.15,73.18,0,0.00,253,100.00,0,0.00,252,99.60,0,0.00,1,0,119,133,0
region_group,Western/Central Europe,89,89,100.00,89,100.00,51.40,57.75,7,7.87,89,100.00,0,0.00,89,100.00,3,3.37,0,0,82,7,0
