surface_id,local_record_file,local_capture_id,source_record_id,record_found,image_presence_code,image_url_match,rights_text_present,rights_basis_present,source_record_visible,local_copy_permitted,image_frame_behavior,postcheck_status,notes
SURF-ER1830R011,data/capture_batch_early_region_1830_1880_records.csv,ER1830R012,2008677258,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-ER1830R015,data/capture_batch_early_region_1830_1880_records.csv,ER1830R017,99614267,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-ER1830R025,data/capture_batch_early_region_1830_1930_records.csv,ER1830R025,2015651603,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-ER1830R026,data/capture_batch_early_region_1830_1930_records.csv,ER1830R026,2004666589,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-ER1830R030,data/capture_batch_early_region_1830_1930_records.csv,ER1830R030,2015651602,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-ER1830R070,data/capture_batch_early_region_1830_1930_records.csv,ER1830R070,2017670771,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-ER1830R077,data/capture_batch_early_region_1830_1930_records.csv,ER1830R077,2018750887,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-MC1930R010,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R010,2011645389,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-MC1930R011,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R011,98513179,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-MC1930R012,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R012,98510115,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-MC1930R014,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R014,98513156,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-MC1930R015,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R015,2001695223,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-MC1930R029,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R029,98517082,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-MC1930R031,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R031,92510123,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-MC1930R032,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R032,98517981,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-MC1930R033,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R033,98508979,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-MC1930R034,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R034,98513244,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-MC1930R035,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R035,98513249,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-MC1930R038,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R038,92500637,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
SURF-MC1930R039,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R039,98517345,true,IMG03,true,true,true,true,false,open_image_frame,pass,All LOC IMG03 apply fields match.
