surface_id,local_record_file,local_capture_id,source_record_id,source_record_url,title,date_or_period_hint,local_image_state,weighted_gap_points,rights_signal,rights_text_excerpt,source_image_url,source_image_url_count,suggested_review_action,suggested_target_state,automatic_upgrade_allowed,rights_boundary
SURF-ER1830R011,data/capture_batch_early_region_1830_1880_records.csv,ER1830R012,2008677258,https://www.loc.gov/pictures/item/2008677258/,"Use Getz cockroach and bed bug exterminators, sold by all druggists I sink I tan hit it.",pre-1940/WPA/advertising continuity candidate,IMG01,0.70,item_level_open_rights_text,No known restrictions on publication.,https://cdn.loc.gov/service/pnp/ppmsca/18400/18408r.jpg,7,manual_patch_capture_record_then_rebuild_surfaces,IMG03_after_item_level_rights_review,false,LOC item metadata exposes image URL plus no-known-restrictions text; human review/rebuild still required.
SURF-ER1830R015,data/capture_batch_early_region_1830_1880_records.csv,ER1830R017,99614267,https://www.loc.gov/pictures/item/99614267/,Indian trading [6 illustrations: 1. trader's store; 2. 2 en route; 3. preparing for trade; 4. the trading post and fort; 5. return from trading; 6. dissatisfaction - (Indian beating his wife)],pre-1940/WPA/advertising continuity candidate,IMG01,0.70,item_level_open_rights_text,No known restrictions on publication.,https://cdn.loc.gov/service/pnp/cph/3b30000/3b32000/3b32400/3b32445r.jpg,3,manual_patch_capture_record_then_rebuild_surfaces,IMG03_after_item_level_rights_review,false,LOC item metadata exposes image URL plus no-known-restrictions text; human review/rebuild still required.
SURF-ER1830R025,data/capture_batch_early_region_1830_1930_records.csv,ER1830R025,2015651603,https://www.loc.gov/pictures/item/2015651603/,"Cadbury's almanack for 2,000 years - a literary & useful curiosity",pre-1940/WPA/advertising continuity candidate,IMG01,0.70,item_level_open_rights_text,No known restrictions on publication.,https://cdn.loc.gov/service/pnp/ppmsca/39600/39618r.jpg,4,manual_patch_capture_record_then_rebuild_surfaces,IMG03_after_item_level_rights_review,false,LOC item metadata exposes image URL plus no-known-restrictions text; human review/rebuild still required.
SURF-ER1830R026,data/capture_batch_early_region_1830_1930_records.csv,ER1830R026,2004666589,https://www.loc.gov/pictures/item/2004666589/,Acorn stoves and ranges,pre-1940/WPA/advertising continuity candidate,IMG01,0.70,item_level_open_rights_text,No known restrictions on publication.,https://cdn.loc.gov/service/pnp/ppmsca/04800/04806r.jpg,8,manual_patch_capture_record_then_rebuild_surfaces,IMG03_after_item_level_rights_review,false,LOC item metadata exposes image URL plus no-known-restrictions text; human review/rebuild still required.
SURF-ER1830R030,data/capture_batch_early_region_1830_1930_records.csv,ER1830R030,2015651602,https://www.loc.gov/pictures/item/2015651602/,"Cats can, but Bon Ami can not scratch for it lacks grit",pre-1940/WPA/advertising continuity candidate,IMG01,0.70,item_level_open_rights_text,No known restrictions on publication.,https://cdn.loc.gov/service/pnp/ppmsca/39600/39617r.jpg,4,manual_patch_capture_record_then_rebuild_surfaces,IMG03_after_item_level_rights_review,false,LOC item metadata exposes image URL plus no-known-restrictions text; human review/rebuild still required.
SURF-ER1830R070,data/capture_batch_early_region_1830_1930_records.csv,ER1830R070,2017670771,https://www.loc.gov/pictures/item/2017670771/,"A cobbler who doesn't wear shoes. This hole in the wall is a typical cobbler's shop at Skoplje, Serbia. His own shoeless feet wouldn't be considered a very good advertisement for his trade in America. But he has all the trade that he can take care of as leather is mighty scarce. He didn't mind because the American Red Cross brought several thousand pairs of shoes into the Balkans for distribution to the needy. He says, he realizes the soles will wear out sometime and that means more trade for him",pre-1940/WPA/advertising continuity candidate,IMG01,0.70,item_level_open_rights_text,"No known restrictions on publication. For information, see ""American National Red Cross photograph collection,"" http://www.loc.gov/rr/print/res/717_anrc.html",https://cdn.loc.gov/service/pnp/anrc/04900/04903r.jpg,5,manual_patch_capture_record_then_rebuild_surfaces,IMG03_after_item_level_rights_review,false,LOC item metadata exposes image URL plus no-known-restrictions text; human review/rebuild still required.
SURF-ER1830R077,data/capture_batch_early_region_1830_1930_records.csv,ER1830R077,2018750887,https://www.loc.gov/pictures/item/2018750887/,Schools. Trade card image,pre-1940/WPA/advertising continuity candidate,IMG01,0.70,item_level_open_rights_text,"No known restrictions on publication. For information, see: ""Gottscho-Schleisner Collection""  https://hdl.loc.gov/loc.pnp/res.104.gott",https://tile.loc.gov/storage-services/service/pnp/gsc/5a00000/5a00400/5a00443r.jpg,3,manual_patch_capture_record_then_rebuild_surfaces,IMG03_after_item_level_rights_review,false,LOC item metadata exposes image URL plus no-known-restrictions text; human review/rebuild still required.
SURF-MC1930R010,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R010,2011645389,https://www.loc.gov/pictures/item/2011645389/,A book mark would be better!,pre-1940/WPA/advertising continuity candidate,IMG01,0.70,item_level_open_rights_text,No known restrictions on publication.,https://cdn.loc.gov/service/pnp/ppmsca/31200/31264r.jpg,4,manual_patch_capture_record_then_rebuild_surfaces,IMG03_after_item_level_rights_review,false,LOC item metadata exposes image URL plus no-known-restrictions text; human review/rebuild still required.
SURF-MC1930R011,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R011,98513179,https://www.loc.gov/pictures/item/98513179/,Exhibition - WPA Federal Art Project,pre-1940/WPA/advertising continuity candidate,IMG01,0.70,item_level_open_rights_text,No known restrictions on publication.,https://cdn.loc.gov/service/pnp/cph/3f00000/3f05000/3f05200/3f05285r.jpg,4,manual_patch_capture_record_then_rebuild_surfaces,IMG03_after_item_level_rights_review,false,LOC item metadata exposes image URL plus no-known-restrictions text; human review/rebuild still required.
SURF-MC1930R012,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R012,98510115,https://www.loc.gov/pictures/item/98510115/,"Pet show WPA recreation project, Dist. No. 2 /",pre-1940/WPA/advertising continuity candidate,IMG01,0.70,item_level_open_rights_text,No known restrictions on publication.,https://cdn.loc.gov/service/pnp/cph/3b40000/3b48000/3b48800/3b48887r.jpg,3,manual_patch_capture_record_then_rebuild_surfaces,IMG03_after_item_level_rights_review,false,LOC item metadata exposes image URL plus no-known-restrictions text; human review/rebuild still required.
SURF-MC1930R014,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R014,98513156,https://www.loc.gov/pictures/item/98513156/,WPA Federal Art Project exhibition - mural studies,pre-1940/WPA/advertising continuity candidate,IMG01,0.70,item_level_open_rights_text,No known restrictions on publication.,https://cdn.loc.gov/service/pnp/cph/3b40000/3b48000/3b48800/3b48889r.jpg,3,manual_patch_capture_record_then_rebuild_surfaces,IMG03_after_item_level_rights_review,false,LOC item metadata exposes image URL plus no-known-restrictions text; human review/rebuild still required.
SURF-MC1930R015,data/capture_batch_midcentury_1930_1970_records.csv,MC1930R015,2001695223,https://www.loc.gov/pictures/item/2001695223/,WPA Federal Theatre [presents] If ye break faith,pre-1940/WPA/advertising continuity candidate,IMG01,0.70,item_level_open_rights_text,No known restrictions on publication.,https://cdn.loc.gov/service/pnp/cph/3b40000/3b49000/3b49000/3b49035r.jpg,3,manual_patch_capture_record_then_rebuild_surfaces,IMG03_after_item_level_rights_review,false,LOC item metadata exposes image URL plus no-known-restrictions text; human review/rebuild still required.
