metric,value,notes
candidate_rows,50,Rows read from LOC P0 rights repair preflight.
rows_with_source_image_url,20,Source-hosted LOC image URLs detected in JSON metadata; no image download.
manual_img03_candidate_weighted_gap_points,14.00,Weighted points represented by manual candidates; no automatic upgrade.
automatic_upgrade_allowed_rows,0,Probe is advisory only.
fetch_status_rate_limited,29,LOC item JSON probe status.
fetch_status_ok,21,LOC item JSON probe status.
rights_signal_no_item_rights_text,29,Item-level rights/advisory text signal.
rights_signal_item_level_open_rights_text,21,Item-level rights/advisory text signal.
recommendation_retry_later_rate_limited,29,Review recommendation only; not an automatic state change.
recommendation_manual_img03_candidate_item_rights_visible,20,Review recommendation only; not an automatic state change.
recommendation_keep_img04_or_text_until_visual_source_found,1,Review recommendation only; not an automatic state change.
