surface_id,source_record_id,source_record_url,item_json_url,title,repair_family,weighted_gap_points,local_image_state,fetch_status,http_status,rights_signal,rights_text_excerpt,image_url_count,first_image_url_excerpt,recommendation,automatic_upgrade_allowed,notes
SURF-MC1930R010,2011645389,https://www.loc.gov/pictures/item/2011645389/,https://www.loc.gov/pictures/item/2011645389/?fo=json,A book mark would be better!,img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,No known restrictions on publication.,4,https://cdn.loc.gov/service/pnp/ppmsca/31200/31264r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R070,2017670771,https://www.loc.gov/pictures/item/2017670771/,https://www.loc.gov/pictures/item/2017670771/?fo=json,"A cobbler who doesn't wear shoes. This hole in the wall is a typical cobbler's shop at Skoplje, Serbia. His own shoeless feet wouldn't be considered a very good advertisement for his trade in America. But he has all the trade that he can take care of as leather is mighty scarce. He didn't mind because the American Red Cross brought several thousand pairs of shoes into the Balkans for distribution to the needy. He says, he realizes the soles will wear out sometime and that means more trade for him",img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,"No known restrictions on publication. For information, see ""American National Red Cross photograph collection,"" http://www.loc.gov/rr/print/res/717_anrc.html",5,https://cdn.loc.gov/service/pnp/anrc/04900/04903r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R026,2004666589,https://www.loc.gov/pictures/item/2004666589/,https://www.loc.gov/pictures/item/2004666589/?fo=json,Acorn stoves and ranges,img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,No known restrictions on publication.,8,https://cdn.loc.gov/service/pnp/ppmsca/04800/04806r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R038,92500637,https://www.loc.gov/pictures/item/92500637/,https://www.loc.gov/pictures/item/92500637/?fo=json,"American guide week, Nov. 10-16 Take pride in your country : State by state the WPA Writers' Projects describe America to Americans /",img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,No known restrictions on publication.,7,https://cdn.loc.gov/service/pnp/cph/3f00000/3f03000/3f03700/3f03733r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R039,98517345,https://www.loc.gov/pictures/item/98517345/,https://www.loc.gov/pictures/item/98517345/?fo=json,"American guide week, Nov. 10-16 Take pride in your country : State by state the WPA Writers' Projects describe America to Americans /",img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,No known restrictions on publication.,7,https://cdn.loc.gov/service/pnp/cph/3f00000/3f05000/3f05400/3f05430r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R025,2015651603,https://www.loc.gov/pictures/item/2015651603/,https://www.loc.gov/pictures/item/2015651603/?fo=json,"Cadbury's almanack for 2,000 years - a literary & useful curiosity",img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,No known restrictions on publication.,4,https://cdn.loc.gov/service/pnp/ppmsca/39600/39618r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R030,2015651602,https://www.loc.gov/pictures/item/2015651602/,https://www.loc.gov/pictures/item/2015651602/?fo=json,"Cats can, but Bon Ami can not scratch for it lacks grit",img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,No known restrictions on publication.,4,https://cdn.loc.gov/service/pnp/ppmsca/39600/39617r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R011,98513179,https://www.loc.gov/pictures/item/98513179/,https://www.loc.gov/pictures/item/98513179/?fo=json,Exhibition - WPA Federal Art Project,img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,No known restrictions on publication.,4,https://cdn.loc.gov/service/pnp/cph/3f00000/3f05000/3f05200/3f05285r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R032,98517981,https://www.loc.gov/pictures/item/98517981/,https://www.loc.gov/pictures/item/98517981/?fo=json,Federal Art exhibition WPA water colors.,img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,No known restrictions on publication.,3,https://cdn.loc.gov/service/pnp/cph/3b40000/3b48000/3b48700/3b48710r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R033,98508979,https://www.loc.gov/pictures/item/98508979/,https://www.loc.gov/pictures/item/98508979/?fo=json,"Field day--WPA recreation project, Dist. No. 2",img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,No known restrictions on publication.,7,https://cdn.loc.gov/service/pnp/ds/08000/08072r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R015,99614267,https://www.loc.gov/pictures/item/99614267/,https://www.loc.gov/pictures/item/99614267/?fo=json,Indian trading [6 illustrations: 1. trader's store; 2. 2 en route; 3. preparing for trade; 4. the trading post and fort; 5. return from trading; 6. dissatisfaction - (Indian beating his wife)],img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,No known restrictions on publication.,3,https://cdn.loc.gov/service/pnp/cph/3b30000/3b32000/3b32400/3b32445r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R029,98517082,https://www.loc.gov/pictures/item/98517082/,https://www.loc.gov/pictures/item/98517082/?fo=json,Ohio WPA paintings through March,img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,No known restrictions on publication.,3,https://cdn.loc.gov/service/pnp/cph/3b40000/3b48000/3b48800/3b48808r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-MC1930R012,98510115,https://www.loc.gov/pictures/item/98510115/,https://www.loc.gov/pictures/item/98510115/?fo=json,"Pet show WPA recreation project, Dist. No. 2 /",img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,No known restrictions on publication.,3,https://cdn.loc.gov/service/pnp/cph/3b40000/3b48000/3b48800/3b48887r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
SURF-ER1830R077,2018750887,https://www.loc.gov/pictures/item/2018750887/,https://www.loc.gov/pictures/item/2018750887/?fo=json,Schools. Trade card image,img01_item_image_and_rights_review,0.70,IMG01,ok,200,item_level_open_rights_text,"No known restrictions on publication. For information, see: ""Gottscho-Schleisner Collection""  https://hdl.loc.gov/loc.pnp/res.104.gott",3,https://tile.loc.gov/storage-services/service/pnp/gsc/5a00000/5a00400/5a00443r.jpg,manual_img03_candidate_item_rights_visible,false,Source-only LOC item metadata probe; no images downloaded and no image-state mutation.
