surface_id,source_record_id,source_record_url,title,best_image_state,repair_family,weighted_gap_points,local_record_found,local_capture_id,local_record_file,local_image_state,local_rights_review_required,local_rights_signal,rights_signal,future_action,upgrade_recommendation,automatic_upgrade_allowed,iiif_or_viewer_available,image_url_detected_excerpt,rights_text_excerpt,rights_basis_excerpt,review_note_excerpt,source_notes_excerpt
SURF-MC1930R010,2011645389,https://www.loc.gov/pictures/item/2011645389/,A book mark would be better!,IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R010,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/2011645389/,https://tile.loc.gov/storage-services/service/pnp/ppmsca/31200/31264_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,Title from item.; Purchase; Swann Galleries; 2010; (DLC/PP-2010:157.08).; More information about the WPA Posters is available at http://hdl.loc.gov/loc.pnp/pp.wpapos
SURF-ER1830R070,2017670771,https://www.loc.gov/pictures/item/2017670771/,"A cobbler who doesn't wear shoes. This hole in the wall is a typical cobbler's shop at Skoplje, Serbia. His own shoeless feet wouldn't be considered a very good advertisement for his trade in America. But he has all the trade that he can take care of as leather is mighty scarce. He didn't mind because the American Red Cross brought several thousand pairs of shoes into the Balkans for distribution to the needy. He says, he realizes the soles will wear out sometime and that means more trade for him",IMG01,img01_item_image_and_rights_review,0.70,true,ER1830R070,data/capture_batch_early_region_1830_1930_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/2017670771/,https://tile.loc.gov/storage-services/service/pnp/anrc/04900/04903_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,"Title, date and notes from Red Cross caption card.; Photographer name or source of original from caption card or negative sleeve: ARC Paris Office.; Group title: Serbia.; On caption card: (11503); Used in: T.T.C...."
SURF-ER1830R026,2004666589,https://www.loc.gov/pictures/item/2004666589/,Acorn stoves and ranges,IMG01,img01_item_image_and_rights_review,0.70,true,ER1830R026,data/capture_batch_early_region_1830_1930_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/2004666589/,https://tile.loc.gov/storage-services/service/pnp/ppmsca/04800/04806_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,Title from item.
SURF-MC1930R038,92500637,https://www.loc.gov/pictures/item/92500637/,"American guide week, Nov. 10-16 Take pride in your country : State by state the WPA Writers' Projects describe America to Americans /",IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R038,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/92500637/,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f03000/3f03700/3f03733_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,
SURF-MC1930R039,98517345,https://www.loc.gov/pictures/item/98517345/,"American guide week, Nov. 10-16 Take pride in your country : State by state the WPA Writers' Projects describe America to Americans /",IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R039,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/98517345/,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05400/3f05430_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,
SURF-ER1830R025,2015651603,https://www.loc.gov/pictures/item/2015651603/,"Cadbury's almanack for 2,000 years - a literary & useful curiosity",IMG01,img01_item_image_and_rights_review,0.70,true,ER1830R025,data/capture_batch_early_region_1830_1930_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/2015651603/,https://tile.loc.gov/storage-services/service/pnp/ppmsca/39600/39618_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,Title from item.; Publication information taken from an online source.; (DLC/PP-2001:068).; Forms part of: Marian S. Carson collection at the Library of Congress.
SURF-ER1830R030,2015651602,https://www.loc.gov/pictures/item/2015651602/,"Cats can, but Bon Ami can not scratch for it lacks grit",IMG01,img01_item_image_and_rights_review,0.70,true,ER1830R030,data/capture_batch_early_region_1830_1930_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/2015651602/,https://tile.loc.gov/storage-services/service/pnp/ppmsca/39600/39617_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,"Title from item.; Printed on verso: For sale by all grocers.; Printed on bottom of verso: The Bon Ami Company, 66 Maiden Lane, New York City.; (DLC/PP-2001:068).; Forms part of: Marian S. Carson collection at the..."
SURF-MC1930R011,98513179,https://www.loc.gov/pictures/item/98513179/,Exhibition - WPA Federal Art Project,IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R011,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/98513179/,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05200/3f05285_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,Date stamped on verso: Jun 7 1938.; Work Projects Administration Poster Collection (Library of Congress).
SURF-MC1930R032,98517981,https://www.loc.gov/pictures/item/98517981/,Federal Art exhibition WPA water colors.,IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R032,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/98517981/,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b48000/3b48700/3b48710_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,
SURF-MC1930R033,98508979,https://www.loc.gov/pictures/item/98508979/,"Field day--WPA recreation project, Dist. No. 2",IMG01,img01_item_image_and_rights_review,0.70,true,MC1930R033,data/capture_batch_midcentury_1930_1970_records.csv,IMG01,true,no_item_rights_advisory_text,thumbnail_only_item_rights_missing,loc_item_rights_and_image_derivative_capture_required,item_rights_capture_required,false,https://www.loc.gov/pictures/item/98508979/,https://tile.loc.gov/storage-services/service/pnp/ds/08000/08072_150px.jpg,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,Thumbnail candidate only; keep source return visible.,
