metric,value,notes
loc_candidate_rows,50,Library of Congress rows from image_rights_repair_candidates_v1.
local_records_found,50,Rows matched to existing local capture records.
automatic_upgrade_allowed_rows,0,No automatic IMG03 upgrades are permitted by this preflight.
candidate_weighted_gap_points,38.90,Weighted-publication gap points represented by these candidates.
repair_family_img01_item_image_and_rights_review,37,Original repair family.
repair_family_img04_text_state_review,13,Original repair family.
local_image_state_IMG01,37,Best matching local capture state.
local_image_state_IMG04,13,Best matching local capture state.
local_rights_signal_no_item_rights_advisory_text,49,Local rights-advisory signal.
local_rights_signal_blocking_or_unresolved_rights_terms,1,Local rights-advisory signal.
rights_signal_thumbnail_only_item_rights_missing,37,Conservative local metadata signal.
rights_signal_no_usable_image_in_local_capture,13,Conservative local metadata signal.
upgrade_recommendation_item_rights_capture_required,37,25.90 weighted points.
upgrade_recommendation_source_visible_repair_needed,13,13.00 weighted points.
