source_id,source_name,source_place_text,old_macro_region,old_country_or_region,new_macro_region,new_country_or_region,action,note
NMSS2026R0549,!Khwa ttu,Africa / South Africa,Africa,South Africa,Africa,South Africa,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0774,"""Alexandru and Aristia Aman"" County Library, Craiova",Eastern Europe / Caucasus / Romania,Eastern Europe,Romania,Eastern Europe,Romania,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0394,"""Branko Ćopić"" National Library in Brod",Eastern Europe / Caucasus / Bosnia and Herzegovina,Eastern Europe,Bosnia and Herzegovina,Eastern Europe,Bosnia and Herzegovina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0399,"""Dr. Ljubo Mihić"" National Library in Ljubinje",Eastern Europe / Caucasus / Bosnia and Herzegovina,Eastern Europe,Bosnia and Herzegovina,Eastern Europe,Bosnia and Herzegovina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0776,"""Gheorghe Asachi"" County Library in Iași",Eastern Europe / Caucasus / Romania,Eastern Europe,Romania,Eastern Europe,Romania,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0780,"""Octavian Goga"" Cluj County Library",Eastern Europe / Caucasus / Romania,Eastern Europe,Romania,Eastern Europe,Romania,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0414,"""Vuk Karadžić"" National Library in Modriča",Eastern Europe / Caucasus / Bosnia and Herzegovina,Eastern Europe,Bosnia and Herzegovina,Eastern Europe,Bosnia and Herzegovina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0966,101 Art Gallery,Latin America / Caribbean / Trinidad and Tobago,Latin America,Trinidad and Tobago,Latin America,Trinidad and Tobago,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0419,11/07/95 Gallery,Eastern Europe / Caucasus / Bosnia and Herzegovina,Eastern Europe,Bosnia and Herzegovina,Eastern Europe,Bosnia and Herzegovina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0653,4 - ti may - 1897,Eastern Europe / Caucasus / Bulgaria,Eastern Europe,Bulgaria,Eastern Europe,Bulgaria,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0862,"4 Library for adults, Ternopil",Eastern Europe / Caucasus / Ukraine,Eastern Europe,Ukraine,Eastern Europe,Ukraine,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0389,8Q SAM,Southeast Asia / Singapore,Southeast Asia,Singapore,Southeast Asia,Singapore,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0004,AIDSSH,Eastern Europe / Caucasus / Albania,Eastern Europe,Albania,Eastern Europe,Albania,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0782,ASTRA National Museum Complex,Eastern Europe / Caucasus / Romania,Eastern Europe,Romania,Eastern Europe,Romania,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0001,Abderrahmane Benhamida library,Africa / Algeria,Africa,Algeria,Africa,Algeria,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0023,Acatushun museum,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0331,Adam Mickiewicz Museum,MENA / Turkey,MENA,Turkey,MENA,Turkey,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0596,Afriart Gallery,Africa / Uganda,Africa,Uganda,Africa,Uganda,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0552,Afronova,Africa / South Africa,Africa,South Africa,Africa,South Africa,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0261,Aishti Foundation,MENA / Lebanon,MENA,Lebanon,MENA,Lebanon,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0356,Akbank Sanat,MENA / Turkey,MENA,Turkey,MENA,Turkey,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0355,Akenten Appiah-Menka University of Skills Training and Entrepreneurial Development,Africa / Ghana,Africa,Ghana,Africa,Ghana,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0450,Al Qarara Cultural Museum,MENA / Palestine,MENA,Palestine,MENA,Palestine,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0010,Al-Maktaba Al-Shamela Al-Djazairiyya,Africa / Algeria,Africa,Algeria,Africa,Algeria,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0126,Al-Rawdha Al-Haidarya Library,MENA / Iraq,MENA,Iraq,MENA,Iraq,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0553,Albany Museum,Africa / South Africa,Africa,South Africa,Africa,South Africa,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0658,Alexander Nevsky Cathedral,Eastern Europe / Caucasus / Bulgaria,Eastern Europe,Bulgaria,Eastern Europe,Bulgaria,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0239,Alianza Francesa Sucre,Latin America / Caribbean / Bolivia,Latin America,Bolivia,Latin America,Bolivia,unchanged,summary geography already matches capture record source_place_text
