candidate_id,source_name,macro_region,subregion,country_or_region,source_class,institutional_level,protocol_family,url,http_status,final_url,content_type,response_bytes,page_title,meta_description,detected_protocols,protocol_evidence,adapter_hint,recommended_image_policy_next,recommended_text_policy_next,rights_risk,capture_priority_next,probe_status,failure_reason,raw_probe_path,access_date,notes
NLCV30001,National Archives of Nigeria,Africa,West Africa,Nigeria,national archive,national,HTML/catalog,https://nationalarchives.gov.ng/,,,,,,,,,manual_review_or_alternate_endpoint,IMG00 until source endpoint and item rights are verified,manual context only,standard_rights_review,P2 retry/manual verification,failed,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)>,,2026-06-05,
NLCV30002,National Library of Nigeria,Africa,West Africa,Nigeria,national library,national,HTML/catalog,https://nln.gov.ng/,200,https://nln.gov.ng/,text/html; charset=UTF-8,48697,National Library of Nigeria (NLN) - Index,,,,bibliographic_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",standard_rights_review,P1 text/source enrichment,ok,,,2026-06-05,
NLCV30003,Ghana Library Authority,Africa,West Africa,Ghana,national library,national,HTML/catalog,https://www.ghanalibrary.org/,200,https://www.ghanalibrary.org/,text/html,114,,,,,html_metadata_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",standard_rights_review,P2 manual source review,ok,,,2026-06-05,
NLCV30004,National Archives of Namibia,Africa,Southern Africa,Namibia,national archive,national,HTML/catalog,https://www.namibiaarchives.gov.na/,,,,,,,,,manual_review_or_alternate_endpoint,IMG00 until source endpoint and item rights are verified,manual context only,standard_rights_review,P2 retry/manual verification,failed,URLError: <urlopen error timed out>,,2026-06-05,
NLCV30005,Botswana National Archives and Records Services,Africa,Southern Africa,Botswana,national archive,national,HTML,https://www.gov.bw/ministries/department-national-archives-records-services,404,https://www.gov.bw/ministries/department-national-archives-records-services,text/html; charset=UTF-8,,,,,,manual_review_or_alternate_endpoint,IMG00 until source endpoint and item rights are verified,manual context only,standard_rights_review,P2 retry/manual verification,http_error,HTTP Error 404: Not Found,,2026-06-05,
NLCV30006,National Archives of Zambia,Africa,Southern Africa,Zambia,national archive,national,HTML,https://www.nationalarchives.gov.zm/,,,,,,,,,manual_review_or_alternate_endpoint,IMG00 until source endpoint and item rights are verified,manual context only,standard_rights_review,P2 retry/manual verification,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-05,
NLCV30007,National Archives of Zimbabwe,Africa,Southern Africa,Zimbabwe,national archive,national,HTML,https://www.archives.gov.zw/,200,https://www.archives.gov.zw/,text/html; charset=UTF-8,180000,National Archives of Zimbabwe,,RSS/Atom;JSON-LD;WordPress REST,RSS/Atom:application/rss+xml;JSON-LD:schema.org;WordPress REST:wp-json,wordpress_rest_or_html_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",standard_rights_review,P1 adapter build,ok,,,2026-06-05,
NLCV30008,National Records and Archives Services Malawi,Africa,Southern Africa,Malawi,national archive,national,HTML,https://www.nationalarchives.gov.mw/,,,,,,,,,manual_review_or_alternate_endpoint,IMG00 until source endpoint and item rights are verified,manual context only,standard_rights_review,P2 retry/manual verification,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-05,
NLCV30009,Kenya National Library Service,Africa,East Africa,Kenya,national library,national,HTML/catalog,https://knls.ac.ke/,200,https://www.knls.ac.ke/,text/html; charset=UTF-8,83623,kenya national library service | Read. Know. Empower,,RSS/Atom;JSON-LD;WordPress REST,RSS/Atom:application/rss+xml;JSON-LD:schema.org;WordPress REST:wp-json,wordpress_rest_or_html_adapter,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,"source title, description, collection scope, catalog terms, and stable links",standard_rights_review,P1 text/source enrichment,ok,,,2026-06-05,
NLCV30010,Uganda National Library,Africa,East Africa,Uganda,national library,national,HTML,https://unls.go.ug/,,,,,,,,,manual_review_or_alternate_endpoint,IMG00 until source endpoint and item rights are verified,manual context only,standard_rights_review,P2 retry/manual verification,failed,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,2026-06-05,
