macro_region,country_or_region,successful_sources,source_classes,protocols
Africa,Algeria,13,library:6; museum:4; archives:1; art gallery:1; cultural center:1,RSS/Atom;JSON-LD;WordPress REST:5; (none detected):5; RSS/Atom;WordPress REST:2; RSS/Atom;JSON-LD:1
Africa,Angola,1,museum:1,(none detected):1
Africa,Benin,3,museum:3,(none detected):2; RSS/Atom;JSON-LD;WordPress REST;PDF:1
Africa,Botswana,1,art gallery:1,RSS/Atom;JSON-LD;WordPress REST:1
Africa,Cameroon,2,art gallery:1; museum:1,RSS/Atom;WordPress REST;Static JS App:1; (none detected):1
Africa,Cape Verde,6,museum:3; archives:2; library:1,(none detected):2; RSS/Atom;JSON-LD;WordPress REST;PDF:1; RSS/Atom:1; RSS/Atom;JSON-LD;WordPress REST:1; RSS/Atom;WordPress REST:1
Africa,Chad,1,cultural center:1,(none detected):1
Africa,Cote d'Ivoire,1,cultural center:1,RSS/Atom;JSON-LD;WordPress REST:1
Africa,DR Congo,1,cultural center:1,RSS/Atom;JSON-LD;WordPress REST:1
Africa,Egypt,21,museum:14; library:6; cultural center:1,(none detected):9; PDF:6; RSS/Atom:2; JSON-LD;Static JS App;PDF:1; WordPress REST:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1; RSS/Atom;JSON-LD;WordPress REST:1
Africa,Ethiopia,1,library:1,JSON-LD;PDF:1
Africa,Gabon,1,library:1,RSS/Atom;WordPress REST:1
Africa,Ghana,18,library:9; museum:6; art gallery:2; cultural center:1,JSON-LD:3; RSS/Atom;WordPress REST;Static JS App:2; RSS/Atom;JSON-LD;WordPress REST;PDF:2; (none detected):2; RSS/Atom;JSON-LD;WordPress REST:2; JSON-LD;Static JS App:1; Static JS App:1; RSS/Atom;PDF:1; RSS/Atom;WordPress REST:1; RSS/Atom;WordPress REST;PDF:1; IIIF;RSS/Atom;JSON-LD;WordPress REST:1; RSS/Atom;JSON-LD;PDF:1
Africa,Guinea,1,cultural center:1,RSS/Atom;JSON-LD;WordPress REST:1
Africa,Kenya,13,library:7; museum:5; cultural center:1,(none detected):4; RSS/Atom;JSON-LD;WordPress REST;Static JS App:2; RSS/Atom;JSON-LD;WordPress REST:2; RSS/Atom;JSON-LD;WordPress REST;PDF:2; RSS/Atom;WordPress REST:1; Static JS App;PDF:1; IIIF:1
Africa,Lesotho,1,museum:1,RSS/Atom;JSON-LD:1
Africa,Madagascar,1,museum:1,RSS/Atom;WordPress REST;Static JS App:1
Africa,Malawi,1,library:1,RSS/Atom;JSON-LD;WordPress REST;Static JS App:1
Africa,Mali,1,cultural center:1,RSS/Atom;JSON-LD;WordPress REST:1
Africa,Mauritius,4,museum:3; cultural center:1,(none detected):1; RSS/Atom:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF:1
Central Asia,Kazakhstan,11,museum:9; library:1; archives:1,RSS/Atom;JSON-LD;WordPress REST:3; RSS/Atom:3; RSS/Atom;PDF:1; RSS/Atom;JSON-LD;WordPress REST;PDF:1; (none detected):1; RSS/Atom;WordPress REST:1; JSON-LD;PDF:1
Central Asia,Mongolia,1,museum:1,Static JS App:1
Central Asia,Tajikistan,3,library:2; museum:1,RSS/Atom;JSON-LD;PDF:1; RSS/Atom;JSON-LD;WordPress REST:1; (none detected):1
Central Asia,Turkmenistan,1,museum:1,(none detected):1
Central Asia,Uzbekistan,6,museum:4; cultural center:1; library:1,(none detected):4; Static JS App:1; IIIF:1
East Asia,Taiwan,10,museum:9; cultural center:1,(none detected):7; JSON-LD:2; RSS/Atom;JSON-LD;WordPress REST:1
Eastern Europe / Caucasus,Albania,13,library:7; museum:3; archives:2; cultural center:1,RSS/Atom;WordPress REST:4; IIIF;Static JS App:2; RSS/Atom;WordPress REST;Static JS App:2; RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF:1; Static JS App;PDF:1; RSS/Atom;WordPress REST;Static JS App;PDF:1; (none detected):1; Static JS App:1
Eastern Europe / Caucasus,Armenia,17,museum:12; library:4; cultural center:1,RSS/Atom;JSON-LD;WordPress REST:4; RSS/Atom;WordPress REST:3; RSS/Atom;JSON-LD:2; (none detected):2; JSON-LD;WordPress REST:1; IIIF;Static JS App:1; JSON-LD:1; DSpace;PDF:1; RSS/Atom;JSON-LD;PDF:1; RSS/Atom;PDF:1
Eastern Europe / Caucasus,Azerbaijan,16,museum:8; library:5; archives:2; cultural center:1,(none detected):9; JSON-LD:3; WordPress REST:1; PDF:1; RSS/Atom:1; IIIF;PDF:1
Eastern Europe / Caucasus,Belarus,24,museum:20; library:2; archives:1; cultural center:1,(none detected):12; RSS/Atom;WordPress REST:2; RSS/Atom;JSON-LD;WordPress REST:2; IIIF;PDF:1; RSS/Atom;JSON-LD:1; RSS/Atom;PDF:1; RSS/Atom:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1; JSON-LD:1; RSS/Atom;JSON-LD;PDF:1; Static JS App:1
Latin America / Caribbean,Argentina,26,library:19; museum:7,(none detected):7; RSS/Atom;JSON-LD;WordPress REST:6; PDF:3; IIIF;RSS/Atom;Static JS App:2; JSON-LD:1; RSS/Atom;WordPress REST:1; RSS/Atom;WordPress REST;PDF:1; RSS/Atom;JSON-LD:1; IIIF;JSON-LD:1; RSS/Atom;PDF:1; IIIF;PDF:1; RSS/Atom;WordPress REST;Static JS App:1
Latin America / Caribbean,Barbados,1,museum:1,IIIF:1
Latin America / Caribbean,Belize,1,library:1,RSS/Atom;WordPress REST:1
Latin America / Caribbean,Bolivia,17,library:7; museum:6; art gallery:2; cultural center:2,RSS/Atom;JSON-LD;WordPress REST:5; (none detected):3; JSON-LD;WordPress REST:2; RSS/Atom;WordPress REST;PDF:1; RSS/Atom;WordPress REST;Static JS App:1; RSS/Atom:1; RSS/Atom;JSON-LD:1; RSS/Atom;WordPress REST:1; Static JS App:1; IIIF;PDF:1
Latin America / Caribbean,Chile,22,museum:16; cultural center:4; archives:1; library:1,RSS/Atom;JSON-LD;WordPress REST:8; (none detected):4; RSS/Atom;WordPress REST:3; RSS/Atom;JSON-LD;WordPress REST;PDF:1; WordPress REST:1; IIIF;PDF:1; RSS/Atom;WordPress REST;PDF:1; RSS/Atom:1; PDF:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1
Latin America / Caribbean,Colombia,17,library:14; museum:2; archives:1,(none detected):9; IIIF:3; RSS/Atom:1; DSpace;RSS/Atom;PDF:1; RSS/Atom;WordPress REST:1; RSS/Atom;JSON-LD;WordPress REST:1; Static JS App:1
