source_name,upgrade_recommendation,rows,weighted_gap_points,automatic_upgrade_allowed_rows
Cooper Hewitt Collection GraphQL API,no_upgrade,133,59.85,0
Cooper Hewitt Collection GraphQL API,review_only_no_automatic_upgrade,4,1.80,0
Wellcome Collection Catalogue API,no_upgrade,81,36.45,0
Wellcome Collection Catalogue API,source_visible_repair_needed,3,3.00,0
Library of Congress loc.gov API,item_rights_capture_required,37,25.90,0
Library of Congress loc.gov API,source_visible_repair_needed,13,13.00,0
Georgia State University Library Digital Collections / CONTENTdm,no_upgrade,84,37.80,0
Georgia State University Library Digital Collections / CONTENTdm,review_rebuild_alignment_no_automatic_upgrade,1,0.45,0
Art Institute of Chicago API,no_upgrade,36,36.00,0
Internet Archive / text and periodical collections,no_upgrade,75,33.75,0
V&A Collections API,no_upgrade,25,11.25,0
V&A Collections API,source_visible_repair_needed,19,19.00,0
