edge_label,active_edge_count,semantic_role,atlas_policy
has_type,34884,descriptive or contextual metadata,context only
associated_with_context,25403,descriptive or contextual metadata,context only
associated_with_place,16049,object geography,lineage
documented_by,15927,source evidence,lineage
created_by,10006,attribution,lineage
has_material_or_technique,9992,descriptive or contextual metadata,context only
associated_with_research_cluster,2920,descriptive or contextual metadata,context only
associated_with_theme,2920,descriptive or contextual metadata,context only
has_medium,2920,descriptive or contextual metadata,context only
part_of_collection,2906,object structure,lineage
part_of_series,2325,object structure,lineage
circulated_in,122,circulation relation,lineage
issued_by,122,publication relation,lineage
classified_as,110,descriptive or contextual metadata,context only
dated_to,110,descriptive or contextual metadata,context only
associated_with_year,25,object chronology,lineage
credited_to,25,descriptive or contextual metadata,context only
part_of_campaign,19,descriptive or contextual metadata,context only
uses_language,13,descriptive or contextual metadata,context only
