metric,value,notes
main_sheets_scanned,13537,Candidate main_sheet surfaces scanned.
cluster_review_rows,68,Region/theme/source/decade main clusters with at least three records.
lane:support_or_card_review,9251,Main anchor review lane distribution.
lane:main_anchor_manual_review,3809,Main anchor review lane distribution.
lane:keep_main_anchor_candidate,397,Main anchor review lane distribution.
lane:needs_packet_subsheet_assignment,42,Main anchor review lane distribution.
lane:needs_editorial_text,38,Main anchor review lane distribution.
period_lane:1850_1899:keep_main_anchor_candidate,51,Main anchor lane by period.
period_lane:1850_1899:main_anchor_manual_review,390,Main anchor lane by period.
period_lane:1850_1899:needs_editorial_text,1,Main anchor lane by period.
period_lane:1850_1899:needs_packet_subsheet_assignment,3,Main anchor lane by period.
period_lane:1850_1899:support_or_card_review,799,Main anchor lane by period.
period_lane:1900_1913:keep_main_anchor_candidate,4,Main anchor lane by period.
period_lane:1900_1913:main_anchor_manual_review,304,Main anchor lane by period.
period_lane:1900_1913:needs_editorial_text,2,Main anchor lane by period.
period_lane:1900_1913:support_or_card_review,449,Main anchor lane by period.
period_lane:1914_1945:keep_main_anchor_candidate,108,Main anchor lane by period.
period_lane:1914_1945:main_anchor_manual_review,1044,Main anchor lane by period.
period_lane:1914_1945:needs_editorial_text,11,Main anchor lane by period.
period_lane:1914_1945:needs_packet_subsheet_assignment,6,Main anchor lane by period.
period_lane:1914_1945:support_or_card_review,2356,Main anchor lane by period.
period_lane:1946_1969:keep_main_anchor_candidate,50,Main anchor lane by period.
period_lane:1946_1969:main_anchor_manual_review,469,Main anchor lane by period.
period_lane:1946_1969:needs_editorial_text,5,Main anchor lane by period.
period_lane:1946_1969:needs_packet_subsheet_assignment,8,Main anchor lane by period.
period_lane:1946_1969:support_or_card_review,1646,Main anchor lane by period.
period_lane:1970_1989:keep_main_anchor_candidate,73,Main anchor lane by period.
period_lane:1970_1989:main_anchor_manual_review,390,Main anchor lane by period.
period_lane:1970_1989:needs_editorial_text,10,Main anchor lane by period.
period_lane:1970_1989:needs_packet_subsheet_assignment,8,Main anchor lane by period.
period_lane:1970_1989:support_or_card_review,2382,Main anchor lane by period.
period_lane:1990_1999:keep_main_anchor_candidate,21,Main anchor lane by period.
period_lane:1990_1999:main_anchor_manual_review,51,Main anchor lane by period.
period_lane:1990_1999:needs_editorial_text,4,Main anchor lane by period.
period_lane:1990_1999:needs_packet_subsheet_assignment,2,Main anchor lane by period.
period_lane:1990_1999:support_or_card_review,723,Main anchor lane by period.
period_lane:2000_2009:keep_main_anchor_candidate,12,Main anchor lane by period.
period_lane:2000_2009:main_anchor_manual_review,185,Main anchor lane by period.
period_lane:2000_2009:needs_editorial_text,2,Main anchor lane by period.
period_lane:2000_2009:needs_packet_subsheet_assignment,3,Main anchor lane by period.
period_lane:2000_2009:support_or_card_review,561,Main anchor lane by period.
period_lane:2010_2019:keep_main_anchor_candidate,25,Main anchor lane by period.
period_lane:2010_2019:main_anchor_manual_review,437,Main anchor lane by period.
period_lane:2010_2019:needs_editorial_text,1,Main anchor lane by period.
period_lane:2010_2019:needs_packet_subsheet_assignment,4,Main anchor lane by period.
period_lane:2010_2019:support_or_card_review,155,Main anchor lane by period.
period_lane:2020_2026:keep_main_anchor_candidate,41,Main anchor lane by period.
period_lane:2020_2026:main_anchor_manual_review,158,Main anchor lane by period.
period_lane:2020_2026:needs_editorial_text,2,Main anchor lane by period.
period_lane:2020_2026:needs_packet_subsheet_assignment,8,Main anchor lane by period.
period_lane:2020_2026:support_or_card_review,105,Main anchor lane by period.
period_lane:pre_1850:keep_main_anchor_candidate,9,Main anchor lane by period.
period_lane:pre_1850:main_anchor_manual_review,381,Main anchor lane by period.
period_lane:pre_1850:support_or_card_review,75,Main anchor lane by period.
period_lane:undated:keep_main_anchor_candidate,3,Main anchor lane by period.
