source_family,surface_count,current_main_count,packet_member_count,candidate_anchor_count,card_or_support_count,top_regions,top_periods,notes
Wikimedia Commons,15063,12947,9950,461,5811,Georgia; Bosnia and Herzegovina; Cape Verde; Uruguay; Lithuania; +112 more,pre_1850; 1850_1899; 1900_1913; 1914_1945; 1946_1969; +5 more,High source-family concentration should be reviewed for repeated-source overclaiming.
Gallica,239,239,237,11,57,France,pre_1850; 1850_1899; 1914_1945; 1900_1913; 1946_1969; +1 more,High source-family concentration should be reviewed for repeated-source overclaiming.
DigitalNZ,94,73,71,6,23,Aotearoa New Zealand,1850_1899; 1900_1913; 1946_1969; 1970_1989; 2010_2019; +3 more,
Wellcome Collection Catalogue API,86,66,68,7,24,Unresolved region; Netherlands; France; United Kingdom; Germany; +3 more,1914_1945; 1946_1969; 1970_1989,
Georgia State University Library Digital Collections,79,79,47,2,1,Georgia; United States; Puerto Rico; Palestine / transnational; South Africa,1914_1945; 1946_1969; 1970_1989; 1990_1999; 2000_2009; +2 more,
Internet Archive,74,55,46,4,20,Unresolved region; United States; Palestine / transnational; France; Canada; +4 more,1914_1945; 1946_1969; 1970_1989; 2000_2009; 2010_2019; +1 more,
Library of Congress loc.gov API,56,22,38,1,43,Unresolved region; India; United Kingdom; United States; Poland; +1 more,1850_1899; 1900_1913; 1914_1945; undated,
V&A Collections API,55,21,41,2,33,United Kingdom; Belgium; Germany; United States; Russia / USSR contexts; +4 more,1914_1945; pre_1850; 1850_1899; 1946_1969; 1970_1989; +1 more,
Te Papa Collections Online,54,41,53,0,48,Aotearoa New Zealand,1914_1945; 1970_1989; 1990_1999; 2010_2019,
NAIDOC Poster Gallery,46,44,46,0,44,Australia / Indigenous,1970_1989; 1990_1999; 2000_2009; 2010_2019; 2020_2026,
Art Institute of Chicago API,45,6,32,2,39,France; United States; Czech and Slovak contexts; United Kingdom; Russia; +4 more,1850_1899; 1914_1945; 1946_1969; 2000_2009,
Princeton University Library Digital Collections,41,41,36,2,1,United States,1850_1899; 1900_1913; 1914_1945; 1946_1969,
Another Graphic,15,14,10,1,1,Global / transnational; Poland; Switzerland; Taiwan,2010_2019; 2020_2026,
Cleveland Museum Open Access API,15,8,8,2,7,France; United Kingdom; Belgium; Germany,pre_1850; 1850_1899; 1900_1913; 1914_1945; undated,
The Met Open Access,15,0,14,0,15,Unresolved region; Mexico,1914_1945; 1946_1969; 1970_1989,
Smithsonian Open Access,12,12,4,1,0,United States; United Kingdom; Georgia; Global / transnational,pre_1850; 1850_1899; 1914_1945,
Malaysia Design Archive,11,10,11,0,10,Malaysia,2020_2026,
Auckland Libraries Heritage Collections,9,8,5,0,1,Aotearoa New Zealand,1970_1989; 1990_1999; 2000_2009; 2010_2019,
University of Cape Town Digital Collections,8,2,5,0,6,South Africa,1914_1945; 1970_1989; 2010_2019; 2020_2026,
Asian Film Archive,7,7,7,0,5,Singapore,2020_2026,
Letterform Archive,7,7,7,0,6,United States,2020_2026,
Design Reviewed,6,6,6,0,4,United Kingdom,2020_2026,
NDL Search,6,0,6,0,6,Japan,2000_2009,
University of Washington Digital Collections,6,0,3,0,6,United States,1970_1989; 2010_2019,
Los Angeles Public Library Tessa,5,5,0,0,0,Mexico,1970_1989,
Malaysian Design Archive,5,0,5,0,5,Malaysia,2020_2026,
National Repository of Nigeria,5,0,0,0,5,Nigeria; Africa,1970_1989; 1990_1999; 2000_2009; 2020_2026,
University of Miami Libraries Digital Collections,5,5,4,0,0,United States,1970_1989; 1990_1999,
American University of Beirut ScholarWorks,4,0,3,0,4,Lebanon,2000_2009; 2020_2026,
Indian Memory Project,4,4,0,0,0,India,2010_2019; 2020_2026,
Stellenbosch University Scholar,4,0,3,0,4,South Africa,2000_2009; 2010_2019,
University of Pretoria Research Repository,4,0,3,0,4,South Africa,2000_2009; 2010_2019,
Wits University WiredSpace,4,0,3,0,4,South Africa,2000_2009; 2010_2019,
African Digital Heritage,3,3,3,0,2,Africa,2020_2026,
Barjeel Art Foundation,3,3,0,0,0,Middle East and North Africa,2010_2019; 2020_2026,
Desain Grafis Indonesia,3,3,3,0,2,Indonesia,2020_2026,
Getty Research Portal,3,0,3,0,3,Global / transnational,1970_1989,
SMU Libraries Digital Collections,3,3,1,0,0,United States,1970_1989; 1990_1999,
University of Ghana Digital Collections,3,0,3,0,3,Ghana,2010_2019,
GALA Queer Archive,2,1,0,0,1,South Africa,2020_2026,
NAIDOC,2,0,0,0,2,Australia / Indigenous,undated,
African Activist Archive,1,0,0,0,1,United States,undated,
Arab Image Foundation,1,0,0,0,1,Lebanon,undated,
Arquivo Nacional Brasil,1,0,0,0,1,Brazil,undated,
Ateneo Rizal Library Digital Archives,1,0,0,0,1,Philippines,undated,
BiblioAsia,1,0,0,0,1,Singapore,undated,
Biblioteca Nacional Digital Brasil,1,0,0,0,1,Brazil,undated,
BookSG,1,0,0,0,1,Singapore,undated,
Bophana Audiovisual Resource Center,1,0,0,0,1,China / Hong Kong,2010_2019,
Center for Contemporary Graphic Art,1,0,0,0,1,Japan,undated,
Chinese Posters,1,1,1,0,0,China / Hong Kong,1946_1969,
Cultural Center of the Philippines,1,0,0,0,1,Philippines,1946_1969,
DDP Seoul,1,0,0,0,1,Korean Peninsula,2000_2009,
Design Center Philippines,1,0,0,0,1,Philippines,1970_1989,
Design in India,1,0,0,0,1,India,undated,
DesignDB,1,0,0,0,1,Korean Peninsula,undated,
DesignSingapore Council,1,0,0,0,1,Singapore,2000_2009,
Digital Library of Lao Manuscripts,1,0,0,0,1,Southeast Asia,undated,
Dogma Collection,1,0,0,0,1,Vietnam,1914_1945,
