source_file,capture_id,surface_id,year,region,image_state,source_name,title,source_url,input_review_type,review_class,suggested_action,surface_disposition_override,decision_type,confidence,override_basis,guardrail
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00088,SURF-CAW2026R00088,1830,Bosnia and Herzegovina,IMG03,Wikimedia Commons file source / Bosnia and Herzegovina postage stamp collection (1830-1910).jpg / page 42867544,Bosnia and Herzegovina postage stamp collection (1830-1910).jpg,https://commons.wikimedia.org/wiki/File:Bosnia_and_Herzegovina_postage_stamp_collection_(1830-1910).jpg,event_photo_or_context_image,philatelic_or_stamp_like,card_support_review,support_packet_appendix_text,apply_subsheet_demotion,medium,philatelic_or_stamp_like: postage,Stamp/philatelic-like rows need support-packet treatment unless later reviewed as strong design objects.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00093,SURF-CAW2026R00093,1830,Latin America,IMG03,Wikimedia Commons file source / Nouvelles des missions du Paraguay -Twy16 - IMG 2752.jpg / page 181056569,Nouvelles des missions du Paraguay -Twy16 - IMG 2752.jpg,https://commons.wikimedia.org/wiki/File:Nouvelles_des_missions_du_Paraguay_-Twy16_-_IMG_2752.jpg,event_photo_or_context_image,weak_context_or_profile_image,card_support_candidate,card,apply_card_demotion,high,weak_context_or_profile_image: Own work,Weak profile/own-work/context image; keep source visible but remove main-sheet claim.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00104,SURF-CAW2026R00104,1831,Tonga,IMG03,"Wikimedia Commons file source / 'King George' (KIng George Tupou I of Tonga, c. 1797 - 1893) RMG PZ8795.tiff / page 62627461","'King George' (KIng George Tupou I of Tonga, c. 1797 - 1893) RMG PZ8795.tiff","https://commons.wikimedia.org/wiki/File:%27King_George%27_(KIng_George_Tupou_I_of_Tonga,_c._1797_-_1893)_RMG_PZ8795.tiff",event_photo_or_context_image,philatelic_or_stamp_like,card_support_review,support_packet_appendix_text,apply_subsheet_demotion,medium,philatelic_or_stamp_like: postage,Stamp/philatelic-like rows need support-packet treatment unless later reviewed as strong design objects.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00137,SURF-CAW2026R00137,1841,Latin America,IMG03,Wikimedia Commons file source / La Toilette d'Esther.jpg / page 53578790,La Toilette d'Esther.jpg,https://commons.wikimedia.org/wiki/File:La_Toilette_d%27Esther.jpg,event_photo_or_context_image,weak_context_or_profile_image,card_support_candidate,card,apply_card_demotion,high,weak_context_or_profile_image: Own work,Weak profile/own-work/context image; keep source visible but remove main-sheet claim.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00139,SURF-CAW2026R00139,1841,Morocco,IMG03,Wikimedia Commons file source / C188b175 11.jpg / page 175570524,C188b175 11.jpg,https://commons.wikimedia.org/wiki/File:C188b175_11.jpg,event_photo_or_context_image,weak_context_or_profile_image,card_support_candidate,card,apply_card_demotion,high,weak_context_or_profile_image: Own work,Weak profile/own-work/context image; keep source visible but remove main-sheet claim.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00153,SURF-CAW2026R00153,1847,Morocco,IMG03,Wikimedia Commons file source / C188a816 06.jpg / page 175665055,C188a816 06.jpg,https://commons.wikimedia.org/wiki/File:C188a816_06.jpg,event_photo_or_context_image,weak_context_or_profile_image,card_support_candidate,card,apply_card_demotion,high,weak_context_or_profile_image: Own work,Weak profile/own-work/context image; keep source visible but remove main-sheet claim.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00167,SURF-CAW2026R00167,1850,Ukraine,IMG03,Wikimedia Commons file source / Kolomyja 1871 Kolomyia.jpg / page 22549640,Kolomyja 1871 Kolomyia.jpg,https://commons.wikimedia.org/wiki/File:Kolomyja_1871_Kolomyia.jpg,event_photo_or_context_image,philatelic_or_stamp_like,card_support_review,support_packet_appendix_text,apply_subsheet_demotion,medium,philatelic_or_stamp_like: stamp,Stamp/philatelic-like rows need support-packet treatment unless later reviewed as strong design objects.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00186,SURF-CAW2026R00186,1850,Peru,IMG03,"Wikimedia Commons file source / 'Saint Isidore the Laborer' by unknown Peruvian painter, c. 1850, Lowe Art Museum.JPG / page 37661048","'Saint Isidore the Laborer' by unknown Peruvian painter, c. 1850, Lowe Art Museum.JPG","https://commons.wikimedia.org/wiki/File:%27Saint_Isidore_the_Laborer%27_by_unknown_Peruvian_painter,_c._1850,_Lowe_Art_Museum.JPG",event_photo_or_context_image,weak_context_or_profile_image,card_support_candidate,card,apply_card_demotion,high,weak_context_or_profile_image: Own work,Weak profile/own-work/context image; keep source visible but remove main-sheet claim.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00200,SURF-CAW2026R00200,1852,United Kingdom,IMG03,Wikimedia Commons file source / Britishguiana1852-1cent.jpg / page 2819668,Britishguiana1852-1cent.jpg,https://commons.wikimedia.org/wiki/File:Britishguiana1852-1cent.jpg,event_photo_or_context_image,philatelic_or_stamp_like,card_support_review,support_packet_appendix_text,apply_subsheet_demotion,medium,philatelic_or_stamp_like: Postage,Stamp/philatelic-like rows need support-packet treatment unless later reviewed as strong design objects.
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00213,SURF-CAW2026R00213,1854,Latin America,IMG03,"Wikimedia Commons file source / Frederic Edwin Church - Tequendama Falls, Near Bogota, New Granada.jpg / page 6447810","Frederic Edwin Church - Tequendama Falls, Near Bogota, New Granada.jpg","https://commons.wikimedia.org/wiki/File:Frederic_Edwin_Church_-_Tequendama_Falls,_Near_Bogota,_New_Granada.jpg",event_photo_or_context_image,weak_context_or_profile_image,card_support_candidate,card,apply_card_demotion,high,weak_context_or_profile_image: Own work,Weak profile/own-work/context image; keep source visible but remove main-sheet claim.
