surface_id,source_record_id,current_region_label,suggested_split_label,period_basis,match_evidence,title
SURF-CGS2026R0912,CGS2026R0912,United States,Mexico; United States military occupation context,1846 in 1846-1848,"The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 10, Ed. 1 Tuesday, July 7, 1846 - DPLA - 66d525b15cd45bc5d43bae195b676df5 (page 1).jpg 1846 placeText: Latin America / Mexico | sourceSubjects: Latin America; Mexico; advertising; | title: The American Flag. (Matamoros, Tamaulipas, Mexi","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 10, Ed. 1 Tuesday, July 7, 1846 - DPLA - 66d525b15cd45bc5d43bae195b676df5 (page 1).jpg"
SURF-CGS2026R0913,CGS2026R0913,United States,Mexico; United States military occupation context,1846 in 1846-1848,"The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 10, Ed. 1 Tuesday, July 7, 1846 - DPLA - 66d525b15cd45bc5d43bae195b676df5 (page 2).jpg 1846 placeText: Latin America / Mexico | sourceSubjects: Latin America; Mexico; advertising; | title: The American Flag. (Matamoros, Tamaulipas, Mexi","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 10, Ed. 1 Tuesday, July 7, 1846 - DPLA - 66d525b15cd45bc5d43bae195b676df5 (page 2).jpg"
SURF-CGS2026R0914,CGS2026R0914,United States,Mexico; United States military occupation context,1846 in 1846-1848,"The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 14, Ed. 1 Sunday, July 19, 1846 - DPLA - 7b86f79ab4aafdfcbce6f37f89b624bc (page 3).jpg 1846 placeText: Latin America / Mexico | sourceSubjects: Latin America; Mexico; advertising; | title: The American Flag. (Matamoros, Tamaulipas, Mexi","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 14, Ed. 1 Sunday, July 19, 1846 - DPLA - 7b86f79ab4aafdfcbce6f37f89b624bc (page 3).jpg"
SURF-CGS2026R0915,CGS2026R0915,United States,Mexico; United States military occupation context,1846 in 1846-1848,"The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 14, Ed. 1 Sunday, July 19, 1846 - DPLA - 7b86f79ab4aafdfcbce6f37f89b624bc (page 4).jpg 1846 placeText: Latin America / Mexico | sourceSubjects: Latin America; Mexico; advertising; | title: The American Flag. (Matamoros, Tamaulipas, Mexi","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 14, Ed. 1 Sunday, July 19, 1846 - DPLA - 7b86f79ab4aafdfcbce6f37f89b624bc (page 4).jpg"
SURF-CGS2026R0916,CGS2026R0916,United States,Mexico; United States military occupation context,1846 in 1846-1848,"The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 15, Ed. 1 Tuesday, July 21, 1846 - DPLA - 7580cf140ca65afcd517a8b7f5d57646 (page 2).jpg 1846 placeText: Latin America / Mexico | sourceSubjects: Latin America; Mexico; advertising; | title: The American Flag. (Matamoros, Tamaulipas, Mex","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 15, Ed. 1 Tuesday, July 21, 1846 - DPLA - 7580cf140ca65afcd517a8b7f5d57646 (page 2).jpg"
SURF-CGS2026R0917,CGS2026R0917,United States,Mexico; United States military occupation context,1846 in 1846-1848,"The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 16, Ed. 1 Friday, July 24, 1846 - DPLA - a26aa47497e180d828c6bf95908c9e4e (page 2).jpg 1846 placeText: Latin America / Mexico | sourceSubjects: Latin America; Mexico; advertising; | title: The American Flag. (Matamoros, Tamaulipas, Mexi","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 16, Ed. 1 Friday, July 24, 1846 - DPLA - a26aa47497e180d828c6bf95908c9e4e (page 2).jpg"
SURF-CGS2026R0918,CGS2026R0918,United States,Mexico; United States military occupation context,1846 in 1846-1848,"The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 17, Ed. 1 Monday, July 27, 1846 - DPLA - 9b6acebdd5993fc5bfe35470ea3aac81 (page 3).jpg 1846 placeText: Latin America / Mexico | sourceSubjects: Latin America; Mexico; advertising; | title: The American Flag. (Matamoros, Tamaulipas, Mexi","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 17, Ed. 1 Monday, July 27, 1846 - DPLA - 9b6acebdd5993fc5bfe35470ea3aac81 (page 3).jpg"
SURF-CGS2026R0919,CGS2026R0919,United States,Mexico; United States military occupation context,1846 in 1846-1848,"The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 18, Ed. 1 Friday, July 31, 1846 - DPLA - b4c31ff8a34ea8f1e3b5df34adfd45cc (page 2).jpg 1846 placeText: Latin America / Mexico | sourceSubjects: Latin America; Mexico; advertising; | title: The American Flag. (Matamoros, Tamaulipas, Mexi","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 18, Ed. 1 Friday, July 31, 1846 - DPLA - b4c31ff8a34ea8f1e3b5df34adfd45cc (page 2).jpg"
SURF-CGS2026R0920,CGS2026R0920,United States,Mexico; United States military occupation context,1846 in 1846-1848,"The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 19, Ed. 1 Monday, August 3, 1846 - DPLA - 7febda1a6886798cdb22c47fd29fd44f (page 2).jpg 1846 placeText: Latin America / Mexico | sourceSubjects: Latin America; Mexico; advertising; | title: The American Flag. (Matamoros, Tamaulipas, Mex","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 19, Ed. 1 Monday, August 3, 1846 - DPLA - 7febda1a6886798cdb22c47fd29fd44f (page 2).jpg"
SURF-CGS2026R0921,CGS2026R0921,United States,Mexico; United States military occupation context,1846 in 1846-1848,"The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 19, Ed. 1 Monday, August 3, 1846 - DPLA - 7febda1a6886798cdb22c47fd29fd44f (page 3).jpg 1846 placeText: Latin America / Mexico | sourceSubjects: Latin America; Mexico; advertising; | title: The American Flag. (Matamoros, Tamaulipas, Mex","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 19, Ed. 1 Monday, August 3, 1846 - DPLA - 7febda1a6886798cdb22c47fd29fd44f (page 3).jpg"
