plan_id,surface_id,source_record_id,current_label,suggested_label,suggested_region_id,suggested_geo_id,action_status,action_type,pre_apply_check,source_family,source_family_cluster_size,same_title_cluster_size,years_found,risk_flags,place_text,source_subjects,source_name,title,evidence
RG-CLEAN-ACT-0001,SURF-CGS2026R0032,CGS2026R0032,France,Argentina,REG004,GEO031,ready_for_batch_apply_after_sample_audit,region_geo_relabel_dry_run,sample_audit_required,wikimedia_commons,84,1,1850; 1900,,Latin America / Argentina,Latin America; Argentina; graphic design;,"Wikimedia Commons file source / Drawing, Project for a ceiling painting of the Argentina Theater in Rome- Venus, 1850–1900 (CH 18550329).jpg / page 64407332","Drawing, Project for a ceiling painting of the Argentina Theater in Rome- Venus, 1850–1900 (CH 18550329).jpg",Latin America / Argentina Latin America; Argentina; graphic design;
RG-CLEAN-ACT-0002,SURF-CGS2026R0036,CGS2026R0036,Brazil,Argentina,REG004,GEO031,spot_check_before_apply,region_geo_relabel_dry_run,current_label_appears_in_title; other_country_label_appears_in_title:Brazil,wikimedia_commons,84,1,1815; 1877; 1954,,Latin America / Argentina,Latin America; Argentina; stamp;,Wikimedia Commons file source / Stamp of Brazil - 1954 - Colnect 207822 - Zacarias de Góis and Vasconcellos 1815-1877.jpeg / page 98467018,Stamp of Brazil - 1954 - Colnect 207822 - Zacarias de Góis and Vasconcellos 1815-1877.jpeg,Latin America / Argentina Latin America; Argentina; stamp;
RG-CLEAN-ACT-0003,SURF-CGS2026R0055,CGS2026R0055,United States,Argentina,REG004,GEO031,ready_for_batch_apply_after_sample_audit,region_geo_relabel_dry_run,sample_audit_required,wikimedia_commons,84,1,1892,,Latin America / Argentina,Latin America; Argentina; stamp;,Wikimedia Commons file source / 1892issue 2pesos Argentina SanMartin Yv108 Mi97.jpg / page 58340677,1892issue 2pesos Argentina SanMartin Yv108 Mi97.jpg,Latin America / Argentina Latin America; Argentina; stamp;
RG-CLEAN-ACT-0004,SURF-CGS2026R0058,CGS2026R0058,United States,Argentina,REG004,GEO031,ready_for_batch_apply_after_sample_audit,region_geo_relabel_dry_run,sample_audit_required,wikimedia_commons,84,1,1900,,Latin America / Argentina,Latin America; Argentina; book cover;,"Wikimedia Commons file source / Almanaque Sud-Americano para 1900 book cover detail, from- BaANH49565 Almanaque Sud-Americano (1900) (page 1 crop).jpg / page 87563193","Almanaque Sud-Americano para 1900 book cover detail, from- BaANH49565 Almanaque Sud-Americano (1900) (page 1 crop).jpg",Latin America / Argentina Latin America; Argentina; book cover;
RG-CLEAN-ACT-0005,SURF-CGS2026R0075,CGS2026R0075,United States,Argentina,REG004,GEO031,ready_for_batch_apply_after_sample_audit,region_geo_relabel_dry_run,sample_audit_required,wikimedia_commons,84,1,1900,,Latin America / Argentina,Latin America; Argentina; book cover;,"Wikimedia Commons file source / Women in 1900 art, Almanaque Sud-Americano para 1900 book cover detail, from- BaANH49565 Almanaque Sud-Americano (1900) (page 1 crop) (cropped).jpg / page 87563397","Women in 1900 art, Almanaque Sud-Americano para 1900 book cover detail, from- BaANH49565 Almanaque Sud-Americano (1900) (page 1 crop) (cropped).jpg",Latin America / Argentina Latin America; Argentina; book cover;
RG-CLEAN-ACT-0006,SURF-CGS2026R0087,CGS2026R0087,France,Argentina,REG004,GEO031,ready_for_batch_apply_after_sample_audit,region_geo_relabel_dry_run,sample_audit_required,wikimedia_commons,84,1,1908; 1909,,Latin America / Argentina,Latin America; Argentina; stamp; Category:1909 postage stamps Category:José de San Martín on stamps Category:PD-AR-Anonymous Category:Postage stamps of Argentina,Wikimedia Commons file source / 1908 1Peso Argentina Yv147.jpg / page 58421639,1908 1Peso Argentina Yv147.jpg,Latin America / Argentina Latin America; Argentina; stamp; Category:1909 postage stamps Category:José de San Martín on stamps Category:PD-AR-Anonymous Category:Postage stamps of Argentina
RG-CLEAN-ACT-0007,SURF-CGS2026R0121,CGS2026R0121,Germany,Argentina,REG004,GEO031,ready_for_batch_apply_after_sample_audit,region_geo_relabel_dry_run,sample_audit_required,wikimedia_commons,84,1,1916,,Latin America / Argentina,Latin America; Argentina; magazine cover;,Wikimedia Commons file source / Nosotros - Marzo 1916 (cover).png / page 158572377,Nosotros - Marzo 1916 (cover).png,Latin America / Argentina Latin America; Argentina; magazine cover;
RG-CLEAN-ACT-0008,SURF-CGS2026R0188,CGS2026R0188,United States,Argentina,REG004,GEO031,ready_for_batch_apply_after_sample_audit,region_geo_relabel_dry_run,sample_audit_required,wikimedia_commons,84,1,1951,,Latin America / Argentina,Latin America; Argentina; book cover;,Wikimedia Commons file source / Flickr - bastique - Eva Peron autobiography.jpg / page 7927162,Flickr - bastique - Eva Peron autobiography.jpg,Latin America / Argentina Latin America; Argentina; book cover;
RG-CLEAN-ACT-0009,SURF-CGS2026R0197,CGS2026R0197,Brazil,Argentina,REG004,GEO031,spot_check_before_apply,region_geo_relabel_dry_run,current_label_appears_in_title; other_country_label_appears_in_title:Brazil,wikimedia_commons,84,1,1954,,Latin America / Argentina,Latin America; Argentina; stamp;,Wikimedia Commons file source / Stamp of Brazil - 1954 - Colnect 192275 - 2 - Growth of Sao Paulo - back.jpeg / page 98466913,Stamp of Brazil - 1954 - Colnect 192275 - 2 - Growth of Sao Paulo - back.jpeg,Latin America / Argentina Latin America; Argentina; stamp;
RG-CLEAN-ACT-0010,SURF-CGS2026R0198,CGS2026R0198,Brazil,Argentina,REG004,GEO031,spot_check_before_apply,region_geo_relabel_dry_run,current_label_appears_in_title; other_country_label_appears_in_title:Brazil,wikimedia_commons,84,1,1954,,Latin America / Argentina,Latin America; Argentina; stamp;,Wikimedia Commons file source / Stamp of Brazil - 1954 - Colnect 192286 - Sao Jose College Rio de Janeiro.jpeg / page 98466966,Stamp of Brazil - 1954 - Colnect 192286 - Sao Jose College Rio de Janeiro.jpeg,Latin America / Argentina Latin America; Argentina; stamp;
