cluster_id,review_priority,suggestion_type,suggested_label,risk_flags,row_count,source_family_count,sample_surface_ids,sample_titles,recommended_review_action
RG-CLEAN-CLUSTER-0001,P1_medium_review,pending_text_resurface,Indonesia,pending_or_low_signal_source,381,6,SURF-CPB2026R0007; SURF-CPB2026R0048; SURF-CPB2026R0049; SURF-CPB2026R0050; SURF-CPB2026R0051,"Stamp of Indonesia - 1949 - Colnect 772303 - Liberation.jpeg | Advertisement of Pondok Indah, Jakarta.png | Stamp of Indonesia - 1970 - Colnect 257384 - Expo 70 World s Fair.jpeg | Stamp of Indonesia - 1970 - Colnect 257386 - Purification of Justice.jpeg | Stamp of Indonesia - 1970 - Colnect 257387 - Universal Postal Union Headquarters.jpeg",audit_as_large_cluster_before_mapping_topic_vs_source_geography
RG-CLEAN-CLUSTER-0002,P1_date_sensitive_medium,direct_conflict_parse,Mexico,historical_dispute_period,220,1,SURF-CGS2026R0912; SURF-CGS2026R0913; SURF-CGS2026R0914; SURF-CGS2026R0915; SURF-CGS2026R0916,"The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 10, Ed. 1 Tuesday, July 7, 1846 - DPLA - 66d525b15cd45bc | The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 10, Ed. 1 Tuesday, July 7, 1846 - DPLA - 66d525b15cd45bc | The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 14, Ed. 1 Sunday, July 19, 1846 - DPLA - 7b86f79ab4aafdf | The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 14, Ed. 1 Sunday, July 19, 1846 - DPLA - 7b86f79ab4aafdf | The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 15, Ed. 1 Tuesday, July 21, 1846 - DPLA - 7580cf140ca65a",sample_dates_then_decide_split_or_modern_country_mapping
RG-CLEAN-CLUSTER-0003,P1_medium_review,pending_text_resurface,Caucasus,pending_or_low_signal_source,64,44,SURF-NMIIC2026R0009; SURF-NMIIC2026R0010; SURF-NMIIC2026R0011; SURF-NMIIC2026R0014; SURF-NMIIC2026R0054,"JU Narodna biblioteka Branko Copic Brod | ЈУ Народна библиотека ,, Др Љубо Михић'' Љубиње | Ljubinje | Biblioteka Vuk Karadžić Modriča | Narodna biblioteka Gacko | Gacko | БГБ - БИБЛИОТЕКА ГРАДА БЕОГРАДА",audit_as_large_cluster_before_mapping_topic_vs_source_geography
RG-CLEAN-CLUSTER-0004,P1_medium_review,pending_text_resurface,Georgia,pending_or_low_signal_source,36,3,SURF-CRG2026R3859; SURF-CRG2026R3865; SURF-CRG2026R3910; SURF-CRG2026R3911; SURF-CRG2026R3912,Stamp of Georgia - 2004 - Colnect 292908 - Merry Christmas.jpeg | Stamp of Georgia - 2008 - Colnect 293049 - Georgian letters and stamp.jpeg | Stamp of Georgia - 2014 - Colnect 634023 - Love.jpeg | Stamp of Georgia - 2014 - Colnect 634024 - Love.jpeg | Stamp of Georgia - 2014 - Colnect 634026 - Love.jpeg,audit_as_large_cluster_before_mapping_topic_vs_source_geography
RG-CLEAN-CLUSTER-0005,P1_medium_review,pending_text_resurface,Singapore,pending_or_low_signal_source,31,19,SURF-CRG2026R0183; SURF-ESR1931R038; SURF-ESR1931R039; SURF-ESR1931R042; SURF-ESR1931R050,Syair Siti Zubaidah cover.jpg | Home | BiblioAsia | BookSG / Print Heritage | DesignSingapore Council | National Archives of Singapore,sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0006,P2_low_signal_review,pending_text_resurface,Azerbaijan,pending_or_low_signal_source; low_signal_field,29,1,SURF-CRG2026R3775; SURF-CRG2026R3823; SURF-CRG2026R3965; SURF-CRG2026R3966; SURF-CRG2026R3967,Stamp of Azerbaijan - 1995 - Colnect 288043 - Paphiopedilum argus and Paphiopedilum barbatum.jpeg | Stamp of Azerbaijan - 2001 - Colnect 289573 - Zemfira Meftahaddinova shooting gold medal.jpeg | Stamp of Azerbaijan - 2017 - Colnect 748974 - Islamic Solidarity Games Baku 2017.jpeg | Stamp of Azerbaijan - 2017 - Colnect 748975 - 25th Anniversary of Azerbaijan in the World Bank.jpeg | Stamp of Azerbaijan - 2017 - Colnect 759960 - Nature of Azerbaijan I - Landscapes.jpeg,audit_as_large_cluster_before_mapping_topic_vs_source_geography
RG-CLEAN-CLUSTER-0007,P2_low_signal_review,pending_text_resurface,United States,pending_or_low_signal_source; low_signal_field,28,2,SURF-CRG2026R0493; SURF-CRG2026R0733; SURF-CRG2026R0744; SURF-CRG2026R0794; SURF-CRG2026R0799,Kingofkings poster.gif | Dawn Rider poster.jpg | Poster of the movie The Law of 45's.jpg | Afterthethinman.jpg | Devil dollposter.jpg,use_only_as_capture_or_review_hint
RG-CLEAN-CLUSTER-0008,P1_medium_review,pending_text_resurface,Bangladesh,pending_or_low_signal_source,22,3,SURF-CCR2026R0120; SURF-CRG2026R2137; SURF-CRG2026R3930; SURF-CRG2026R3950; SURF-CRG2026R4014,"Bengali Beauty Poster V08.jpg | Arefin Ahmed on Razz Man Magazine Cover December 2025.jpg | Bangladesh Press Institute Book Cover Unveiling By Hasanul Haq Inu 2015-04-02 (PID-0060050).jpg | Sheikh Hasina unveils book cover for Bangamata Fazilatunnesa Mujib 86th birth anniversary, 2016-08-07.jpg | 2018-05-07 Asaduzzaman Noor unveils book cover Women in Bangladesh Liberation War Rediscovered in Madonna Series Nationa",sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0009,P1_medium_review,pending_text_resurface,Philippines,pending_or_low_signal_source,19,7,SURF-CGS2026R1397; SURF-CGS2026R1398; SURF-CGS2026R1399; SURF-CGS2026R1400; SURF-COM1970R099,Secreto de confesion.jpg | La Luna Roja Poster.jpg | 2021 Living Legends Outstanding Filipinos Series 1 Poster.jpg | Charlie Tiu Hay Ang Most Wanted Poster.jpg | Philippines - Fly Northwest Orient Airlines.jpg,sample_5_to_10_then_promote_rules_if_consistent
RG-CLEAN-CLUSTER-0010,P2_low_signal_review,pending_text_resurface,United Kingdom,pending_or_low_signal_source; low_signal_field,19,2,SURF-CPB2026R0016; SURF-CRG2026R0049; SURF-CRG2026R0078; SURF-CRG2026R0108; SURF-CRG2026R0109,"UK-4d-1969.jpg | Tamworth Registration Office and Old Stone Cross public house, Church Street, Tamworth - geograph.org.uk - 1741874.jpg | 30a Sammlung Eybl Großbritannien. Alfred Leete (1882–1933) Britons (Kitchener) wants you (Briten Kitchener braucht Euch) | Stamp of Zululand - 1888 - Colnect 564761 - Queen Victoria UK Overstamped.jpeg | Stamp of Zululand - 1888 - Colnect 564763 - Queen Victoria UK Overstamped.jpeg",use_only_as_capture_or_review_hint
