packet_id,cluster_key,node_id,parent_node_id,node_type,candidate_surface_id,candidate_rank,node_title,year,source_family,image_state,proposed_relation_role,candidate_use,node_summary,relation_to_parent,source_basis,scope_policy,confidence_status,manual_check
cover_editorial_sandbox_001,United States|New Deal and civic poster programs|Library of Congress|1935-1939,cover_editorial_sandbox_001::cover_main_sandbox,,cover_main_sandbox_draft,,,"United States: New Deal and civic poster programs, 1936-1938",1936-1938,Library of Congress,"Seed candidate image states: IMG01=4, IMG03=1. Rights and image-state values are copied from seed inputs only; no upgrade or download was made.",cover_scope_candidate,sandbox_cover_editorial_review,Medium sandbox packet draft for United States / New Deal and civic poster programs using Library of Congress seed records from 1936-1938. The cover draft frames a review scope only; packet roles remain unapplied.,root sandbox cover draft; no official role applied,High-priority anchor seed plan row.,region_specific_or_not_global,sandbox_only_needs_manual_review,Do not apply cover_main automatically.
cover_editorial_sandbox_001,United States|New Deal and civic poster programs|Library of Congress|1935-1939,cover_editorial_sandbox_001::normal_main_candidate::SURF-MC1930R017,cover_editorial_sandbox_001::cover_main_sandbox,normal_main_candidate,SURF-MC1930R017,1,"WPA federal art regional exhibit, Montclair Museum Easel painting, graphic arts, poster display, index of design.",1936,Library of Congress,IMG01,packet_member_review,top_anchor_review_candidate,Top anchor review candidate copied into the sandbox tree for manual normal-main review.,candidate anchor below cover scope; relation not applied,High-priority seed candidate row.,region_specific_or_not_global,candidate_only,Confirm before any normal_main role assignment.
cover_editorial_sandbox_001,United States|New Deal and civic poster programs|Library of Congress|1935-1939,cover_editorial_sandbox_001::packet_member_or_card_candidate::SURF-MC1930R019,cover_editorial_sandbox_001::normal_main_candidate::SURF-MC1930R017,packet_member_or_card_candidate,SURF-MC1930R019,2,"WPA women painters, Federal Art Gallery, 50 Beacon St., Boston",1936,Library of Congress,IMG01,packet_member_review,secondary_anchor_review_candidate,Copied seed candidate for sub/card/appendix relation review.,candidate relation under normal-main candidate; relation not applied,High-priority seed candidate row.,region_specific_or_not_global,candidate_only,Require explicit relation evidence before sub/card/appendix assignment.
cover_editorial_sandbox_001,United States|New Deal and civic poster programs|Library of Congress|1935-1939,cover_editorial_sandbox_001::sub_sheet_candidate::SURF-MC1930R025,cover_editorial_sandbox_001::normal_main_candidate::SURF-MC1930R017,sub_sheet_candidate,SURF-MC1930R025,3,[WPA poster design showing the head and hands of a woman holding flowers and wheat above a blank banner],1936,Library of Congress,IMG01,sub_under_packet_candidate,secondary_anchor_review_candidate,Copied seed candidate for sub/card/appendix relation review.,candidate relation under normal-main candidate; relation not applied,High-priority seed candidate row.,region_specific_or_not_global,candidate_only,Require explicit relation evidence before sub/card/appendix assignment.
cover_editorial_sandbox_001,United States|New Deal and civic poster programs|Library of Congress|1935-1939,cover_editorial_sandbox_001::packet_member_or_card_candidate::SURF-MC1930R031,cover_editorial_sandbox_001::normal_main_candidate::SURF-MC1930R017,packet_member_or_card_candidate,SURF-MC1930R031,4,"WPA Federal Art Project exhibition, 77 Newbury St., Boston, Nov. 28, Dec. 10, 1938",1938,Library of Congress,IMG03,packet_member_review,secondary_anchor_review_candidate,Copied seed candidate for sub/card/appendix relation review.,candidate relation under normal-main candidate; relation not applied,High-priority seed candidate row.,region_specific_or_not_global,candidate_only,Require explicit relation evidence before sub/card/appendix assignment.
cover_editorial_sandbox_001,United States|New Deal and civic poster programs|Library of Congress|1935-1939,cover_editorial_sandbox_001::packet_member_or_card_candidate::SURF-MC1930R020,cover_editorial_sandbox_001::normal_main_candidate::SURF-MC1930R017,packet_member_or_card_candidate,SURF-MC1930R020,5,"Who's who in the zoo Illustrated natural history prepared by the WPA Federal Writers Project : On sale at all book stores, zoos, and museums.",1936,Library of Congress,IMG01,packet_member_review,secondary_anchor_review_candidate,Copied seed candidate for sub/card/appendix relation review.,candidate relation under normal-main candidate; relation not applied,High-priority seed candidate row.,region_specific_or_not_global,candidate_only,Require explicit relation evidence before sub/card/appendix assignment.
cover_editorial_sandbox_002,Poland|Modern typography and layout|Wikimedia Commons|1935-1939,cover_editorial_sandbox_002::cover_main_sandbox,,cover_main_sandbox_draft,,,"Poland: Modern typography and layout, 1935-1939",1935-1939,Wikimedia Commons,Seed candidate image states: IMG03=5. Rights and image-state values are copied from seed inputs only; no upgrade or download was made.,cover_scope_candidate,sandbox_cover_editorial_review,Medium sandbox packet draft for Poland / Modern typography and layout using Wikimedia Commons seed records from 1935-1939. The cover draft frames a review scope only; packet roles remain unapplied.,root sandbox cover draft; no official role applied,High-priority anchor seed plan row.,region_specific_or_not_global,sandbox_only_needs_manual_review,Do not apply cover_main automatically.
cover_editorial_sandbox_002,Poland|Modern typography and layout|Wikimedia Commons|1935-1939,cover_editorial_sandbox_002::normal_main_candidate::SURF-CCE2026R00403,cover_editorial_sandbox_002::cover_main_sandbox,normal_main_candidate,SURF-CCE2026R00403,1,Reklama.jpg,1937,Wikimedia Commons,IMG03,sub_under_packet_candidate,top_anchor_review_candidate,Top anchor review candidate copied into the sandbox tree for manual normal-main review.,candidate anchor below cover scope; relation not applied,High-priority seed candidate row.,region_specific_or_not_global,candidate_only,Confirm before any normal_main role assignment.
cover_editorial_sandbox_002,Poland|Modern typography and layout|Wikimedia Commons|1935-1939,cover_editorial_sandbox_002::packet_member_or_card_candidate::SURF-CCE2026R00423,cover_editorial_sandbox_002::normal_main_candidate::SURF-CCE2026R00403,packet_member_or_card_candidate,SURF-CCE2026R00423,2,Iwonicz-Zdrój advertisement (1939).jpg,1939,Wikimedia Commons,IMG03,packet_member_review,secondary_anchor_review_candidate,Copied seed candidate for sub/card/appendix relation review.,candidate relation under normal-main candidate; relation not applied,High-priority seed candidate row.,region_specific_or_not_global,candidate_only,Require explicit relation evidence before sub/card/appendix assignment.
cover_editorial_sandbox_002,Poland|Modern typography and layout|Wikimedia Commons|1935-1939,cover_editorial_sandbox_002::packet_member_or_card_candidate::SURF-CCE2026R00361,cover_editorial_sandbox_002::normal_main_candidate::SURF-CCE2026R00403,packet_member_or_card_candidate,SURF-CCE2026R00361,3,Czwiklicer 1.jpg,1936,Wikimedia Commons,IMG03,packet_member_review,secondary_anchor_review_candidate,Copied seed candidate for sub/card/appendix relation review.,candidate relation under normal-main candidate; relation not applied,High-priority seed candidate row.,region_specific_or_not_global,candidate_only,Require explicit relation evidence before sub/card/appendix assignment.
cover_editorial_sandbox_002,Poland|Modern typography and layout|Wikimedia Commons|1935-1939,cover_editorial_sandbox_002::sub_sheet_candidate::SURF-CCE2026R00363,cover_editorial_sandbox_002::normal_main_candidate::SURF-CCE2026R00403,sub_sheet_candidate,SURF-CCE2026R00363,4,Pmt 1.jpg,1936,Wikimedia Commons,IMG03,sub_under_packet_candidate,secondary_anchor_review_candidate,Copied seed candidate for sub/card/appendix relation review.,candidate relation under normal-main candidate; relation not applied,High-priority seed candidate row.,region_specific_or_not_global,candidate_only,Require explicit relation evidence before sub/card/appendix assignment.
cover_editorial_sandbox_002,Poland|Modern typography and layout|Wikimedia Commons|1935-1939,cover_editorial_sandbox_002::packet_member_or_card_candidate::SURF-CCT2026R01579,cover_editorial_sandbox_002::normal_main_candidate::SURF-CCE2026R00403,packet_member_or_card_candidate,SURF-CCT2026R01579,5,Movie poster - Granica in Sanok (1939).jpg,1939,Wikimedia Commons,IMG03,packet_member_review,secondary_anchor_review_candidate,Copied seed candidate for sub/card/appendix relation review.,candidate relation under normal-main candidate; relation not applied,High-priority seed candidate row.,region_specific_or_not_global,candidate_only,Require explicit relation evidence before sub/card/appendix assignment.
cover_editorial_sandbox_003,Aotearoa New Zealand|World War and public-information graphics|Te Papa|1980-1984,cover_editorial_sandbox_003::cover_main_sandbox,,cover_main_sandbox_draft,,,"Aotearoa New Zealand: World War and public-information graphics, 1980-1984",1980-1984,Te Papa,"Seed candidate image states: IMG00=1, IMG02=4. Rights and image-state values are copied from seed inputs only; no upgrade or download was made.",cover_scope_candidate,sandbox_cover_editorial_review,Medium sandbox packet draft for Aotearoa New Zealand / World War and public-information graphics using Te Papa seed records from 1980-1984. The cover draft frames a review scope only; packet roles remain unapplied.,root sandbox cover draft; no official role applied,High-priority anchor seed plan row.,region_specific_or_not_global,sandbox_only_needs_manual_review,Do not apply cover_main automatically.
cover_editorial_sandbox_003,Aotearoa New Zealand|World War and public-information graphics|Te Papa|1980-1984,cover_editorial_sandbox_003::normal_main_candidate::SURF-GAPIT2026R025,cover_editorial_sandbox_003::cover_main_sandbox,normal_main_candidate,SURF-GAPIT2026R025,1,Trident missile poster,1980,Te Papa,IMG02,packet_member_review,top_anchor_review_candidate,Top anchor review candidate copied into the sandbox tree for manual normal-main review.,candidate anchor below cover scope; relation not applied,High-priority seed candidate row.,region_specific_or_not_global,candidate_only,Confirm before any normal_main role assignment.
cover_editorial_sandbox_003,Aotearoa New Zealand|World War and public-information graphics|Te Papa|1980-1984,cover_editorial_sandbox_003::packet_member_or_card_candidate::SURF-GAPIT2026R032,cover_editorial_sandbox_003::normal_main_candidate::SURF-GAPIT2026R025,packet_member_or_card_candidate,SURF-GAPIT2026R032,2,"Poster, 'Protest and Survive'",1983,Te Papa,IMG02,packet_member_review,secondary_anchor_review_candidate,Copied seed candidate for sub/card/appendix relation review.,candidate relation under normal-main candidate; relation not applied,High-priority seed candidate row.,region_specific_or_not_global,candidate_only,Require explicit relation evidence before sub/card/appendix assignment.
cover_editorial_sandbox_003,Aotearoa New Zealand|World War and public-information graphics|Te Papa|1980-1984,cover_editorial_sandbox_003::packet_member_or_card_candidate::SURF-GAPIT2026R027,cover_editorial_sandbox_003::normal_main_candidate::SURF-GAPIT2026R025,packet_member_or_card_candidate,SURF-GAPIT2026R027,3,"Poster, 'The World According to Ronald Reagan'",1981,Te Papa,IMG02,packet_member_review,secondary_anchor_review_candidate,Copied seed candidate for sub/card/appendix relation review.,candidate relation under normal-main candidate; relation not applied,High-priority seed candidate row.,region_specific_or_not_global,candidate_only,Require explicit relation evidence before sub/card/appendix assignment.
cover_editorial_sandbox_003,Aotearoa New Zealand|World War and public-information graphics|Te Papa|1980-1984,cover_editorial_sandbox_003::packet_member_or_card_candidate::SURF-LPC2026R008,cover_editorial_sandbox_003::normal_main_candidate::SURF-GAPIT2026R025,packet_member_or_card_candidate,SURF-LPC2026R008,4,"Poster, ""We begin bombing in five minutes""",1984,Te Papa,IMG00,packet_member_review,secondary_anchor_review_candidate,Copied seed candidate for sub/card/appendix relation review.,candidate relation under normal-main candidate; relation not applied,High-priority seed candidate row.,region_specific_or_not_global,candidate_only,Require explicit relation evidence before sub/card/appendix assignment.
cover_editorial_sandbox_003,Aotearoa New Zealand|World War and public-information graphics|Te Papa|1980-1984,cover_editorial_sandbox_003::packet_member_or_card_candidate::SURF-GAPIT2026R023,cover_editorial_sandbox_003::normal_main_candidate::SURF-GAPIT2026R025,packet_member_or_card_candidate,SURF-GAPIT2026R023,5,"Poster, 'Hiroshima Day March'",1980,Te Papa,IMG02,packet_member_review,secondary_anchor_review_candidate,Copied seed candidate for sub/card/appendix relation review.,candidate relation under normal-main candidate; relation not applied,High-priority seed candidate row.,region_specific_or_not_global,candidate_only,Require explicit relation evidence before sub/card/appendix assignment.
