cluster_key,seed_lane,candidate_rank,surface_id,year,title,image_state,source_family,source_name,proposed_relation_role,anchor_review_score,risk_flags,positive_flags,candidate_use,manual_check
Aotearoa New Zealand|Postwar exhibition and cultural posters|Te Papa|1985-1989,cover_editorial_seed_ready,1,SURF-LPC2026R018,1988,"Poster, 'He's back.....hide your wallets!'",IMG02,Te Papa,Te Papa Collections Online,sub_under_packet_candidate,78.35,,campaign; graphic; poster,top_anchor_review_candidate,seed candidate only; do not apply role automatically
Aotearoa New Zealand|Postwar exhibition and cultural posters|Te Papa|1985-1989,cover_editorial_seed_ready,2,SURF-LPC2026R017,1988,"Poster, 'Frigates'",IMG02,Te Papa,Te Papa Collections Online,sub_under_packet_candidate,78.15,,campaign; graphic; poster,secondary_anchor_review_candidate,seed candidate only; do not apply role automatically
Aotearoa New Zealand|Postwar exhibition and cultural posters|Te Papa|1985-1989,cover_editorial_seed_ready,3,SURF-LPC2026R012,1985,"Poster, 'June 28 No Tour Friday'",IMG02,Te Papa,Te Papa Collections Online,sub_under_packet_candidate,75.95,,graphic; poster,secondary_anchor_review_candidate,seed candidate only; do not apply role automatically
Aotearoa New Zealand|Postwar exhibition and cultural posters|Te Papa|1985-1989,cover_editorial_seed_ready,4,SURF-LPC2026R019,1988,"Poster, 'It's that nice Mr Tizard'",IMG02,Te Papa,Te Papa Collections Online,packet_member_review,74.25,,campaign; graphic; poster,secondary_anchor_review_candidate,seed candidate only; do not apply role automatically
Aotearoa New Zealand|Postwar exhibition and cultural posters|Te Papa|1985-1989,cover_editorial_seed_ready,5,SURF-LPC2026R016,1988,"Poster, 'Frigates!!'",IMG02,Te Papa,Te Papa Collections Online,packet_member_review,74.25,,campaign; graphic; poster,secondary_anchor_review_candidate,seed candidate only; do not apply role automatically
Aotearoa New Zealand|World War and public-information graphics|Te Papa|1980-1984,cover_editorial_seed_ready,1,SURF-GAPIT2026R025,1980,Trident missile poster,IMG02,Te Papa,Te Papa Collections Online,packet_member_review,83.8,,graphic; logo; poster,top_anchor_review_candidate,seed candidate only; do not apply role automatically
Aotearoa New Zealand|World War and public-information graphics|Te Papa|1980-1984,cover_editorial_seed_ready,2,SURF-GAPIT2026R032,1983,"Poster, 'Protest and Survive'",IMG02,Te Papa,Te Papa Collections Online,packet_member_review,80.5,,graphic; poster,secondary_anchor_review_candidate,seed candidate only; do not apply role automatically
Aotearoa New Zealand|World War and public-information graphics|Te Papa|1980-1984,cover_editorial_seed_ready,3,SURF-GAPIT2026R027,1981,"Poster, 'The World According to Ronald Reagan'",IMG02,Te Papa,Te Papa Collections Online,packet_member_review,78.1,,graphic; poster,secondary_anchor_review_candidate,seed candidate only; do not apply role automatically
Aotearoa New Zealand|World War and public-information graphics|Te Papa|1980-1984,cover_editorial_seed_ready,4,SURF-LPC2026R008,1984,"Poster, ""We begin bombing in five minutes""",IMG00,Te Papa,Te Papa Collections Online,packet_member_review,76.5,,graphic; poster,secondary_anchor_review_candidate,seed candidate only; do not apply role automatically
Aotearoa New Zealand|World War and public-information graphics|Te Papa|1980-1984,cover_editorial_seed_ready,5,SURF-GAPIT2026R023,1980,"Poster, 'Hiroshima Day March'",IMG02,Te Papa,Te Papa Collections Online,packet_member_review,74.6,,graphic; poster,secondary_anchor_review_candidate,seed candidate only; do not apply role automatically
Poland|Modern typography and layout|Wikimedia Commons|1935-1939,cover_editorial_seed_ready,1,SURF-CCE2026R00403,1937,Reklama.jpg,IMG03,Wikimedia Commons,Wikimedia Commons file source / Reklama.jpg / page 50442,sub_under_packet_candidate,84.45,commons_file_source,advertisement; design; graphic; poster; visual communication,top_anchor_review_candidate,seed candidate only; do not apply role automatically
Poland|Modern typography and layout|Wikimedia Commons|1935-1939,cover_editorial_seed_ready,2,SURF-CCE2026R00423,1939,Iwonicz-Zdrój advertisement (1939).jpg,IMG03,Wikimedia Commons,Wikimedia Commons file source / Iwonicz-Zdrój advertisement (1939).jpg / page 52722761,packet_member_review,76.45,commons_file_source,advertisement; design; graphic; visual communication,secondary_anchor_review_candidate,seed candidate only; do not apply role automatically
