redundancy_candidate_id,scope_cell_id,candidate_label,candidate_class,creator_or_institution,date_text,source_name,url_or_search_path,record_family,expected_image_zone,rights_risk,automation_feasibility,replace_failed_target
SRCAND0101,C01,Bauhaus Exhibition — Herbert Bayer,exact_record,Herbert Bayer / MoMA,1923,MoMA Collection,https://www.moma.org/collection/works/8987,poster-object,IMG01,med,high,Y
SRCAND0102,C01,Design for a Bauhaus Exhibition Poster and Letterhead,search_path_only,Joost Schmidt / Harvard Art Museums,1923,Harvard Art Museums,"site:harvardartmuseums.org ""Design for a Bauhaus Exhibition Poster and Letterhead""",object-search,IMG01,med,med,Y
SRCAND0103,C01,Poster for a Kandinsky exhibition at the Bauhaus,search_path_only,Bauhaus context / Harvard Art Museums,ca. 1926,Harvard Art Museums,"site:harvardartmuseums.org ""Poster for a Kandinsky exhibition at the Bauhaus""",object-search,IMG01,med,med,Y
SRCAND0104,C01,Exhibition of European Architecture — Herbert Bayer,exact_record,Herbert Bayer / MoMA,1930,MoMA Collection,https://www.moma.org/collection/works/7908,poster-object,IMG01,med,high,Y
SRCAND0105,C01,Bauhaus — illustrated book / Bauhausbücher context,exact_record,Staatliches Bauhaus / The Met,1928,The Met Collection,https://www.metmuseum.org/art/collection/search/388947,book-object,IMG01,med,high,Y
SRCAND0106,C01,Bauhaus collection route in Dessau/Weimar,collection_level_record,Stiftung Bauhaus Dessau,ongoing,Bauhaus Dessau,site:bauhaus.de/en/collection Bauhaus poster,collection,IMG04,low,med,Stub
SRCAND0201,C02,Poster Museum at Wilanów overview,collection_level_record,Muzeum Plakatu w Wilanowie,museum ongoing,Poster Museum,https://postermuseum.pl/en/about-us/,collection,IMG04,low,high,Y
SRCAND0202,C02,Henryk Tomaszewski virtual-museum route,search_path_only,Poster Museum,mid-20th c.,Poster Museum,"site:postermuseum.pl/en/virtual-museum ""Henryk Tomaszewski""",object-search,IMG01,med,med,Y
SRCAND0203,C02,Jan Lenica virtual-museum route,search_path_only,Poster Museum,mid-20th c.,Poster Museum,"site:postermuseum.pl/en/virtual-museum ""Jan Lenica""",object-search,IMG01,med,med,Y
SRCAND0204,C02,National Museum Warsaw digital poster route,search_path_only,Muzeum Narodowe w Warszawie,postwar,MNW Digital,site:cyfrowe.mnw.art.pl plakat Tomaszewski,object-search,IMG01,med,med,Y
SRCAND0205,C02,Polish poster route in MoMA,search_path_only,MoMA,postwar,MoMA Collection,site:moma.org Polish poster Tomaszewski collection works,object-search,IMG01,med,high,Y
