geographyId,label,class,mappingState,transnational,broadRegion,historical,total_public_records,period_assignments,active_period_count,longest_consecutive_run,substantive_period_count,longest_substantive_run,first_active_period,last_active_period,year_min,year_max,median_records_per_active_period,peak_period,peak_period_records,peak_period_concentration_pct,off_peak_records,max_share_of_period_pct,periods_at_rank_1,periods_in_top_3,precise_records,precise_share_pct,approximate_records,range_records,source_count,top_source,top_source_share_pct,outside_top_source_records,reader_facing_records,reader_facing_share_pct,visual_route_records,visual_route_share_pct,flags,decision,reason_codes,records_by_period,share_by_period_pct,rank_by_period
SPTGEO:627ad144a3cb31d9f0749b6fae5b6fc7221a2fe88c2cb7fea4178a97d44b1b01,United Kingdom,country,mapped,False,False,False,3214,3251,22,22,21,20,1800s,2010s,1800,2012,57.0,1980s,1630,50.1,1621,100.0,17,21,3011,93.7,174,29,6,collections.vam.ac.uk,92.8,230,976,30.4,3201,99.6,SOURCE_DOMINANT_75|PEAK_DECADE_HALF|READER_FACING_MINORITY,OPEN,OPEN,7|2|8|16|25|48|77|58|37|96|111|101|145|47|56|233|154|19|1630|157|198|26|0,58.3|33.3|80.0|100.0|96.2|98.0|97.5|95.1|77.1|45.5|67.7|53.7|56.4|17.7|20.7|60.8|11.0|1.7|85.9|35.6|30.7|7.4|0.0,1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|1|2|14|1|1|2|3|
SPTGEO:9859d40c449b029e7a48ef3049be591b17005635749be839199ebf41b6c16275,United States,country,mapped,False,False,False,1175,1176,17,17,14,14,1860s,2020s,1863,2025,37,2000s,274,23.3,902,42.4,4,11,1120,95.3,54,1,6,www.loc.gov,39.6,710,1118,95.1,1138,96.9,,OPEN,OPEN,0|0|0|0|0|0|2|1|1|21|11|37|21|56|40|23|157|226|49|129|274|119|9,0.0|0.0|0.0|0.0|0.0|0.0|2.5|1.6|2.1|10.0|6.7|19.7|8.2|21.1|14.8|6.0|11.2|20.6|2.6|29.3|42.4|33.9|5.7,||||||2|4|6|3|4|2|3|2|4|4|1|1|3|2|1|1|5
SPTGEO:2be2877e2336a0a4f23ab56680dde82cfe5e78893dd6944558a26f169313f532,Norway,country,mapped,False,False,False,562,562,15,14,13,13,1850s,2010s,1854,2016,35,1990s,98,17.4,464,22.2,1,11,562,100.0,0,0,5,api.nb.no,92.9,40,562,100.0,562,100.0,SOURCE_DOMINANT_75,OPEN,OPEN,0|0|0|0|0|1|0|0|3|9|16|23|41|58|46|35|54|52|83|98|28|15|0,0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|6.2|4.3|9.8|12.2|16.0|21.9|17.0|9.1|3.9|4.7|4.4|22.2|4.3|4.3|0.0,|||||2|||3|5|2|3|2|1|3|2|6|6|2|3|3|5|
SPTGEO:858c03ee8dc67cb3815308c2a70d2a8076ce7c65fbdd89e183c3c449ec2454ad,Germany,country,mapped,False,False,False,427,430,16,16,11,10,1860s,2010s,1864,2017,7.0,1960s,144,33.5,286,19.3,0,6,411,96.3,13,3,6,www.loc.gov,55.5,190,313,73.3,425,99.5,,OPEN,OPEN,0|0|0|0|0|0|1|1|2|5|6|6|8|22|52|25|144|118|21|3|3|13|0,0.0|0.0|0.0|0.0|0.0|0.0|1.3|1.6|4.2|2.4|3.7|3.2|3.1|8.3|19.3|6.5|10.3|10.8|1.1|0.7|0.5|3.7|0.0,||||||3|3|4|6|5|4|4|4|2|3|3|3|5|11|18|7|
SPTGEO:48f4e0fe74ed341a1562a77b83d9144c45eceeed26cc56fb8a817da6e011f0e8,Russia,country,mapped,False,False,False,231,231,9,9,7,7,1910s,1990s,1912,1993,11,1960s,85,36.8,146,12.6,0,0,228,98.7,3,0,5,www.loc.gov,69.3,71,200,86.6,231,100.0,,OPEN,OPEN,0|0|0|0|0|0|0|0|0|0|0|4|5|11|34|10|85|60|18|4|0|0|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.1|1.9|4.2|12.6|2.6|6.1|5.5|0.9|0.9|0.0|0.0|0.0,|||||||||||5|7|7|5|5|4|5|7|10|||
SPTGEO:7fa25d0a42d57f51454b440a3bd0bab7cfedf7e75e7333dbb4392079331df3b2,France,country,mapped,False,False,False,224,224,15,15,9,4,1870s,2010s,1872,2015,5,1960s,72,32.1,152,24.2,0,4,213,95.1,11,0,6,www.loc.gov,55.8,99,193,86.2,205,91.5,,OPEN,OPEN,0|0|0|0|0|0|0|2|5|51|15|4|5|14|2|5|72|33|9|2|3|2|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.3|10.4|24.2|9.1|2.1|1.9|5.3|0.7|1.3|5.2|3.0|0.5|0.5|0.5|0.6|0.0,|||||||2|2|2|3|6|8|5|12|11|5|9|9|12|17|20|
SPTGEO:a292e840b9faecf0fd352f675b1b98e6e0fcb9f3a56e47792ebbe7dd4a0cea61,Netherlands,country,mapped,False,False,False,164,164,12,6,6,3,1890s,2020s,1897,2022,5.5,2010s,67,40.9,97,19.1,0,1,161,98.2,3,0,3,www.artic.edu,62.2,62,157,95.7,163,99.4,,REVIEW,INSUFFICIENT_TEMPORAL_CONTINUITY,0|0|0|0|0|0|0|0|0|3|1|0|8|4|1|1|44|11|0|1|7|67|16,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.4|0.6|0.0|3.1|1.5|0.4|0.3|3.1|1.0|0.0|0.2|1.1|19.1|10.1,|||||||||8|9||5|12|17|17|10|20||19|9|2|4
SPTGEO:38b90fc6afc90269586919bdf81cf0a84109a64b1fabb4efe98b105bf187a824,China / Hong Kong,transnational,mapped,True,False,False,163,163,7,3,3,2,1910s,2000s,1913,2008,3,1970s,123,75.5,40,11.2,0,1,158,96.9,5,0,3,www.loc.gov,93.3,11,158,96.9,163,100.0,SOURCE_DOMINANT_75|PEAK_DECADE_HALF|COMPOSITE_GOVERNED_IDENTITY,REVIEW,INSUFFICIENT_TEMPORAL_CONTINUITY|SINGLE_PERIOD_CONCENTRATION|SOURCE_CONCENTRATION,0|0|0|0|0|0|0|0|0|0|0|1|3|3|0|3|25|123|0|0|5|0|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|1.2|1.1|0.0|0.8|1.8|11.2|0.0|0.0|0.8|0.0|0.0,|||||||||||9|11|13||13|19|2|||12||
SPTGEO:6db2978ff939b8fdccd88b9487ba0a570c7c305a91de6b5e6dc3d36c8c97e041,Chile,country,mapped,False,False,False,129,129,6,6,4,2,1960s,2010s,1963,2011,5.5,1970s,85,65.9,44,7.8,0,0,129,100.0,0,0,2,www.bibliotecanacionaldigital.gob.cl,51.9,62,129,100.0,129,100.0,PEAK_DECADE_HALF,REVIEW,INSUFFICIENT_TEMPORAL_CONTINUITY|SINGLE_PERIOD_CONCENTRATION,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|28|85|4|6|5|1|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|7.8|0.2|1.4|0.8|0.3|0.0,||||||||||||||||16|4|11|6|14|28|
SPTGEO:31ebadef54116aebf6f0921581708e7e65c459a59954ca470f6b5f09ddc1e891,Italy,country,mapped,False,False,False,128,128,11,7,6,6,1890s,2010s,1897,2019,5,1960s,54,42.2,74,3.9,0,0,123,96.1,4,1,4,www.loc.gov,69.5,39,106,82.8,127,99.2,,OPEN,OPEN,0|0|0|0|0|0|0|0|0|1|2|0|2|7|5|5|54|41|7|0|2|2|0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5|1.2|0.0|0.8|2.6|1.9|1.3|3.9|3.7|0.4|0.0|0.3|0.6|0.0,|||||||||9|6||12|9|7|10|7|8|10||21|19|
