bin_start,bin_end,all_records,object_dated_records,span_or_profile_records,object_share_of_expected,status
1830,1834,143,143,0,0.193,diagnostic
1835,1839,28,28,0,0.038,diagnostic
1840,1844,70,70,0,0.095,diagnostic
1845,1849,253,253,0,0.342,diagnostic
1850,1854,98,98,0,0.132,diagnostic
1855,1859,41,41,0,0.055,diagnostic
1860,1864,96,96,0,0.130,diagnostic
1865,1869,108,108,0,0.146,diagnostic
1870,1874,121,121,0,0.164,diagnostic
1875,1879,95,95,0,0.128,diagnostic
1880,1884,210,210,0,0.284,diagnostic
1885,1889,245,245,0,0.331,diagnostic
1890,1894,224,224,0,0.303,diagnostic
1895,1899,269,269,0,0.364,diagnostic
1900,1904,382,382,0,0.516,diagnostic
1905,1909,283,283,0,0.383,diagnostic
1910,1914,361,361,0,0.488,diagnostic
1915,1919,453,453,0,0.612,diagnostic
1920,1924,411,411,0,0.556,diagnostic
1925,1929,413,413,0,0.558,diagnostic
1930,1934,653,653,0,0.883,ok
1935,1939,896,896,0,1.211,ok
1940,1944,1037,1037,0,1.402,ok
1945,1949,545,545,0,0.737,moderate_gap
1950,1954,618,618,0,0.835,ok
1955,1959,385,385,0,0.520,severe_gap
1960,1964,446,446,0,0.603,moderate_gap
1965,1969,644,644,0,0.871,ok
1970,1974,1414,1414,0,1.912,ok
1975,1979,1153,1153,0,1.559,ok
1980,1984,345,345,0,0.466,severe_gap
1985,1989,374,374,0,0.506,severe_gap
1990,1994,468,468,0,0.633,moderate_gap
1995,1999,500,500,0,0.676,moderate_gap
2000,2004,372,372,0,0.503,severe_gap
2005,2009,621,621,0,0.840,ok
2010,2014,1766,1766,0,2.387,ok
2015,2019,1081,1081,0,1.461,ok
2020,2024,1140,1140,0,1.541,recent_overfull_review
2025,2026,1050,336,714,0.454,severe_gap
