candidate_id	candidate_label	grammatical_form	discovery_source_id
REL-CAND-0001	mediation	NOUN	SRC-0001
REL-CAND-0002	circulation	NOUN	SRC-0003
REL-CAND-0003	appropriation	NOUN	SRC-0005
REL-CAND-0004	canonization	NOUN	SRC-0007
REL-CAND-0005	professionalization	NOUN	SRC-0009
REL-CAND-0006	institutionalization	NOUN	SRC-0011
REL-CAND-0007	transnational interactions	NOUN_PHRASE	SRC-0011
REL-CAND-0008	cultural translation	NOUN_PHRASE	SRC-0014
REL-CAND-0009	design exchanges	NOUN_PHRASE	SRC-0016
REL-CAND-0010	commodification	NOUN	SRC-0017
REL-CAND-0011	gendering	NOUN	SRC-0017
REL-CAND-0012	displacement	NOUN	SRC-0020
REL-CAND-0013	exclusion	NOUN	SRC-0022
REL-CAND-0014	erasure	NOUN	SRC-0023
REL-CAND-0015	access	NOUN	SRC-0024
REL-CAND-0016	translation	NOUN	SRC-0012
REL-CAND-0017	creative appropriation	NOUN_PHRASE	SRC-0005
REL-CAND-0018	collective process	NOUN_PHRASE	SRC-0022
REL-CAND-0019	relational infrastructure	NOUN_PHRASE	SRC-0024
REL-CAND-0020	work migrations	NOUN_PHRASE	SRC-0025
REL-CAND-0021	collective production	NOUN_PHRASE	SRC-0027
REL-CAND-0022	oblikovanje	NOUN	SRC-0029
REL-CAND-0023	transculturation	NOUN	SRC-0031
REL-CAND-0024	cultural mobility	NOUN_PHRASE	SRC-0035
REL-CAND-0025	self-exoticization	NOUN	SRC-0037
REL-CAND-0026	coloniality	NOUN	SRC-0038
REL-CAND-0027	decolonization	NOUN	SRC-0040
REL-CAND-0028	power relations	NOUN_PHRASE	SRC-0042
REL-CAND-0029	cultural transferral	NOUN_PHRASE	SRC-0033
REL-CAND-0030	cultural diplomacy	NOUN_PHRASE	SRC-0044
REL-CAND-0031	transnationalism	NOUN	SRC-0046
REL-CAND-0032	imitation	NOUN	SRC-0048
REL-CAND-0033	piracy	NOUN	SRC-0048
