evidence_id	assessment_id	evidence_channel	source_id	source_kind	creator	year	title	locator	stable_url	doi	source_family	domain_alignment	support_role	association_context	source_metadata_verified	evidence_verified	upstream_evidence_ref
R14-EVID-001-01	R14-ASSOC-001	EXTERNAL_SCHOLARSHIP	COMP-SRC-001	ARTICLE	Grace Lees-Maffei	2008	Introduction: Professionalization as a Focus in Interior Design History	accepted manuscript p.9	https://academic.oup.com/jdh/article/21/1/1/361205	10.1093/jdh/epn007	PROFESSIONALIZATION_INTERIOR_DESIGN	DESIGN_HISTORY	ASSOCIATION_SUPPORT	Professionalization is defined through the institutionalisation of occupational trust and reputation in an interior-design history.	true	true	COMP-EVID-001
R14-EVID-001-02	R14-ASSOC-001	EXTERNAL_SCHOLARSHIP	COMP-SRC-002	ARTICLE	Turid Moldenæs;Hilde Marie Pettersen	2021	The Professional Project of Graphic Designers and Universities' Visual Identities	pp.185, 194	https://munin.uit.no/handle/10037/22810	10.1093/jpo/joab010	GRAPHIC_DESIGN_PROFESSIONS	DESIGN_HISTORY	ASSOCIATION_SUPPORT	Graphic designers' professional project and the institutionalization of their logic are described as interwoven and mutually reinforcing.	true	true	COMP-EVID-002
R14-EVID-002-01	R14-ASSOC-002	EXTERNAL_SCHOLARSHIP	COMP-SRC-009	ARTICLE	Grace Lees-Maffei	2009	The Production–Consumption–Mediation Paradigm	abstract and PCM currents	https://doi.org/10.1093/jdh/epp031	10.1093/jdh/epp031	PCM_METHODOLOGY	DESIGN_HISTORY	ASSOCIATION_SUPPORT	The PCM model distinguishes designed channels that connect production and consumption and participate in meaning inscription.	true	true	COMP-EVID-008
R14-EVID-002-02	R14-ASSOC-002	EXTERNAL_SCHOLARSHIP	COMP-SRC-010	ARTICLE	Anna Kallen Talley	2026	Digital Design History: State of the Field, Definitions and Possibilities	Design history and digital material culture section	https://academic.oup.com/jdh/article/39/2/113/8537083	10.1093/jdh/epag001	PCM_METHODOLOGY	DESIGN_HISTORY	ASSOCIATION_SUPPORT	Digital design-history analysis applies the phrase to interfaces and platforms that shape cultural meanings.	true	true	COMP-EVID-009
R14-EVID-002-03	R14-ASSOC-002	EXTERNAL_SCHOLARSHIP	COMP-SRC-009	ARTICLE	Grace Lees-Maffei	2009	The Production–Consumption–Mediation Paradigm	abstract and PCM currents	https://doi.org/10.1093/jdh/epp031	10.1093/jdh/epp031	PCM_METHODOLOGY	DESIGN_HISTORY	ASSOCIATION_SUPPORT	Designed goods are identified as devices participating between production and consumption.	true	true	COMP-EVID-010
R14-EVID-003-01	R14-ASSOC-003	EXTERNAL_SCHOLARSHIP	COMP-SRC-009	ARTICLE	Grace Lees-Maffei	2009	The Production–Consumption–Mediation Paradigm	abstract and PCM currents	https://doi.org/10.1093/jdh/epp031	10.1093/jdh/epp031	PCM_METHODOLOGY	DESIGN_HISTORY	ASSOCIATION_SUPPORT	The PCM model distinguishes designed channels that connect production and consumption and participate in meaning inscription.	true	true	COMP-EVID-008
R14-EVID-003-02	R14-ASSOC-003	EXTERNAL_SCHOLARSHIP	COMP-SRC-010	ARTICLE	Anna Kallen Talley	2026	Digital Design History: State of the Field, Definitions and Possibilities	Design history and digital material culture section	https://academic.oup.com/jdh/article/39/2/113/8537083	10.1093/jdh/epag001	PCM_METHODOLOGY	DESIGN_HISTORY	ASSOCIATION_SUPPORT	Digital design-history analysis applies the phrase to interfaces and platforms that shape cultural meanings.	true	true	COMP-EVID-009
R14-EVID-003-03	R14-ASSOC-003	EXTERNAL_SCHOLARSHIP	COMP-SRC-010	ARTICLE	Anna Kallen Talley	2026	Digital Design History: State of the Field, Definitions and Possibilities	Digital objects in the PCM paradigm section	https://academic.oup.com/jdh/article/39/2/113/8537083	10.1093/jdh/epag001	PCM_METHODOLOGY	DESIGN_HISTORY	ASSOCIATION_SUPPORT	A digital object participates in ongoing production-consumption and third-party data relations.	true	true	COMP-EVID-011
R14-EVID-004-01	R14-ASSOC-004	EXTERNAL_SCHOLARSHIP	COMP-SRC-009	ARTICLE	Grace Lees-Maffei	2009	The Production–Consumption–Mediation Paradigm	abstract and PCM currents	https://doi.org/10.1093/jdh/epp031	10.1093/jdh/epp031	PCM_METHODOLOGY	DESIGN_HISTORY	ASSOCIATION_SUPPORT	The PCM model distinguishes designed channels that connect production and consumption and participate in meaning inscription.	true	true	COMP-EVID-008
R14-EVID-004-02	R14-ASSOC-004	EXTERNAL_SCHOLARSHIP	COMP-SRC-009	ARTICLE	Grace Lees-Maffei	2009	The Production–Consumption–Mediation Paradigm	abstract and PCM currents	https://doi.org/10.1093/jdh/epp031	10.1093/jdh/epp031	PCM_METHODOLOGY	DESIGN_HISTORY	ASSOCIATION_SUPPORT	Designed goods are identified as devices participating between production and consumption.	true	true	COMP-EVID-010
R14-EVID-004-03	R14-ASSOC-004	EXTERNAL_SCHOLARSHIP	COMP-SRC-010	ARTICLE	Anna Kallen Talley	2026	Digital Design History: State of the Field, Definitions and Possibilities	Digital objects in the PCM paradigm section	https://academic.oup.com/jdh/article/39/2/113/8537083	10.1093/jdh/epag001	PCM_METHODOLOGY	DESIGN_HISTORY	ASSOCIATION_SUPPORT	A digital object participates in ongoing production-consumption and third-party data relations.	true	true	COMP-EVID-011
R14-EVID-005-01	R14-ASSOC-005	EXTERNAL_SCHOLARSHIP	COMP-SRC-023	ARTICLE	Susan E. Reid	2017	Cold War Cultural Transactions: Designing the USSR for the West at Brussels Expo '58	abstract; p.123	https://www.tandfonline.com/doi/abs/10.1080/17547075.2017.1333388	10.1080/17547075.2017.1333388	DESIGN_DIPLOMACY_GENEALOGY	DESIGN_HISTORY	ASSOCIATION_SUPPORT	A Soviet exposition case uses design diplomacy as a lens for international persuasion, negotiation, and compromise.	true	true	COMP-EVID-024
R14-EVID-005-02	R14-ASSOC-005	EXTERNAL_SCHOLARSHIP	COMP-SRC-024	ARTICLE	Katarzyna Jeżowska	2024	Socialist, Humanist and Well-Designed: The Polish Welfare State at the International Labour Exhibition in Turin, 1961	Design Diplomacy section p.175	https://www.cambridge.org/core/journals/contemporary-european-history/article/socialist-humanist-and-welldesigned-the-polish-welfare-state-at-the-international-labour-exhibition-in-turin-1961/94D125A40C5B3B013872B9A949430909	10.1017/S0960777322000029	DESIGN_DIPLOMACY_APPLICATION	DESIGN_HISTORY	ASSOCIATION_SUPPORT	A Polish exhibition case distinguishes design culture as diplomatic subject from designers participating in state action.	true	true	COMP-EVID-025
R14-EVID-005-03	R14-ASSOC-005	EXTERNAL_SCHOLARSHIP	COMP-SRC-025	ARTICLE	Mark Ian Jones	2023	A Fleeting Glimpse? 'Sweden's Shop Window in Sydney' – the Sweden at David Jones' Exposition of 1954	p.282	https://doi.org/10.1080/10331867.2023.2282294	10.1080/10331867.2023.2282294	DESIGN_DIPLOMACY_APPLICATION	DESIGN_HISTORY	ASSOCIATION_SUPPORT	A Swedish exposition combines propaganda, goodwill, trade, and national representation through designed display.	true	true	COMP-EVID-026
R14-EVID-006-01	R14-ASSOC-006	EXTERNAL_SCHOLARSHIP	COMP-SRC-023	ARTICLE	Susan E. Reid	2017	Cold War Cultural Transactions: Designing the USSR for the West at Brussels Expo '58	abstract; p.123	https://www.tandfonline.com/doi/abs/10.1080/17547075.2017.1333388	10.1080/17547075.2017.1333388	DESIGN_DIPLOMACY_GENEALOGY	DESIGN_HISTORY	ASSOCIATION_SUPPORT	A Soviet exposition case uses design diplomacy as a lens for international persuasion, negotiation, and compromise.	true	true	COMP-EVID-024
R14-EVID-006-02	R14-ASSOC-006	EXTERNAL_SCHOLARSHIP	COMP-SRC-024	ARTICLE	Katarzyna Jeżowska	2024	Socialist, Humanist and Well-Designed: The Polish Welfare State at the International Labour Exhibition in Turin, 1961	Design Diplomacy section p.175	https://www.cambridge.org/core/journals/contemporary-european-history/article/socialist-humanist-and-welldesigned-the-polish-welfare-state-at-the-international-labour-exhibition-in-turin-1961/94D125A40C5B3B013872B9A949430909	10.1017/S0960777322000029	DESIGN_DIPLOMACY_APPLICATION	DESIGN_HISTORY	ASSOCIATION_SUPPORT	A Polish exhibition case distinguishes design culture as diplomatic subject from designers participating in state action.	true	true	COMP-EVID-025
R14-EVID-006-03	R14-ASSOC-006	EXTERNAL_SCHOLARSHIP	COMP-SRC-025	ARTICLE	Mark Ian Jones	2023	A Fleeting Glimpse? 'Sweden's Shop Window in Sydney' – the Sweden at David Jones' Exposition of 1954	p.282	https://doi.org/10.1080/10331867.2023.2282294	10.1080/10331867.2023.2282294	DESIGN_DIPLOMACY_APPLICATION	DESIGN_HISTORY	ASSOCIATION_SUPPORT	A Swedish exposition combines propaganda, goodwill, trade, and national representation through designed display.	true	true	COMP-EVID-026
R14-EVID-007-01	R14-ASSOC-007	EXTERNAL_SCHOLARSHIP	COMP-SRC-025	ARTICLE	Mark Ian Jones	2023	A Fleeting Glimpse? 'Sweden's Shop Window in Sydney' – the Sweden at David Jones' Exposition of 1954	p.282	https://doi.org/10.1080/10331867.2023.2282294	10.1080/10331867.2023.2282294	DESIGN_DIPLOMACY_APPLICATION	DESIGN_HISTORY	ASSOCIATION_SUPPORT	A Swedish exposition combines propaganda, goodwill, trade, and national representation through designed display.	true	true	COMP-EVID-026
R14-EVID-008-01	R14-ASSOC-008	EXTERNAL_SCHOLARSHIP	COMP-SRC-024	ARTICLE	Katarzyna Jeżowska	2024	Socialist, Humanist and Well-Designed: The Polish Welfare State at the International Labour Exhibition in Turin, 1961	Design Diplomacy section p.175	https://www.cambridge.org/core/journals/contemporary-european-history/article/socialist-humanist-and-welldesigned-the-polish-welfare-state-at-the-international-labour-exhibition-in-turin-1961/94D125A40C5B3B013872B9A949430909	10.1017/S0960777322000029	DESIGN_DIPLOMACY_APPLICATION	DESIGN_HISTORY	ASSOCIATION_SUPPORT	A Polish exhibition case distinguishes design culture as diplomatic subject from designers participating in state action.	true	true	COMP-EVID-025
R14-EVID-008-02	R14-ASSOC-008	EXTERNAL_SCHOLARSHIP	COMP-SRC-025	ARTICLE	Mark Ian Jones	2023	A Fleeting Glimpse? 'Sweden's Shop Window in Sydney' – the Sweden at David Jones' Exposition of 1954	p.282	https://doi.org/10.1080/10331867.2023.2282294	10.1080/10331867.2023.2282294	DESIGN_DIPLOMACY_APPLICATION	DESIGN_HISTORY	ASSOCIATION_SUPPORT	A Swedish exposition combines propaganda, goodwill, trade, and national representation through designed display.	true	true	COMP-EVID-026
R14-EVID-009-01	R14-ASSOC-009	EXTERNAL_SCHOLARSHIP	COMP-SRC-025	ARTICLE	Mark Ian Jones	2023	A Fleeting Glimpse? 'Sweden's Shop Window in Sydney' – the Sweden at David Jones' Exposition of 1954	p.282	https://doi.org/10.1080/10331867.2023.2282294	10.1080/10331867.2023.2282294	DESIGN_DIPLOMACY_APPLICATION	DESIGN_HISTORY	ASSOCIATION_SUPPORT	A Swedish exposition combines propaganda, goodwill, trade, and national representation through designed display.	true	true	COMP-EVID-026
R14-EVID-010-01	R14-ASSOC-010	EXTERNAL_SCHOLARSHIP	COMP-SRC-019	ARTICLE	Sarah A. Lichtman;Jilly Traganou	2021	Introduction to Material Displacements	abstract; pp.195–211	https://academic.oup.com/jdh/issue/34/3	10.1093/jdh/epab027	MATERIAL_DISPLACEMENTS	DESIGN_HISTORY	ASSOCIATION_SUPPORT	A design-history issue distinguishes movement and transformation of materials, objects, meanings, and sites.	true	true	COMP-EVID-020
R14-EVID-010-02	R14-ASSOC-010	EXTERNAL_SCHOLARSHIP	COMP-SRC-020	ARTICLE	Jane Hutton	2013	Reciprocal Landscapes: Material Portraits in New York City and Elsewhere	abstract; p.40	https://www.tandfonline.com/doi/abs/10.1080/18626033.2013.798922	10.1080/18626033.2013.798922	LANDSCAPE_MATERIAL_CHAINS	DESIGN_HISTORY	ASSOCIATION_SUPPORT	Landscape-material chains connect production and consumption sites with ecological and labor changes.	true	true	COMP-EVID-021
R14-EVID-011-01	R14-ASSOC-011	EXTERNAL_SCHOLARSHIP	COMP-SRC-020	ARTICLE	Jane Hutton	2013	Reciprocal Landscapes: Material Portraits in New York City and Elsewhere	abstract; p.40	https://www.tandfonline.com/doi/abs/10.1080/18626033.2013.798922	10.1080/18626033.2013.798922	LANDSCAPE_MATERIAL_CHAINS	DESIGN_HISTORY	ASSOCIATION_SUPPORT	Landscape-material chains connect production and consumption sites with ecological and labor changes.	true	true	COMP-EVID-021
R14-EVID-012-01	R14-ASSOC-012	EXTERNAL_SCHOLARSHIP	COMP-SRC-020	ARTICLE	Jane Hutton	2013	Reciprocal Landscapes: Material Portraits in New York City and Elsewhere	abstract; p.40	https://www.tandfonline.com/doi/abs/10.1080/18626033.2013.798922	10.1080/18626033.2013.798922	LANDSCAPE_MATERIAL_CHAINS	DESIGN_HISTORY	ASSOCIATION_SUPPORT	Landscape-material chains connect production and consumption sites with ecological and labor changes.	true	true	COMP-EVID-021
R14-EVID-013-01	R14-ASSOC-013	EXTERNAL_SCHOLARSHIP	COMP-SRC-013	ARTICLE	Tom Avermaete;Cathelijne Nuijsink	2021	Architectural Contact Zones: Another Way to Write Global Histories of the Post-War Period?	p.354; Contact Zone section	https://www.tandfonline.com/doi/full/10.1080/13264826.2021.1939745	10.1080/13264826.2021.1939745	ARCHITECTURAL_CONTACT_ZONES	DESIGN_HISTORY	ASSOCIATION_SUPPORT	Architectural contact zones support reciprocal negotiation, selective borrowing, adaptation, and rejection.	true	true	COMP-EVID-014
