export_variant_id	state_id	state_hash	category_entry_id	composition_id	seed_id	export_preset	theme_token_set	width	height	semantic_hash	state_presentation_hash	export_presentation_hash	manifest_validated	png_rendered	png_validated	png_replay_match
TEV2-000231c7a303b4f72413dd05	R16A-STATE-CD19C9CB3AD0F013AF32FB5B	cd19c9cb3ad0f013af32fb5b2c6b419fe6f87c9e3b00570dad7703c3ba13f892	R16A-ENTRY-34FE968144746CDA094A	R16A-PCOMP-43045E9427CF183AAAC1	R16A-SEED-6097F9211DB00AA752E5	portrait_card	neutral-contrast-v1	1080	1620	e9ba47b78852a848d1899ecad76c2e05c0b91d4cc39f1adfd729bb5fec0bb09d	444f103f5151aa5a852110a38fd16f4741341e0b13bc7bc665b0e0fa00835a6e	000231c7a303b4f72413dd05bb5514a89a8de2e899de92297a544388e1a41163	false	false	false	false
TEV2-0013536cfa36679345b397cb	R16A-STATE-3C0990757CFC36B103C5CD13	3c0990757cfc36b103c5cd135426b1218d6689d92910c8d0c20f0d6adebc9d49	R16A-ENTRY-5C66E3328B55C92AB100	R16A-PCOMP-EF917AD23AB2EDDC022B	R16A-SEED-DFA473B23F143E32BF0C	portrait_card	neutral-contrast-v1	1080	1620	17b6aea60241bc2dcb2316160658961abc41125f3f0b718a42336f9fee38ec9b	0cffb1e1a942553258edc21679ac3923df956b62c7c28f4991976672e76c6e70	0013536cfa36679345b397cbd87a6db40b439774768a43502dbf6c56d030590e	false	false	false	false
TEV2-0013bc45075ea792c65a534c	R16A-STATE-E83F5EB41B37A246CBB8B960	e83f5eb41b37a246cbb8b9602c7c6638a54f5bedfdb195ed9cec2d178cae0839	R16A-ENTRY-54B19765209E346B0EB5	R16A-PCOMP-90FF68DAFB1D06E172C3	R16A-SEED-EB4BC851C86771AC18ED	portrait_card	neutral-contrast-v1	1080	1620	4469c396d1835e807eede5d70a3e3e23032d8d2b810c0a04f7366c8f01adadef	31394594f20781d06cea8027165c56782fb5f8208d4ccb3d27c5f1d74dabb08a	0013bc45075ea792c65a534c598c7054a655dd3bc343cd43e592a3e923c40f52	false	false	false	false
TEV2-0015cfabd94f885c05764a2e	R16A-STATE-C5A3AF71635716C90FEE8082	c5a3af71635716c90fee8082b4b536a0d4e6ff6f1ccbe50ec8e4ba39c5bf642e	R16A-ENTRY-87BBEAB21D8FF1DF05A0	R16A-PCOMP-58BF0BDDF211BA2AA1D0	R16A-SEED-7F0EC37CFC0D6C9D2CA0	portrait_card	neutral-contrast-v1	1080	1620	1aa970274e9fb3eaf4f94d98b4fcff2f31cae48f8a4074effbd75e98b6014735	4042dc4833fe0cc31ab8ad127f413d5f5a6e31f1eb44c6b85b701a12dceeec1e	0015cfabd94f885c05764a2e2f3056233325fe2728b446f744f924a77ffdc3b0	false	false	false	false
TEV2-001762f0482d153747a8e664	R16A-STATE-D00B0A524DFC177512F74373	d00b0a524dfc177512f743731a38c0ab1ee713ff50fa221f9f773cee27491c2d	R16A-ENTRY-838873C85DA1094B688B	R16A-PCOMP-207796BB1106A9B1944D	R16A-SEED-90C09BACCECA40360BF8	portrait_card	neutral-contrast-v1	1080	1620	fed0fa6dc8137077c07fd609beaf6b05bf08f622be4ecd8e635cbf330d772951	00ca871fc3a7175c2573f505c318ac29c5528289695e5f19c6fff1879442b3c5	001762f0482d153747a8e66479176585c7c2ef7e60f18a8b29011caab3cd8597	false	false	false	false
TEV2-0020fea0b9efeaf7e7e0846e	R16A-STATE-1C6B9FE01FCF88901F601697	1c6b9fe01fcf88901f601697247baa4f0342432c151209e9eb6462d23f66293f	R16A-ENTRY-54148ACF0E6203E0DE04	R16A-PCOMP-A26E8C9D50CE5D4B7CAD	R16A-SEED-3CF6D31F7730480B5A0D	portrait_card	neutral-contrast-v1	1080	1620	7c42f9da2f984c1ecfd2afd7a6202e9690c01eaf7e4a3c00907a0050feacd839	237ff16622f913cb2333b7357f1617fb7ad15e405bcd6e5e8a882d688892e2aa	0020fea0b9efeaf7e7e0846e4cb6f081772309cefe89fe90aa3db9a33bddc2c4	false	false	false	false
TEV2-00216b081e76b5dccdf6826b	R16A-STATE-4A91A19FC73F84A4420852D4	4a91a19fc73f84a4420852d429070fbfb2591eebef7a27aa9fe577151ab144d4	R16A-ENTRY-84E933E1ADFB3F455763	R16A-PCOMP-4B3E7A083FD416AD59F6	R16A-SEED-39C0C1F451B166FB5EC1	portrait_card	neutral-v1	1080	1620	0f2c32c45d7c8a4e3027829a5691149d4a88d5b9da30e0cff8b46f4efde08268	a32951024a1963c0061527fd31ed14d811228c6867dcd5465e152a47d58af07f	00216b081e76b5dccdf6826bf8e800c57d1660097e17d98846ea2c81d043e914	false	false	false	false
TEV2-0024d3736edfce3c21c41e49	R16A-STATE-B49C8AC21E5E18B7E45BDDD7	b49c8ac21e5e18b7e45bddd79afd1834fae1a58372c71d1173d10ae4b215eb64	R16A-ENTRY-F0BB0E5BBF0EFD8FA646	R16A-PCOMP-535EFE6B1BD800365498	R16A-SEED-DDB89DB27A8FAC3D1458	portrait_card	neutral-contrast-v1	1080	1620	a2467aca76f10cc08e98014462fe80e6cada194cbd4e3ceed7a75318d3bb2bdc	1b9913558e81e9fb3b4eb5ebe4a3fb7e56d9db8dcea4bc565b5d7aa0a1505801	0024d3736edfce3c21c41e4945c98771dc360f7ed9a7df7585eaca1e93607acd	false	false	false	false
TEV2-0032bbe476d36f0213a7cdc4	R16A-STATE-FF8809EABE865B28E0919883	ff8809eabe865b28e091988300f033df9a888228318222da43037a31390908b7	R16A-ENTRY-D029EB63743D246F4E72	R16A-PCOMP-A4D63743BF118A6B5EEB	R16A-SEED-21629B4791B6489C5567	portrait_card	neutral-v1	1080	1620	30dfafdd337553210aa8fdc7102701ff5ee6195ead03d678cd6443a9df96ca7f	bfd30de04797fd4d80cb90e5ed822913d17416fcc9d97434fcd05a0cf29f5221	0032bbe476d36f0213a7cdc4109c7311c72a5b6f6d2e0a1dd5368491d2a34cc1	false	false	false	false
TEV2-0036a6ddd85dcc20b92e1a24	R16A-STATE-57E79B587FB3843123D8DD39	57e79b587fb3843123d8dd3951e97797e250fab45d3288f6cf14d95b53a43ff9	R16A-ENTRY-F0BB0E5BBF0EFD8FA646	R16A-PCOMP-185FC99A208DDE8A4A99	R16A-SEED-3103A40D06495ABBEE2B	portrait_card	neutral-v1	1080	1620	a2467aca76f10cc08e98014462fe80e6cada194cbd4e3ceed7a75318d3bb2bdc	4f8f21361c6c510fc4dbce014589dd0fa0ebfde3096e8452f66cf93c1aeb93e3	0036a6ddd85dcc20b92e1a249e044f13abf92ac58fb03522eca2f2533bf70f36	false	false	false	false
