scope	refname	object_sha
LOCAL	refs/codex/turn-diffs/captures/1787876435850/b1b90267-18dd-4a91-a5d5-cc43edd8a701/base	260618aa8ccd4fc85a935e6429917d6eab3f52ed
LOCAL	refs/codex/turn-diffs/checkpoints/139c52cfc567de345f1ab02c4bdb88378359b6ed798f424ff800bdd043b0fdca/b19c33e197716468eab7ab6ad8c0d2e6b851aa8ea590e39406b16349405c672f/1787664806975/65fe57dc-8600-4dae-a6d0-fabadfdd4c45	d8ec68fc0cd40a934ec013b2d6d7766b200c6bee
LOCAL	refs/codex/turn-diffs/checkpoints/3f504a519bd325f78cd89468badf63c07151a5e5ee7642553ff0947de902f08f/8dae0fe78351078fb0fd373813c83c8d68c09ff0ac212c3074b8041191531de3/1787750229766/14ed391c-657c-4bd3-a36c-6be3fcbaba34	260618aa8ccd4fc85a935e6429917d6eab3f52ed
LOCAL	refs/codex/turn-diffs/checkpoints/8db02de39592e2590672662f1b8bd05ca9d6ec20952017dabf05aaa6da84ef9a/8618673ea69dc53b61384e4c4f78bc4b749abe3f3c4d4e2e80017964e14f0726/1787281132486/14fbc005-2944-4671-b8bd-ef7266b4c48e	d8ec68fc0cd40a934ec013b2d6d7766b200c6bee
LOCAL	refs/codex/turn-diffs/checkpoints/c5956efe6d647e3151d215da78ccac6714123e03cb94f54b68f8f53a305c0530/9d3018f2cc8c5ac600f1e7c7524afa540a1397f9be23a3b189af01bff427583e/1787467317358/5c22c4a4-d330-4832-9010-3c6686818d53	d8ec68fc0cd40a934ec013b2d6d7766b200c6bee
LOCAL	refs/codex/turn-diffs/checkpoints/c8b04f8be451830c77e9df27438796d8e454786447beb59e486249b6aac7b014/f093b86a8201a62691703baaca82e3dba974684a8f05f28d49d7a434fc4608cb/1787574567100/c44bc169-214e-494f-8cc3-8ca07b94fbf8	d8ec68fc0cd40a934ec013b2d6d7766b200c6bee
LOCAL	refs/codex/turn-diffs/checkpoints/db42a49ff26c728891ec8843f90acf8844b8838c0af2e1c3f9d22da37e831a2e/651b2d6137f6e1a0788a11229fb6b69be9261b77bb0d65c17acb24d8f30cde1b/1787843635086/6d2a753c-e277-4b61-a12a-e5059ea33804	260618aa8ccd4fc85a935e6429917d6eab3f52ed
LOCAL	refs/heads/chore/v49-main-integration-20260825	0241b0f51e2523901b0858d54ffb7f5d2a9aa13c
LOCAL	refs/heads/chore/v49-phase2b-evidence-repair-20260815	60329e8ec713221bbf42318a4f4c7477e6eb5a72
LOCAL	refs/heads/chore/v49-phase2b-promotion-20260815	11e7b82d27b2774273d2f0d68904632246dabd37
