trigger_occurrence_id	trigger_id	trigger_class	input_surface_id	source_path	input_record_refs_json	locator	content_hashes_json	raw_participant_labels_json	raw_participant_sense_ids_json	participant_sense_ids_json	participant_set_key	scope_hypothesis_id	polarity	emission_kind	candidate_id	incidental_or_excluded_labels_json	notes	selector_version	occurrence_sha256
R16B-TRIGGER-OCC:00092231636d6b65883c8310029e26dc1cdf75dcfb090d159b6efd93fc7c48b7	TRG-004	ROUND16A_PRODUCTION_COMPOSITION	R16B-LOCAL-SURF-R16A-PRODUCTION	frontend/generated/trace-exploration-v2/production-read-model.json	"[""R16A-PCOMP-76193F5BF1E1C93464AE""]"		"[""ed64f4b1e1638365793afe460df80ea862f3b1c558abb8eb1df36f91218059a2""]"	"[""mediation"",""production"",""consumption""]"	"[""R16B-SENSE:35489187871bfd7b7be6e2d5268a3a922984d3bdad9e9a8ca61ea6edee84a5a7"",""R16B-SENSE:419a96e12217bfa4ed031510c32033cb2408489e3abb14eb28291b13c068e159"",""R16B-SENSE:06c230c771547ee49390903e0bad7aaf44063613309c93bcbd72e808116af4c6""]"	"[""R16B-SENSE:06c230c771547ee49390903e0bad7aaf44063613309c93bcbd72e808116af4c6"",""R16B-SENSE:35489187871bfd7b7be6e2d5268a3a922984d3bdad9e9a8ca61ea6edee84a5a7"",""R16B-SENSE:419a96e12217bfa4ed031510c32033cb2408489e3abb14eb28291b13c068e159""]"	7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64	R16B-SCOPE-HYP:c9a979ffdcf1ca3e5ff46fce4415b0565f60490b388941b12f739c0c5e9d55e7	PRODUCT_RECONCILIATION_REQUIRED	PRIOR_STRUCTURE_REVIEW_FAMILY	R16B-LOCAL-FAMILY:7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64	[]	Product-visible v2 composition requires group-level evidence and global-coherence reconciliation.	trace-round16b-local-candidate-selector-v1	90aec091fd59d145478de8ff79630c15bb2b82d6c4794bcb52d7ff0d25f84c6c
R16B-TRIGGER-OCC:01bde87d61f3a372bf1aa3ac8c5ed01b4ccbfa4021ef03ddf336c8deff4ee43d	TRG-004	ROUND16A_PRODUCTION_COMPOSITION	R16B-LOCAL-SURF-R16A-PRODUCTION	frontend/generated/trace-exploration-v2/production-read-model.json	"[""R16A-PCOMP-DEFDAE82AF82AD5D0B49""]"		"[""e9ba47b78852a848d1899ecad76c2e05c0b91d4cc39f1adfd729bb5fec0bb09d""]"	"[""trade"",""design diplomacy"",""exhibition"",""propaganda""]"	"[""R16B-SENSE:f0e28e13851d04c13b701f53d9b3911cb50fc572cc6203c64527804f0b37e909"",""R16B-SENSE:fa3369a6eb4bebe96ee289987f963e539b8da9c27ea0f454e8a24b6bddf9306f"",""R16B-SENSE:4e14e64610176c44c8a9775fba3a7d484b4eee0fb06ee9553c17675cb7f0b634"",""R16B-SENSE:f26224717160ca63c45ca85fe7c23e1469baa3e10672a68beafb13d195d0915d""]"	"[""R16B-SENSE:4e14e64610176c44c8a9775fba3a7d484b4eee0fb06ee9553c17675cb7f0b634"",""R16B-SENSE:f0e28e13851d04c13b701f53d9b3911cb50fc572cc6203c64527804f0b37e909"",""R16B-SENSE:f26224717160ca63c45ca85fe7c23e1469baa3e10672a68beafb13d195d0915d"",""R16B-SENSE:fa3369a6eb4bebe96ee289987f963e539b8da9c27ea0f454e8a24b6bddf9306f""]"	89817e7a449f1cc7b574fb1b89c9541f765e52825c5cb62bf0a2bb833e8f970a	R16B-SCOPE-HYP:d2b3bf985933a87249f8673b439596bf547c43b3f08fbab3a4058328f3ea4683	PRODUCT_RECONCILIATION_REQUIRED	PRIOR_STRUCTURE_REVIEW_FAMILY	R16B-LOCAL-FAMILY:89817e7a449f1cc7b574fb1b89c9541f765e52825c5cb62bf0a2bb833e8f970a	[]	Product-visible v2 composition requires group-level evidence and global-coherence reconciliation.	trace-round16b-local-candidate-selector-v1	fcda6d1152dc48dba61bedbdcc499f5acba48a90911932c444ed2541012ad53a
R16B-TRIGGER-OCC:02157aea489f4236a5c75793a4fc786b027a524ff1b4f537f40b6e75b9224e71	TRG-004	ROUND16A_PRODUCTION_COMPOSITION	R16B-LOCAL-SURF-R16A-PRODUCTION	frontend/generated/trace-exploration-v2/production-read-model.json	"[""R16A-PCOMP-0D79DD06BB12234D961D""]"		"[""f0b83479b2ba8e71ce26c1179231fd19dbe07cfbbfd536bb56738235bf67ea3b""]"	"[""supply chain"",""production site"",""material displacement""]"	"[""R16B-SENSE:697603bbe891d791295d478b3b16d10add9bdab1fd92826d63d8b630f3779cfb"",""R16B-SENSE:0ebc966b965fc5703be0f4bae727d337f32d83eb7db9066e926a2530dcfa0171"",""R16B-SENSE:61aaade597c45243fcdef0d2514fc52f58a066ae5c9f4ad550727cb75b124f64""]"	"[""R16B-SENSE:0ebc966b965fc5703be0f4bae727d337f32d83eb7db9066e926a2530dcfa0171"",""R16B-SENSE:61aaade597c45243fcdef0d2514fc52f58a066ae5c9f4ad550727cb75b124f64"",""R16B-SENSE:697603bbe891d791295d478b3b16d10add9bdab1fd92826d63d8b630f3779cfb""]"	1d76bf657bbdec293265d051268a2a1153be0108b15a8d63ebbf2cb98cf6f06a	R16B-SCOPE-HYP:0b9cafc9714716227abefd156c200c45406880f25009ca9eed2ec05f4d5327d3	PRODUCT_RECONCILIATION_REQUIRED	PRIOR_STRUCTURE_REVIEW_FAMILY	R16B-LOCAL-FAMILY:1d76bf657bbdec293265d051268a2a1153be0108b15a8d63ebbf2cb98cf6f06a	[]	Product-visible v2 composition requires group-level evidence and global-coherence reconciliation.	trace-round16b-local-candidate-selector-v1	2f0665e8eb1dad292c4804638ef346e209ddd5af35baef96a94c94ec838ff3a7
R16B-TRIGGER-OCC:02a36b6fac32133b3874f430d02fdb486ebb9b9330fa8e135b4c3e8ac9fda378	TRG-004	ROUND16A_PRODUCTION_COMPOSITION	R16B-LOCAL-SURF-R16A-PRODUCTION	frontend/generated/trace-exploration-v2/production-read-model.json	"[""R16A-PCOMP-E14846E575673B0306AB""]"		"[""55cc88b59bc566f8befee38aa59f230be102a2e25c4db4950cb8b7c70d93c215""]"	"[""mediation"",""production"",""consumption""]"	"[""R16B-SENSE:35489187871bfd7b7be6e2d5268a3a922984d3bdad9e9a8ca61ea6edee84a5a7"",""R16B-SENSE:419a96e12217bfa4ed031510c32033cb2408489e3abb14eb28291b13c068e159"",""R16B-SENSE:06c230c771547ee49390903e0bad7aaf44063613309c93bcbd72e808116af4c6""]"	"[""R16B-SENSE:06c230c771547ee49390903e0bad7aaf44063613309c93bcbd72e808116af4c6"",""R16B-SENSE:35489187871bfd7b7be6e2d5268a3a922984d3bdad9e9a8ca61ea6edee84a5a7"",""R16B-SENSE:419a96e12217bfa4ed031510c32033cb2408489e3abb14eb28291b13c068e159""]"	7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64	R16B-SCOPE-HYP:362e21b866215be88936cf0eb6135c518bc1dbed6de187ee6c51e8623885b1b5	PRODUCT_RECONCILIATION_REQUIRED	PRIOR_STRUCTURE_REVIEW_FAMILY	R16B-LOCAL-FAMILY:7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64	[]	Product-visible v2 composition requires group-level evidence and global-coherence reconciliation.	trace-round16b-local-candidate-selector-v1	cafc6da6282b6b3a7e6529f091888b6bf7d4384702cae9689e0cfe7b0b4415e5
R16B-TRIGGER-OCC:032c9e51f000f49802decd4dab3fe9e6ab37015cbdd21d8685250c54c5314b13	TRG-004	ROUND16A_PRODUCTION_COMPOSITION	R16B-LOCAL-SURF-R16A-PRODUCTION	frontend/generated/trace-exploration-v2/production-read-model.json	"[""R16A-PCOMP-160A6C7CA89D64FFE252""]"		"[""b17477021f7cdca80e532ee34e63db6b309b1bf714b7c8f0f83f4dd0e75ab96c""]"	"[""trade"",""design diplomacy"",""exhibition"",""propaganda""]"	"[""R16B-SENSE:f0e28e13851d04c13b701f53d9b3911cb50fc572cc6203c64527804f0b37e909"",""R16B-SENSE:fa3369a6eb4bebe96ee289987f963e539b8da9c27ea0f454e8a24b6bddf9306f"",""R16B-SENSE:4e14e64610176c44c8a9775fba3a7d484b4eee0fb06ee9553c17675cb7f0b634"",""R16B-SENSE:f26224717160ca63c45ca85fe7c23e1469baa3e10672a68beafb13d195d0915d""]"	"[""R16B-SENSE:4e14e64610176c44c8a9775fba3a7d484b4eee0fb06ee9553c17675cb7f0b634"",""R16B-SENSE:f0e28e13851d04c13b701f53d9b3911cb50fc572cc6203c64527804f0b37e909"",""R16B-SENSE:f26224717160ca63c45ca85fe7c23e1469baa3e10672a68beafb13d195d0915d"",""R16B-SENSE:fa3369a6eb4bebe96ee289987f963e539b8da9c27ea0f454e8a24b6bddf9306f""]"	89817e7a449f1cc7b574fb1b89c9541f765e52825c5cb62bf0a2bb833e8f970a	R16B-SCOPE-HYP:de4debac2277dca76d6be461c6134300e2e66faf9707f9ed881cb6ff25891abf	PRODUCT_RECONCILIATION_REQUIRED	PRIOR_STRUCTURE_REVIEW_FAMILY	R16B-LOCAL-FAMILY:89817e7a449f1cc7b574fb1b89c9541f765e52825c5cb62bf0a2bb833e8f970a	[]	Product-visible v2 composition requires group-level evidence and global-coherence reconciliation.	trace-round16b-local-candidate-selector-v1	885991dbeaa787af919c337690a80a0b58c646e7a21e4fac290f11e776492b81
R16B-TRIGGER-OCC:044561834c2e1a6ce33250531129dd5aac02f59f9deb78c35df471e1a87c887d	TRG-002	ROUND13_QUALIFICATION_CONTEXT_EXTENSION	R16B-LOCAL-SURF-R13-EVIDENCE	docs/research/trace-v49-exploration-composition-review-round1/04_COMPOSITION_EVIDENCE_REGISTRY.tsv	"[""COMP-EVID-004"",""docs/research/trace-v49-design-history-relation-grammar-round1/07_GRAMMAR_ATTESTATION_REGISTRY.tsv#GRAM-ATT-027""]"	title; abstract; pp.532–550	"[""2c2f8c36e02e18a3e7cfca75aca32b2a82649e770b6bbbe588c2c64ce1037120"",""7bf089ed3726bf533d0a9169f906e51089986beb5baedfe4b1125f79bfd5fd69""]"	"[""commodification"",""consumer culture"",""gendering""]"	"[""R16B-SENSE:f1dafc6df9c9a66b0b7c19d34606a2ed638c193dc7047afb8a1f83b3d564ebc1"",""R16B-SENSE:049324b7a1f8dd02995e20043357b090b2357eb23e8fe588e78928f5306a82e1"",""R16B-SENSE:14bd96e324918cf3d87ed84253055004be79647294bf62a305ccf9a65a46b863""]"	"[""R16B-SENSE:049324b7a1f8dd02995e20043357b090b2357eb23e8fe588e78928f5306a82e1"",""R16B-SENSE:14bd96e324918cf3d87ed84253055004be79647294bf62a305ccf9a65a46b863"",""R16B-SENSE:f1dafc6df9c9a66b0b7c19d34606a2ed638c193dc7047afb8a1f83b3d564ebc1""]"	b63bdc2ca9694ca8e682cf6d1b38b65c8154eed366c405ab76391683e0b3c35b	R16B-SCOPE-HYP:a63693c5ebe315869b538cd85e741b127b6681a3e45b66c41cdded160cd91322	DISCOVERY_ONLY	CONTEXT_EXTENSION_REVIEW_FAMILY	R16B-LOCAL-FAMILY:b63bdc2ca9694ca8e682cf6d1b38b65c8154eed366c405ab76391683e0b3c35b	[]	Consumer culture occurs in qualification; GRAM-ATT-027 is title-level adjacent corroborating context. Neither admits it as group evidence.	trace-round16b-local-candidate-selector-v1	da9e4e090f9a9b8f771e6689884f98d07a0dfd2201d140096e6814a9e06a7613
R16B-TRIGGER-OCC:059b993e73fdc1907474b77e1817e2e9633a549495c1641ab59aca8bff142806	TRG-004	ROUND16A_TOPOLOGY_COMPOSITION	R16B-LOCAL-SURF-R16A-TOPOLOGIES	docs/audits/v49-exploration-full-space-closure-round1/raw/canonical-composition-registry-v2.json	"[""R16A-TOPO-C0456F14EAE3680C284C""]"		"[""c0456f14eae3680c284c02202f8072063d79e118a5eb4103707a2d9ddc5ff5b5""]"	"[""trade"",""design diplomacy"",""propaganda""]"	"[""R16B-SENSE:f0e28e13851d04c13b701f53d9b3911cb50fc572cc6203c64527804f0b37e909"",""R16B-SENSE:fa3369a6eb4bebe96ee289987f963e539b8da9c27ea0f454e8a24b6bddf9306f"",""R16B-SENSE:f26224717160ca63c45ca85fe7c23e1469baa3e10672a68beafb13d195d0915d""]"	"[""R16B-SENSE:f0e28e13851d04c13b701f53d9b3911cb50fc572cc6203c64527804f0b37e909"",""R16B-SENSE:f26224717160ca63c45ca85fe7c23e1469baa3e10672a68beafb13d195d0915d"",""R16B-SENSE:fa3369a6eb4bebe96ee289987f963e539b8da9c27ea0f454e8a24b6bddf9306f""]"	af25d1d4c93f79886769d53d071805bd5b6726130b153e4484121321d1122e3a	R16B-SCOPE-HYP:36957f005b492283f05565d5db279986adc4dde8146fa8e338eab63fe63534d6	PAIR_DERIVED_TOPOLOGY_ONLY	PRIOR_STRUCTURE_REVIEW_FAMILY	R16B-LOCAL-FAMILY:af25d1d4c93f79886769d53d071805bd5b6726130b153e4484121321d1122e3a	[]	Presentation topology BINARY_FORK is not historical group semantics.	trace-round16b-local-candidate-selector-v1	5ea8f59dc6554c723dd74894324bc84fd24e72e42cc90b054aded59994bd381c
R16B-TRIGGER-OCC:05a80edbaa427826c7ac7438102cd6665a5fbcdbaec9103c94836695d645a9d6	TRG-004	ROUND16A_CONNECTED_SUBGRAPH	R16B-LOCAL-SURF-R16A-SUBGRAPHS	docs/audits/v49-exploration-full-space-closure-round1/raw/canonical-composition-registry-v2.json	"[""R16A-SUBGRAPH-79C0D024084B65B35470""]"		"[""79c0d024084b65b3547035c259fa688c1a3dfc23b775343a1e00ffbf5e398a33""]"	"[""adaptation"",""cultural negotiation"",""rejection""]"	"[""R16B-SENSE:698710ef66f0d551cde028b8e54bdbf6051b96902a736be6b9ab45d1ad91f848"",""R16B-SENSE:9415fd18554090ac9dd2dfc28a1ec541d67a94b8421b1cefafa578a03302257d"",""R16B-SENSE:9c499c8b62d5222b0be4049597c613d82925ede87bf34656671a6b1e4e491bc3""]"	"[""R16B-SENSE:698710ef66f0d551cde028b8e54bdbf6051b96902a736be6b9ab45d1ad91f848"",""R16B-SENSE:9415fd18554090ac9dd2dfc28a1ec541d67a94b8421b1cefafa578a03302257d"",""R16B-SENSE:9c499c8b62d5222b0be4049597c613d82925ede87bf34656671a6b1e4e491bc3""]"	83009b1d124d4635a57866eeffba5e1a1a33e499bd60b30c6346b94ff1a04f8e	R16B-SCOPE-HYP:4d16ac1b1bf4cfe3581ca7a92f9b94400bad1b90083254c7227234265bfafae7	PAIR_CONNECTIVITY_ONLY	PRIOR_STRUCTURE_REVIEW_FAMILY	R16B-LOCAL-FAMILY:83009b1d124d4635a57866eeffba5e1a1a33e499bd60b30c6346b94ff1a04f8e	[]	Connected pair graph is a trigger only; it is not group-level evidence.	trace-round16b-local-candidate-selector-v1	f6f6e22aaa10f3d8454762bd08f9be309d9d9fc310abb64f3e9335751f1bdc71
R16B-TRIGGER-OCC:091c209f6ebf55d222df78f0960d224eff2217f1d50327da2b13e66ff8652d79	TRG-004	ROUND16A_PRODUCTION_COMPOSITION	R16B-LOCAL-SURF-R16A-PRODUCTION	frontend/generated/trace-exploration-v2/production-read-model.json	"[""R16A-PCOMP-0ED27692FB4AB03E768C""]"		"[""ef29609fcc3f92db2291ad11178a9d81271f762c506c97297feef6ce33df6617""]"	"[""adaptation"",""cultural negotiation"",""rejection""]"	"[""R16B-SENSE:698710ef66f0d551cde028b8e54bdbf6051b96902a736be6b9ab45d1ad91f848"",""R16B-SENSE:9415fd18554090ac9dd2dfc28a1ec541d67a94b8421b1cefafa578a03302257d"",""R16B-SENSE:9c499c8b62d5222b0be4049597c613d82925ede87bf34656671a6b1e4e491bc3""]"	"[""R16B-SENSE:698710ef66f0d551cde028b8e54bdbf6051b96902a736be6b9ab45d1ad91f848"",""R16B-SENSE:9415fd18554090ac9dd2dfc28a1ec541d67a94b8421b1cefafa578a03302257d"",""R16B-SENSE:9c499c8b62d5222b0be4049597c613d82925ede87bf34656671a6b1e4e491bc3""]"	83009b1d124d4635a57866eeffba5e1a1a33e499bd60b30c6346b94ff1a04f8e	R16B-SCOPE-HYP:63a64a76c2c5dd85eb311b18b2b5e0224293247066a449b1d37326c845a12158	PRODUCT_RECONCILIATION_REQUIRED	PRIOR_STRUCTURE_REVIEW_FAMILY	R16B-LOCAL-FAMILY:83009b1d124d4635a57866eeffba5e1a1a33e499bd60b30c6346b94ff1a04f8e	[]	Product-visible v2 composition requires group-level evidence and global-coherence reconciliation.	trace-round16b-local-candidate-selector-v1	8ba015cb00a566d54789ff5a9ac8072e2014f8fdcbb5abf0659b6677d6f7bd6e
R16B-TRIGGER-OCC:09dbb2fac83076e85d7b540db395dc0b457d5d53480fdc11763d65743d41b513	TRG-004	ROUND16A_CONNECTED_SUBGRAPH	R16B-LOCAL-SURF-R16A-SUBGRAPHS	docs/audits/v49-exploration-full-space-closure-round1/raw/canonical-composition-registry-v2.json	"[""R16A-SUBGRAPH-E7C15FA5CD45AC12C958""]"		"[""e7c15fa5cd45ac12c958d716338b134178edfcb15ba8610102a7162788df9794""]"	"[""mediation"",""production"",""consumption""]"	"[""R16B-SENSE:35489187871bfd7b7be6e2d5268a3a922984d3bdad9e9a8ca61ea6edee84a5a7"",""R16B-SENSE:419a96e12217bfa4ed031510c32033cb2408489e3abb14eb28291b13c068e159"",""R16B-SENSE:06c230c771547ee49390903e0bad7aaf44063613309c93bcbd72e808116af4c6""]"	"[""R16B-SENSE:06c230c771547ee49390903e0bad7aaf44063613309c93bcbd72e808116af4c6"",""R16B-SENSE:35489187871bfd7b7be6e2d5268a3a922984d3bdad9e9a8ca61ea6edee84a5a7"",""R16B-SENSE:419a96e12217bfa4ed031510c32033cb2408489e3abb14eb28291b13c068e159""]"	7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64	R16B-SCOPE-HYP:6d87f1270b824bec37a8ee0f5795b9288b585fbc236a68299b85072b4051f142	PAIR_CONNECTIVITY_ONLY	PRIOR_STRUCTURE_REVIEW_FAMILY	R16B-LOCAL-FAMILY:7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64	[]	Connected pair graph is a trigger only; it is not group-level evidence.	trace-round16b-local-candidate-selector-v1	486c1d1ff4ec3333b60b2adea6b396153ea0c6a62b3bdf557c019e9045dbcb40
