IPC status from <running system> as of Sat Aug 29 04:16:11 AEST 2026
T     ID     KEY        MODE       OWNER    GROUP  CREATOR   CGROUP NATTCH  SEGSZ  CPID  LPID   ATIME    DTIME    CTIME
Shared Memory:
m  65536 0x0afd43f8 --rw------- jarlgiovanni    staff jarlgiovanni    staff      6     56   1774   1774 11:28:21  4:15:13 11:28:21
m  65537 0x0dcdbe4c --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  21829      0 no-entry no-entry 21:38:28
m 393218 0x0dd13af6 --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  67540      0 no-entry no-entry  9:37:32
m 720899 0x0de2bf3f --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  42841      0 no-entry no-entry  9:47:06
m 393220 0x0de9ff5a --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  77822      0 no-entry no-entry  0:21:41
m 393221 0x0deae069 --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  96969      0 no-entry no-entry  2:17:49
m 327686 0x0deae0c6 --rw------- jarlgiovanni    staff jarlgiovanni    staff      6     56  97062  97062  2:18:00  4:15:53  2:18:00
m  65543 0x0df5a482 --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56   9165   9232 10:42:37 10:42:37 10:42:17
m 393224 0x0df663b2 --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  19149      0 no-entry no-entry 11:52:08
m 589833 0x0e083d21 --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  42820      0 no-entry no-entry  4:11:05
m 327690 0x0df66a2b --rw------- jarlgiovanni    staff jarlgiovanni    staff      6     56  19451  19451 11:53:14  4:16:10 11:53:14
m 327691 0x0df67168 --rw------- jarlgiovanni    staff jarlgiovanni    staff      6     56  19530  19530 11:53:33  4:15:52 11:53:33
m 393228 0x0df694ad --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  29544      0 no-entry no-entry 12:14:55
m  65549 0x0df69510 --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  29660      0 no-entry no-entry 12:15:11
m 393230 0x0df6dcab --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  72984      0 no-entry no-entry 12:47:12
m 458767 0x0df8a603 --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  25870      0 no-entry no-entry 20:45:27
m 393232 0x0df9006a --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  38789      0 no-entry no-entry 21:05:08
m  65553 0x0df900f8 --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  38902      0 no-entry no-entry 21:05:27
m 393234 0x0df9018e --rw------- jarlgiovanni    staff jarlgiovanni    staff      6     56  42202  42202 21:13:54  4:16:11 21:13:54
m  65555 0x0df925da --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  42384      0 no-entry no-entry 21:14:25
m  65556 0x0df9269f --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  42466      0 no-entry no-entry 21:14:33
m  65557 0x0df92801 --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  43222      0 no-entry no-entry 21:17:07
m  65558 0x0df94f37 --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  44589      0 no-entry no-entry 21:27:05
m  65559 0x0dfeffc1 --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  53900      0 no-entry no-entry 22:25:35
m  65560 0x0dff0009 --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  54000      0 no-entry no-entry 22:25:45
m 393241 0x0dff005d --rw------- jarlgiovanni    staff jarlgiovanni    staff      6     56  54129  54129 22:26:16  4:16:04 22:26:16
m  65562 0x0dff4556 --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  61774      0 no-entry no-entry 22:36:38
m 393243 0x0dff45b3 --rw------- jarlgiovanni    staff jarlgiovanni    staff      6     56  61955  61955 22:37:04  4:16:06 22:37:04
m  65564 0x0dff6cd0 --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  69459      0 no-entry no-entry 22:52:43
m  65565 0x0dff6d4a --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  69630      0 no-entry no-entry 22:52:59
m 393246 0x0e026541 --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  43665  43785 11:35:37 11:35:37 11:35:28
m  65567 0x0dff7910 --rw------- jarlgiovanni    staff jarlgiovanni    staff      0     56  72728      0 no-entry no-entry 22:55:22

