rejection_id	stable_row_locator	search_doc_id	document_type	object_or_capture_id	matched_labels_json	arity	rejection_reason	net_trigger_occurrence_count	database_sha256	record_sha256
R16B-DB-SEARCH-CONTROL:06bebe3c9ce36bc844b17aa3acbee6e99a9323fd01b80d5d9a01df5aae7a14bb	sqlite:search_documents:search_doc_id=object:SURF-CAW2026R03809	object:SURF-CAW2026R03809	active_object	SURF-CAW2026R03809	"[""trade"",""advertising"",""typography""]"	3	SEARCH_DOCUMENT_BODY_IS_PROJECT_GENERATED_MIXED_TEXT_AND_CANNOT_SUPPLY_SOURCE_BOUNDED_ASSOCIATION_DISCOVERY	0	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	3223e0d5dc998bed8064f4957451d5b7f4c4650267202ae70e8ee5865cb5bcc8
R16B-DB-SEARCH-CONTROL:08431e6bb28931a92a1f39a3e59747da492ef4692d7de226ed879b89d0dd0c2a	sqlite:search_documents:search_doc_id=object:SURF-CAW2026R00237	object:SURF-CAW2026R00237	active_object	SURF-CAW2026R00237	"[""trade"",""advertising"",""typography""]"	3	SEARCH_DOCUMENT_BODY_IS_PROJECT_GENERATED_MIXED_TEXT_AND_CANNOT_SUPPLY_SOURCE_BOUNDED_ASSOCIATION_DISCOVERY	0	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	8be8260bf1fdc45035806d4b41614d3425efa33cf4bb52ebf4fc6308a594fddf
R16B-DB-SEARCH-CONTROL:088b797936896a276e2225287120bcb2eb4df8970fa9c9f64680806f7f9da4c9	sqlite:search_documents:search_doc_id=object:SURF-CAW2026R01857	object:SURF-CAW2026R01857	active_object	SURF-CAW2026R01857	"[""trade"",""advertising"",""typography""]"	3	SEARCH_DOCUMENT_BODY_IS_PROJECT_GENERATED_MIXED_TEXT_AND_CANNOT_SUPPLY_SOURCE_BOUNDED_ASSOCIATION_DISCOVERY	0	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	970d36e7313c2cab385b92996e55a94138dc5c95d8983d8237b303031819aeef
R16B-DB-SEARCH-CONTROL:095c5e651cf1072b5304a06584d54df309603fa57dd416b031c60efb42606096	sqlite:search_documents:search_doc_id=object:SURF-CAW2026R01743	object:SURF-CAW2026R01743	active_object	SURF-CAW2026R01743	"[""trade"",""advertising"",""typography""]"	3	SEARCH_DOCUMENT_BODY_IS_PROJECT_GENERATED_MIXED_TEXT_AND_CANNOT_SUPPLY_SOURCE_BOUNDED_ASSOCIATION_DISCOVERY	0	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	0650b73b9458d897d71b3c63696c38c1695534dc041ee33537bfc09ea8b042be
R16B-DB-SEARCH-CONTROL:0a0f2341480d2a77be8f62e7e0717e4fea9c5ef18e9127df1d00ae51f93d33dc	sqlite:search_documents:search_doc_id=object:SURF-CAW2026R01823	object:SURF-CAW2026R01823	active_object	SURF-CAW2026R01823	"[""trade"",""advertising"",""typography""]"	3	SEARCH_DOCUMENT_BODY_IS_PROJECT_GENERATED_MIXED_TEXT_AND_CANNOT_SUPPLY_SOURCE_BOUNDED_ASSOCIATION_DISCOVERY	0	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	3e406b45f77a01a8e6ef1f37220d94de3a5ed4ec6b30352e187c497586dedc1f
R16B-DB-SEARCH-CONTROL:0b16871e20c75a1232c53963fdc8f850af18ab9b19797ed7a9b5ad87b87002aa	sqlite:search_documents:search_doc_id=object:SURF-CAW2026R03572	object:SURF-CAW2026R03572	active_object	SURF-CAW2026R03572	"[""trade"",""advertising"",""typography""]"	3	SEARCH_DOCUMENT_BODY_IS_PROJECT_GENERATED_MIXED_TEXT_AND_CANNOT_SUPPLY_SOURCE_BOUNDED_ASSOCIATION_DISCOVERY	0	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	0a8ff550a42b78598d61aaf3649d151c13fb91034ac222a446c56213e4052dc1
R16B-DB-SEARCH-CONTROL:0b69e303a84cd1fe18cdc428c80decb1d200c398905832696a6fd61ad914c7b7	sqlite:search_documents:search_doc_id=object:SURF-CAW2026R00628	object:SURF-CAW2026R00628	active_object	SURF-CAW2026R00628	"[""trade"",""advertising"",""typography""]"	3	SEARCH_DOCUMENT_BODY_IS_PROJECT_GENERATED_MIXED_TEXT_AND_CANNOT_SUPPLY_SOURCE_BOUNDED_ASSOCIATION_DISCOVERY	0	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	7c478f97635174dc09175262b08ab1af7749ae2f7ebad56f4998211a0cffc543
R16B-DB-SEARCH-CONTROL:0d2fc548754c1e13f15b588bceedf2cfd561e43c58f8f7bda3594a98e469df6c	sqlite:search_documents:search_doc_id=object:SURF-CAW2026R00590	object:SURF-CAW2026R00590	active_object	SURF-CAW2026R00590	"[""trade"",""advertising"",""typography""]"	3	SEARCH_DOCUMENT_BODY_IS_PROJECT_GENERATED_MIXED_TEXT_AND_CANNOT_SUPPLY_SOURCE_BOUNDED_ASSOCIATION_DISCOVERY	0	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	22ea582471d204a0710e8742de5348ed784c2550eb5d49dfb438c44ab3609a53
R16B-DB-SEARCH-CONTROL:0e3e59f9574497854a4d0b856d8e7e685e3eac1ea9706bebac82ab8676570e88	sqlite:search_documents:search_doc_id=object:SURF-LOCTRACE2026I1293C10FE876AF	object:SURF-LOCTRACE2026I1293C10FE876AF	active_object	SURF-LOCTRACE2026I1293C10FE876AF	"[""exhibition"",""trade"",""advertising""]"	3	SEARCH_DOCUMENT_BODY_IS_PROJECT_GENERATED_MIXED_TEXT_AND_CANNOT_SUPPLY_SOURCE_BOUNDED_ASSOCIATION_DISCOVERY	0	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	d124b8aea83d42a6d258e42d4174cfafd1f3babc39e8aadd82bc6534ddce940c
R16B-DB-SEARCH-CONTROL:126d6def85b54c30cb389c9da352ef60f8cd53d679580d4c58f4fc0d8dd112af	sqlite:search_documents:search_doc_id=object:SURF-CAW2026R01661	object:SURF-CAW2026R01661	active_object	SURF-CAW2026R01661	"[""trade"",""advertising"",""typography""]"	3	SEARCH_DOCUMENT_BODY_IS_PROJECT_GENERATED_MIXED_TEXT_AND_CANNOT_SUPPLY_SOURCE_BOUNDED_ASSOCIATION_DISCOVERY	0	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	79e69bc1acb228819f22f6af6db34625c17f9a054d31aaf6212749b399d7e83e
