parent_checkpoint_sha	input_ordinal	path	input_role	bytes	input_record_count	sha256	pinned_sha256	pin_match	record_sha256
068c92151a935cfb9e4adc36b150c6800a6de9a2	1	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/candidate-trigger-occurrence-ledger-v2.tsv	IMMUTABLE_CHECKPOINT004_OCCURRENCE_UNIVERSE	511711	359	1685e5bfdab735657ce78499b2597e6a20aecd7402d97f515b162a5d16009cd6	1685e5bfdab735657ce78499b2597e6a20aecd7402d97f515b162a5d16009cd6	true	bfb4776636fc94cd3e816c0f8556aafdfc6a064fa56f6c8b20f823889a7a4bde
068c92151a935cfb9e4adc36b150c6800a6de9a2	2	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/local-candidate-family-ledger-v2.tsv	IMMUTABLE_CHECKPOINT004_FAMILY_UNIVERSE	63337	35	cd4c3ca997c0f4cd5919d4e29d89ca45291fae4f70f78a49742aafb9c76baea7	cd4c3ca997c0f4cd5919d4e29d89ca45291fae4f70f78a49742aafb9c76baea7	true	a61ce9e49d1d55c7794afdcad7b01b75e00e88a5f3eef8b2d2ba0a1acf9288db
068c92151a935cfb9e4adc36b150c6800a6de9a2	3	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/concept-sense-crosswalk-v1.tsv	IMMUTABLE_PARTICIPANT_SENSE_AUTHORITY	75857	65	dfc1751482f3e74de78c2a94fd46f20eb3538d26e8c6bbf94482cac9534e770a	dfc1751482f3e74de78c2a94fd46f20eb3538d26e8c6bbf94482cac9534e770a	true	4fb136c9abd147727d278218b4032639965f735f0149f61272f1436cad774a30
068c92151a935cfb9e4adc36b150c6800a6de9a2	4	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/local-candidate-census-v2.json	IMMUTABLE_CHECKPOINT004_HEADLINE_AND_CLOSURE_BOUNDARY	93728	1	b40e28810aa59a0e2ac926e403cf45ba9b032b465ee54a62fd7e32b2f6e4fe31	b40e28810aa59a0e2ac926e403cf45ba9b032b465ee54a62fd7e32b2f6e4fe31	true	ead32cabc7dca754235356af5e12e5d2695a82e6fa40857cdd828817b6b53ff7
068c92151a935cfb9e4adc36b150c6800a6de9a2	5	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/higher-order-association-method-v1.json	GOVERNED_EVIDENCE_AND_ACTIVATION_METHOD	5385	1	f37ff8aa97d3c9a0d417ee0a9e6ef96971b0c0985bf88bf7bb59af8da8d106e7	f37ff8aa97d3c9a0d417ee0a9e6ef96971b0c0985bf88bf7bb59af8da8d106e7	true	be73189b218d5f2639525c94ddb5b1b08c0e0583f50da50d07c1f3d951ae5618
068c92151a935cfb9e4adc36b150c6800a6de9a2	6	docs/audits/v49-exploration-full-space-closure-round1/raw/validated-association-graph-v2.json	IMMUTABLE_ROUND16A_ACTIVE_PAIR_BASELINE	20163	1	1dee15d7cc0a9aa25f2a4a0fd7a352d2df5e7eacf88bd71badec5ebd476063bd	1dee15d7cc0a9aa25f2a4a0fd7a352d2df5e7eacf88bd71badec5ebd476063bd	true	ab543d20f6dae013b89c45a7be132f99075de4f4c4eebd32a12d7c332c99db51
068c92151a935cfb9e4adc36b150c6800a6de9a2	7	docs/audits/v49-exploration-association-calibration-round1/raw/evidence-provenance.tsv	ROW_EXACT_UPSTREAM_SOURCE_FOR_SELECTED_OCCURRENCES	34999	69	3bfc526c160909838da90db700a72c987e1b9ea80fb605358a400951c64c2d8c	3bfc526c160909838da90db700a72c987e1b9ea80fb605358a400951c64c2d8c	true	b211779058c692506260237318cd36c517bdf2701ced65a5a4c2d74057c8bf50
068c92151a935cfb9e4adc36b150c6800a6de9a2	8	docs/audits/v49-exploration-full-space-closure-round1/raw/canonical-composition-registry-v2.json	ROW_EXACT_UPSTREAM_SOURCE_FOR_SELECTED_OCCURRENCES	276045	1	51c3e29909a8aa5226a7d18ebaef896aa52c48be6725d722c869515874c6c24d	51c3e29909a8aa5226a7d18ebaef896aa52c48be6725d722c869515874c6c24d	true	29559ee01ccd3dba3ce3cd0426e62dcba74451c50d38a7e947cb3567b2ab6764
068c92151a935cfb9e4adc36b150c6800a6de9a2	9	docs/research/trace-v49-design-history-relation-grammar-round1/07_GRAMMAR_ATTESTATION_REGISTRY.tsv	ROW_EXACT_UPSTREAM_SOURCE_FOR_SELECTED_OCCURRENCES	17282	30	62b56052829d23cd2cf820a232479f74cbf663d64465cdc242900e71220df2a8	62b56052829d23cd2cf820a232479f74cbf663d64465cdc242900e71220df2a8	true	76c264945d26812b1996be14b7c7a73e6e22f9a88cc246b0e0c58dfb21b950c8
068c92151a935cfb9e4adc36b150c6800a6de9a2	10	docs/research/trace-v49-design-history-relation-grammar-round1/14_CLUSTER_EVIDENCE_HANDOFF.tsv	ROW_EXACT_UPSTREAM_SOURCE_FOR_SELECTED_OCCURRENCES	908	2	0fca1a4995577ddb3e33e1a12bebb18ccd14e74684755c26749029722dfb2ccd	0fca1a4995577ddb3e33e1a12bebb18ccd14e74684755c26749029722dfb2ccd	true	1e71c6c992fb400307843e5b99e7c6800ea412051b4805f552547636f00c5832
