participant_resolution_queue_id	source_path	source_candidate_id	relation_label	relation_participant_sense_id	declared_argument_arity	subject_role	target_role	additional_party_roles	required_context	required_qualification	source_support_ids_json	participant_resolution_status	candidate_emitted	reason	record_sha256
R16B-PARTICIPANT-QUEUE:338b7c324d38e2f85a5460569864fcb7fd641ee695137a40dc1bb4a0c47fbd17	docs/research/trace-v49-design-history-relation-grammar-round1/06_ARGUMENT_ROLE_REGISTRY.tsv	REL-CAND-0001	mediation	R16B-SENSE:35489187871bfd7b7be6e2d5268a3a922984d3bdad9e9a8ca61ea6edee84a5a7	MULTIPARTY	producer, mediator, channel, designed thing, or prior meaning in the cited design-historical account	consumer, audience, practice, or received meaning in that same account	designed channel; institution; audience	a named mediation channel and historical setting	which mediation sense and mediating actor are meant	"[""GRAM-SRC-001"",""GRAM-SRC-002""]"	OPEN	false	Round 10 arity describes argument roles, not a closed governed concept participant set; role nouns are not promoted to vocabulary concepts.	338b7c324d38e2f85a5460569864fcb7fd641ee695137a40dc1bb4a0c47fbd17
R16B-PARTICIPANT-QUEUE:cac8360feb9a00bbf1cf59bf598ac64b80351cf885993111815b5a463b008a18	docs/research/trace-v49-design-history-relation-grammar-round1/06_ARGUMENT_ROLE_REGISTRY.tsv	REL-CAND-0007	transnational interactions	R16B-SENSE:a2144a66b6c07f401192a35f6ba2ea4c226601881ecde5ee0751e214e0488b0e	MULTIPARTY	actors, organizations, practices, ideas, or institutions crossing named national settings	other actors, organizations, practices, ideas, or institutions in those settings	states; professional bodies; intermediaries; networks	named parties, borders, institutions, and period	interaction mechanism and power relation must be explicit	"[""GRAM-SRC-008""]"	OPEN	false	Round 10 arity describes argument roles, not a closed governed concept participant set; role nouns are not promoted to vocabulary concepts.	cac8360feb9a00bbf1cf59bf598ac64b80351cf885993111815b5a463b008a18
R16B-PARTICIPANT-QUEUE:e0d381430a2d9e323b2827d2edc350930beee8a9a6704290a5f291534013e348	docs/research/trace-v49-design-history-relation-grammar-round1/06_ARGUMENT_ROLE_REGISTRY.tsv	REL-CAND-0008	cultural translation	R16B-SENSE:b1def9fc008696de8160b1bf6616eb2511aff584862c6b49a45f5538dbd38e9a	2+	a cultural form, concept, practice, text, or translating agent in a named contact setting	a receiving cultural setting, interpretive community, or transformed form	translator; source community; receiving community	named cultures, agents, medium, power relation, and period	transfer, adaptation, negotiation, and transformation senses must not be collapsed	"[""GRAM-SRC-010"",""GRAM-SRC-011"",""GRAM-SRC-012""]"	OPEN	false	Round 10 arity describes argument roles, not a closed governed concept participant set; role nouns are not promoted to vocabulary concepts.	e0d381430a2d9e323b2827d2edc350930beee8a9a6704290a5f291534013e348
R16B-PARTICIPANT-QUEUE:7b1ed7f03a2b1195f1afe11c31460225be25f63539204a2f99d2a9478c9778ac	docs/research/trace-v49-design-history-relation-grammar-round1/06_ARGUMENT_ROLE_REGISTRY.tsv	REL-CAND-0009	design exchanges	R16B-SENSE:1ccf80ed841858129d779749dbe51f60404ff6350be17abe450dfb79232bbffb	MULTIPARTY	identified designers, institutions, exhibitions, or design communities participating in an exchange	the counterpart participants and situated design practices in that exchange	professional networks; governments; exhibitions; markets	named participants, venue, political setting, and exchange mechanism	agency, reciprocity, and power asymmetry must be recorded	"[""GRAM-SRC-009""]"	OPEN	false	Round 10 arity describes argument roles, not a closed governed concept participant set; role nouns are not promoted to vocabulary concepts.	7b1ed7f03a2b1195f1afe11c31460225be25f63539204a2f99d2a9478c9778ac
R16B-PARTICIPANT-QUEUE:0f8cce4f2089328eb220207cdf7646e02bdae50327c4c567074544d055bbcd9c	docs/research/trace-v49-design-history-relation-grammar-round1/06_ARGUMENT_ROLE_REGISTRY.tsv	REL-CAND-0012	displacement	R16B-SENSE:35fe43d5b85f196f72b5922a83a7738f1b87415f9c807cd9d809674e4d2b13df	2+	people, practices, objects, images, energy systems, or meanings in a specified displacement account	a changed place, position, context, or condition	state; empire; institution; migrant community	named displaced entity, force, place, and period	forced, material, spatial, semantic, and strategic senses must be separated	"[""GRAM-SRC-016""]"	OPEN	false	Round 10 arity describes argument roles, not a closed governed concept participant set; role nouns are not promoted to vocabulary concepts.	0f8cce4f2089328eb220207cdf7646e02bdae50327c4c567074544d055bbcd9c
R16B-PARTICIPANT-QUEUE:1bf5671bf242beef0fb8c1a0dd3f2ad150781ed1a0242b6d44b719d8dea39f56	docs/research/trace-v49-design-history-relation-grammar-round1/06_ARGUMENT_ROLE_REGISTRY.tsv	REL-CAND-0023	transculturation	R16B-SENSE:e8e52392757cee744f573bcdf68c63a391a781cc4d11a484fd4ca43da2cb558c	MULTIPARTY	a cultural concept, practice, or knowledge system entering a contact process	locally negotiated cultural knowledge or practice	source communities; receiving communities; institutions; translators	named parties, locality, knowledge form, and period	not a static import-export model	"[""GRAM-SRC-017""]"	OPEN	false	Round 10 arity describes argument roles, not a closed governed concept participant set; role nouns are not promoted to vocabulary concepts.	1bf5671bf242beef0fb8c1a0dd3f2ad150781ed1a0242b6d44b719d8dea39f56
R16B-PARTICIPANT-QUEUE:e313c7a802c9ef0d02523aa7967b0887af340c903b4ee4acd8263eef4a86b6c3	docs/research/trace-v49-design-history-relation-grammar-round1/06_ARGUMENT_ROLE_REGISTRY.tsv	REL-CAND-0024	cultural mobility	R16B-SENSE:e49dd7c1bc4c519c2b2b6f27fda45281c12357afea73b60459f8f35cb7334e22	MULTIPARTY	people, forms, meanings, practices, or institutions moving in a specified cultural account	destinations, networks, or transformed contexts of that movement	carriers; infrastructures; border regimes; audiences	named carrier, infrastructure, route, and period	material, human, semantic, and institutional mobility must be distinguished	"[""GRAM-SRC-018""]"	OPEN	false	Round 10 arity describes argument roles, not a closed governed concept participant set; role nouns are not promoted to vocabulary concepts.	e313c7a802c9ef0d02523aa7967b0887af340c903b4ee4acd8263eef4a86b6c3
R16B-PARTICIPANT-QUEUE:3fa83a2511429e0c4ba4327cac7699e1b6ba19d4b008868839ce8a126eb21da1	docs/research/trace-v49-design-history-relation-grammar-round1/06_ARGUMENT_ROLE_REGISTRY.tsv	REL-CAND-0025	self-exoticization	R16B-SENSE:906795d39bcf20da0229441ac3b1120f3bc29481b830849a70e301e55adfeaa6	3	a designer, design community, institution, or national design discourse constructing its own cultural identity	that actor's culturally marked self-representation	external expectation, gaze, or anticipated audience	named actor, audience, market, and cultural signs	agency, external gaze, and power asymmetry must remain explicit	"[""GRAM-SRC-019""]"	OPEN	false	Round 10 arity describes argument roles, not a closed governed concept participant set; role nouns are not promoted to vocabulary concepts.	3fa83a2511429e0c4ba4327cac7699e1b6ba19d4b008868839ce8a126eb21da1
R16B-PARTICIPANT-QUEUE:81bbc609718a1ca278f19f5e58113a1e7895981cf0e81dd99d5eb56464e1410e	docs/research/trace-v49-design-history-relation-grammar-round1/06_ARGUMENT_ROLE_REGISTRY.tsv	REL-CAND-0026	coloniality	R16B-SENSE:1bda7527532fb2a61db4308bbcd8218385006d740613d94efef2cc4676e7585c	STRUCTURAL	a historically constituted pattern of colonial power reproduced through design knowledge or practice	design institutions, methods, categories, or relations shaped by that pattern	institutions; knowledge systems; racialized and gendered subjects	named colonial relation, design field, geography, and knowledge practice	coloniality is not interchangeable with colonialism or any inequality	"[""GRAM-SRC-020""]"	OPEN	false	Round 10 arity describes argument roles, not a closed governed concept participant set; role nouns are not promoted to vocabulary concepts.	81bbc609718a1ca278f19f5e58113a1e7895981cf0e81dd99d5eb56464e1410e
R16B-PARTICIPANT-QUEUE:f5cf41eb9c000316c96cc088efcb1d27949cbc56300017115018e0b783c71074	docs/research/trace-v49-design-history-relation-grammar-round1/06_ARGUMENT_ROLE_REGISTRY.tsv	REL-CAND-0033	piracy	R16B-SENSE:c6a305bac0ba3a375015fd389d830c7eb5ed46f883ed720ddfcb0dfff588055a	3+	an alleged copier, manufacturer, seller, or organized copying practice	a source or copied design, or a protected design interest	originator; rights claimant; regulator; court; trade body	named jurisdiction, period, claimant, and protection regime	authorization, ownership claim, jurisdiction, legal or market status, ethical framework, and historical standard are mandatory	"[""GRAM-SRC-023"",""GRAM-SRC-024""]"	OPEN	false	Round 10 arity describes argument roles, not a closed governed concept participant set; role nouns are not promoted to vocabulary concepts.	f5cf41eb9c000316c96cc088efcb1d27949cbc56300017115018e0b783c71074
