prior_artifact_file_id	source_sha	source_tree	namespace_id	namespace_prefix	path	git_mode	git_object_type	git_blob_sha	git_blob_bytes	object_set_coverage_json	coverage_mode	reconciliation_status	required_next_action	record_sha256
R16B-PRIOR-FILE:1a7e2f5b1db52477445a5649dfc3d37218ad6011c07a76ae2bbaf61f39349a75	5419770959bdb8998b693fb2275b47e29b92367c	977d7e8e045c71857959750b775cd4df3d036686	ROUND15_AUDIT	docs/audits/v49-exploration-composition-engine-round1	docs/audits/v49-exploration-composition-engine-round1/00_EXECUTIVE_RECEIPT.md	100644	blob	21783f74804569e3fad8191c08235fbc3284ff46	373	[]	FILE_BOUND_OBJECT_POLICY_RECONCILIATION_PENDING	PENDING	Preserve or explicitly supersede this source-tree artifact; where no row-level commitment exists, complete object-policy and semantic reconciliation before final closure.	7376aaeb8c0de8c51f13cbf8ca68c6b8d135328ba2f0d1fe89c8a12a50f7ea09
R16B-PRIOR-FILE:f2ed1bc6289acc09346f63a80c06b5a5ea7d6081f85bc94e2e29c7b4379985b4	5419770959bdb8998b693fb2275b47e29b92367c	977d7e8e045c71857959750b775cd4df3d036686	ROUND15_AUDIT	docs/audits/v49-exploration-composition-engine-round1	docs/audits/v49-exploration-composition-engine-round1/01_INPUT_FREEZE_VALIDATION.md	100644	blob	78e27a0d9382061aa45d54184fa1f1f6aa353b5e	216	[]	FILE_BOUND_OBJECT_POLICY_RECONCILIATION_PENDING	PENDING	Preserve or explicitly supersede this source-tree artifact; where no row-level commitment exists, complete object-policy and semantic reconciliation before final closure.	a58a87398e4ad1abe14de60f3ae0ab720026e447b2769070b81e5df658742e5c
R16B-PRIOR-FILE:1a2400f14ba4bae1b265192c440f08debc0f4501e71ce425320da59a3130413b	5419770959bdb8998b693fb2275b47e29b92367c	977d7e8e045c71857959750b775cd4df3d036686	ROUND15_AUDIT	docs/audits/v49-exploration-composition-engine-round1	docs/audits/v49-exploration-composition-engine-round1/02_COMPOSITION_INVARIANTS.md	100644	blob	eb0f0adc05afd6fae2f49e00bc4ec08847402ff5	292	[]	FILE_BOUND_OBJECT_POLICY_RECONCILIATION_PENDING	PENDING	Preserve or explicitly supersede this source-tree artifact; where no row-level commitment exists, complete object-policy and semantic reconciliation before final closure.	f717aad1b65d905fe3cd741857831382ef7d802accd47649ae48db4c80664162
R16B-PRIOR-FILE:d685a30d46c6facad8a56189c6030dd0a29cf400dc705207e3b08c3f6250095b	5419770959bdb8998b693fb2275b47e29b92367c	977d7e8e045c71857959750b775cd4df3d036686	ROUND15_AUDIT	docs/audits/v49-exploration-composition-engine-round1	docs/audits/v49-exploration-composition-engine-round1/03_TOPOLOGY_AND_ARBITRATION.md	100644	blob	28a2262a7e2455e07f9b6ccfa4ca7c0b3ee9f260	279	[]	FILE_BOUND_OBJECT_POLICY_RECONCILIATION_PENDING	PENDING	Preserve or explicitly supersede this source-tree artifact; where no row-level commitment exists, complete object-policy and semantic reconciliation before final closure.	891ac9851d06ee7d4a6a9abbe3ade1767459011331af60f713e2c92ac75db0dc
R16B-PRIOR-FILE:49d18bec6266ff45a8afe632bbb8dabb51cd49904610e0a300288af70e0cc558	5419770959bdb8998b693fb2275b47e29b92367c	977d7e8e045c71857959750b775cd4df3d036686	ROUND15_AUDIT	docs/audits/v49-exploration-composition-engine-round1	docs/audits/v49-exploration-composition-engine-round1/04_SEMANTIC_HASH_VALIDATION.md	100644	blob	9aa013e58938da1d6f5e67bc4a092e3bd64a4aca	257	[]	FILE_BOUND_OBJECT_POLICY_RECONCILIATION_PENDING	PENDING	Preserve or explicitly supersede this source-tree artifact; where no row-level commitment exists, complete object-policy and semantic reconciliation before final closure.	777d39cd61401f8734f93d242491e8a5c1536956727c16e0b16a2b90d733d882
R16B-PRIOR-FILE:3a51ab3d6685f560cb0377185e38fa3cc66873051626785757f73292a1d31762	5419770959bdb8998b693fb2275b47e29b92367c	977d7e8e045c71857959750b775cd4df3d036686	ROUND15_AUDIT	docs/audits/v49-exploration-composition-engine-round1	docs/audits/v49-exploration-composition-engine-round1/05_VISUAL_LEAKAGE_VALIDATION.md	100644	blob	a03ba647d2cb493ffd56e72f100dd23de58a1409	307	[]	FILE_BOUND_OBJECT_POLICY_RECONCILIATION_PENDING	PENDING	Preserve or explicitly supersede this source-tree artifact; where no row-level commitment exists, complete object-policy and semantic reconciliation before final closure.	5ece2d38d8795647c5daa83492cb5c016645d98c9d8d19fdaf11bc6b04e58c42
R16B-PRIOR-FILE:1870407e0e8ba2dd2a91066dc4b7c954416b42508d2b32a337d505bb3650e2d7	5419770959bdb8998b693fb2275b47e29b92367c	977d7e8e045c71857959750b775cd4df3d036686	ROUND15_AUDIT	docs/audits/v49-exploration-composition-engine-round1	docs/audits/v49-exploration-composition-engine-round1/06_CROSS_RUNTIME_AND_SCHEMA_VALIDATION.md	100644	blob	1f1c93c412bf44a04d0fd19f8e405ec6e44ee62e	256	[]	FILE_BOUND_OBJECT_POLICY_RECONCILIATION_PENDING	PENDING	Preserve or explicitly supersede this source-tree artifact; where no row-level commitment exists, complete object-policy and semantic reconciliation before final closure.	489c3fb749b9bf1958802294c40913c93be2e30bc33ef689145274a46fbbebc9
R16B-PRIOR-FILE:1bd5a38b6840f07ea591c5c44bc5abaf885a92b8974f782ff3e3c768717f3e58	5419770959bdb8998b693fb2275b47e29b92367c	977d7e8e045c71857959750b775cd4df3d036686	ROUND15_AUDIT	docs/audits/v49-exploration-composition-engine-round1	docs/audits/v49-exploration-composition-engine-round1/07_PRODUCT_AND_MODEL_BOUNDARY.md	100644	blob	e7c0e7ee01520f3397f30a24eabeab304ebb7a32	212	[]	FILE_BOUND_OBJECT_POLICY_RECONCILIATION_PENDING	PENDING	Preserve or explicitly supersede this source-tree artifact; where no row-level commitment exists, complete object-policy and semantic reconciliation before final closure.	953a756a9696434b94194224bb643c7832a6513aa895814962873c57b7893472
R16B-PRIOR-FILE:a02bf1f781a34b1705be56087f5c549c67a13c7accee5b0a1424cb95e9935f31	5419770959bdb8998b693fb2275b47e29b92367c	977d7e8e045c71857959750b775cd4df3d036686	ROUND15_AUDIT	docs/audits/v49-exploration-composition-engine-round1	docs/audits/v49-exploration-composition-engine-round1/08_QUANTITATIVE_RECEIPT.md	100644	blob	02d152f0d4e28b29d050b3525de2ef752b97df73	2915	[]	FILE_BOUND_OBJECT_POLICY_RECONCILIATION_PENDING	PENDING	Preserve or explicitly supersede this source-tree artifact; where no row-level commitment exists, complete object-policy and semantic reconciliation before final closure.	8ec10742bdbda430bc612618a776ae0762fa5aca51ccd9ef7961e8dc92794c7f
R16B-PRIOR-FILE:7a6729249a6230e9c422c1e99c17fb5387c1ed4a4a7b1269594cfcafb727855d	5419770959bdb8998b693fb2275b47e29b92367c	977d7e8e045c71857959750b775cd4df3d036686	ROUND15_AUDIT	docs/audits/v49-exploration-composition-engine-round1	docs/audits/v49-exploration-composition-engine-round1/09_CHANGED_FILES.md	100644	blob	1a59ef7fb484faeb84bada94b1be035381a366f3	495	[]	FILE_BOUND_OBJECT_POLICY_RECONCILIATION_PENDING	PENDING	Preserve or explicitly supersede this source-tree artifact; where no row-level commitment exists, complete object-policy and semantic reconciliation before final closure.	2cdc25e601add1416f33b8da53718e6d71b315847cd5ded62f908b7baced1d09
