prior_object_type	prior_id	source_path	source_record_ref	participant_set_key	participant_sense_ids_json	prior_parent_ids_json	prior_association_ids_json	prior_topology	prior_status	round16b_candidate_ids_json	reconciliation_status	required_next_action	coverage_mode	record_sha256
ROUND15_FIXTURE	R15-COMP-001	scripts/trace-v49-exploration-composition-engine/fixtures/composition-fixtures-v1.json	R15-COMP-001	15d87b20276af4f5b9c9277f9d8fed92ee450d29d3dab5858193375ba94e61a9	"[""R16B-SENSE:6672e4d46dd04d497061cde0fb1319f2795e43fafb72f047ac8a663d5c0dabfb"",""R16B-SENSE:aaba242b61f07fc7756aa5d54b3d132896c230e138451ec96ac3b40b8c2c3ec3""]"	[]	"[""R14-ASSOC-001""]"	LINEAR_PATH	SINGLE_VALID_PATH	[]	PAIRWISE_BASELINE_RECONCILIATION_PENDING	Assign an evidence and global-coherence disposition, then regenerate or retire downstream product objects without silently carrying v2 semantics.	ROW_EXACT	952b1dfbe1269d35e27f9b89aa16bdf727371a9853b79b21e11697b9ab1802e6
ROUND15_FIXTURE	R15-COMP-002	scripts/trace-v49-exploration-composition-engine/fixtures/composition-fixtures-v1.json	R15-COMP-002	89817e7a449f1cc7b574fb1b89c9541f765e52825c5cb62bf0a2bb833e8f970a	"[""R16B-SENSE:4e14e64610176c44c8a9775fba3a7d484b4eee0fb06ee9553c17675cb7f0b634"",""R16B-SENSE:f0e28e13851d04c13b701f53d9b3911cb50fc572cc6203c64527804f0b37e909"",""R16B-SENSE:f26224717160ca63c45ca85fe7c23e1469baa3e10672a68beafb13d195d0915d"",""R16B-SENSE:fa3369a6eb4bebe96ee289987f963e539b8da9c27ea0f454e8a24b6bddf9306f""]"	[]	"[""R14-ASSOC-005"",""R14-ASSOC-006"",""R14-ASSOC-007"",""R14-ASSOC-008"",""R14-ASSOC-009""]"	BINARY_FORK	DENSE_NEIGHBOURHOOD	"[""R16B-LOCAL-FAMILY:89817e7a449f1cc7b574fb1b89c9541f765e52825c5cb62bf0a2bb833e8f970a""]"	HIGHER_ORDER_FAMILY_REVIEW_PENDING	Assign an evidence and global-coherence disposition, then regenerate or retire downstream product objects without silently carrying v2 semantics.	ROW_EXACT	36d6212cb8a2364f05c065acba4c46075e399d2153c94014540b1d7bfa14c621
ROUND15_FIXTURE	R15-COMP-003	scripts/trace-v49-exploration-composition-engine/fixtures/composition-fixtures-v1.json	R15-COMP-003	23b72032e8165ac9f164a43ac0e1932f2fe4354f1b89f62d67ebe7d497de7af1	"[""R16B-SENSE:4e14e64610176c44c8a9775fba3a7d484b4eee0fb06ee9553c17675cb7f0b634"",""R16B-SENSE:f26224717160ca63c45ca85fe7c23e1469baa3e10672a68beafb13d195d0915d"",""R16B-SENSE:fa3369a6eb4bebe96ee289987f963e539b8da9c27ea0f454e8a24b6bddf9306f""]"	[]	"[""R14-ASSOC-005"",""R14-ASSOC-006"",""R14-ASSOC-008""]"	BINARY_FORK	MULTIPLE_COMPETING_BRANCHES	"[""R16B-LOCAL-FAMILY:23b72032e8165ac9f164a43ac0e1932f2fe4354f1b89f62d67ebe7d497de7af1""]"	HIGHER_ORDER_FAMILY_REVIEW_PENDING	Assign an evidence and global-coherence disposition, then regenerate or retire downstream product objects without silently carrying v2 semantics.	ROW_EXACT	7f4fb653de2464202541775695d5403b7eb140f29b78f6831478800e9e51aee1
ROUND15_FIXTURE	R15-COMP-004	scripts/trace-v49-exploration-composition-engine/fixtures/composition-fixtures-v1.json	R15-COMP-004	7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64	"[""R16B-SENSE:06c230c771547ee49390903e0bad7aaf44063613309c93bcbd72e808116af4c6"",""R16B-SENSE:35489187871bfd7b7be6e2d5268a3a922984d3bdad9e9a8ca61ea6edee84a5a7"",""R16B-SENSE:419a96e12217bfa4ed031510c32033cb2408489e3abb14eb28291b13c068e159""]"	[]	"[""R14-ASSOC-002"",""R14-ASSOC-003"",""R14-ASSOC-004""]"	AUTO	MULTIPLE_VALID_TOPOLOGIES	"[""R16B-LOCAL-FAMILY:7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64""]"	HIGHER_ORDER_FAMILY_REVIEW_PENDING	Assign an evidence and global-coherence disposition, then regenerate or retire downstream product objects without silently carrying v2 semantics.	ROW_EXACT	d9c7d2b1d95d53573a923fc85a710a9f069df0be47d59704d11e614dbb94765f
ROUND15_FIXTURE	R15-COMP-005	scripts/trace-v49-exploration-composition-engine/fixtures/composition-fixtures-v1.json	R15-COMP-005	9ba898462d422755c40d8ef6228e8a7faa6e74dd9b4b0499f82694e8ae4515da	"[""R16B-SENSE:14bd96e324918cf3d87ed84253055004be79647294bf62a305ccf9a65a46b863"",""R16B-SENSE:6672e4d46dd04d497061cde0fb1319f2795e43fafb72f047ac8a663d5c0dabfb"",""R16B-SENSE:9f5a38a6fb1ca9212921419af18b59d535ee2f944c89ce002dfa6db54090b9c8"",""R16B-SENSE:f1dafc6df9c9a66b0b7c19d34606a2ed638c193dc7047afb8a1f83b3d564ebc1""]"	[]	"[""R14-ASSOC-016"",""R14-ASSOC-021"",""R14-ASSOC-024""]"	AUTO	UNSUPPORTED_BRIDGE	"[""R16B-LOCAL-FAMILY:9ba898462d422755c40d8ef6228e8a7faa6e74dd9b4b0499f82694e8ae4515da""]"	HIGHER_ORDER_FAMILY_REVIEW_PENDING	Assign an evidence and global-coherence disposition, then regenerate or retire downstream product objects without silently carrying v2 semantics.	ROW_EXACT	2cf69c4d3d1f98418f93ed6dd23aae527c1162cfe77eae482d970d2dca03b525
ROUND15_FIXTURE	R15-COMP-006	scripts/trace-v49-exploration-composition-engine/fixtures/composition-fixtures-v1.json	R15-COMP-006	07d5c44f285178774f70755012d2745feec81d240210c340b5910a738ae0a837	"[""R16B-SENSE:61aaade597c45243fcdef0d2514fc52f58a066ae5c9f4ad550727cb75b124f64"",""R16B-SENSE:697603bbe891d791295d478b3b16d10add9bdab1fd92826d63d8b630f3779cfb"",""R16B-SENSE:aaba242b61f07fc7756aa5d54b3d132896c230e138451ec96ac3b40b8c2c3ec3""]"	[]	"[""R14-ASSOC-010"",""R14-ASSOC-026""]"	LINEAR_PATH	HARD_NEGATIVE_INTRUSION	"[""R16B-LOCAL-FAMILY:07d5c44f285178774f70755012d2745feec81d240210c340b5910a738ae0a837""]"	HIGHER_ORDER_FAMILY_REVIEW_PENDING	Assign an evidence and global-coherence disposition, then regenerate or retire downstream product objects without silently carrying v2 semantics.	ROW_EXACT	99313a0308118d62f9dbb520cb9e23e2685a4ae910e083fbae0ab9bfa7ea66d7
ROUND15_FIXTURE	R15-COMP-007	scripts/trace-v49-exploration-composition-engine/fixtures/composition-fixtures-v1.json	R15-COMP-007	83009b1d124d4635a57866eeffba5e1a1a33e499bd60b30c6346b94ff1a04f8e	"[""R16B-SENSE:698710ef66f0d551cde028b8e54bdbf6051b96902a736be6b9ab45d1ad91f848"",""R16B-SENSE:9415fd18554090ac9dd2dfc28a1ec541d67a94b8421b1cefafa578a03302257d"",""R16B-SENSE:9c499c8b62d5222b0be4049597c613d82925ede87bf34656671a6b1e4e491bc3""]"	[]	"[""R14-ASSOC-013"",""R14-ASSOC-014"",""R14-ASSOC-015""]"	BINARY_CONVERGENCE	ALL_PASS_LOCAL_CLUSTER	"[""R16B-LOCAL-FAMILY:83009b1d124d4635a57866eeffba5e1a1a33e499bd60b30c6346b94ff1a04f8e""]"	HIGHER_ORDER_FAMILY_REVIEW_PENDING	Assign an evidence and global-coherence disposition, then regenerate or retire downstream product objects without silently carrying v2 semantics.	ROW_EXACT	50c9944eadc3a86bc7aad15e84171f8747866defc1e99b787d64035a095558d4
ROUND15_FIXTURE	R15-COMP-008	scripts/trace-v49-exploration-composition-engine/fixtures/composition-fixtures-v1.json	R15-COMP-008	08555e0036d8fa72ac6454261ba70bfa4ad09988a59f17c92c3401fd0d1d907d	"[""R16B-SENSE:6672e4d46dd04d497061cde0fb1319f2795e43fafb72f047ac8a663d5c0dabfb"",""R16B-SENSE:aaba242b61f07fc7756aa5d54b3d132896c230e138451ec96ac3b40b8c2c3ec3"",""R16B-SENSE:b25cab95ecf4ca503def2a66d5d89c36131f18c819b00e5c0c06737222baf067"",""R16B-SENSE:fd509f4a9f5aea51e88d869076b1534b55b173e8fd71bf4eb97c1c907a76859a""]"	[]	"[""R14-ASSOC-001"",""R14-ASSOC-018""]"	AUTO	MIXED_SUPPORT_CLASS	"[""R16B-LOCAL-FAMILY:08555e0036d8fa72ac6454261ba70bfa4ad09988a59f17c92c3401fd0d1d907d""]"	HIGHER_ORDER_FAMILY_REVIEW_PENDING	Assign an evidence and global-coherence disposition, then regenerate or retire downstream product objects without silently carrying v2 semantics.	ROW_EXACT	65685df6e1b4c51b45ea49df11c3557a6bb03b8e41839e798e09bcb8a5585ea6
ROUND15_FIXTURE	R15-COMP-009	scripts/trace-v49-exploration-composition-engine/fixtures/composition-fixtures-v1.json	R15-COMP-009	9ba898462d422755c40d8ef6228e8a7faa6e74dd9b4b0499f82694e8ae4515da	"[""R16B-SENSE:14bd96e324918cf3d87ed84253055004be79647294bf62a305ccf9a65a46b863"",""R16B-SENSE:6672e4d46dd04d497061cde0fb1319f2795e43fafb72f047ac8a663d5c0dabfb"",""R16B-SENSE:9f5a38a6fb1ca9212921419af18b59d535ee2f944c89ce002dfa6db54090b9c8"",""R16B-SENSE:f1dafc6df9c9a66b0b7c19d34606a2ed638c193dc7047afb8a1f83b3d564ebc1""]"	[]	"[""R14-ASSOC-016"",""R14-ASSOC-021"",""R14-ASSOC-024"",""R14-ASSOC-033"",""R14-ASSOC-034""]"	AUTO	SPLIT_PRODUCING_GRAPH	"[""R16B-LOCAL-FAMILY:9ba898462d422755c40d8ef6228e8a7faa6e74dd9b4b0499f82694e8ae4515da""]"	HIGHER_ORDER_FAMILY_REVIEW_PENDING	Assign an evidence and global-coherence disposition, then regenerate or retire downstream product objects without silently carrying v2 semantics.	ROW_EXACT	6d409c9c45414a689e219b2fc9da24abaa7338a90d1d085e3a691fb73523bd00
ROUND15_FIXTURE	R15-COMP-010	scripts/trace-v49-exploration-composition-engine/fixtures/composition-fixtures-v1.json	R15-COMP-010	c0a6431919578166078d9823cb9994e5819ab7d56a9bad39a0dcb45d056d892c	"[""R16B-SENSE:1e7045ac788667d54d6b65cd2d78f8c378eb10d531dd198692143840ff9d766b"",""R16B-SENSE:3d5f8270a50edbaf14edbc7ae48c1cd8d230d94dbd0d1e60e116afca491720d7"",""R16B-SENSE:c6a305bac0ba3a375015fd389d830c7eb5ed46f883ed720ddfcb0dfff588055a""]"	[]	"[""R14-ASSOC-017"",""R14-ASSOC-023"",""R14-ASSOC-035""]"	EVIDENCE_GAP_TREE	GAP_PRODUCING_GRAPH	"[""R16B-LOCAL-FAMILY:c0a6431919578166078d9823cb9994e5819ab7d56a9bad39a0dcb45d056d892c""]"	HIGHER_ORDER_FAMILY_REVIEW_PENDING	Assign an evidence and global-coherence disposition, then regenerate or retire downstream product objects without silently carrying v2 semantics.	ROW_EXACT	a7fe146252be3a85bb127b446697acc4971814dc55b28f95e25b40cc3b00b07e
