production_composition_id	participant_arity	round16b_candidate_ids_json	state_count	state_id_set_sha256	transition_count_by_current_state	transition_id_set_sha256	workflow_count	workflow_id_set_sha256	export_count	export_id_set_sha256	partition_status	semantic_carry_forward_authorized
R16A-PCOMP-0032182383B75CA3BAD2	3	"[""R16B-LOCAL-FAMILY:23b72032e8165ac9f164a43ac0e1932f2fe4354f1b89f62d67ebe7d497de7af1""]"	24	7240a21cbc753a2c5d409951f3e056d50a6957df0f9fdabcc57461658f74a82c	3700	f0ded99fe14596f031e4c59af21e8ea34bbd97f5e9226542b3a12bb9307864e0	24	5d784ec9fe3ff4c6f13e3136264deb747e3986d8759abc40db21d27c9989e51b	48	5fbddef36f3636c41d92514d91e99a29fcff023fd1f449218293c09d7b663abd	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-00AEE71993B93492760D	3	"[""R16B-LOCAL-FAMILY:7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64""]"	24	78b8651cb815ecad36952d289baa8514503583d198c761b3ab9c3614ac41fdcd	3700	609f1dd930b0d98bd043d6dedc203b4f7d87c8b166c20e694f33c9e0a9f0b932	24	1ea0613af37c03e202cc04385e508bab4ea5afb0752f1740ba2afb042827bf9b	48	0a9194c813a6ccf434d471b47c8f465d089f73d92473b61bce5e10709845e8a0	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-01337105A2F4C3333242	4	"[""R16B-LOCAL-FAMILY:89817e7a449f1cc7b574fb1b89c9541f765e52825c5cb62bf0a2bb833e8f970a""]"	64	6ed56675d7cec4d72b4f9d0677f7ef6e3ba5da1d38fc4a484aa0ea2574af360f	9996	14d4abbf3a593ad31021e29b58f0909c5d59a813139d2a24f8d353af79fe2594	64	764226c5ab24e9d46c75780ba415843d2460b00c664cb77e3b2d847f7c4a4128	128	ac9da77465128e28429e0099cda469396ac7294e9caa88239785a3c0b12faa32	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-01CBA211DF6A59BA2AA2	3	"[""R16B-LOCAL-FAMILY:7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64""]"	24	2ac7ad6fb5879d79a99d0faf5f01ead5d4e1b0386daf3fcf9294fd2037d90a88	3700	519b0157b92756c8992c9e2c0f9ecf24ccff7e2a267dd518b8992c15530abd30	24	1e5bb45d1fa77f5ed9435c9a31c401256d894d926812dcb2fe838a3b95af550d	48	1163ed587bcf5aeeca84e416f158cb4c6fc149c85668d84b42f59f42228c82a8	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-0374D2B2AF8BCC1BB5B9	3	"[""R16B-LOCAL-FAMILY:23b72032e8165ac9f164a43ac0e1932f2fe4354f1b89f62d67ebe7d497de7af1""]"	24	ff7a7f3ca8a302ea2fb45e5417a2573eaf3a23954e03e7e21f1f3dba3f14abb6	3700	adc8547739bf94123053236d881d3a7b0bd6cb8576d7dc8d33c5e4e1807b98f7	24	f387e3194cf527b8e9d110f1abbf0781034d121c12589f0732722ff7eb347c96	48	d3f16f92414124ee4a0d3d28e873c2899d8566dfaa13640e057ace5ac0be6aa3	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-05162A57D278D493D5DF	2	[]	8	55e7ce3ccac6132468d9490b3c61746e728d2b885dfef47a260337f12c212c4f	632	0529c7645608342e87c105b5f9458fe03666b371a393a7ffec0b5dd4a8d82442	8	f147297c41a7b719013ff0421bb65580309a50a954c34315dbcefcbf24be3ac4	16	8e157c16e39f763bb7c14ba6f6effbaee0ed575a2ee6d65a259319ad6a92fe13	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-0704554ABCC57AB565EF	3	"[""R16B-LOCAL-FAMILY:1d76bf657bbdec293265d051268a2a1153be0108b15a8d63ebbf2cb98cf6f06a""]"	24	01d0af06899652bfca546a5f9cd795ae05d015f6b2eb03248f2a844aa5a61a2f	1948	d7742168ba56eaa90bdbbcfadadf1207ac9fdc841173906e89026cee0f877878	24	86fe141fc101ed22f38f423089080593333e551eb8abbcbd97643d3cbe850213	48	d0f2e3fc356c4f3a7e49f660b2312819c30ce4a018208a45251b6a37aedd233d	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-0778D8A9A87A3E221A2D	2	[]	8	0c334fa09577406163de5a18cb5973d69a5705ff603415dac966010c279f0851	1216	1753103f4c9ac73454b796099665cd5039b5db2b658d9392897fb3297594b5df	8	81c471bd0e2b53c0effc2fde44b84e3d87cc9fef9e321afc91c3dc6b1c0d476a	16	b05ad79d67e3ea0b4d0dbbecf6ba08e70ac342abbf0d261febc66ff343e8981b	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-07C73A08724033D92462	3	"[""R16B-LOCAL-FAMILY:af25d1d4c93f79886769d53d071805bd5b6726130b153e4484121321d1122e3a""]"	24	8bff34ff35dc41cd4f04d32ec870d9e1534ea02467f936a500c3954e18d366fe	3700	5c4670a15e7878f2cc60d0f701aa5795a40de34979b9ead8f2103bacf6c7acf9	24	e44ed4eb6ad7d657d27d9db7f0650fc529819bcc28b6dc591bb75375be69760f	48	badfeeee3fb5af71bedffb8d691741ccd6d155552f4b5428e9d94fa78cf123e4	COMPLETE_PENDING_ROUND16B_REGENERATION	false
R16A-PCOMP-07DA457407C10C3831C0	2	[]	8	3dfea2688fde61afe729f4f1d28de55a403c389fca9ee9e21dd16ee365c929ba	120	22325495b113f267874555a2afdbb16fd661cd449a3b530ca87c901ae9d7efb7	8	b199c1aeebd838ac4dc08722ba612b23abb2a3542c83dec27c13abee1c075b67	16	c8b7e14d095481620eb918770902e9d468c6261bcc3949b7883e973bec7744b5	COMPLETE_PENDING_ROUND16B_REGENERATION	false
