authority_base_sha	source_sha	prior_object_type	prior_id	source_path	source_file_sha256	source_record_ref	source_record_sha256	participant_set_key	participant_sense_ids_json	candidate_ids_json	candidate_final_dispositions_json	upstream_object_ids_json	prior_association_ids_json	prior_status	prior_topology	reconciliation_outcome	outcome_basis	semantic_carry_forward_authorized	active_fact_created	product_eligible	pair_projection_eligible	required_next_action	record_sha256
468105499c7be102deec7d6555aced688dea9901	5419770959bdb8998b693fb2275b47e29b92367c	ROUND16A_EXPORT	TEV2-000231c7a303b4f72413dd05	docs/audits/v49-exploration-full-space-closure-round1/raw/export-census-v2.tsv	7e0e97e0c5848c34438705818fcb78bd1fc87bd705d238ea45e4cc4791f7f009	TEV2-000231c7a303b4f72413dd05	5578b8617061f4cdf74f57efdbcd9b4247f3fed71c501148deb94ed32ba9a288	89817e7a449f1cc7b574fb1b89c9541f765e52825c5cb62bf0a2bb833e8f970a	"[""R16B-SENSE:4e14e64610176c44c8a9775fba3a7d484b4eee0fb06ee9553c17675cb7f0b634"",""R16B-SENSE:f0e28e13851d04c13b701f53d9b3911cb50fc572cc6203c64527804f0b37e909"",""R16B-SENSE:f26224717160ca63c45ca85fe7c23e1469baa3e10672a68beafb13d195d0915d"",""R16B-SENSE:fa3369a6eb4bebe96ee289987f963e539b8da9c27ea0f454e8a24b6bddf9306f""]"	"[""R16B-LOCAL-FAMILY:89817e7a449f1cc7b574fb1b89c9541f765e52825c5cb62bf0a2bb833e8f970a""]"	"[""INQUIRY_ONLY_OR_UNRESOLVED""]"	"[""R16A-ENTRY-34FE968144746CDA094A"",""R16A-PCOMP-43045E9427CF183AAAC1"",""R16A-SEED-6097F9211DB00AA752E5"",""R16A-STATE-CD19C9CB3AD0F013AF32FB5B""]"	[]	V2_EXPORT:portrait_card		INQUIRY	FAMILY_FINAL_DISPOSITION:INQUIRY_ONLY_OR_UNRESOLVED	false	false	false	false	Preserve as an explicitly inquiry-only baseline artifact; do not activate a product path while evidence or authority remains unresolved.	1be277c3e28227dceca986a35a3d2fa83783d14cecb35a08db9302a6c2c96c02
468105499c7be102deec7d6555aced688dea9901	5419770959bdb8998b693fb2275b47e29b92367c	ROUND16A_EXPORT	TEV2-0013536cfa36679345b397cb	docs/audits/v49-exploration-full-space-closure-round1/raw/export-census-v2.tsv	7e0e97e0c5848c34438705818fcb78bd1fc87bd705d238ea45e4cc4791f7f009	TEV2-0013536cfa36679345b397cb	d1b13781eb876ecd8b6a4cd4f11b25c5e0fd7aacf029d73a4b227265204a336a	1d76bf657bbdec293265d051268a2a1153be0108b15a8d63ebbf2cb98cf6f06a	"[""R16B-SENSE:0ebc966b965fc5703be0f4bae727d337f32d83eb7db9066e926a2530dcfa0171"",""R16B-SENSE:61aaade597c45243fcdef0d2514fc52f58a066ae5c9f4ad550727cb75b124f64"",""R16B-SENSE:697603bbe891d791295d478b3b16d10add9bdab1fd92826d63d8b630f3779cfb""]"	"[""R16B-LOCAL-FAMILY:1d76bf657bbdec293265d051268a2a1153be0108b15a8d63ebbf2cb98cf6f06a""]"	"[""INQUIRY_ONLY_OR_UNRESOLVED""]"	"[""R16A-ENTRY-5C66E3328B55C92AB100"",""R16A-PCOMP-EF917AD23AB2EDDC022B"",""R16A-SEED-DFA473B23F143E32BF0C"",""R16A-STATE-3C0990757CFC36B103C5CD13""]"	[]	V2_EXPORT:portrait_card		INQUIRY	FAMILY_FINAL_DISPOSITION:INQUIRY_ONLY_OR_UNRESOLVED	false	false	false	false	Preserve as an explicitly inquiry-only baseline artifact; do not activate a product path while evidence or authority remains unresolved.	577e612b63acc25869e6994939cc647361d0e4794c574e443af26325c38d1262
468105499c7be102deec7d6555aced688dea9901	5419770959bdb8998b693fb2275b47e29b92367c	ROUND16A_EXPORT	TEV2-0013bc45075ea792c65a534c	docs/audits/v49-exploration-full-space-closure-round1/raw/export-census-v2.tsv	7e0e97e0c5848c34438705818fcb78bd1fc87bd705d238ea45e4cc4791f7f009	TEV2-0013bc45075ea792c65a534c	064c49c9c8696f8a1af7a17bc251309930629f3d45b41bd3b16c0d0eeb4eb724	7d407e71f244548ca1c95b0c98357ea7cc8b55526ee27808ee5aa33942dac0ab	"[""R16B-SENSE:3d5f8270a50edbaf14edbc7ae48c1cd8d230d94dbd0d1e60e116afca491720d7"",""R16B-SENSE:c6a305bac0ba3a375015fd389d830c7eb5ed46f883ed720ddfcb0dfff588055a""]"	[]	[]	"[""R16A-ENTRY-54B19765209E346B0EB5"",""R16A-PCOMP-90FF68DAFB1D06E172C3"",""R16A-SEED-EB4BC851C86771AC18ED"",""R16A-STATE-E83F5EB41B37A246CBB8B960""]"	[]	V2_EXPORT:portrait_card		RETAINED	ROUND16A_ACTIVE_PAIR_BASELINE_NO_GROUP_CLAIM	false	false	false	false	Preserve the exact pair baseline without a manufactured group claim; regenerate any v3 product descendant before product activation.	bbafd48e98ea2a8a9bbfa5e525a5f1b03a9cbcce946e2e2195720010b25ddd3b
468105499c7be102deec7d6555aced688dea9901	5419770959bdb8998b693fb2275b47e29b92367c	ROUND16A_EXPORT	TEV2-0015cfabd94f885c05764a2e	docs/audits/v49-exploration-full-space-closure-round1/raw/export-census-v2.tsv	7e0e97e0c5848c34438705818fcb78bd1fc87bd705d238ea45e4cc4791f7f009	TEV2-0015cfabd94f885c05764a2e	44dba0d94062f10b87100268152c2e19f17d417e62d690270d1d39afad58afb0	e33bd6538eb80f04087e13b1896ff995a5523453a10e8f4aec460ef9fdd87376	"[""R16B-SENSE:4e14e64610176c44c8a9775fba3a7d484b4eee0fb06ee9553c17675cb7f0b634"",""R16B-SENSE:f0e28e13851d04c13b701f53d9b3911cb50fc572cc6203c64527804f0b37e909"",""R16B-SENSE:f26224717160ca63c45ca85fe7c23e1469baa3e10672a68beafb13d195d0915d""]"	"[""R16B-LOCAL-FAMILY:e33bd6538eb80f04087e13b1896ff995a5523453a10e8f4aec460ef9fdd87376""]"	"[""PAIRWISE_SUPPORT_WITHOUT_GROUP_COHERENCE""]"	"[""R16A-ENTRY-87BBEAB21D8FF1DF05A0"",""R16A-PCOMP-58BF0BDDF211BA2AA1D0"",""R16A-SEED-7F0EC37CFC0D6C9D2CA0"",""R16A-STATE-C5A3AF71635716C90FEE8082""]"	[]	V2_EXPORT:portrait_card		CORRECTED	FAMILY_FINAL_DISPOSITION:PAIRWISE_SUPPORT_WITHOUT_GROUP_COHERENCE	false	false	false	false	Preserve separately governed pair records, remove the unsupported group-coherence implication, and regenerate with corrected association provenance.	2496d481e4d573100836a8ab89d4f8d6c5449dc974c2026dd959192f5c4618d3
468105499c7be102deec7d6555aced688dea9901	5419770959bdb8998b693fb2275b47e29b92367c	ROUND16A_EXPORT	TEV2-001762f0482d153747a8e664	docs/audits/v49-exploration-full-space-closure-round1/raw/export-census-v2.tsv	7e0e97e0c5848c34438705818fcb78bd1fc87bd705d238ea45e4cc4791f7f009	TEV2-001762f0482d153747a8e664	3de07d46eef71da634c0840c2fba17e7f6639f8ad05f0fcf31a0e1b8ae7a6274	e33bd6538eb80f04087e13b1896ff995a5523453a10e8f4aec460ef9fdd87376	"[""R16B-SENSE:4e14e64610176c44c8a9775fba3a7d484b4eee0fb06ee9553c17675cb7f0b634"",""R16B-SENSE:f0e28e13851d04c13b701f53d9b3911cb50fc572cc6203c64527804f0b37e909"",""R16B-SENSE:f26224717160ca63c45ca85fe7c23e1469baa3e10672a68beafb13d195d0915d""]"	"[""R16B-LOCAL-FAMILY:e33bd6538eb80f04087e13b1896ff995a5523453a10e8f4aec460ef9fdd87376""]"	"[""PAIRWISE_SUPPORT_WITHOUT_GROUP_COHERENCE""]"	"[""R16A-ENTRY-838873C85DA1094B688B"",""R16A-PCOMP-207796BB1106A9B1944D"",""R16A-SEED-90C09BACCECA40360BF8"",""R16A-STATE-D00B0A524DFC177512F74373""]"	[]	V2_EXPORT:portrait_card		CORRECTED	FAMILY_FINAL_DISPOSITION:PAIRWISE_SUPPORT_WITHOUT_GROUP_COHERENCE	false	false	false	false	Preserve separately governed pair records, remove the unsupported group-coherence implication, and regenerate with corrected association provenance.	c887a56dce6461d760ad0fc7db4902adcb6daf11a4b46389d450650cc034e1b2
468105499c7be102deec7d6555aced688dea9901	5419770959bdb8998b693fb2275b47e29b92367c	ROUND16A_EXPORT	TEV2-0020fea0b9efeaf7e7e0846e	docs/audits/v49-exploration-full-space-closure-round1/raw/export-census-v2.tsv	7e0e97e0c5848c34438705818fcb78bd1fc87bd705d238ea45e4cc4791f7f009	TEV2-0020fea0b9efeaf7e7e0846e	bf95acca5ac11b827adb688b9faed3429330f20135ddc221d8f42218da4eec57	23b72032e8165ac9f164a43ac0e1932f2fe4354f1b89f62d67ebe7d497de7af1	"[""R16B-SENSE:4e14e64610176c44c8a9775fba3a7d484b4eee0fb06ee9553c17675cb7f0b634"",""R16B-SENSE:f26224717160ca63c45ca85fe7c23e1469baa3e10672a68beafb13d195d0915d"",""R16B-SENSE:fa3369a6eb4bebe96ee289987f963e539b8da9c27ea0f454e8a24b6bddf9306f""]"	"[""R16B-LOCAL-FAMILY:23b72032e8165ac9f164a43ac0e1932f2fe4354f1b89f62d67ebe7d497de7af1""]"	"[""PAIRWISE_SUPPORT_WITHOUT_GROUP_COHERENCE""]"	"[""R16A-ENTRY-54148ACF0E6203E0DE04"",""R16A-PCOMP-A26E8C9D50CE5D4B7CAD"",""R16A-SEED-3CF6D31F7730480B5A0D"",""R16A-STATE-1C6B9FE01FCF88901F601697""]"	[]	V2_EXPORT:portrait_card		CORRECTED	FAMILY_FINAL_DISPOSITION:PAIRWISE_SUPPORT_WITHOUT_GROUP_COHERENCE	false	false	false	false	Preserve separately governed pair records, remove the unsupported group-coherence implication, and regenerate with corrected association provenance.	0a6a6031756ebb4a8ef14ea12dbd5c40a8e1ebc849eff40d0a0803301e549470
468105499c7be102deec7d6555aced688dea9901	5419770959bdb8998b693fb2275b47e29b92367c	ROUND16A_EXPORT	TEV2-00216b081e76b5dccdf6826b	docs/audits/v49-exploration-full-space-closure-round1/raw/export-census-v2.tsv	7e0e97e0c5848c34438705818fcb78bd1fc87bd705d238ea45e4cc4791f7f009	TEV2-00216b081e76b5dccdf6826b	73b899c1bf2b24aafad01d0c516cbb76f2891fb3544a9b4009f60400523b6a43	e33bd6538eb80f04087e13b1896ff995a5523453a10e8f4aec460ef9fdd87376	"[""R16B-SENSE:4e14e64610176c44c8a9775fba3a7d484b4eee0fb06ee9553c17675cb7f0b634"",""R16B-SENSE:f0e28e13851d04c13b701f53d9b3911cb50fc572cc6203c64527804f0b37e909"",""R16B-SENSE:f26224717160ca63c45ca85fe7c23e1469baa3e10672a68beafb13d195d0915d""]"	"[""R16B-LOCAL-FAMILY:e33bd6538eb80f04087e13b1896ff995a5523453a10e8f4aec460ef9fdd87376""]"	"[""PAIRWISE_SUPPORT_WITHOUT_GROUP_COHERENCE""]"	"[""R16A-ENTRY-84E933E1ADFB3F455763"",""R16A-PCOMP-4B3E7A083FD416AD59F6"",""R16A-SEED-39C0C1F451B166FB5EC1"",""R16A-STATE-4A91A19FC73F84A4420852D4""]"	[]	V2_EXPORT:portrait_card		CORRECTED	FAMILY_FINAL_DISPOSITION:PAIRWISE_SUPPORT_WITHOUT_GROUP_COHERENCE	false	false	false	false	Preserve separately governed pair records, remove the unsupported group-coherence implication, and regenerate with corrected association provenance.	7b6757973648e8ef578aaad414c30277a92bbc3f74fd056b4fa02013e5aa9d62
468105499c7be102deec7d6555aced688dea9901	5419770959bdb8998b693fb2275b47e29b92367c	ROUND16A_EXPORT	TEV2-0024d3736edfce3c21c41e49	docs/audits/v49-exploration-full-space-closure-round1/raw/export-census-v2.tsv	7e0e97e0c5848c34438705818fcb78bd1fc87bd705d238ea45e4cc4791f7f009	TEV2-0024d3736edfce3c21c41e49	98ef586abb0d621e5983b01f311a13e7c1ca967c714e8bc76478c55ff869b178	7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64	"[""R16B-SENSE:06c230c771547ee49390903e0bad7aaf44063613309c93bcbd72e808116af4c6"",""R16B-SENSE:35489187871bfd7b7be6e2d5268a3a922984d3bdad9e9a8ca61ea6edee84a5a7"",""R16B-SENSE:419a96e12217bfa4ed031510c32033cb2408489e3abb14eb28291b13c068e159""]"	"[""R16B-LOCAL-FAMILY:7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64""]"	"[""BOUNDED_SENSE_OR_SCOPE_CONFLICT""]"	"[""R16A-ENTRY-F0BB0E5BBF0EFD8FA646"",""R16A-PCOMP-535EFE6B1BD800365498"",""R16A-SEED-DDB89DB27A8FAC3D1458"",""R16A-STATE-B49C8AC21E5E18B7E45BDDD7""]"	[]	V2_EXPORT:portrait_card		REJECTED	FAMILY_FINAL_DISPOSITION:BOUNDED_SENSE_OR_SCOPE_CONFLICT	false	false	false	false	Preserve the audit receipt, retire the prior object from active product eligibility, and do not project or synthesize a replacement association.	399db972dbf385cd7d0919c45b3e5d28f090345d622b268be9d4811b7c903914
468105499c7be102deec7d6555aced688dea9901	5419770959bdb8998b693fb2275b47e29b92367c	ROUND16A_EXPORT	TEV2-0032bbe476d36f0213a7cdc4	docs/audits/v49-exploration-full-space-closure-round1/raw/export-census-v2.tsv	7e0e97e0c5848c34438705818fcb78bd1fc87bd705d238ea45e4cc4791f7f009	TEV2-0032bbe476d36f0213a7cdc4	ade2530cfc360ea46548ff11c4e0794e565dafe950805272e9264dc6a4903290	af25d1d4c93f79886769d53d071805bd5b6726130b153e4484121321d1122e3a	"[""R16B-SENSE:f0e28e13851d04c13b701f53d9b3911cb50fc572cc6203c64527804f0b37e909"",""R16B-SENSE:f26224717160ca63c45ca85fe7c23e1469baa3e10672a68beafb13d195d0915d"",""R16B-SENSE:fa3369a6eb4bebe96ee289987f963e539b8da9c27ea0f454e8a24b6bddf9306f""]"	"[""R16B-LOCAL-FAMILY:af25d1d4c93f79886769d53d071805bd5b6726130b153e4484121321d1122e3a""]"	"[""PAIRWISE_SUPPORT_WITHOUT_GROUP_COHERENCE""]"	"[""R16A-ENTRY-D029EB63743D246F4E72"",""R16A-PCOMP-A4D63743BF118A6B5EEB"",""R16A-SEED-21629B4791B6489C5567"",""R16A-STATE-FF8809EABE865B28E0919883""]"	[]	V2_EXPORT:portrait_card		CORRECTED	FAMILY_FINAL_DISPOSITION:PAIRWISE_SUPPORT_WITHOUT_GROUP_COHERENCE	false	false	false	false	Preserve separately governed pair records, remove the unsupported group-coherence implication, and regenerate with corrected association provenance.	ec56376b57ceba4374309453e54336a2b22841708e77690ffaf1ad012a70e0b2
468105499c7be102deec7d6555aced688dea9901	5419770959bdb8998b693fb2275b47e29b92367c	ROUND16A_EXPORT	TEV2-0036a6ddd85dcc20b92e1a24	docs/audits/v49-exploration-full-space-closure-round1/raw/export-census-v2.tsv	7e0e97e0c5848c34438705818fcb78bd1fc87bd705d238ea45e4cc4791f7f009	TEV2-0036a6ddd85dcc20b92e1a24	0d5d4996b0117e73d4cae09936cbc39595cbdaea1dd78a560a44e8fca0f51a7d	7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64	"[""R16B-SENSE:06c230c771547ee49390903e0bad7aaf44063613309c93bcbd72e808116af4c6"",""R16B-SENSE:35489187871bfd7b7be6e2d5268a3a922984d3bdad9e9a8ca61ea6edee84a5a7"",""R16B-SENSE:419a96e12217bfa4ed031510c32033cb2408489e3abb14eb28291b13c068e159""]"	"[""R16B-LOCAL-FAMILY:7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64""]"	"[""BOUNDED_SENSE_OR_SCOPE_CONFLICT""]"	"[""R16A-ENTRY-F0BB0E5BBF0EFD8FA646"",""R16A-PCOMP-185FC99A208DDE8A4A99"",""R16A-SEED-3103A40D06495ABBEE2B"",""R16A-STATE-57E79B587FB3843123D8DD39""]"	[]	V2_EXPORT:portrait_card		REJECTED	FAMILY_FINAL_DISPOSITION:BOUNDED_SENSE_OR_SCOPE_CONFLICT	false	false	false	false	Preserve the audit receipt, retire the prior object from active product eligibility, and do not project or synthesize a replacement association.	ab89aeb6d3d094c5e2989ef96b53eb6c19a51a1c99fcc57a4c3f89f672ea9fc2
