case_id	phase	method	path	expected_status	actual_status	outcome	latency_ms	response_bytes	response_sha256	error
A001	ARTIFACT_CHECK	FILE	frontend/generated/trace-exploration-v3/CHECKSUMS.sha256	SHA256_BOUND	SHA256_BOUND	PASS	0.000000	151170	f1ae8a35895b27c15fb3d9b42828b8611633ee8ee7e2cbc825772b590304351b	NONE
C01-W00-R0000	CONCURRENCY_C1	GET	/api/trace/v3/exploration/association-realizations	200	200	PASS	1.989459	725	4dd78134dc4f23e63725e4caeda97ef2bfc1754f5f2aff51942d11c02123691a	NONE
C01-W00-R0001	CONCURRENCY_C1	GET	/api/trace/v3/exploration/associations	200	200	PASS	1.712709	713	ec21eedebf5f2f148d12e05480e7d81a0026a169ea028e9a5ab145187f85b998	NONE
C01-W00-R0002	CONCURRENCY_C1	GET	/api/trace/v3/exploration/baseline/reconciliation	200	200	PASS	1.657625	2189	a79789043f67fc313292921d4c5d34d25c4abad09138eb94562035770a69e65d	NONE
C01-W00-R0003	CONCURRENCY_C1	GET	/api/trace/v3/exploration/capabilities	200	200	PASS	1.348083	4005	01eac840347efa58ff68d4431a463f7d7dd610dacc575ad788217bbd1b9cacab	NONE
C01-W00-R0004	CONCURRENCY_C1	GET	/api/trace/v3/exploration/composition-coherence-reviews	200	200	PASS	2.448042	730	da7e8e19cca6598183e902d6f684920ccdc423cf300a4ed8990c211b1e292bbc	NONE
C01-W00-R0005	CONCURRENCY_C1	GET	/api/trace/v3/exploration/compositions	200	200	PASS	2.056417	713	dd1373bde067964b9bd52ce2ddfcb828999bb077e5e42dd15f348304f0ca70a1	NONE
C01-W00-R0006	CONCURRENCY_C1	GET	/api/trace/v3/exploration/concept-senses	200	200	PASS	1.749458	715	75cadf84c5a950188e711430d8292660a7c54e01575953995ce43972632429f4	NONE
C01-W00-R0007	CONCURRENCY_C1	GET	/api/trace/v3/exploration/concepts	200	200	PASS	1.325542	709	05943d3a95d4227edfc1c8c82c6a546b41d5da382d423934b81bb517d2a0eb5d	NONE
C01-W00-R0008	CONCURRENCY_C1	GET	/api/trace/v3/exploration/exports	200	200	PASS	1.859167	708	631fc5c6cd72a4902047dddd789da4e136d6b7123bb5d12b025e9336adbc81a8	NONE
C01-W00-R0009	CONCURRENCY_C1	GET	/api/trace/v3/exploration/incidences	200	200	PASS	1.291250	711	d9abfe7c888de54a767bf8acd5d628aeaafe94f02988d127fafdb5f7c19cf6e5	NONE
C01-W00-R0010	CONCURRENCY_C1	GET	/api/trace/v3/exploration/navigation-states	200	200	PASS	1.553333	718	624ee202b32e3ded7bd22d1be93401b6e20f864e8621e20bd341f8821f093959	NONE
C01-W00-R0011	CONCURRENCY_C1	GET	/api/trace/v3/exploration/scopes	200	200	PASS	2.144666	707	8b14a489448a1984cfb15fba343a204fafb96965836e0580734e30c3e02f3373	NONE
C01-W00-R0012	CONCURRENCY_C1	GET	/api/trace/v3/exploration/transitions	200	200	PASS	1.873709	712	139abdc791c497981ca0f31b41b09d19a2be583e770b5b9e6f36f7a9d13b434a	NONE
C01-W00-R0013	CONCURRENCY_C1	GET	/api/trace/v3/exploration/workflows	200	200	PASS	1.306833	710	fd65affe0a08cd2ec3b774b6838cd8f49b143392f4d49090467757d3f1026191	NONE
C01-W00-R0014	CONCURRENCY_C1	GET	/api/trace/v3/exploration/association-realizations	200	200	PASS	1.823667	725	4dd78134dc4f23e63725e4caeda97ef2bfc1754f5f2aff51942d11c02123691a	NONE
C01-W00-R0015	CONCURRENCY_C1	GET	/api/trace/v3/exploration/associations	200	200	PASS	1.937458	713	ec21eedebf5f2f148d12e05480e7d81a0026a169ea028e9a5ab145187f85b998	NONE
C01-W00-R0016	CONCURRENCY_C1	GET	/api/trace/v3/exploration/baseline/reconciliation	200	200	PASS	1.677500	2189	a79789043f67fc313292921d4c5d34d25c4abad09138eb94562035770a69e65d	NONE
C01-W00-R0017	CONCURRENCY_C1	GET	/api/trace/v3/exploration/capabilities	200	200	PASS	1.517791	4005	01eac840347efa58ff68d4431a463f7d7dd610dacc575ad788217bbd1b9cacab	NONE
C01-W00-R0018	CONCURRENCY_C1	GET	/api/trace/v3/exploration/composition-coherence-reviews	200	200	PASS	1.166458	730	da7e8e19cca6598183e902d6f684920ccdc423cf300a4ed8990c211b1e292bbc	NONE
C01-W00-R0019	CONCURRENCY_C1	GET	/api/trace/v3/exploration/compositions	200	200	PASS	1.395250	713	dd1373bde067964b9bd52ce2ddfcb828999bb077e5e42dd15f348304f0ca70a1	NONE
C01-W00-R0020	CONCURRENCY_C1	GET	/api/trace/v3/exploration/concept-senses	200	200	PASS	1.536708	715	75cadf84c5a950188e711430d8292660a7c54e01575953995ce43972632429f4	NONE
C01-W00-R0021	CONCURRENCY_C1	GET	/api/trace/v3/exploration/concepts	200	200	PASS	2.055583	709	05943d3a95d4227edfc1c8c82c6a546b41d5da382d423934b81bb517d2a0eb5d	NONE
C01-W00-R0022	CONCURRENCY_C1	GET	/api/trace/v3/exploration/exports	200	200	PASS	1.791750	708	631fc5c6cd72a4902047dddd789da4e136d6b7123bb5d12b025e9336adbc81a8	NONE
C01-W00-R0023	CONCURRENCY_C1	GET	/api/trace/v3/exploration/incidences	200	200	PASS	1.574666	711	d9abfe7c888de54a767bf8acd5d628aeaafe94f02988d127fafdb5f7c19cf6e5	NONE
C01-W00-R0024	CONCURRENCY_C1	GET	/api/trace/v3/exploration/navigation-states	200	200	PASS	2.380500	718	624ee202b32e3ded7bd22d1be93401b6e20f864e8621e20bd341f8821f093959	NONE
C01-W00-R0025	CONCURRENCY_C1	GET	/api/trace/v3/exploration/scopes	200	200	PASS	1.848334	707	8b14a489448a1984cfb15fba343a204fafb96965836e0580734e30c3e02f3373	NONE
C01-W00-R0026	CONCURRENCY_C1	GET	/api/trace/v3/exploration/transitions	200	200	PASS	1.437875	712	139abdc791c497981ca0f31b41b09d19a2be583e770b5b9e6f36f7a9d13b434a	NONE
C01-W00-R0027	CONCURRENCY_C1	GET	/api/trace/v3/exploration/workflows	200	200	PASS	1.409708	710	fd65affe0a08cd2ec3b774b6838cd8f49b143392f4d49090467757d3f1026191	NONE
C01-W00-R0028	CONCURRENCY_C1	GET	/api/trace/v3/exploration/association-realizations	200	200	PASS	1.259625	725	4dd78134dc4f23e63725e4caeda97ef2bfc1754f5f2aff51942d11c02123691a	NONE
C01-W00-R0029	CONCURRENCY_C1	GET	/api/trace/v3/exploration/associations	200	200	PASS	1.343416	713	ec21eedebf5f2f148d12e05480e7d81a0026a169ea028e9a5ab145187f85b998	NONE
C01-W00-R0030	CONCURRENCY_C1	GET	/api/trace/v3/exploration/baseline/reconciliation	200	200	PASS	1.479958	2189	a79789043f67fc313292921d4c5d34d25c4abad09138eb94562035770a69e65d	NONE
C01-W00-R0031	CONCURRENCY_C1	GET	/api/trace/v3/exploration/capabilities	200	200	PASS	1.781667	4005	01eac840347efa58ff68d4431a463f7d7dd610dacc575ad788217bbd1b9cacab	NONE
C01-W00-R0032	CONCURRENCY_C1	GET	/api/trace/v3/exploration/composition-coherence-reviews	200	200	PASS	1.606208	730	da7e8e19cca6598183e902d6f684920ccdc423cf300a4ed8990c211b1e292bbc	NONE
C01-W00-R0033	CONCURRENCY_C1	GET	/api/trace/v3/exploration/compositions	200	200	PASS	1.504500	713	dd1373bde067964b9bd52ce2ddfcb828999bb077e5e42dd15f348304f0ca70a1	NONE
C01-W00-R0034	CONCURRENCY_C1	GET	/api/trace/v3/exploration/concept-senses	200	200	PASS	2.219166	715	75cadf84c5a950188e711430d8292660a7c54e01575953995ce43972632429f4	NONE
C01-W00-R0035	CONCURRENCY_C1	GET	/api/trace/v3/exploration/concepts	200	200	PASS	2.426625	709	05943d3a95d4227edfc1c8c82c6a546b41d5da382d423934b81bb517d2a0eb5d	NONE
C01-W00-R0036	CONCURRENCY_C1	GET	/api/trace/v3/exploration/exports	200	200	PASS	1.674708	708	631fc5c6cd72a4902047dddd789da4e136d6b7123bb5d12b025e9336adbc81a8	NONE
C01-W00-R0037	CONCURRENCY_C1	GET	/api/trace/v3/exploration/incidences	200	200	PASS	1.381667	711	d9abfe7c888de54a767bf8acd5d628aeaafe94f02988d127fafdb5f7c19cf6e5	NONE
C01-W00-R0038	CONCURRENCY_C1	GET	/api/trace/v3/exploration/navigation-states	200	200	PASS	1.395542	718	624ee202b32e3ded7bd22d1be93401b6e20f864e8621e20bd341f8821f093959	NONE
C01-W00-R0039	CONCURRENCY_C1	GET	/api/trace/v3/exploration/scopes	200	200	PASS	1.364292	707	8b14a489448a1984cfb15fba343a204fafb96965836e0580734e30c3e02f3373	NONE
C01-W00-R0040	CONCURRENCY_C1	GET	/api/trace/v3/exploration/transitions	200	200	PASS	1.621458	712	139abdc791c497981ca0f31b41b09d19a2be583e770b5b9e6f36f7a9d13b434a	NONE
C01-W00-R0041	CONCURRENCY_C1	GET	/api/trace/v3/exploration/workflows	200	200	PASS	1.758000	710	fd65affe0a08cd2ec3b774b6838cd8f49b143392f4d49090467757d3f1026191	NONE
C01-W00-R0042	CONCURRENCY_C1	GET	/api/trace/v3/exploration/association-realizations	200	200	PASS	1.524792	725	4dd78134dc4f23e63725e4caeda97ef2bfc1754f5f2aff51942d11c02123691a	NONE
C01-W00-R0043	CONCURRENCY_C1	GET	/api/trace/v3/exploration/associations	200	200	PASS	1.994125	713	ec21eedebf5f2f148d12e05480e7d81a0026a169ea028e9a5ab145187f85b998	NONE
C01-W00-R0044	CONCURRENCY_C1	GET	/api/trace/v3/exploration/baseline/reconciliation	200	200	PASS	2.258042	2189	a79789043f67fc313292921d4c5d34d25c4abad09138eb94562035770a69e65d	NONE
C01-W00-R0045	CONCURRENCY_C1	GET	/api/trace/v3/exploration/capabilities	200	200	PASS	2.371500	4005	01eac840347efa58ff68d4431a463f7d7dd610dacc575ad788217bbd1b9cacab	NONE
C01-W00-R0046	CONCURRENCY_C1	GET	/api/trace/v3/exploration/composition-coherence-reviews	200	200	PASS	1.447083	730	da7e8e19cca6598183e902d6f684920ccdc423cf300a4ed8990c211b1e292bbc	NONE
C01-W00-R0047	CONCURRENCY_C1	GET	/api/trace/v3/exploration/compositions	200	200	PASS	1.138625	713	dd1373bde067964b9bd52ce2ddfcb828999bb077e5e42dd15f348304f0ca70a1	NONE
C01-W00-R0048	CONCURRENCY_C1	GET	/api/trace/v3/exploration/concept-senses	200	200	PASS	1.144583	715	75cadf84c5a950188e711430d8292660a7c54e01575953995ce43972632429f4	NONE
C01-W00-R0049	CONCURRENCY_C1	GET	/api/trace/v3/exploration/concepts	200	200	PASS	1.483250	709	05943d3a95d4227edfc1c8c82c6a546b41d5da382d423934b81bb517d2a0eb5d	NONE
C01-W00-R0050	CONCURRENCY_C1	GET	/api/trace/v3/exploration/exports	200	200	PASS	1.949750	708	631fc5c6cd72a4902047dddd789da4e136d6b7123bb5d12b025e9336adbc81a8	NONE
C01-W00-R0051	CONCURRENCY_C1	GET	/api/trace/v3/exploration/incidences	200	200	PASS	1.442042	711	d9abfe7c888de54a767bf8acd5d628aeaafe94f02988d127fafdb5f7c19cf6e5	NONE
C01-W00-R0052	CONCURRENCY_C1	GET	/api/trace/v3/exploration/navigation-states	200	200	PASS	1.281500	718	624ee202b32e3ded7bd22d1be93401b6e20f864e8621e20bd341f8821f093959	NONE
C01-W00-R0053	CONCURRENCY_C1	GET	/api/trace/v3/exploration/scopes	200	200	PASS	2.209584	707	8b14a489448a1984cfb15fba343a204fafb96965836e0580734e30c3e02f3373	NONE
C01-W00-R0054	CONCURRENCY_C1	GET	/api/trace/v3/exploration/transitions	200	200	PASS	2.226375	712	139abdc791c497981ca0f31b41b09d19a2be583e770b5b9e6f36f7a9d13b434a	NONE
C01-W00-R0055	CONCURRENCY_C1	GET	/api/trace/v3/exploration/workflows	200	200	PASS	1.665916	710	fd65affe0a08cd2ec3b774b6838cd8f49b143392f4d49090467757d3f1026191	NONE
C01-W00-R0056	CONCURRENCY_C1	GET	/api/trace/v3/exploration/association-realizations	200	200	PASS	1.414500	725	4dd78134dc4f23e63725e4caeda97ef2bfc1754f5f2aff51942d11c02123691a	NONE
C01-W00-R0057	CONCURRENCY_C1	GET	/api/trace/v3/exploration/associations	200	200	PASS	1.059625	713	ec21eedebf5f2f148d12e05480e7d81a0026a169ea028e9a5ab145187f85b998	NONE
C01-W00-R0058	CONCURRENCY_C1	GET	/api/trace/v3/exploration/baseline/reconciliation	200	200	PASS	1.042875	2189	a79789043f67fc313292921d4c5d34d25c4abad09138eb94562035770a69e65d	NONE
C01-W00-R0059	CONCURRENCY_C1	GET	/api/trace/v3/exploration/capabilities	200	200	PASS	1.234667	4005	01eac840347efa58ff68d4431a463f7d7dd610dacc575ad788217bbd1b9cacab	NONE
C01-W00-R0060	CONCURRENCY_C1	GET	/api/trace/v3/exploration/composition-coherence-reviews	200	200	PASS	1.592500	730	da7e8e19cca6598183e902d6f684920ccdc423cf300a4ed8990c211b1e292bbc	NONE
C01-W00-R0061	CONCURRENCY_C1	GET	/api/trace/v3/exploration/compositions	200	200	PASS	1.871583	713	dd1373bde067964b9bd52ce2ddfcb828999bb077e5e42dd15f348304f0ca70a1	NONE
C01-W00-R0062	CONCURRENCY_C1	GET	/api/trace/v3/exploration/concept-senses	200	200	PASS	1.436083	715	75cadf84c5a950188e711430d8292660a7c54e01575953995ce43972632429f4	NONE
C01-W00-R0063	CONCURRENCY_C1	GET	/api/trace/v3/exploration/concepts	200	200	PASS	1.886584	709	05943d3a95d4227edfc1c8c82c6a546b41d5da382d423934b81bb517d2a0eb5d	NONE
C01-W00-R0064	CONCURRENCY_C1	GET	/api/trace/v3/exploration/exports	200	200	PASS	2.234250	708	631fc5c6cd72a4902047dddd789da4e136d6b7123bb5d12b025e9336adbc81a8	NONE
C01-W00-R0065	CONCURRENCY_C1	GET	/api/trace/v3/exploration/incidences	200	200	PASS	2.110541	711	d9abfe7c888de54a767bf8acd5d628aeaafe94f02988d127fafdb5f7c19cf6e5	NONE
C01-W00-R0066	CONCURRENCY_C1	GET	/api/trace/v3/exploration/navigation-states	200	200	PASS	1.749292	718	624ee202b32e3ded7bd22d1be93401b6e20f864e8621e20bd341f8821f093959	NONE
C01-W00-R0067	CONCURRENCY_C1	GET	/api/trace/v3/exploration/scopes	200	200	PASS	1.288500	707	8b14a489448a1984cfb15fba343a204fafb96965836e0580734e30c3e02f3373	NONE
C01-W00-R0068	CONCURRENCY_C1	GET	/api/trace/v3/exploration/transitions	200	200	PASS	1.191500	712	139abdc791c497981ca0f31b41b09d19a2be583e770b5b9e6f36f7a9d13b434a	NONE
C01-W00-R0069	CONCURRENCY_C1	GET	/api/trace/v3/exploration/workflows	200	200	PASS	1.454750	710	fd65affe0a08cd2ec3b774b6838cd8f49b143392f4d49090467757d3f1026191	NONE
C01-W00-R0070	CONCURRENCY_C1	GET	/api/trace/v3/exploration/association-realizations	200	200	PASS	1.614042	725	4dd78134dc4f23e63725e4caeda97ef2bfc1754f5f2aff51942d11c02123691a	NONE
