schema_name	object_name	object_type	owner	dependent_count	read_usage
provenance	assignment_decision_evidence_supports_v5_idx	index	gda_v49_phase2a_schema_owner	0	302
provenance	assignment_review_decision_current_leaf_v5_idx	index	gda_v49_phase2a_schema_owner	0	314
provenance	canonical_assignment_current_leaf_v5_idx	index	gda_v49_phase2a_schema_owner	0	67
provenance	canonical_assignment_launch_v4_selection_idx	index	gda_v49_phase2a_schema_owner	0	0
release	add_research_count_snapshot_to_draft	function	gda_v49_phase2a_schema_owner	0	0
release	add_research_membership_projection_to_draft	function	gda_v49_phase2a_schema_owner	0	0
release	analysis_run_snapshot_sha	function	gda_v49_phase2a_schema_owner	0	0
release	assert_legacy_resolution_projection_complete	function	gda_v49_phase2a_schema_owner	0	0
release	build_research_launch_manifest_bytes_v3	function	gda_v49_phase2a_schema_owner	0	0
release	build_research_launch_manifest_bytes_v4	function	gda_v49_phase2a_schema_owner	0	0
release	build_research_launch_manifest_bytes_v5	function	gda_v49_phase2a_schema_owner	0	0
release	build_research_launch_snapshot_v3	function	gda_v49_phase2a_schema_owner	0	0
release	build_research_launch_snapshot_v4	function	gda_v49_phase2a_schema_owner	0	0
release	build_research_launch_snapshot_v4_internal	function	gda_v49_phase2a_schema_owner	0	0
release	build_research_launch_snapshot_v5	function	gda_v49_phase2a_schema_owner	0	0
release	build_research_launch_snapshot_v5_internal	function	gda_v49_phase2a_schema_owner	0	0
release	compute_research_launch_candidate_fingerprint_v3	function	gda_v49_phase2a_schema_owner	1	0
release	compute_research_launch_candidate_fingerprint_v4	function	gda_v49_phase2a_schema_owner	0	0
release	compute_research_launch_candidate_fingerprint_v5	function	gda_v49_phase2a_schema_owner	0	0
release	copy_research_corpus_snapshot_to_draft	function	gda_v49_phase2a_schema_owner	0	0
release	enforce_takedown_snapshot	function	gda_v49_phase2a_schema_owner	1	0
release	evidence_snapshot_sha	function	gda_v49_phase2a_schema_owner	0	0
release	guard_research_launch_snapshot_mutation_v3	function	gda_v49_phase2a_schema_owner	12	0
release	guard_research_projection_mutation	function	gda_v49_phase2a_schema_owner	25	0
release	guard_visual_projection_mutation	function	gda_v49_phase2a_schema_owner	20	0
release	object_relation_membership_projection	table	gda_v49_phase2a_schema_owner	37	0
release	object_relation_membership_projection_pkey	index	gda_v49_phase2a_schema_owner	0	0
release	object_relation_membership_projection_relation_idx	index	gda_v49_phase2a_schema_owner	0	0
release	record_research_launch_verification_v5	function	gda_v49_phase2a_schema_owner	0	0
release	research_corpus_snapshot	table	gda_v49_phase2a_schema_owner	13	0
release	research_corpus_snapshot_pkey	index	gda_v49_phase2a_schema_owner	2	0
release	research_corpus_summary_projection_v3	table	gda_v49_phase2a_schema_owner	9	0
release	research_corpus_summary_projection_v3_pkey	index	gda_v49_phase2a_schema_owner	0	4
release	research_count_snapshot	table	gda_v49_phase2a_schema_owner	16	0
release	research_count_snapshot_pkey	index	gda_v49_phase2a_schema_owner	0	0
release	research_folder_membership_projection_v3	table	gda_v49_phase2a_schema_owner	32	0
release	research_folder_membership_projection_v3_pkey	index	gda_v49_phase2a_schema_owner	0	0
release	research_folder_membership_v3_folder_idx	index	gda_v49_phase2a_schema_owner	0	1
release	research_folder_membership_v3_object_idx	index	gda_v49_phase2a_schema_owner	0	14
release	research_folder_projection	table	gda_v49_phase2a_schema_owner	14	0
release	research_folder_projection_pkey	index	gda_v49_phase2a_schema_owner	1	0
release	research_folder_projection_token_idx	index	gda_v49_phase2a_schema_owner	0	0
release	research_folder_projection_v3	table	gda_v49_phase2a_schema_owner	29	0
release	research_folder_projection_v3_pkey	index	gda_v49_phase2a_schema_owner	1	33
release	research_folder_projection_v3_research_release_id_folder_t_key1	index	gda_v49_phase2a_schema_owner	0	0
release	research_folder_projection_v3_research_release_id_folder_ty_key	index	gda_v49_phase2a_schema_owner	0	0
release	research_folder_projection_v3_type_slug_idx	index	gda_v49_phase2a_schema_owner	0	0
release	research_folder_projection_v3_type_sort_idx	index	gda_v49_phase2a_schema_owner	0	4
release	research_folder_type_projection_v3	table	gda_v49_phase2a_schema_owner	12	0
release	research_folder_type_projection_v3_pkey	index	gda_v49_phase2a_schema_owner	1	4
release	research_launch_assignment_snapshot_sha_v3	function	gda_v49_phase2a_schema_owner	0	0
release	research_launch_assignment_snapshot_sha_v4	function	gda_v49_phase2a_schema_owner	0	0
release	research_launch_build_receipt_v3	table	gda_v49_phase2a_schema_owner	21	0
release	research_launch_build_receipt_v3_pkey	index	gda_v49_phase2a_schema_owner	0	195
release	research_launch_component_hash_staged_v5	function	gda_v49_phase2a_schema_owner	0	0
release	research_launch_component_hash_v3	function	gda_v49_phase2a_schema_owner	0	0
release	research_launch_component_hash_v4	function	gda_v49_phase2a_schema_owner	0	0
release	research_launch_component_hash_v5	function	gda_v49_phase2a_schema_owner	0	0
release	research_launch_component_manifest_sha_v3	function	gda_v49_phase2a_schema_owner	2	0
release	research_launch_component_manifest_sha_v4	function	gda_v49_phase2a_schema_owner	1	0
release	research_launch_component_manifest_sha_v5	function	gda_v49_phase2a_schema_owner	0	0
release	research_launch_component_manifest_v3	table	gda_v49_phase2a_schema_owner	18	0
release	research_launch_component_manifest_v3_pkey	index	gda_v49_phase2a_schema_owner	0	17
release	research_launch_component_rows_v5	function	gda_v49_phase2a_schema_owner	0	0
release	research_launch_content_sha_v3	function	gda_v49_phase2a_schema_owner	0	0
release	research_launch_content_sha_v4	function	gda_v49_phase2a_schema_owner	0	0
release	research_launch_decision_snapshot_sha_v3	function	gda_v49_phase2a_schema_owner	0	0
release	research_launch_decision_snapshot_sha_v4	function	gda_v49_phase2a_schema_owner	0	0
release	research_launch_manifest_v3	table	gda_v49_phase2a_schema_owner	7	0
release	research_launch_manifest_v3_manifest_sha256_key	index	gda_v49_phase2a_schema_owner	0	0
release	research_launch_manifest_v3_pkey	index	gda_v49_phase2a_schema_owner	0	0
release	research_launch_protocol_v4	table	gda_v49_phase2a_schema_owner	5	0
release	research_launch_protocol_v4_pkey	index	gda_v49_phase2a_schema_owner	0	1
release	research_launch_protocol_v5	table	gda_v49_phase2a_schema_owner	5	0
release	research_launch_protocol_v5_pkey	index	gda_v49_phase2a_schema_owner	0	3
release	research_launch_publishable_folder_assignments_v4	function	gda_v49_phase2a_schema_owner	0	0
release	research_launch_publishable_folder_assignments_v5	function	gda_v49_phase2a_schema_owner	0	0
release	research_launch_source_disposition_count_v3	table	gda_v49_phase2a_schema_owner	11	0
release	research_launch_source_disposition_count_v3_pkey	index	gda_v49_phase2a_schema_owner	0	1
release	research_launch_validation_v3	table	gda_v49_phase2a_schema_owner	2	0
release	research_launch_validation_v3_pkey	index	gda_v49_phase2a_schema_owner	0	1
release	research_projection_set	table	gda_v49_phase2a_schema_owner	10	0
release	research_projection_set_pkey	index	gda_v49_phase2a_schema_owner	0	0
release	research_registry_snapshot	table	gda_v49_phase2a_schema_owner	5	0
release	research_registry_snapshot_pkey	index	gda_v49_phase2a_schema_owner	0	0
release	research_release	table	gda_v49_phase2a_schema_owner	99	0
release	research_search_document_projection_v3	table	gda_v49_phase2a_schema_owner	11	0
release	research_search_document_projection_v3_pkey	index	gda_v49_phase2a_schema_owner	0	0
release	research_surface_citation_projection_v3	table	gda_v49_phase2a_schema_owner	12	0
release	research_surface_citation_projection_v3_pkey	index	gda_v49_phase2a_schema_owner	0	4
release	research_surface_credit_projection_v3	table	gda_v49_phase2a_schema_owner	12	0
release	research_surface_credit_projection_v3_pkey	index	gda_v49_phase2a_schema_owner	0	3
release	research_surface_presentation_projection_v3	table	gda_v49_phase2a_schema_owner	65	0
release	research_surface_presentation_projection_v3_pkey	index	gda_v49_phase2a_schema_owner	4	0
release	research_trace_availability_projection_v3	table	gda_v49_phase2a_schema_owner	10	0
release	research_trace_availability_projection_v3_pkey	index	gda_v49_phase2a_schema_owner	0	5
release	seal_research_launch_snapshot_v3	function	gda_v49_phase2a_schema_owner	0	0
release	seal_research_launch_snapshot_v4	function	gda_v49_phase2a_schema_owner	0	0
release	seal_research_launch_snapshot_v5	function	gda_v49_phase2a_schema_owner	0	0
release	set_research_projection_set_to_draft	function	gda_v49_phase2a_schema_owner	0	0
release	set_research_registry_snapshot_to_draft	function	gda_v49_phase2a_schema_owner	0	0
release	snapshot_legacy_visual_baseline_to_draft	function	gda_v49_phase2a_schema_owner	0	0
release	trace_branch_projection	table	gda_v49_phase2a_schema_owner	22	0
release	trace_branch_projection_pkey	index	gda_v49_phase2a_schema_owner	2	0
release	trace_projection_edge	table	gda_v49_phase2a_schema_owner	57	0
release	trace_projection_edge_pkey	index	gda_v49_phase2a_schema_owner	3	0
release	trace_projection_edge_relation_idx	index	gda_v49_phase2a_schema_owner	0	0
release	trace_projection_node	table	gda_v49_phase2a_schema_owner	49	0
release	trace_projection_node_canonical_key_idx	index	gda_v49_phase2a_schema_owner	0	0
release	trace_projection_node_object_idx	index	gda_v49_phase2a_schema_owner	0	0
release	trace_projection_node_pkey	index	gda_v49_phase2a_schema_owner	4	0
release	trace_projection_node_read_api_count_idx	index	gda_v49_phase2a_schema_owner	0	0
release	trace_tree_projection	table	gda_v49_phase2a_schema_owner	14	0
release	trace_tree_projection_pkey	index	gda_v49_phase2a_schema_owner	1	0
release	validate_research_launch_snapshot_v3	function	gda_v49_phase2a_schema_owner	0	0
release	validate_research_launch_snapshot_v3_integrity	function	gda_v49_phase2a_schema_owner	0	0
release	validate_research_launch_snapshot_v4	function	gda_v49_phase2a_schema_owner	0	0
release	validate_research_launch_snapshot_v4_integrity	function	gda_v49_phase2a_schema_owner	0	0
release	validate_research_launch_snapshot_v5	function	gda_v49_phase2a_schema_owner	0	0
release	validate_research_launch_snapshot_v5_integrity	function	gda_v49_phase2a_schema_owner	0	0
release	validate_research_projection	function	gda_v49_phase2a_schema_owner	0	0
release	validate_research_projection_v1	function	gda_v49_phase2a_schema_owner	0	0
release	validate_visual_projection	function	gda_v49_phase2a_schema_owner	0	0
release	validate_visual_projection_v1	function	gda_v49_phase2a_schema_owner	0	0
release	visual_registry_bridge_snapshot	table	gda_v49_phase2a_schema_owner	43	0
release	visual_registry_bridge_snapshot_pkey	index	gda_v49_phase2a_schema_owner	2	0
release	visual_registry_delivery_policy_snapshot	table	gda_v49_phase2a_schema_owner	17	0
release	visual_registry_delivery_policy_snapshot_pkey	index	gda_v49_phase2a_schema_owner	0	0
release	visual_registry_delivery_rights_snapshot	table	gda_v49_phase2a_schema_owner	17	0
release	visual_registry_delivery_rights_snapshot_pkey	index	gda_v49_phase2a_schema_owner	0	0
release	visual_registry_delivery_snapshot	table	gda_v49_phase2a_schema_owner	44	0
release	visual_registry_delivery_snapshot_exact_outcome_unique	index	gda_v49_phase2a_schema_owner	1	0
release	visual_registry_delivery_snapshot_pkey	index	gda_v49_phase2a_schema_owner	3	0
release	visual_registry_legacy_disposition_snapshot	table	gda_v49_phase2a_schema_owner	19	0
release	visual_registry_legacy_disposition_snapshot_pkey	index	gda_v49_phase2a_schema_owner	0	0
release	visual_registry_policy_evaluation_snapshot	table	gda_v49_phase2a_schema_owner	19	0
release	visual_registry_policy_evaluation_snapshot_pkey	index	gda_v49_phase2a_schema_owner	2	0
release	visual_registry_policy_evaluation_version_snapshot	table	gda_v49_phase2a_schema_owner	17	0
release	visual_registry_policy_evaluation_version_snapshot_pkey	index	gda_v49_phase2a_schema_owner	0	0
release	visual_registry_policy_version_snapshot	table	gda_v49_phase2a_schema_owner	30	0
release	visual_registry_policy_version_snapshot_pkey	index	gda_v49_phase2a_schema_owner	1	0
release	visual_registry_provider_object_snapshot	table	gda_v49_phase2a_schema_owner	17	0
release	visual_registry_provider_object_snapshot_pkey	index	gda_v49_phase2a_schema_owner	1	0
release	visual_registry_provider_snapshot	table	gda_v49_phase2a_schema_owner	22	0
release	visual_registry_provider_snapshot_pkey	index	gda_v49_phase2a_schema_owner	2	0
release	visual_registry_reference_snapshot	table	gda_v49_phase2a_schema_owner	19	0
release	visual_registry_reference_snapshot_pkey	index	gda_v49_phase2a_schema_owner	1	0
release	visual_registry_rights_assessment_snapshot	table	gda_v49_phase2a_schema_owner	16	0
release	visual_registry_rights_assessment_snapshot_pkey	index	gda_v49_phase2a_schema_owner	2	0
release	visual_registry_rights_observation_snapshot	table	gda_v49_phase2a_schema_owner	21	0
release	visual_registry_rights_observation_snapshot_pkey	index	gda_v49_phase2a_schema_owner	0	0
release	visual_registry_takedown_snapshot	table	gda_v49_phase2a_schema_owner	31	0
release	visual_registry_takedown_snapshot_pkey	index	gda_v49_phase2a_schema_owner	0	0
research	coverage_snapshot	table	gda_v49_phase2a_schema_owner	15	0
research	coverage_snapshot_corpus_version_id_snapshot_token_unit_key	index	gda_v49_phase2a_schema_owner	0	0
research	coverage_snapshot_pkey	index	gda_v49_phase2a_schema_owner	0	0
research	launch_snapshot_policy_v3	table	gda_v49_phase2a_schema_owner	3	0
research	launch_snapshot_policy_v3_pkey	index	gda_v49_phase2a_schema_owner	0	1
research	launch_snapshot_policy_v3_policy_token_key	index	gda_v49_phase2a_schema_owner	0	0
research	legacy_projection_disposition_idx	index	gda_v49_phase2a_schema_owner	0	0
research	legacy_projection_fact	table	gda_v49_phase2a_schema_owner	13	0
research	legacy_projection_fact_pkey	index	gda_v49_phase2a_schema_owner	0	0
research	legacy_projection_fact_source_asset_id_legacy_fact_kind_leg_key	index	gda_v49_phase2a_schema_owner	0	0
research	missingness_snapshot	table	gda_v49_phase2a_schema_owner	9	0
research	missingness_snapshot_corpus_version_id_snapshot_token_key	index	gda_v49_phase2a_schema_owner	0	0
research	missingness_snapshot_pkey	index	gda_v49_phase2a_schema_owner	1	0
research	public_source_citation_allowlist_v3	table	gda_v49_phase2a_schema_owner	4	0
research	public_source_citation_allowlist_v3_pkey	index	gda_v49_phase2a_schema_owner	0	2
