stage,baseline_32_ms,baseline_1000_ms,baseline_2000_ms,after_32_ms,after_1000_ms,after_2000_ms,baseline_ratio_1k_2k,baseline_exponent_1k_2k,baseline_percent_2k,after_ratio_1k_2k,after_exponent_1k_2k,after_percent_2k
fixture_input_preparation,117.854,1547.328,3047.279,104.517,1600.228,3159.829,1.969381411,0.977742546,63.549336,1.974611743,0.981569012,78.66819
canonical_assignment_load,0.036,0.797,1.437,0.0,0.684,1.385,1.803011292,0.850408432,0.029968,2.024853801,1.017817746,0.034481
assignment_supersession_current_leaf,1.837,37.322,72.405,1.859,37.336,76.102,1.940008574,0.956063029,1.509967,2.038300836,1.027366997,1.894662
reverse_index_construction,2.021,43.874,86.088,1.773,43.53,89.855,1.96216438,0.972445908,1.795318,2.064208592,1.045588765,2.237061
release_projection_build,34.11,127.276,256.509,6.568,124.827,301.45,2.015376033,1.011049045,5.349355,2.41494228,1.271988707,7.505003
chunk_digest_calculation,3.947,83.876,160.397,3.106,81.379,162.428,1.912311031,0.935317192,3.344992,1.9959449,0.997071894,4.043863
final_digest_reduction,4.003,10.388,18.084,1.804,10.912,17.341,1.740854832,0.799795904,0.377132,1.589167889,0.668271547,0.431728
validation_reconciliation,3.103,243.863,969.992,0.0,6.685,10.871,3.97761038,1.991901966,20.228652,1.62617801,0.701485191,0.270648
index_creation_or_maintenance_and_plpgsql_overhead,49.469,72.451,129.404,25.089,81.672,139.861,1.786089909,0.836804705,2.69865,1.712471839,0.776080263,3.482028
analyze,15.849,20.525,25.146,16.019,29.018,31.327,1.225140073,0.292946705,0.524406,1.079571301,0.11045853,0.779928
sealing_finalization,0.748,0.0,0.975,0.0,0.0,0.0,,,0.020333,,,0.0
transaction_commit,1.918,2.341,3.936,1.886,4.831,6.801,1.681332764,0.749605286,0.082083,1.407783068,0.493425039,0.16932
