surface_id	fields
SURF-CAW2026R00088	corpus_disposition
SURF-CAW2026R00104	corpus_disposition
SURF-CAW2026R00117	corpus_disposition
SURF-CAW2026R00124	corpus_disposition
SURF-CAW2026R00134	corpus_disposition
SURF-CAW2026R00135	corpus_disposition
SURF-CAW2026R00136	corpus_disposition
SURF-CAW2026R00138	corpus_disposition
SURF-CAW2026R00154	corpus_disposition
SURF-CAW2026R00166	corpus_disposition
SURF-CAW2026R00167	corpus_disposition
SURF-CAW2026R00180	corpus_disposition
SURF-CAW2026R00181	corpus_disposition
SURF-CAW2026R00192	corpus_disposition
SURF-CAW2026R00200	corpus_disposition
SURF-CAW2026R00204	corpus_disposition
SURF-CAW2026R00208	corpus_disposition
SURF-CAW2026R00216	corpus_disposition
SURF-CAW2026R00217	corpus_disposition
SURF-CAW2026R00218	corpus_disposition
SURF-CAW2026R00223	corpus_disposition
SURF-CAW2026R00226	corpus_disposition
SURF-CAW2026R00227	corpus_disposition
SURF-CAW2026R00231	corpus_disposition
SURF-CAW2026R00232	corpus_disposition
SURF-CAW2026R00233	corpus_disposition
SURF-CAW2026R00237	corpus_disposition
SURF-CAW2026R00246	corpus_disposition
SURF-CAW2026R00248	corpus_disposition
SURF-CAW2026R00249	corpus_disposition
SURF-CAW2026R00251	corpus_disposition
SURF-CAW2026R00254	corpus_disposition
SURF-CAW2026R00255	corpus_disposition
SURF-CAW2026R00256	corpus_disposition
SURF-CAW2026R00259	corpus_disposition
SURF-CAW2026R00260	corpus_disposition
SURF-CAW2026R00261	corpus_disposition
SURF-CAW2026R00262	corpus_disposition
SURF-CAW2026R00264	corpus_disposition
SURF-CAW2026R00265	corpus_disposition
SURF-CAW2026R00266	corpus_disposition
SURF-CAW2026R00267	corpus_disposition
SURF-CAW2026R00269	corpus_disposition
SURF-CAW2026R00270	corpus_disposition
SURF-CAW2026R00271	corpus_disposition
SURF-CAW2026R00272	corpus_disposition
SURF-CAW2026R00273	corpus_disposition
SURF-CAW2026R00274	corpus_disposition
SURF-CAW2026R00275	corpus_disposition
SURF-CAW2026R00276	corpus_disposition
SURF-CAW2026R00277	corpus_disposition
SURF-CAW2026R00278	corpus_disposition
SURF-CAW2026R00279	corpus_disposition
SURF-CAW2026R00280	corpus_disposition
SURF-CAW2026R00281	corpus_disposition
SURF-CAW2026R00282	corpus_disposition
SURF-CAW2026R00283	corpus_disposition
SURF-CAW2026R00284	corpus_disposition
SURF-CAW2026R00285	corpus_disposition
SURF-CAW2026R00286	corpus_disposition
SURF-CAW2026R00287	corpus_disposition
SURF-CAW2026R00288	corpus_disposition
SURF-CAW2026R00289	corpus_disposition
SURF-CAW2026R00290	corpus_disposition
SURF-CAW2026R00291	corpus_disposition
SURF-CAW2026R00292	corpus_disposition
SURF-CAW2026R00295	corpus_disposition
SURF-CAW2026R00296	corpus_disposition
SURF-CAW2026R00297	corpus_disposition
SURF-CAW2026R00298	corpus_disposition
SURF-CAW2026R00299	corpus_disposition
SURF-CAW2026R00301	corpus_disposition
SURF-CAW2026R00302	corpus_disposition
SURF-CAW2026R00303	corpus_disposition
SURF-CAW2026R00304	corpus_disposition
SURF-CAW2026R00305	corpus_disposition
SURF-CAW2026R00326	corpus_disposition
SURF-CAW2026R00327	corpus_disposition
SURF-CAW2026R00328	corpus_disposition
SURF-CAW2026R00333	corpus_disposition
SURF-CAW2026R00334	corpus_disposition
SURF-CAW2026R00335	corpus_disposition
