stage,baseline_32_ms,baseline_1000_ms,baseline_2000_ms,after_32_ms,after_1000_ms,after_2000_ms,baseline_ratio_1k_2k,baseline_exponent_1k_2k,baseline_percent_2k,after_ratio_1k_2k,after_exponent_1k_2k,after_percent_2k
fixture_input_preparation,117.854,1547.328,3047.279,103.047,1613.741,3169.222,1.969381411,0.977742546,179.749612,1.963897552,0.973719673,416.799979
canonical_assignment_load,0.036,0.797,1.437,0.0,0.706,1.495,1.803011292,0.850408432,0.084764,2.117563739,1.082405396,0.196615
assignment_supersession_current_leaf,3.858,81.196,158.493,3.788,80.692,161.472,1.951980393,0.964938562,9.349014,2.001090567,1.000786463,21.235977
reverse_index_construction,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0
release_projection_build,34.11,127.276,256.509,6.274,137.957,277.219,2.015376033,1.011049045,15.130677,2.009459469,1.006807479,36.458435
chunk_digest_calculation,3.947,83.876,160.397,3.209,79.426,160.682,1.912311031,0.935317192,9.461326,2.023040314,1.01652507,21.13208
final_digest_reduction,4.003,10.388,18.084,1.774,10.248,17.886,1.740854832,0.799795904,1.06672,1.745316159,0.8034884,2.352276
validation_reconciliation,3.103,243.863,969.992,0.0,7.274,11.493,3.97761038,1.991901966,57.216844,1.580010998,0.659934601,1.511501
index_creation_or_maintenance_and_plpgsql_overhead,49.469,72.451,129.404,25.264,81.563,130.123,1.786089909,0.836804705,7.633144,1.595367998,0.673889244,17.113116
analyze,15.849,20.525,25.146,15.876,20.828,23.854,1.225140073,0.292946705,1.483285,1.145285193,0.195706896,3.137157
sealing_finalization,0.748,0.0,0.975,0.0,0.0,0.0,,,0.057512,,,0.0
transaction_commit,1.918,2.341,3.936,1.816,3.547,7.484,1.681332764,0.749605286,0.232173,2.109952072,1.077210228,0.984258
