source_id	authors	year	title	publication	source_class	tier	volume_issue	pages	doi_isbn	publisher	stable_publisher_url	source_language	source_strata	peer_reviewed	metadata_verified	discovery_batch
SRC-0001	Grace Lees-Maffei	2009	The Production-Consumption-Mediation Paradigm	Journal of Design History	ARTICLE	A	22(4)	351-376	10.1093/jdh/epp031	Oxford University Press	https://academic.oup.com/jdh/article-abstract/22/4/351/412530	English	FOUNDATIONAL_DESIGN_HISTORIOGRAPHY	true	true	BATCH-01
SRC-0002	Jessica Kelly; Claire Jamieson	2020	Practice, Discourse and Experience: The Relationship Between Design History and Architectural History	Journal of Design History	ARTICLE	A	33(1)	1-15	10.1093/jdh/epz045	Oxford University Press	https://academic.oup.com/jdh/article/33/1/1/5678647	English	FOUNDATIONAL_DESIGN_HISTORIOGRAPHY	true	true	BATCH-01
SRC-0003	Basile Zimmermann; Nicolas Nova	2015	Circulation: A Theoretical Toolkit	Design and Culture	ARTICLE	A	7(2)	167-184	10.1080/17547075.2015.1051786	Taylor & Francis	https://doi.org/10.1080/17547075.2015.1051786	English	FOUNDATIONAL_DESIGN_HISTORIOGRAPHY	true	true	BATCH-01
SRC-0004	Luis M. Castañeda	2012	Choreographing the Metropolis: Networks of Circulation and Power in Olympic Mexico	Journal of Design History	ARTICLE	A	25(3)	285-303	10.1093/jdh/eps023	Oxford University Press	https://academic.oup.com/jdh/article/25/3/285/498761	English	GRAPHIC_DESIGN_HISTORY|GLOBAL_TRANSNATIONAL	true	true	BATCH-01
SRC-0005	Adriana Laura Massidda	2019	Design Exchanges in Mid-Twentieth Century Buenos Aires: The Programme Parque Almirante Brown and its Process of Creative Appropriation	Journal of Design History	ARTICLE	A	32(1)	35-51	10.1093/jdh/epx036	Oxford University Press	https://doi.org/10.1093/jdh/epx036	English	GLOBAL_TRANSNATIONAL|DECOLONIAL_POSTCOLONIAL	true	true	BATCH-01
SRC-0006	Daniele Burlando	2023	'Moroccan' Artek: Colonized Textiles within 1930s Modernist Interiors	Journal of Design History	ARTICLE	A	36(1)	35-53	10.1093/jdh/epac035	Oxford University Press	https://academic.oup.com/jdh/article/36/1/35/6691352	English	DECOLONIAL_POSTCOLONIAL|MATERIAL_CULTURE	true	true	BATCH-01
SRC-0007	Dori Griffin	2016	The Role of Visible Language in Building and Critiquing a Canon of Graphic Design History	Visible Language	ARTICLE	A	50(3)	7-27	NO_DOI	University of Cincinnati	https://journals.uc.edu/index.php/vl/article/view/5932	English	GRAPHIC_DESIGN_HISTORY|FOUNDATIONAL_DESIGN_HISTORIOGRAPHY	true	true	BATCH-01
SRC-0008	Samuel Merrill	2013	The London Underground Diagram: Between Palimpsest and Canon	The London Journal	ARTICLE	A	38(3)	245-264	10.1179/0305803413Z.00000000033	Taylor & Francis	https://doi.org/10.1179/0305803413Z.00000000033	English	GRAPHIC_DESIGN_HISTORY|MATERIAL_CULTURE	true	true	BATCH-01
SRC-0009	Grace Lees-Maffei	2008	Introduction: Professionalization as a Focus in Interior Design History	Journal of Design History	ARTICLE	A	21(1)	1-18	10.1093/jdh/epn007	Oxford University Press	https://academic.oup.com/jdh/article/21/1/1/361205	English	INSTITUTIONAL_PROFESSIONAL|GENDER_FEMINIST_QUEER	true	true	BATCH-01
SRC-0010	Mark Taylor; Natalie Haskell	2019	The Professionalization of Interior Design	A Companion to Contemporary Design since 1945	CHAPTER	B	chapter 19	393-411	10.1002/9781119112297.ch19	Wiley	https://doi.org/10.1002/9781119112297.ch19	English	INSTITUTIONAL_PROFESSIONAL	scholarly_chapter	true	BATCH-01
