triple_id	dimension_a	value_a_id	value_a_label	dimension_b	value_b_id	value_b_label	dimension_c	value_c_id	value_c_label	object_count	eligible_denominator	support_rate_eligible	joint_observable_denominator	support_rate_joint_observable	dimension_a_value_object_count	dimension_b_value_object_count	dimension_c_value_object_count	rarity_band	rare_candidate	diagnostic_status	signal_status	input_source	derivation_version
medium__decade__geography	medium	CTX:MEDIUM:041f6e2537fe14389cc518d2059530b7a8ee292c5d79a6af94b7fccffc8961a9	Advertisement	decade	SPT-PERIOD-1860-1870	1860s	geography	SPTGEO:9859d40c449b029e7a48ef3049be591b17005635749be839199ebf41b6c16275	United States	1	7995	0.000125078173859	7995	0.000125078173859	17	79	1175	SINGLETON	true	ANALYSIS_DIAGNOSTIC	RARE_INTERSECTION_SIGNAL_CANDIDATE	governed Context public projection; governed Spacetime public projection; governed Spacetime public projection	trace-exploration-cross-dimensional-v1
medium__decade__geography	medium	CTX:MEDIUM:041f6e2537fe14389cc518d2059530b7a8ee292c5d79a6af94b7fccffc8961a9	Advertisement	decade	SPT-PERIOD-1910-1920	1910s	geography	SPTGEO:9859d40c449b029e7a48ef3049be591b17005635749be839199ebf41b6c16275	United States	2	7995	0.000250156347717	7995	0.000250156347717	17	188	1175	COUNT_2_TO_5	true	ANALYSIS_DIAGNOSTIC	RARE_INTERSECTION_SIGNAL_CANDIDATE	governed Context public projection; governed Spacetime public projection; governed Spacetime public projection	trace-exploration-cross-dimensional-v1
medium__decade__geography	medium	CTX:MEDIUM:041f6e2537fe14389cc518d2059530b7a8ee292c5d79a6af94b7fccffc8961a9	Advertisement	decade	SPT-PERIOD-1920-1930	1920s	geography	SPTGEO:a292e840b9faecf0fd352f675b1b98e6e0fcb9f3a56e47792ebbe7dd4a0cea61	Netherlands	6	7995	0.000750469043152	7995	0.000750469043152	17	257	164	COUNT_6_TO_20	true	ANALYSIS_DIAGNOSTIC	RARE_INTERSECTION_SIGNAL_CANDIDATE	governed Context public projection; governed Spacetime public projection; governed Spacetime public projection	trace-exploration-cross-dimensional-v1
medium__decade__geography	medium	CTX:MEDIUM:041f6e2537fe14389cc518d2059530b7a8ee292c5d79a6af94b7fccffc8961a9	Advertisement	decade	SPT-PERIOD-1930-1940	1930s	geography	SPTGEO:66dd7e66b366720473e2381bd7c1625ba538cbba873b4cc7ef790c03a91373b4	Czech Republic	2	7995	0.000250156347717	7995	0.000250156347717	17	265	8	COUNT_2_TO_5	true	ANALYSIS_DIAGNOSTIC	RARE_INTERSECTION_SIGNAL_CANDIDATE	governed Context public projection; governed Spacetime public projection; governed Spacetime public projection	trace-exploration-cross-dimensional-v1
medium__decade__geography	medium	CTX:MEDIUM:041f6e2537fe14389cc518d2059530b7a8ee292c5d79a6af94b7fccffc8961a9	Advertisement	decade	SPT-PERIOD-1930-1940	1930s	geography	SPTGEO:a292e840b9faecf0fd352f675b1b98e6e0fcb9f3a56e47792ebbe7dd4a0cea61	Netherlands	1	7995	0.000125078173859	7995	0.000125078173859	17	265	164	SINGLETON	true	ANALYSIS_DIAGNOSTIC	RARE_INTERSECTION_SIGNAL_CANDIDATE	governed Context public projection; governed Spacetime public projection; governed Spacetime public projection	trace-exploration-cross-dimensional-v1
medium__decade__geography	medium	CTX:MEDIUM:041f6e2537fe14389cc518d2059530b7a8ee292c5d79a6af94b7fccffc8961a9	Advertisement	decade	SPT-PERIOD-1940-1950	1940s	geography	SPTGEO:9859d40c449b029e7a48ef3049be591b17005635749be839199ebf41b6c16275	United States	2	7995	0.000250156347717	7995	0.000250156347717	17	270	1175	COUNT_2_TO_5	true	ANALYSIS_DIAGNOSTIC	RARE_INTERSECTION_SIGNAL_CANDIDATE	governed Context public projection; governed Spacetime public projection; governed Spacetime public projection	trace-exploration-cross-dimensional-v1
medium__decade__geography	medium	CTX:MEDIUM:041f6e2537fe14389cc518d2059530b7a8ee292c5d79a6af94b7fccffc8961a9	Advertisement	decade	SPT-PERIOD-1950-1960	1950s	geography	SPTGEO:9859d40c449b029e7a48ef3049be591b17005635749be839199ebf41b6c16275	United States	1	7995	0.000125078173859	7995	0.000125078173859	17	383	1175	SINGLETON	true	ANALYSIS_DIAGNOSTIC	RARE_INTERSECTION_SIGNAL_CANDIDATE	governed Context public projection; governed Spacetime public projection; governed Spacetime public projection	trace-exploration-cross-dimensional-v1
medium__decade__geography	medium	CTX:MEDIUM:041f6e2537fe14389cc518d2059530b7a8ee292c5d79a6af94b7fccffc8961a9	Advertisement	decade	SPT-PERIOD-1970-1980	1970s	geography	SPTGEO:7fa25d0a42d57f51454b440a3bd0bab7cfedf7e75e7333dbb4392079331df3b2	France	1	7995	0.000125078173859	7995	0.000125078173859	17	1096	224	SINGLETON	true	ANALYSIS_DIAGNOSTIC	RARE_INTERSECTION_SIGNAL_CANDIDATE	governed Context public projection; governed Spacetime public projection; governed Spacetime public projection	trace-exploration-cross-dimensional-v1
medium__decade__geography	medium	CTX:MEDIUM:041f6e2537fe14389cc518d2059530b7a8ee292c5d79a6af94b7fccffc8961a9	Advertisement	decade	SPT-PERIOD-1970-1980	1970s	geography	SPTGEO:9859d40c449b029e7a48ef3049be591b17005635749be839199ebf41b6c16275	United States	1	7995	0.000125078173859	7995	0.000125078173859	17	1096	1175	SINGLETON	true	ANALYSIS_DIAGNOSTIC	RARE_INTERSECTION_SIGNAL_CANDIDATE	governed Context public projection; governed Spacetime public projection; governed Spacetime public projection	trace-exploration-cross-dimensional-v1
medium__decade__geography	medium	CTX:MEDIUM:05a46f43a6191e7bf5bf3010b49850f524069e03756a4a8737f1118a3bb6fd7b	Publication design	decade	SPT-PERIOD-1800-1810	1800s	geography	SPTGEO:768960d2a9a1578f1aec5688cef0795b54b1bc0387e43968bfb5af7a08de0145	Angers, France	1	7995	0.000125078173859	7995	0.000125078173859	234	12	1	SINGLETON	true	ANALYSIS_DIAGNOSTIC	RARE_INTERSECTION_SIGNAL_CANDIDATE	governed Context public projection; governed Spacetime public projection; governed Spacetime public projection	trace-exploration-cross-dimensional-v1
