model_id	variant_id	k	object_count	query_count	mean	variance	skewness	gini	top1_percent_occurrence_share	maximum_occurrence	zero_occurrence_object_count	total_occurrence_count
M0	M0-RAW-CURATED-JACCARD	10	7995	7995	10	11734.286178861788	25.366575046958452	0.9567643567098105	0.5820012507817386	2961	6449	79950
M0	M0-RAW-CURATED-JACCARD	20	7995	7995	20	23424.6301438399	17.803338464505313	0.9287040047309119	0.5101813633520951	2961	5822	159900
M0	M0-RAW-CURATED-JACCARD	50	7995	7995	50	58546.53583489681	10.961131487902573	0.8718600876642335	0.4165878674171357	2970	4691	399750
M1	M1-EQUAL-FAMILY	10	7995	7995	10	573.6217636022515	7.2609755278544394	0.7097048694833896	0.2039524702939337	373	2369	79950
M1	M1-EQUAL-FAMILY	20	7995	7995	20	1545.910444027517	5.856068813774322	0.6725665642339784	0.1503564727954972	578	1675	159900
M1	M1-EQUAL-FAMILY	50	7995	7995	50	7288.810256410256	5.750989197509894	0.623506745499552	0.13147217010631645	1183	940	399750
M2	M2-GLOBAL_IDF	10	7995	7995	10	573.6130081300813	7.261079170705983	0.7097093563402079	0.2039524702939337	373	2370	79950
M2	M2-GLOBAL_IDF	20	7995	7995	20	1545.8766729205754	5.856211310310142	0.6725547416478639	0.1503564727954972	578	1675	159900
M2	M2-GLOBAL_IDF	50	7995	7995	50	7289.15397123202	5.750834855045058	0.6235209113263018	0.13147467166979362	1183	941	399750
M2	M2-WITHIN_FAMILY_IDF	10	7995	7995	10	573.6130081300813	7.261079170705983	0.7097093563402079	0.2039524702939337	373	2370	79950
M2	M2-WITHIN_FAMILY_IDF	20	7995	7995	20	1545.8766729205754	5.856211310310142	0.6725547416478639	0.1503564727954972	578	1675	159900
M2	M2-WITHIN_FAMILY_IDF	50	7995	7995	50	7289.15397123202	5.750834855045058	0.6235209113263018	0.13147467166979362	1183	941	399750
M2	M2-SMOOTHED_IDF	10	7995	7995	10	573.6110068792996	7.261119846833688	0.7096992437033622	0.2039524702939337	373	2369	79950
M2	M2-SMOOTHED_IDF	20	7995	7995	20	1545.8704190118824	5.856249008594524	0.6725474137408425	0.1503564727954972	578	1674	159900
M2	M2-SMOOTHED_IDF	50	7995	7995	50	7289.110944340213	5.750886932713112	0.6235136459974788	0.13147467166979362	1183	940	399750
M3	M3-IDF-TANIMOTO	10	7995	7995	10	573.611507191995	7.261107888739381	0.7097040622246316	0.2039524702939337	373	2370	79950
M3	M3-IDF-TANIMOTO	20	7995	7995	20	1545.865415884928	5.85627280859246	0.6725472901489009	0.1503564727954972	578	1675	159900
M3	M3-IDF-TANIMOTO	50	7995	7995	50	7289.125953721075	5.750864270175654	0.6235185252196005	0.13147467166979362	1183	941	399750
M4	M4-GOODALL-FLOOR-2	10	7995	7995	10	408.91156973108195	7.841197912677654	0.6215264496532973	0.17618511569731082	300	1700	79950
M4	M4-GOODALL-FLOOR-2	20	7995	7995	20	1141.5272045028144	5.635440559657061	0.6017250180987883	0.13216385240775486	467	1188	159900
