source_label_identity	source_label	source_label_sha256	governed_geography_id	governed_display_label	geography_class	mapping_state	mapping_decision	geometry_target_ids	geometry_source	map_eligible	aggregate_eligible	representative_point_policy	historical_status	transnational	broad_region	source_assignment_count	qualification	decision_rationale	review_status	policy_version
sha256:8824f9c4c3b91a931e7f7b6cc585b60747d27486f428c542b2c451d1977781ea	Angers, France	8824f9c4c3b91a931e7f7b6cc585b60747d27486f428c542b2c451d1977781ea	SPTGEO:768960d2a9a1578f1aec5688cef0795b54b1bc0387e43968bfb5af7a08de0145	Angers, France	subnational	aggregate_only	AGGREGATE_WITHOUT_POINT			false	true	NO_POINT_AGGREGATE_ONLY	false	false	false	1	No evidence-backed subnational geometry or representative point is present in the frozen release; retain as an aggregate-only row.	Angers, France has no governed subnational geometry or evidence-backed point in v1 and remains visible without a map position.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:e470268491713a2beac7cac876de70b7300a922cab563c1e9607b7b753540caf	Aotearoa New Zealand	e470268491713a2beac7cac876de70b7300a922cab563c1e9607b7b753540caf	SPTGEO:0d6a258fddb51644fdf48df6a2a98589f75e1128ac1eed28b89aecd7afed7259	Aotearoa New Zealand	country	mapped	MAP_TO_ADMIN0	NZL	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	25		Aotearoa New Zealand is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:ea0b937ea317101ee2c26b03a4843a19ceced8a2b9673c3cf409a726ca2b0fd8	Argentina	ea0b937ea317101ee2c26b03a4843a19ceced8a2b9673c3cf409a726ca2b0fd8	SPTGEO:856e8df3d10caabbba5a0a57c84beb185295faa59f1610fdee7672b849b4d860	Argentina	country	mapped	MAP_TO_ADMIN0	ARG	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	6		Argentina is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:c1ef40ce0484c698eb4bd27fe56c1e7b68d74f9780ed674210d0e5013dae45e9	Australia	c1ef40ce0484c698eb4bd27fe56c1e7b68d74f9780ed674210d0e5013dae45e9	SPTGEO:16b1cfb38f72a39251e3e9cfbd021bc4df8072dbf978126047733f95ba1678bf	Australia	country	mapped	MAP_TO_ADMIN0	AUS	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	13		Australia is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:7f332816a49f7639592d408fb0476b395dacb9eccf4ceb1bb905980398b196a9	Australia / Indigenous	7f332816a49f7639592d408fb0476b395dacb9eccf4ceb1bb905980398b196a9	SPTGEO:6478ebe466d1f7931c6ec1a3f4eda30f8ecabca927714781d2f543c0de9f31e5	Australia / Indigenous	broad_region	aggregate_only	AGGREGATE_WITHOUT_POINT			false	true	NO_POINT_AGGREGATE_ONLY	false	false	true	1	The broad or transnational source scope cannot be represented by one current polygon or point without overclaiming.	Australia / Indigenous is broad or transnational and remains visible in aggregates without an invented point or silent modern-country normalization.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:c9cab0238debc6e55498e2c0963a1d8e25bd29c95ddd53a3fff841ee636b6bc5	Austria	c9cab0238debc6e55498e2c0963a1d8e25bd29c95ddd53a3fff841ee636b6bc5	SPTGEO:7d4e00c1c39ca8ed6783edc0b77103ddab21f9b0c1612e447ac15a193f4958cf	Austria	country	mapped	MAP_TO_ADMIN0	AUT	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	77		Austria is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:2f1d47eb679bb05e6d8fe039af1563549588cd44b40be6b1013ea8ca2268845f	Bangladesh	2f1d47eb679bb05e6d8fe039af1563549588cd44b40be6b1013ea8ca2268845f	SPTGEO:496b081af926b9d43073b2ed22df4cfaddc572ee324e5bfb673e6f8f3da4ab17	Bangladesh	country	mapped	MAP_TO_ADMIN0	BGD	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	1		Bangladesh is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:348841ef53dbd5a64008a86be432973db790774fb28b59b0d99702a3188b3705	Belgium	348841ef53dbd5a64008a86be432973db790774fb28b59b0d99702a3188b3705	SPTGEO:4aa95281d59a599408e3c1dfd9ced025abc75f76c787d4b29377a32a6f27a135	Belgium	country	mapped	MAP_TO_ADMIN0	BEL	natural-earth-admin0-countries-5.1.1-50m	true	true	GEOMETRY_DERIVED_AGGREGATE_ANCHOR	false	false	false	59		Belgium is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:fdea2991a99a49dbcb0a4b251123ab8ff6002409a2339c1f1e194d1b2415ff3f	Bordeaux, France	fdea2991a99a49dbcb0a4b251123ab8ff6002409a2339c1f1e194d1b2415ff3f	SPTGEO:4892a45bd0f99c9bb8d5def621d7d5b06e76b3ee22698d6ee967d6110ca26da5	Bordeaux, France	subnational	aggregate_only	AGGREGATE_WITHOUT_POINT			false	true	NO_POINT_AGGREGATE_ONLY	false	false	false	1	No evidence-backed subnational geometry or representative point is present in the frozen release; retain as an aggregate-only row.	Bordeaux, France has no governed subnational geometry or evidence-backed point in v1 and remains visible without a map position.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
sha256:d2fedaeeb44d181a36e794f225591d8bbe92d6cd95dd38d350ae89ef2d8351cf	Boston, United States	d2fedaeeb44d181a36e794f225591d8bbe92d6cd95dd38d350ae89ef2d8351cf	SPTGEO:a193438dad2d0ba329f70537a2b2ba54cfc0bdae64a6e4b7bd05380a36df0938	Boston, United States	subnational	aggregate_only	AGGREGATE_WITHOUT_POINT			false	true	NO_POINT_AGGREGATE_ONLY	false	false	false	2	No evidence-backed subnational geometry or representative point is present in the frozen release; retain as an aggregate-only row.	Boston, United States has no governed subnational geometry or evidence-backed point in v1 and remains visible without a map position.	REVIEWED_EXPLICIT	spacetime-geography-governance-v1
