category,dimension,value
"format","","gda-v49-release-data-profile/v1"
"database","","gda_v49_phase2a_fresh_c"
"generatedBy","","scripts/v49_read_api_statistics.mjs"
"readOnlyProof.auditSessionRole","","gda_v49_phase2b_admin"
"readOnlyProof.auditSessionEnforcement","","PGOPTIONS default_transaction_read_only=on + BEGIN READ ONLY"
"readOnlyProof.auditTransactionReadOnly","","on"
"readOnlyProof.apiRole","","gda_v49_phase2a_api_reader"
"readOnlyProof.apiTransactionReadOnly","","on"
"readOnlyProof.sqlPolicy","","SELECT-only; mutation and DDL keywords rejected before execution"
"releaseIdentity.builtAt","","2026-08-21T13:24:46.407182+10:00"
"releaseIdentity.sealedAt","","2026-08-21T13:24:46.690163+10:00"
"releaseIdentity.createdAt","","2026-08-21T13:24:45.008154+10:00"
"releaseIdentity.releaseId","","v49-api-contract-fresh-c"
"releaseIdentity.sealStatus","","sealed"
"releaseIdentity.candidateAt","","2026-08-21T13:24:46.408051+10:00"
"releaseIdentity.releaseUuid","","99000000-0000-4000-8000-000000000100"
"releaseIdentity.validatedAt","","2026-08-21T13:24:46.550792+10:00"
"releaseIdentity.schemaVersion","","schema-v49.0"
"releaseIdentity.builderVersion","","release-snapshot-v5"
"releaseIdentity.manifestSha256","","4addfdb3cb9314587908096572242b9d63e9cef9e6e1be68c0c646491a43a90a"
"releaseIdentity.releaseVersion","","model-v49.0"
"releaseIdentity.canonicalSource.sha256","","b16bb0158c3ea27cee2909e96631ab84f3c8f6d0356476e45e641eb27edb4f48"
"releaseIdentity.canonicalSource.authority","","canonical_migration_input"
"releaseIdentity.canonicalSource.byte_length","","190067852"
"releaseIdentity.canonicalSource.received_at","","2026-08-10T10:00:00+10:00"
"releaseIdentity.canonicalSource.logical_name","","generated/public_surfaces_prefreeze_candidate_v48.json"
"releaseIdentity.canonicalSource.source_asset_id","","f63c6288-3428-558c-b321-363289a6a19f"
"releaseIdentity.candidateFingerprint","","0bed99ddb98cd700f15da9b359be9331505db53354db6c794d32e7e0c8a5cc2b"
"releaseIdentity.projectionContentSha256","","e7ab41633b481d455bc3ceab3e2d0d2a1d5410b186b65bfb2697059182d1b49d"
"releaseIdentity.schemaHash","","df1e7741e59e5e6bf1ca80f2a33edfad1abb2fc6d95b57d4d6993b49917020dd"
"coreScale.assignmentCount","","47982"
"coreScale.heldObjectCount","","7928"
"coreScale.eligibleObjectCount","","7995"
"coreScale.canonicalObjectCount","","15923"
"coreScale.quarantinedObjectCount","","7928"
"coreScale.supersededAssignmentCount","","0"
"coreScale.currentAssignmentLeafCount","","47982"
"coreScale.releaseSearchDocumentCount","","7995"
"coreScale.relationshipAssignmentCount","","47982"
"coreScale.acceptedSemanticRelationCount","","0"
"coreScale.releaseRelationProjectionCount","","0"
"coreScale.releaseFolderMembershipProjectionCount","","0"
"coreScale.apiVisibleObjectCount","","7995"
"coreScale.apiVisibleRelationshipCount","","0"
"distributions.source","V&A Collections API","3505"
"distributions.source","Colnect via Wikimedia Commons","2767"
"distributions.source","Library of Congress Prints and Photographs API","2300"
"distributions.source","Creator-contributed record via Wikimedia Commons","1866"
"distributions.source","Private collection scan via Wikimedia Commons","772"
"distributions.source","Art Institute of Chicago API","606"
"distributions.source","National Library of Norway Catalogue API","522"
"distributions.source","Yale University Art Gallery Linked Art","438"
"distributions.source","Gallica / BnF APIs","300"
"distributions.source","Digital Public Library of America via Wikimedia Commons","270"
"distributions.source","Kazakhstan Post via Wikimedia Commons","257"
"distributions.source","Cooper Hewitt Collection GraphQL API","198"
"distributions.source","Wikimedia Commons contributor record via Wikimedia Commons","190"
"distributions.source","Pacific Community Digital Library","165"
"distributions.source","DigitalNZ","103"
"distributions.source","Nasjonalmuseet Design collection / DigitaltMuseum","96"
"distributions.source","Malaysia Design Archive","95"
"distributions.source","flickr.com via Wikimedia Commons","90"
"distributions.source","Georgia State University Library Digital Collections / CONTENTdm","82"
"distributions.source","Victoria and Albert Museum Collections API","82"
"distributions.source","Desain Grafis Indonesia","80"
"distributions.source","U.S. National Archives via Wikimedia Commons","73"
"distributions.source","Biblioteca Nacional Digital de Chile","67"
"distributions.source","Te Papa Collections Online","56"
"distributions.source","Library of Congress loc.gov API","51"
"distributions.source","Library of Congress via Wikimedia Commons","49"
"distributions.source","NAIDOC Poster Gallery","49"
"distributions.source","Princeton University Library Digital Collections / Figgy","41"
"distributions.source","Indiana State Library via Wikimedia Commons","36"
"distributions.source","Nationaal Museum van Wereldculturen via Wikimedia Commons","36"
"distributions.source","WNS Stamps via Wikimedia Commons","35"
"distributions.source","Wellcome Collection Catalogue API","33"
"distributions.source","Museum of South Texas History via Wikimedia Commons","32"
"distributions.source","Science History Institute via Wikimedia Commons","26"
"distributions.source","StampWorld via Wikimedia Commons","26"
"distributions.source","PhilPost via Wikimedia Commons","23"
"distributions.source","eBay Singapore via Wikimedia Commons","21"
"distributions.source","Rijksmuseum Data Services","17"
"distributions.source","Cleveland Museum Open Access API","14"
"distributions.source","neuromat.numec.prp.usp.br via Wikimedia Commons","13"
"distributions.source","Smithsonian Open Access","11"
